Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2009,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,430
2010,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,450
2011,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,536
2012,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,424
2013,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,556
2014,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,524
2015,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,618
2016,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,510
2017,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,576
2018,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,626
2019,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,596
2020,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,631
2003,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,352
2004,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,347
2005,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,343
2006,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,379
2007,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,396
2008,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,366
2009,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,371
2010,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,398
2011,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,391
2012,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,393
2013,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,402
2014,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,429
2015,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,440
2016,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,450
2017,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,413
2018,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,481
2019,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,419
2020,Broj,Oba pola,(K00-K93) Bolesti digestivnog sistema,438
2003,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,0
2004,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,3
2005,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,0
2006,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,1
2007,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,2
2008,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,2
2009,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,3
2010,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,6
2011,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,1
2012,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,4
2013,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,20
2014,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,22
2015,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,22
2016,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,21
2017,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,24
2018,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,22
2019,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,23
2020,Broj,Oba pola,(L00-L99) Bolesti kože i potkožnog tkiva,30
2003,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,6
2004,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,3
2005,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,12
2006,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,10
2007,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,13
2008,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,17
2009,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,13
2010,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,11
2011,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,18
2012,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,16
2013,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,28
2014,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,22
2015,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,30
2016,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,19
2017,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,17
2018,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,21
2019,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,13
2020,Broj,Oba pola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,28
2003,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,222
2004,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,205
2005,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,257
2006,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,266
2007,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,275
2008,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,268
2009,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,257
2010,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,255
2011,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,175
2012,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,236
2013,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,213
2014,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,150
2015,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,179
2016,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,218
2017,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,193
2018,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,220
2019,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,195
2020,Broj,Oba pola,(N00-N99) Bolesti genitourinarnog sistema,221
2003,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2004,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2005,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",2
2006,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",2
2007,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2008,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2009,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2010,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2011,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2012,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2013,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2014,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2015,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2016,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2017,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2018,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",1
2019,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",0
2020,Broj,Oba pola,"(O00-O99) Trudnoća, porođaj i postporođajni period",3
2003,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,44
2004,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,38
2005,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,27
2006,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,38
2007,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,27
2008,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,20
2009,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,34
2010,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,29
2011,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,36
2012,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,29
2013,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,21
2014,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,16
2015,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,10
2016,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,18
2017,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,17
2018,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,10
2019,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,11
2020,Broj,Oba pola,(P00-P96) Određena stanja nastala u perinatalnom periodu,34
2003,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",10
2004,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",11
2005,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",14
2006,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",14
2007,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",14
2008,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",15
2009,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",20
2010,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",17
2011,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",9
2012,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",6
2013,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",10
2014,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",10
2015,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",7
2016,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",5
2017,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",5
2018,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",5
2019,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",4
2020,Broj,Oba pola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",6
2003,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1612
2004,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1462
2005,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1249
2006,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1200
2007,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1288
2008,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",945
2009,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",953
2010,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",877
2011,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",681
2012,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",612
2013,Broj,Oba pola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasifikovani",1231
