Year,UNIT_MEASURE,scientific_field,Sex,Value
2018,Number,"natural_sciences,_mathematics_and_statistics",F,5
2018,Number,"engineering,_production_and_construction",F,1
2018,Number,information_and_communication_technologies,F,0
2018,Number,health_and_social_protection,F,28
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2018,Number,"social_sciences,_journalism_and_information",F,8
2018,Number,"business,_administration_and_law",F,6
2018,Number,education,F,0
2018,Number,arts_and_humanities,F,12
2018,Number,services,F,0
2019,Number,Total,Both sexes,165
2019,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,10
2019,Number,"engineering,_production_and_construction",Both sexes,0
2019,Number,information_and_communication_technologies,Both sexes,0
2019,Number,health_and_social_protection,Both sexes,65
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,9
2019,Number,"social_sciences,_journalism_and_information",Both sexes,58
2019,Number,"business,_administration_and_law",Both sexes,5
2019,Number,education,Both sexes,8
2019,Number,arts_and_humanities,Both sexes,10
2019,Number,services,Both sexes,0
2019,Number,Total,M,71
2019,Number,"natural_sciences,_mathematics_and_statistics",M,6
2019,Number,"engineering,_production_and_construction",M,0
2019,Number,information_and_communication_technologies,M,0
2019,Number,health_and_social_protection,M,19
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,Number,"social_sciences,_journalism_and_information",M,28
2019,Number,"business,_administration_and_law",M,2
2019,Number,education,M,5
2019,Number,arts_and_humanities,M,5
2019,Number,services,M,0
2019,Number,Total,F,94
2019,Number,"natural_sciences,_mathematics_and_statistics",F,4
2019,Number,"engineering,_production_and_construction",F,0
2019,Number,information_and_communication_technologies,F,0
2019,Number,health_and_social_protection,F,46
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2019,Number,"social_sciences,_journalism_and_information",F,30
2019,Number,"business,_administration_and_law",F,3
2019,Number,education,F,3
2019,Number,arts_and_humanities,F,5
2019,Number,services,F,0
2020,Number,Total,Both sexes,184
2020,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,12
2020,Number,"engineering,_production_and_construction",Both sexes,2
2020,Number,information_and_communication_technologies,Both sexes,5
2020,Number,health_and_social_protection,Both sexes,96
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,14
2020,Number,"social_sciences,_journalism_and_information",Both sexes,22
2020,Number,"business,_administration_and_law",Both sexes,1
2020,Number,education,Both sexes,8
2020,Number,arts_and_humanities,Both sexes,24
2020,Number,services,Both sexes,0
2020,Number,Total,M,79
2020,Number,"natural_sciences,_mathematics_and_statistics",M,8
2020,Number,"engineering,_production_and_construction",M,1
2020,Number,information_and_communication_technologies,M,3
2020,Number,health_and_social_protection,M,35
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,Number,"social_sciences,_journalism_and_information",M,12
2020,Number,"business,_administration_and_law",M,0
2020,Number,education,M,8
2020,Number,arts_and_humanities,M,3
2020,Number,services,M,0
2020,Number,Total,F,105
2020,Number,"natural_sciences,_mathematics_and_statistics",F,4
2020,Number,"engineering,_production_and_construction",F,1
2020,Number,information_and_communication_technologies,F,2
2020,Number,health_and_social_protection,F,61
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2020,Number,"social_sciences,_journalism_and_information",F,10
2020,Number,"business,_administration_and_law",F,1
2020,Number,education,F,0
2020,Number,arts_and_humanities,F,21
2020,Number,services,F,0
