Year,UNIT_MEASURE,scientific_field,Пол,Value
2018,Број,services,Оба пола,0
2018,Број,TOTAL,M,56
2018,Број,"natural_sciences,_mathematics_and_statistic",M,3
2018,Број,"engineering,_production_and_construction",M,2
2018,Број,information_and_communication_technologies,M,11
2018,Број,health_and_social_protection,M,9
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2018,Број,"social_sciences,_journalism_and_information",M,8
2018,Број,"business,_administration_and_law",M,4
2018,Број,eduaction,M,3
2018,Број,humanities_and_arts,M,10
2018,Број,services,M,0
2018,Број,TOTAL,Ж,63
2018,Број,"natural_sciences,_mathematics_and_statistic",Ж,5
2018,Број,"engineering,_production_and_construction",Ж,1
2018,Број,information_and_communication_technologies,Ж,0
2018,Број,health_and_social_protection,Ж,28
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,3
2018,Број,"social_sciences,_journalism_and_information",Ж,8
2018,Број,"business,_administration_and_law",Ж,6
2018,Број,eduaction,Ж,0
2018,Број,humanities_and_arts,Ж,12
2018,Број,services,Ж,0
2019,Број,TOTAL,Оба пола,165
2019,Број,"natural_sciences,_mathematics_and_statistic",Оба пола,10
2019,Број,"engineering,_production_and_construction",Оба пола,0
2019,Број,information_and_communication_technologies,Оба пола,0
2019,Број,health_and_social_protection,Оба пола,65
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,9
2019,Број,"social_sciences,_journalism_and_information",Оба пола,58
2019,Број,"business,_administration_and_law",Оба пола,5
2019,Број,eduaction,Оба пола,8
2019,Број,humanities_and_arts,Оба пола,10
2019,Број,services,Оба пола,0
2019,Број,TOTAL,M,71
2019,Број,"natural_sciences,_mathematics_and_statistic",M,6
2019,Број,"engineering,_production_and_construction",M,0
2019,Број,information_and_communication_technologies,M,0
2019,Број,health_and_social_protection,M,19
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,Број,"social_sciences,_journalism_and_information",M,28
2019,Број,"business,_administration_and_law",M,2
2019,Број,eduaction,M,5
2019,Број,humanities_and_arts,M,5
2019,Број,services,M,0
2019,Број,TOTAL,Ж,94
2019,Број,"natural_sciences,_mathematics_and_statistic",Ж,4
2019,Број,"engineering,_production_and_construction",Ж,0
2019,Број,information_and_communication_technologies,Ж,0
2019,Број,health_and_social_protection,Ж,46
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,3
2019,Број,"social_sciences,_journalism_and_information",Ж,30
2019,Број,"business,_administration_and_law",Ж,3
2019,Број,eduaction,Ж,3
2019,Број,humanities_and_arts,Ж,5
2019,Број,services,Ж,0
2020,Број,TOTAL,Оба пола,184
2020,Број,"natural_sciences,_mathematics_and_statistic",Оба пола,12
2020,Број,"engineering,_production_and_construction",Оба пола,2
2020,Број,information_and_communication_technologies,Оба пола,5
2020,Број,health_and_social_protection,Оба пола,96
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,14
2020,Број,"social_sciences,_journalism_and_information",Оба пола,22
2020,Број,"business,_administration_and_law",Оба пола,1
2020,Број,eduaction,Оба пола,8
2020,Број,humanities_and_arts,Оба пола,24
2020,Број,services,Оба пола,0
2020,Број,TOTAL,M,79
2020,Број,"natural_sciences,_mathematics_and_statistic",M,8
2020,Број,"engineering,_production_and_construction",M,1
2020,Број,information_and_communication_technologies,M,3
2020,Број,health_and_social_protection,M,35
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,Број,"social_sciences,_journalism_and_information",M,12
2020,Број,"business,_administration_and_law",M,0
2020,Број,eduaction,M,8
2020,Број,humanities_and_arts,M,3
2020,Број,services,M,0
2020,Број,TOTAL,Ж,105
2020,Број,"natural_sciences,_mathematics_and_statistic",Ж,4
2020,Број,"engineering,_production_and_construction",Ж,1
2020,Број,information_and_communication_technologies,Ж,2
2020,Број,health_and_social_protection,Ж,61
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,5
2020,Број,"social_sciences,_journalism_and_information",Ж,10
2020,Број,"business,_administration_and_law",Ж,1
2020,Број,eduaction,Ж,0
2020,Број,humanities_and_arts,Ж,21
2020,Број,services,Ж,0
