Year,UNIT_MEASURE,Научна област,Пол,Value
2018,Број,"Инжeњерство, производња и грађевинарство",M,2
2018,Број,Информационе и комуникационе технологије,M,11
2018,Број,Здравство и социјална заштита,M,9
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,6
2018,Број,"Друштвене науке, новинарство и информисање",M,8
2018,Број,"Пословање, администрација и право",M,4
2018,Број,eduaction,M,3
2018,Број,Хуманистичке науке и умјетност,M,10
2018,Број,Услуге,M,0
2018,Број,Укупно,Ж,63
2018,Број,"Природне науке,  математика и  статистика",Ж,5
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2018,Број,Информационе и комуникационе технологије,Ж,0
2018,Број,Здравство и социјална заштита,Ж,28
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2018,Број,"Друштвене науке, новинарство и информисање",Ж,8
2018,Број,"Пословање, администрација и право",Ж,6
2018,Број,eduaction,Ж,0
2018,Број,Хуманистичке науке и умјетност,Ж,12
2018,Број,Услуге,Ж,0
2019,Број,Укупно,Оба пола,165
2019,Број,"Природне науке,  математика и  статистика",Оба пола,10
2019,Број,"Инжeњерство, производња и грађевинарство",Оба пола,0
2019,Број,Информационе и комуникационе технологије,Оба пола,0
2019,Број,Здравство и социјална заштита,Оба пола,65
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,9
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,58
2019,Број,"Пословање, администрација и право",Оба пола,5
2019,Број,eduaction,Оба пола,8
2019,Број,Хуманистичке науке и умјетност,Оба пола,10
2019,Број,Услуге,Оба пола,0
2019,Број,Укупно,M,71
2019,Број,"Природне науке,  математика и  статистика",M,6
2019,Број,"Инжeњерство, производња и грађевинарство",M,0
2019,Број,Информационе и комуникационе технологије,M,0
2019,Број,Здравство и социјална заштита,M,19
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,6
2019,Број,"Друштвене науке, новинарство и информисање",M,28
2019,Број,"Пословање, администрација и право",M,2
2019,Број,eduaction,M,5
2019,Број,Хуманистичке науке и умјетност,M,5
2019,Број,Услуге,M,0
2019,Број,Укупно,Ж,94
2019,Број,"Природне науке,  математика и  статистика",Ж,4
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,0
2019,Број,Информационе и комуникационе технологије,Ж,0
2019,Број,Здравство и социјална заштита,Ж,46
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2019,Број,"Друштвене науке, новинарство и информисање",Ж,30
2019,Број,"Пословање, администрација и право",Ж,3
2019,Број,eduaction,Ж,3
2019,Број,Хуманистичке науке и умјетност,Ж,5
2019,Број,Услуге,Ж,0
2020,Број,Укупно,Оба пола,184
2020,Број,"Природне науке,  математика и  статистика",Оба пола,12
2020,Број,"Инжeњерство, производња и грађевинарство",Оба пола,2
2020,Број,Информационе и комуникационе технологије,Оба пола,5
2020,Број,Здравство и социјална заштита,Оба пола,96
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,14
2020,Број,"Друштвене науке, новинарство и информисање",Оба пола,22
2020,Број,"Пословање, администрација и право",Оба пола,1
2020,Број,eduaction,Оба пола,8
2020,Број,Хуманистичке науке и умјетност,Оба пола,24
2020,Број,Услуге,Оба пола,0
2020,Број,Укупно,M,79
2020,Број,"Природне науке,  математика и  статистика",M,8
2020,Број,"Инжeњерство, производња и грађевинарство",M,1
2020,Број,Информационе и комуникационе технологије,M,3
2020,Број,Здравство и социјална заштита,M,35
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,9
2020,Број,"Друштвене науке, новинарство и информисање",M,12
2020,Број,"Пословање, администрација и право",M,0
2020,Број,eduaction,M,8
2020,Број,Хуманистичке науке и умјетност,M,3
2020,Број,Услуге,M,0
2020,Број,Укупно,Ж,105
2020,Број,"Природне науке,  математика и  статистика",Ж,4
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2020,Број,Информационе и комуникационе технологије,Ж,2
2020,Број,Здравство и социјална заштита,Ж,61
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,5
2020,Број,"Друштвене науке, новинарство и информисање",Ж,10
2020,Број,"Пословање, администрација и право",Ж,1
2020,Број,eduaction,Ж,0
2020,Број,Хуманистичке науке и умјетност,Ж,21
2020,Број,Услуге,Ж,0
