Year,UNIT_MEASURE,Type_of_school,Пол,Value
2019,Број,technical_schools,M,30030
2020,Број,technical_schools,M,29382
2011,Број,art_schools,M,657
2012,Број,art_schools,M,645
2013,Број,art_schools,M,581
2014,Број,art_schools,M,512
2015,Број,art_schools,M,471
2016,Број,art_schools,M,454
2017,Број,art_schools,M,432
2018,Број,art_schools,M,447
2019,Број,art_schools,M,403
2020,Број,art_schools,M,411
2011,Број,religion_schools,M,1089
2012,Број,religion_schools,M,1138
2013,Број,religion_schools,M,1149
2014,Број,religion_schools,M,1106
2015,Број,religion_schools,M,1070
2016,Број,religion_schools,M,1099
2017,Број,religion_schools,M,1121
2018,Број,religion_schools,M,1075
2019,Број,religion_schools,M,1053
2020,Број,religion_schools,M,1027
2011,Број,vocational_schools,M,23787
2012,Број,vocational_schools,M,23567
2013,Број,vocational_schools,M,20832
2014,Број,vocational_schools,M,18088
2015,Број,vocational_schools,M,16937
2016,Број,vocational_schools,M,16746
2017,Број,vocational_schools,M,16292
2018,Број,vocational_schools,M,16137
2019,Број,vocational_schools,M,15739
2020,Број,vocational_schools,M,15588
2011,Број,high_schools_for_children_with_special_needs,M,259
2012,Број,high_schools_for_children_with_special_needs,M,281
2013,Број,high_schools_for_children_with_special_needs,M,275
2014,Број,high_schools_for_children_with_special_needs,M,247
2015,Број,high_schools_for_children_with_special_needs,M,243
2016,Број,high_schools_for_children_with_special_needs,M,246
2017,Број,high_schools_for_children_with_special_needs,M,234
2018,Број,high_schools_for_children_with_special_needs,M,220
2019,Број,high_schools_for_children_with_special_needs,M,204
2020,Број,high_schools_for_children_with_special_needs,M,209
2011,Број,_T,Ж,80539
2012,Број,_T,Ж,82242
2013,Број,_T,Ж,77468
2014,Број,_T,Ж,71786
2015,Број,_T,Ж,66520
2016,Број,_T,Ж,63592
2017,Број,_T,Ж,62214
2018,Број,_T,Ж,58654
2019,Број,_T,Ж,56468
2020,Број,_T,Ж,55336
2011,Број,gymnasium,Ж,25752
2012,Број,gymnasium,Ж,26446
2013,Број,gymnasium,Ж,25236
2014,Број,gymnasium,Ж,23330
2015,Број,gymnasium,Ж,20897
2016,Број,gymnasium,Ж,19236
2017,Број,gymnasium,Ж,18662
2018,Број,gymnasium,Ж,17037
2019,Број,gymnasium,Ж,15918
2020,Број,gymnasium,Ж,15416
2011,Број,technical_schools,Ж,42080
2012,Број,technical_schools,Ж,43529
2013,Број,technical_schools,Ж,41527
2014,Број,technical_schools,Ж,39048
2015,Број,technical_schools,Ж,36546
2016,Број,technical_schools,Ж,35435
2017,Број,technical_schools,Ж,34969
2018,Број,technical_schools,Ж,33458
2019,Број,technical_schools,Ж,32816
2020,Број,technical_schools,Ж,32429
2011,Број,art_schools,Ж,857
2012,Број,art_schools,Ж,875
2013,Број,art_schools,Ж,864
2014,Број,art_schools,Ж,779
2015,Број,art_schools,Ж,745
2016,Број,art_schools,Ж,749
2017,Број,art_schools,Ж,722
2018,Број,art_schools,Ж,719
2019,Број,art_schools,Ж,736
2020,Број,art_schools,Ж,740
2011,Број,religion_schools,Ж,1006
2012,Број,religion_schools,Ж,1128
2013,Број,religion_schools,Ж,1109
2014,Број,religion_schools,Ж,1116
2015,Број,religion_schools,Ж,1119
2016,Број,religion_schools,Ж,1128
2017,Број,religion_schools,Ж,1188
2018,Број,religion_schools,Ж,1170
2019,Број,religion_schools,Ж,1144
2020,Број,religion_schools,Ж,1169
2011,Број,vocational_schools,Ж,10692
2012,Број,vocational_schools,Ж,10105
2013,Број,vocational_schools,Ж,8582
2014,Број,vocational_schools,Ж,7375
2015,Број,vocational_schools,Ж,7058
2016,Број,vocational_schools,Ж,6896
2017,Број,vocational_schools,Ж,6527
2018,Број,vocational_schools,Ж,6143
2019,Број,vocational_schools,Ж,5742
2020,Број,vocational_schools,Ж,5466
2011,Број,high_schools_for_children_with_special_needs,Ж,152
2012,Број,high_schools_for_children_with_special_needs,Ж,159
2013,Број,high_schools_for_children_with_special_needs,Ж,150
2014,Број,high_schools_for_children_with_special_needs,Ж,138
2015,Број,high_schools_for_children_with_special_needs,Ж,155
2016,Број,high_schools_for_children_with_special_needs,Ж,148
2017,Број,high_schools_for_children_with_special_needs,Ж,146
2018,Број,high_schools_for_children_with_special_needs,Ж,127
2019,Број,high_schools_for_children_with_special_needs,Ж,112
2020,Број,high_schools_for_children_with_special_needs,Ж,116
