Year,UNIT_MEASURE,Административно подручје,Пол,Education,Value
2013,Број,ISTOCNI DRVAR,M,Укупно,43
2013,Број,ISTOCNI DRVAR,Ж,Укупно,22
2013,Број,ISTOCNI MOSTAR,Оба пола,Укупно,213
2013,Број,ISTOCNI MOSTAR,M,Укупно,120
2013,Број,ISTOCNI MOSTAR,Ж,Укупно,93
2013,Број,ISTOCNI STARI GRAD,Оба пола,Укупно,1004
2013,Број,ISTOCNI STARI GRAD,M,Укупно,488
2013,Број,ISTOCNI STARI GRAD,Ж,Укупно,516
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,Укупно,8824
2013,Број,ISTOCNO NOVO SARAJEVO,M,Укупно,4165
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,Укупно,4659
2013,Број,JEZERO,Оба пола,Укупно,902
2013,Број,JEZERO,M,Укупно,465
2013,Број,JEZERO,Ж,Укупно,437
2013,Број,KALINOVIK,Оба пола,Укупно,1769
2013,Број,KALINOVIK,M,Укупно,871
2013,Број,KALINOVIK,Ж,Укупно,898
2013,Број,KNEZEVO,Оба пола,Укупно,8016
2013,Број,KNEZEVO,M,Укупно,3937
2013,Број,KNEZEVO,Ж,Укупно,4079
2013,Број,KOZARSKA DUBICA,Оба пола,Укупно,18231
2013,Број,KOZARSKA DUBICA,M,Укупно,8845
2013,Број,KOZARSKA DUBICA,Ж,Укупно,9386
2013,Број,KOSTAJNICA,Оба пола,Укупно,4975
2013,Број,KOSTAJNICA,M,Укупно,2437
2013,Број,KOSTAJNICA,Ж,Укупно,2538
2013,Број,KOTOR VAROS,Оба пола,Укупно,15368
2013,Број,KOTOR VAROS,M,Укупно,7454
2013,Број,KOTOR VAROS,Ж,Укупно,7914
2013,Број,KRUPA NA UNI,Оба пола,Укупно,1381
2013,Број,KRUPA NA UNI,M,Укупно,753
2013,Број,KRUPA NA UNI,Ж,Укупно,628
2013,Број,KUPRES,Оба пола,Укупно,266
2013,Број,KUPRES,M,Укупно,139
2013,Број,KUPRES,Ж,Укупно,127
2013,Број,LAKTASI,Оба пола,Укупно,28847
2013,Број,LAKTASI,M,Укупно,14165
2013,Број,LAKTASI,Ж,Укупно,14682
2013,Број,LOPARE,Оба пола,Укупно,12938
2013,Број,LOPARE,M,Укупно,6467
2013,Број,LOPARE,Ж,Укупно,6471
2013,Број,LJUBINJE,Оба пола,Укупно,2898
2013,Број,LJUBINJE,M,Укупно,1423
2013,Број,LJUBINJE,Ж,Укупно,1475
2013,Број,MILICI,Оба пола,Укупно,9001
2013,Број,MILICI,M,Укупно,4512
2013,Број,MILICI,Ж,Укупно,4489
2013,Број,MODRICA,Оба пола,Укупно,21096
2013,Број,MODRICA,M,Укупно,10240
2013,Број,MODRICA,Ж,Укупно,10856
2013,Број,MRKONJIC GRAD,Оба пола,Укупно,13701
2013,Број,MRKONJIC GRAD,M,Укупно,6548
2013,Број,MRKONJIC GRAD,Ж,Укупно,7153
2013,Број,NEVESINJE,Оба пола,Укупно,10674
2013,Број,NEVESINJE,M,Укупно,5289
2013,Број,NEVESINJE,Ж,Укупно,5385
2013,Број,NOVI GRAD,Оба пола,Укупно,22126
2013,Број,NOVI GRAD,M,Укупно,10935
2013,Број,NOVI GRAD,Ж,Укупно,11191
2013,Број,NOVO GORAZDE,Оба пола,Укупно,2637
2013,Број,NOVO GORAZDE,M,Укупно,1374
2013,Број,NOVO GORAZDE,Ж,Укупно,1263
2013,Број,OSMACI,Оба пола,Укупно,4710
2013,Број,OSMACI,M,Укупно,2343
2013,Број,OSMACI,Ж,Укупно,2367
2013,Број,OSTRA LUKA,Оба пола,Укупно,2305
2013,Број,OSTRA LUKA,M,Укупно,1174
2013,Број,OSTRA LUKA,Ж,Укупно,1131
2013,Број,PALE,Оба пола,Укупно,17661
2013,Број,PALE,M,Укупно,8344
2013,Број,PALE,Ж,Укупно,9317
2013,Број,PELAGICEVO,Оба пола,Укупно,3895
2013,Број,PELAGICEVO,M,Укупно,1917
2013,Број,PELAGICEVO,Ж,Укупно,1978
2013,Број,PETROVAC,Оба пола,Укупно,302
2013,Број,PETROVAC,M,Укупно,142
2013,Број,PETROVAC,Ж,Укупно,160
2013,Број,PETROVO,Оба пола,Укупно,5575
2013,Број,PETROVO,M,Укупно,2673
2013,Број,PETROVO,Ж,Укупно,2902
2013,Број,PRIJEDOR,Оба пола,Укупно,70732
2013,Број,PRIJEDOR,M,Укупно,34162
2013,Број,PRIJEDOR,Ж,Укупно,36570
2013,Број,PRNJAVOR,Оба пола,Укупно,29403
2013,Број,PRNJAVOR,M,Укупно,14149
2013,Број,PRNJAVOR,Ж,Укупно,15254
2013,Број,RIBNIK,Оба пола,Укупно,5058
2013,Број,RIBNIK,M,Укупно,2498
2013,Број,RIBNIK,Ж,Укупно,2560
2013,Број,ROGATICA,Оба пола,Укупно,8918
2013,Број,ROGATICA,M,Укупно,4351
2013,Број,ROGATICA,Ж,Укупно,4567
2013,Број,RUDO,Оба пола,Укупно,6682
2013,Број,RUDO,M,Укупно,3367
2013,Број,RUDO,Ж,Укупно,3315
2013,Број,SOKOLAC,Оба пола,Укупно,10049
2013,Број,SOKOLAC,M,Укупно,4907
2013,Број,SOKOLAC,Ж,Укупно,5142
2013,Број,SRBAC,Оба пола,Укупно,14551
2013,Број,SRBAC,M,Укупно,7089
2013,Број,SRBAC,Ж,Укупно,7462
2013,Број,SREBRENICA,Оба пола,Укупно,10212
2013,Број,SREBRENICA,M,Укупно,4952
2013,Број,SREBRENICA,Ж,Укупно,5260
2013,Број,TESLIC,Оба пола,Укупно,31305
2013,Број,TESLIC,M,Укупно,14814
2013,Број,TESLIC,Ж,Укупно,16491
2013,Број,TREBINJE,Оба пола,Укупно,23982
2013,Број,TREBINJE,M,Укупно,11546
2013,Број,TREBINJE,Ж,Укупно,12436
2013,Број,TRNOVO,Оба пола,Укупно,1784
2013,Број,TRNOVO,M,Укупно,848
2013,Број,TRNOVO,Ж,Укупно,936
2013,Број,UGLJEVIK,Оба пола,Укупно,12964
2013,Број,UGLJEVIK,M,Укупно,6513
2013,Број,UGLJEVIK,Ж,Укупно,6451
2013,Број,FOCA,Оба пола,Укупно,15468
2013,Број,FOCA,M,Укупно,7768
2013,Број,FOCA,Ж,Укупно,7700
2013,Број,HAN PIJESAK,Оба пола,Укупно,3060
2013,Број,HAN PIJESAK,M,Укупно,1429
2013,Број,HAN PIJESAK,Ж,Укупно,1631
2013,Број,CAJNICE,Оба пола,Укупно,4065
2013,Број,CAJNICE,M,Укупно,2040
2013,Број,CAJNICE,Ж,Укупно,2025
2013,Број,CELINAC,Оба пола,Укупно,12852
2013,Број,CELINAC,M,Укупно,6297
2013,Број,CELINAC,Ж,Укупно,6555
2013,Број,SAMAC,Оба пола,Укупно,14308
2013,Број,SAMAC,M,Укупно,6877
2013,Број,SAMAC,Ж,Укупно,7431
2013,Број,SEKOVICI,Оба пола,Укупно,5525
2013,Број,SEKOVICI,M,Укупно,2710
2013,Број,SEKOVICI,Ж,Укупно,2815
2013,Број,SIPOVO,Оба пола,Укупно,8554
2013,Број,SIPOVO,M,Укупно,4307
2013,Број,SIPOVO,Ж,Укупно,4247
2013,Број,REPUBLIKA SRPSKA,Оба пола,Без образовања,58651
2013,Број,REPUBLIKA SRPSKA,M,Без образовања,9370
2013,Број,REPUBLIKA SRPSKA,Ж,Без образовања,49281
2013,Број,BANJA LUKA,Оба пола,Без образовања,5673
2013,Број,BANJA LUKA,M,Без образовања,921
2013,Број,BANJA LUKA,Ж,Без образовања,4752
2013,Број,BERKOVICI,Оба пола,Без образовања,104
2013,Број,BERKOVICI,M,Без образовања,8
2013,Број,BERKOVICI,Ж,Без образовања,96
2013,Број,BIJELJINA,Оба пола,Без образовања,3916
2013,Број,BIJELJINA,M,Без образовања,650
2013,Број,BIJELJINA,Ж,Без образовања,3266
2013,Број,BILECA,Оба пола,Без образовања,246
2013,Број,BILECA,M,Без образовања,42
2013,Број,BILECA,Ж,Без образовања,204
2013,Број,BRATUNAC,Оба пола,Без образовања,1297
2013,Број,BRATUNAC,M,Без образовања,166
2013,Број,BRATUNAC,Ж,Без образовања,1131
2013,Број,BROD,Оба пола,Без образовања,586
2013,Број,BROD,M,Без образовања,90
2013,Број,BROD,Ж,Без образовања,496
2013,Број,VISEGRAD,Оба пола,Без образовања,576
2013,Број,VISEGRAD,M,Без образовања,65
2013,Број,VISEGRAD,Ж,Без образовања,511
2013,Број,VLASENICA,Оба пола,Без образовања,629
2013,Број,VLASENICA,M,Без образовања,101
2013,Број,VLASENICA,Ж,Без образовања,528
2013,Број,VUKOSAVLJE,Оба пола,Без образовања,329
2013,Број,VUKOSAVLJE,M,Без образовања,69
2013,Број,VUKOSAVLJE,Ж,Без образовања,260
2013,Број,GACKO,Оба пола,Без образовања,268
2013,Број,GACKO,M,Без образовања,22
2013,Број,GACKO,Ж,Без образовања,246
2013,Број,GRADISKA,Оба пола,Без образовања,2608
2013,Број,GRADISKA,M,Без образовања,425
2013,Број,GRADISKA,Ж,Без образовања,2183
2013,Број,DERVENTA,Оба пола,Без образовања,1538
2013,Број,DERVENTA,M,Без образовања,281
2013,Број,DERVENTA,Ж,Без образовања,1257
2013,Број,DOBOJ,Оба пола,Без образовања,3364
2013,Број,DOBOJ,M,Без образовања,496
2013,Број,DOBOJ,Ж,Без образовања,2868
2013,Број,DONJI ZABAR,Оба пола,Без образовања,209
2013,Број,DONJI ZABAR,M,Без образовања,37
2013,Број,DONJI ZABAR,Ж,Без образовања,172
2013,Број,ZVORNIK,Оба пола,Без образовања,3216
2013,Број,ZVORNIK,M,Без образовања,484
2013,Број,ZVORNIK,Ж,Без образовања,2732
2013,Број,ISTOCNA ILIDZA,Оба пола,Без образовања,280
2013,Број,ISTOCNA ILIDZA,M,Без образовања,33
2013,Број,ISTOCNA ILIDZA,Ж,Без образовања,247
2013,Број,ISTOCNI DRVAR,Оба пола,Без образовања,5
2013,Број,ISTOCNI DRVAR,M,Без образовања,0
2013,Број,ISTOCNI DRVAR,Ж,Без образовања,5
2013,Број,ISTOCNI MOSTAR,Оба пола,Без образовања,19
2013,Број,ISTOCNI MOSTAR,M,Без образовања,1
2013,Број,ISTOCNI MOSTAR,Ж,Без образовања,18
2013,Број,ISTOCNI STARI GRAD,Оба пола,Без образовања,61
2013,Број,ISTOCNI STARI GRAD,M,Без образовања,5
2013,Број,ISTOCNI STARI GRAD,Ж,Без образовања,56
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,Без образовања,191
2013,Број,ISTOCNO NOVO SARAJEVO,M,Без образовања,25
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,Без образовања,166
2013,Број,JEZERO,Оба пола,Без образовања,79
2013,Број,JEZERO,M,Без образовања,14
2013,Број,JEZERO,Ж,Без образовања,65
2013,Број,KALINOVIK,Оба пола,Без образовања,158
2013,Број,KALINOVIK,M,Без образовања,11
2013,Број,KALINOVIK,Ж,Без образовања,147
2013,Број,KNEZEVO,Оба пола,Без образовања,1390
2013,Број,KNEZEVO,M,Без образовања,311
2013,Број,KNEZEVO,Ж,Без образовања,1079
2013,Број,KOZARSKA DUBICA,Оба пола,Без образовања,984
2013,Број,KOZARSKA DUBICA,M,Без образовања,154
2013,Број,KOZARSKA DUBICA,Ж,Без образовања,830
2013,Број,KOSTAJNICA,Оба пола,Без образовања,163
2013,Број,KOSTAJNICA,M,Без образовања,28
2013,Број,KOSTAJNICA,Ж,Без образовања,135
2013,Број,KOTOR VAROS,Оба пола,Без образовања,1503
2013,Број,KOTOR VAROS,M,Без образовања,282
2013,Број,KOTOR VAROS,Ж,Без образовања,1221
2013,Број,KRUPA NA UNI,Оба пола,Без образовања,157
2013,Број,KRUPA NA UNI,M,Без образовања,19
2013,Број,KRUPA NA UNI,Ж,Без образовања,138
2013,Број,KUPRES,Оба пола,Без образовања,103
2013,Број,KUPRES,M,Без образовања,33
2013,Број,KUPRES,Ж,Без образовања,70
2013,Број,LAKTASI,Оба пола,Без образовања,1363
2013,Број,LAKTASI,M,Без образовања,229
2013,Број,LAKTASI,Ж,Без образовања,1134
2013,Број,LOPARE,Оба пола,Без образовања,1235
2013,Број,LOPARE,M,Без образовања,243
2013,Број,LOPARE,Ж,Без образовања,992
2013,Број,LJUBINJE,Оба пола,Без образовања,110
2013,Број,LJUBINJE,M,Без образовања,12
2013,Број,LJUBINJE,Ж,Без образовања,98
2013,Број,MILICI,Оба пола,Без образовања,643
2013,Број,MILICI,M,Без образовања,96
2013,Број,MILICI,Ж,Без образовања,547
2013,Број,MODRICA,Оба пола,Без образовања,1278
2013,Број,MODRICA,M,Без образовања,241
2013,Број,MODRICA,Ж,Без образовања,1037
2013,Број,MRKONJIC GRAD,Оба пола,Без образовања,1462
2013,Број,MRKONJIC GRAD,M,Без образовања,213
2013,Број,MRKONJIC GRAD,Ж,Без образовања,1249
2013,Број,NEVESINJE,Оба пола,Без образовања,545
2013,Број,NEVESINJE,M,Без образовања,56
2013,Број,NEVESINJE,Ж,Без образовања,489
2013,Број,NOVI GRAD,Оба пола,Без образовања,1036
2013,Број,NOVI GRAD,M,Без образовања,171
2013,Број,NOVI GRAD,Ж,Без образовања,865
2013,Број,NOVO GORAZDE,Оба пола,Без образовања,127
2013,Број,NOVO GORAZDE,M,Без образовања,21
2013,Број,NOVO GORAZDE,Ж,Без образовања,106
2013,Број,OSMACI,Оба пола,Без образовања,397
2013,Број,OSMACI,M,Без образовања,62
2013,Број,OSMACI,Ж,Без образовања,335
2013,Број,OSTRA LUKA,Оба пола,Без образовања,247
2013,Број,OSTRA LUKA,M,Без образовања,43
2013,Број,OSTRA LUKA,Ж,Без образовања,204
2013,Број,PALE,Оба пола,Без образовања,606
2013,Број,PALE,M,Без образовања,80
2013,Број,PALE,Ж,Без образовања,526
2013,Број,PELAGICEVO,Оба пола,Без образовања,290
2013,Број,PELAGICEVO,M,Без образовања,46
2013,Број,PELAGICEVO,Ж,Без образовања,244
2013,Број,PETROVAC,Оба пола,Без образовања,11
2013,Број,PETROVAC,M,Без образовања,0
2013,Број,PETROVAC,Ж,Без образовања,11
2013,Број,PETROVO,Оба пола,Без образовања,403
2013,Број,PETROVO,M,Без образовања,48
2013,Број,PETROVO,Ж,Без образовања,355
2013,Број,PRIJEDOR,Оба пола,Без образовања,3918
2013,Број,PRIJEDOR,M,Без образовања,760
2013,Број,PRIJEDOR,Ж,Без образовања,3158
2013,Број,PRNJAVOR,Оба пола,Без образовања,2654
2013,Број,PRNJAVOR,M,Без образовања,391
2013,Број,PRNJAVOR,Ж,Без образовања,2263
2013,Број,RIBNIK,Оба пола,Без образовања,680
2013,Број,RIBNIK,M,Без образовања,118
2013,Број,RIBNIK,Ж,Без образовања,562
2013,Број,ROGATICA,Оба пола,Без образовања,633
2013,Број,ROGATICA,M,Без образовања,89
2013,Број,ROGATICA,Ж,Без образовања,544
2013,Број,RUDO,Оба пола,Без образовања,279
2013,Број,RUDO,M,Без образовања,38
2013,Број,RUDO,Ж,Без образовања,241
2013,Број,SOKOLAC,Оба пола,Без образовања,392
2013,Број,SOKOLAC,M,Без образовања,52
2013,Број,SOKOLAC,Ж,Без образовања,340
2013,Број,SRBAC,Оба пола,Без образовања,1115
2013,Број,SRBAC,M,Без образовања,235
2013,Број,SRBAC,Ж,Без образовања,880
2013,Број,SREBRENICA,Оба пола,Без образовања,852
2013,Број,SREBRENICA,M,Без образовања,105
2013,Број,SREBRENICA,Ж,Без образовања,747
2013,Број,TESLIC,Оба пола,Без образовања,3299
2013,Број,TESLIC,M,Без образовања,471
2013,Број,TESLIC,Ж,Без образовања,2828
2013,Број,TREBINJE,Оба пола,Без образовања,382
2013,Број,TREBINJE,M,Без образовања,44
2013,Број,TREBINJE,Ж,Без образовања,338
2013,Број,TRNOVO,Оба пола,Без образовања,143
2013,Број,TRNOVO,M,Без образовања,14
2013,Број,TRNOVO,Ж,Без образовања,129
2013,Број,UGLJEVIK,Оба пола,Без образовања,856
2013,Број,UGLJEVIK,M,Без образовања,135
2013,Број,UGLJEVIK,Ж,Без образовања,721
2013,Број,FOCA,Оба пола,Без образовања,775
2013,Број,FOCA,M,Без образовања,92
2013,Број,FOCA,Ж,Без образовања,683
2013,Број,HAN PIJESAK,Оба пола,Без образовања,198
2013,Број,HAN PIJESAK,M,Без образовања,22
2013,Број,HAN PIJESAK,Ж,Без образовања,176
2013,Број,CAJNICE,Оба пола,Без образовања,224
2013,Број,CAJNICE,M,Без образовања,31
2013,Број,CAJNICE,Ж,Без образовања,193
2013,Број,CELINAC,Оба пола,Без образовања,832
2013,Број,CELINAC,M,Без образовања,109
2013,Број,CELINAC,Ж,Без образовања,723
2013,Број,SAMAC,Оба пола,Без образовања,627
2013,Број,SAMAC,M,Без образовања,90
2013,Број,SAMAC,Ж,Без образовања,537
2013,Број,SEKOVICI,Оба пола,Без образовања,655
2013,Број,SEKOVICI,M,Без образовања,120
2013,Број,SEKOVICI,Ж,Без образовања,535
2013,Број,SIPOVO,Оба пола,Без образовања,732
2013,Број,SIPOVO,M,Без образовања,120
2013,Број,SIPOVO,Ж,Без образовања,612
2013,Број,REPUBLIKA SRPSKA,Оба пола,incomplete_elementary,97022
2013,Број,REPUBLIKA SRPSKA,M,incomplete_elementary,33465
2013,Број,REPUBLIKA SRPSKA,Ж,incomplete_elementary,63557
2013,Број,BANJA LUKA,Оба пола,incomplete_elementary,6483
2013,Број,BANJA LUKA,M,incomplete_elementary,2117
2013,Број,BANJA LUKA,Ж,incomplete_elementary,4366
2013,Број,BERKOVICI,Оба пола,incomplete_elementary,229
2013,Број,BERKOVICI,M,incomplete_elementary,74
2013,Број,BERKOVICI,Ж,incomplete_elementary,155
2013,Број,BIJELJINA,Оба пола,incomplete_elementary,10740
2013,Број,BIJELJINA,M,incomplete_elementary,3999
2013,Број,BIJELJINA,Ж,incomplete_elementary,6741
2013,Број,BILECA,Оба пола,incomplete_elementary,747
2013,Број,BILECA,M,incomplete_elementary,187
2013,Број,BILECA,Ж,incomplete_elementary,560
2013,Број,BRATUNAC,Оба пола,incomplete_elementary,1364
2013,Број,BRATUNAC,M,incomplete_elementary,395
2013,Број,BRATUNAC,Ж,incomplete_elementary,969
2013,Број,BROD,Оба пола,incomplete_elementary,1241
2013,Број,BROD,M,incomplete_elementary,328
2013,Број,BROD,Ж,incomplete_elementary,913
2013,Број,VISEGRAD,Оба пола,incomplete_elementary,783
2013,Број,VISEGRAD,M,incomplete_elementary,203
2013,Број,VISEGRAD,Ж,incomplete_elementary,580
2013,Број,VLASENICA,Оба пола,incomplete_elementary,758
2013,Број,VLASENICA,M,incomplete_elementary,243
2013,Број,VLASENICA,Ж,incomplete_elementary,515
2013,Број,VUKOSAVLJE,Оба пола,incomplete_elementary,719
2013,Број,VUKOSAVLJE,M,incomplete_elementary,300
2013,Број,VUKOSAVLJE,Ж,incomplete_elementary,419
2013,Број,GACKO,Оба пола,incomplete_elementary,496
2013,Број,GACKO,M,incomplete_elementary,135
2013,Број,GACKO,Ж,incomplete_elementary,361
2013,Број,GRADISKA,Оба пола,incomplete_elementary,4821
2013,Број,GRADISKA,M,incomplete_elementary,1832
2013,Број,GRADISKA,Ж,incomplete_elementary,2989
2013,Број,DERVENTA,Оба пола,incomplete_elementary,2759
2013,Број,DERVENTA,M,incomplete_elementary,1030
2013,Број,DERVENTA,Ж,incomplete_elementary,1729
2013,Број,DOBOJ,Оба пола,incomplete_elementary,6019
2013,Број,DOBOJ,M,incomplete_elementary,1823
2013,Број,DOBOJ,Ж,incomplete_elementary,4196
2013,Број,DONJI ZABAR,Оба пола,incomplete_elementary,707
2013,Број,DONJI ZABAR,M,incomplete_elementary,304
2013,Број,DONJI ZABAR,Ж,incomplete_elementary,403
2013,Број,ZVORNIK,Оба пола,incomplete_elementary,4702
2013,Број,ZVORNIK,M,incomplete_elementary,1472
2013,Број,ZVORNIK,Ж,incomplete_elementary,3230
2013,Број,ISTOCNA ILIDZA,Оба пола,incomplete_elementary,550
2013,Број,ISTOCNA ILIDZA,M,incomplete_elementary,65
2013,Број,ISTOCNA ILIDZA,Ж,incomplete_elementary,485
2013,Број,ISTOCNI DRVAR,Оба пола,incomplete_elementary,6
2013,Број,ISTOCNI DRVAR,M,incomplete_elementary,4
2013,Број,ISTOCNI DRVAR,Ж,incomplete_elementary,2
2013,Број,ISTOCNI MOSTAR,Оба пола,incomplete_elementary,41
2013,Број,ISTOCNI MOSTAR,M,incomplete_elementary,21
2013,Број,ISTOCNI MOSTAR,Ж,incomplete_elementary,20
2013,Број,ISTOCNI STARI GRAD,Оба пола,incomplete_elementary,133
2013,Број,ISTOCNI STARI GRAD,M,incomplete_elementary,29
2013,Број,ISTOCNI STARI GRAD,Ж,incomplete_elementary,104
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,incomplete_elementary,454
2013,Број,ISTOCNO NOVO SARAJEVO,M,incomplete_elementary,89
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,incomplete_elementary,365
2013,Број,JEZERO,Оба пола,incomplete_elementary,105
2013,Број,JEZERO,M,incomplete_elementary,39
2013,Број,JEZERO,Ж,incomplete_elementary,66
2013,Број,KALINOVIK,Оба пола,incomplete_elementary,175
2013,Број,KALINOVIK,M,incomplete_elementary,48
2013,Број,KALINOVIK,Ж,incomplete_elementary,127
2013,Број,KNEZEVO,Оба пола,incomplete_elementary,752
2013,Број,KNEZEVO,M,incomplete_elementary,318
2013,Број,KNEZEVO,Ж,incomplete_elementary,434
2013,Број,KOZARSKA DUBICA,Оба пола,incomplete_elementary,1894
2013,Број,KOZARSKA DUBICA,M,incomplete_elementary,683
2013,Број,KOZARSKA DUBICA,Ж,incomplete_elementary,1211
2013,Број,KOSTAJNICA,Оба пола,incomplete_elementary,387
2013,Број,KOSTAJNICA,M,incomplete_elementary,132
2013,Број,KOSTAJNICA,Ж,incomplete_elementary,255
2013,Број,KOTOR VAROS,Оба пола,incomplete_elementary,1183
2013,Број,KOTOR VAROS,M,incomplete_elementary,391
2013,Број,KOTOR VAROS,Ж,incomplete_elementary,792
2013,Број,KRUPA NA UNI,Оба пола,incomplete_elementary,316
2013,Број,KRUPA NA UNI,M,incomplete_elementary,165
2013,Број,KRUPA NA UNI,Ж,incomplete_elementary,151
2013,Број,KUPRES,Оба пола,incomplete_elementary,19
2013,Број,KUPRES,M,incomplete_elementary,9
2013,Број,KUPRES,Ж,incomplete_elementary,10
2013,Број,LAKTASI,Оба пола,incomplete_elementary,2504
2013,Број,LAKTASI,M,incomplete_elementary,946
2013,Број,LAKTASI,Ж,incomplete_elementary,1558
2013,Број,LOPARE,Оба пола,incomplete_elementary,2118
2013,Број,LOPARE,M,incomplete_elementary,943
2013,Број,LOPARE,Ж,incomplete_elementary,1175
2013,Број,LJUBINJE,Оба пола,incomplete_elementary,275
2013,Број,LJUBINJE,M,incomplete_elementary,64
2013,Број,LJUBINJE,Ж,incomplete_elementary,211
2013,Број,MILICI,Оба пола,incomplete_elementary,729
2013,Број,MILICI,M,incomplete_elementary,217
2013,Број,MILICI,Ж,incomplete_elementary,512
2013,Број,MODRICA,Оба пола,incomplete_elementary,2912
2013,Број,MODRICA,M,incomplete_elementary,1049
2013,Број,MODRICA,Ж,incomplete_elementary,1863
2013,Број,MRKONJIC GRAD,Оба пола,incomplete_elementary,1769
2013,Број,MRKONJIC GRAD,M,incomplete_elementary,777
2013,Број,MRKONJIC GRAD,Ж,incomplete_elementary,992
2013,Број,NEVESINJE,Оба пола,incomplete_elementary,1048
2013,Број,NEVESINJE,M,incomplete_elementary,265
2013,Број,NEVESINJE,Ж,incomplete_elementary,783
2013,Број,NOVI GRAD,Оба пола,incomplete_elementary,2172
2013,Број,NOVI GRAD,M,incomplete_elementary,757
2013,Број,NOVI GRAD,Ж,incomplete_elementary,1415
2013,Број,NOVO GORAZDE,Оба пола,incomplete_elementary,162
2013,Број,NOVO GORAZDE,M,incomplete_elementary,52
2013,Број,NOVO GORAZDE,Ж,incomplete_elementary,110
2013,Број,OSMACI,Оба пола,incomplete_elementary,552
2013,Број,OSMACI,M,incomplete_elementary,172
2013,Број,OSMACI,Ж,incomplete_elementary,380
2013,Број,OSTRA LUKA,Оба пола,incomplete_elementary,352
2013,Број,OSTRA LUKA,M,incomplete_elementary,154
2013,Број,OSTRA LUKA,Ж,incomplete_elementary,198
2013,Број,PALE,Оба пола,incomplete_elementary,986
2013,Број,PALE,M,incomplete_elementary,214
2013,Број,PALE,Ж,incomplete_elementary,772
2013,Број,PELAGICEVO,Оба пола,incomplete_elementary,1081
2013,Број,PELAGICEVO,M,incomplete_elementary,459
2013,Број,PELAGICEVO,Ж,incomplete_elementary,622
2013,Број,PETROVAC,Оба пола,incomplete_elementary,28
2013,Број,PETROVAC,M,incomplete_elementary,4
2013,Број,PETROVAC,Ж,incomplete_elementary,24
2013,Број,PETROVO,Оба пола,incomplete_elementary,733
2013,Број,PETROVO,M,incomplete_elementary,180
