Year,UNIT_MEASURE,Врста образовања,Пол,Value
2018,Број,Хуманистичке науке и умјетност,M,1
2018,Број,"Društvene nauke, novinarstvo i informisanje",M,3
2018,Број,"Пословање, администрација и право",M,0
2018,Број,"Природне науке, математика и статистика",M,1
2018,Број,Информационе и комуникационе технологије,M,9
2018,Број,"Инжeњерство, производња и грађевинарство",M,10
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Број,Zdravstvo i socijalna zaštita,M,2
2018,Број,Услуге,M,0
2018,Број,TOTAL,Ж,15
2018,Број,Образовање,Ж,0
2018,Број,Хуманистичке науке и умјетност,Ж,2
2018,Број,"Društvene nauke, novinarstvo i informisanje",Ж,0
2018,Број,"Пословање, администрација и право",Ж,0
2018,Број,"Природне науке, математика и статистика",Ж,3
2018,Број,Информационе и комуникационе технологије,Ж,5
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,2
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2018,Број,Zdravstvo i socijalna zaštita,Ж,3
2018,Број,Услуге,Ж,0
2019,Број,TOTAL,Оба пола,42
2019,Број,Образовање,Оба пола,2
2019,Број,Хуманистичке науке и умјетност,Оба пола,1
2019,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,25
2019,Број,"Пословање, администрација и право",Оба пола,2
2019,Број,"Природне науке, математика и статистика",Оба пола,3
2019,Број,Информационе и комуникационе технологије,Оба пола,1
2019,Број,"Инжeњерство, производња и грађевинарство",Оба пола,3
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,3
2019,Број,Zdravstvo i socijalna zaštita,Оба пола,2
2019,Број,Услуге,Оба пола,0
2019,Број,TOTAL,M,26
2019,Број,Образовање,M,2
2019,Број,Хуманистичке науке и умјетност,M,0
2019,Број,"Društvene nauke, novinarstvo i informisanje",M,19
2019,Број,"Пословање, администрација и право",M,2
2019,Број,"Природне науке, математика и статистика",M,0
2019,Број,Информационе и комуникационе технологије,M,0
2019,Број,"Инжeњерство, производња и грађевинарство",M,2
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2019,Број,Zdravstvo i socijalna zaštita,M,0
2019,Број,Услуге,M,0
2019,Број,TOTAL,Ж,16
2019,Број,Образовање,Ж,0
2019,Број,Хуманистичке науке и умјетност,Ж,1
2019,Број,"Društvene nauke, novinarstvo i informisanje",Ж,6
2019,Број,"Пословање, администрација и право",Ж,0
2019,Број,"Природне науке, математика и статистика",Ж,3
2019,Број,Информационе и комуникационе технологије,Ж,1
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2019,Број,Zdravstvo i socijalna zaštita,Ж,2
2019,Број,Услуге,Ж,0
2020,Број,TOTAL,Оба пола,64
2020,Број,Образовање,Оба пола,0
2020,Број,Хуманистичке науке и умјетност,Оба пола,3
2020,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,30
2020,Број,"Пословање, администрација и право",Оба пола,5
2020,Број,"Природне науке, математика и статистика",Оба пола,2
2020,Број,Информационе и комуникационе технологије,Оба пола,5
2020,Број,"Инжeњерство, производња и грађевинарство",Оба пола,8
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,2
2020,Број,Zdravstvo i socijalna zaštita,Оба пола,9
2020,Број,Услуге,Оба пола,0
2020,Број,TOTAL,M,34
2020,Број,Образовање,M,0
2020,Број,Хуманистичке науке и умјетност,M,0
2020,Број,"Društvene nauke, novinarstvo i informisanje",M,21
2020,Број,"Пословање, администрација и право",M,4
2020,Број,"Природне науке, математика и статистика",M,1
2020,Број,Информационе и комуникационе технологије,M,3
2020,Број,"Инжeњерство, производња и грађевинарство",M,3
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2020,Број,Zdravstvo i socijalna zaštita,M,2
2020,Број,Услуге,M,0
2020,Број,TOTAL,Ж,30
2020,Број,Образовање,Ж,0
2020,Број,Хуманистичке науке и умјетност,Ж,3
2020,Број,"Društvene nauke, novinarstvo i informisanje",Ж,9
2020,Број,"Пословање, администрација и право",Ж,1
2020,Број,"Природне науке, математика и статистика",Ж,1
2020,Број,Информационе и комуникационе технологије,Ж,2
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,5
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2020,Број,Zdravstvo i socijalna zaštita,Ж,7
2020,Број,Услуге,Ж,0
