Year,UNIT_MEASURE,Vrsta obrazovanja,Pol,Value
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,5
2018,Broj,"Poslovanje, administracija i pravo",Ž,2
2018,Broj,Obrazovanje,Ž,0
2018,Broj,Umjetnost i humanističke nauke,Ž,3
2018,Broj,Usluge,Ž,0
2019,Broj,Ukupno,Oba pola,42
2019,Broj,"Prirodne nauke, matematika i statistika",Oba pola,2
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba pola,1
2019,Broj,Informacione i komunikacione tehnologije,Oba pola,25
2019,Broj,Zdravstvo i socijalna zaštita,Oba pola,2
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba pola,3
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Oba pola,1
2019,Broj,"Poslovanje, administracija i pravo",Oba pola,3
2019,Broj,Obrazovanje,Oba pola,3
2019,Broj,Umjetnost i humanističke nauke,Oba pola,2
2019,Broj,Usluge,Oba pola,0
2019,Broj,Ukupno,M,26
2019,Broj,"Prirodne nauke, matematika i statistika",M,2
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,0
2019,Broj,Informacione i komunikacione tehnologije,M,19
2019,Broj,Zdravstvo i socijalna zaštita,M,2
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,0
2019,Broj,"Poslovanje, administracija i pravo",M,2
2019,Broj,Obrazovanje,M,1
2019,Broj,Umjetnost i humanističke nauke,M,0
2019,Broj,Usluge,M,0
2019,Broj,Ukupno,Ž,16
2019,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,1
2019,Broj,Informacione i komunikacione tehnologije,Ž,6
2019,Broj,Zdravstvo i socijalna zaštita,Ž,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,1
2019,Broj,"Poslovanje, administracija i pravo",Ž,1
2019,Broj,Obrazovanje,Ž,2
2019,Broj,Umjetnost i humanističke nauke,Ž,2
2019,Broj,Usluge,Ž,0
2020,Broj,Ukupno,Oba pola,64
2020,Broj,"Prirodne nauke, matematika i statistika",Oba pola,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba pola,3
2020,Broj,Informacione i komunikacione tehnologije,Oba pola,30
2020,Broj,Zdravstvo i socijalna zaštita,Oba pola,5
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba pola,2
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Oba pola,5
2020,Broj,"Poslovanje, administracija i pravo",Oba pola,8
2020,Broj,Obrazovanje,Oba pola,2
2020,Broj,Umjetnost i humanističke nauke,Oba pola,9
2020,Broj,Usluge,Oba pola,0
2020,Broj,Ukupno,M,34
2020,Broj,"Prirodne nauke, matematika i statistika",M,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,0
2020,Broj,Informacione i komunikacione tehnologije,M,21
2020,Broj,Zdravstvo i socijalna zaštita,M,4
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,1
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,3
2020,Broj,"Poslovanje, administracija i pravo",M,3
2020,Broj,Obrazovanje,M,0
2020,Broj,Umjetnost i humanističke nauke,M,2
2020,Broj,Usluge,M,0
2020,Broj,Ukupno,Ž,30
2020,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,3
2020,Broj,Informacione i komunikacione tehnologije,Ž,9
2020,Broj,Zdravstvo i socijalna zaštita,Ž,1
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,1
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,2
2020,Broj,"Poslovanje, administracija i pravo",Ž,5
2020,Broj,Obrazovanje,Ž,2
2020,Broj,Umjetnost i humanističke nauke,Ž,7
2020,Broj,Usluge,Ž,0
