Year,UNIT_MEASURE,Teritory,SEX,AGE,Value
2013,NUMBER,MRKONJIC GRAD,F,0-4,331
2013,NUMBER,NEVESINJE,_T,0-4,559
2013,NUMBER,NEVESINJE,M,0-4,299
2013,NUMBER,NEVESINJE,F,0-4,260
2013,NUMBER,NOVI GRAD,_T,0-4,935
2013,NUMBER,NOVI GRAD,M,0-4,476
2013,NUMBER,NOVI GRAD,F,0-4,459
2013,NUMBER,NOVO GORAZDE,_T,0-4,95
2013,NUMBER,NOVO GORAZDE,M,0-4,50
2013,NUMBER,NOVO GORAZDE,F,0-4,45
2013,NUMBER,OSMACI,_T,0-4,261
2013,NUMBER,OSMACI,M,0-4,139
2013,NUMBER,OSMACI,F,0-4,122
2013,NUMBER,OSTRA LUKA,_T,0-4,100
2013,NUMBER,OSTRA LUKA,M,0-4,53
2013,NUMBER,OSTRA LUKA,F,0-4,47
2013,NUMBER,PELAGICEVO,_T,0-4,116
2013,NUMBER,PELAGICEVO,M,0-4,57
2013,NUMBER,PELAGICEVO,F,0-4,59
2013,NUMBER,PETROVAC,_T,0-4,17
2013,NUMBER,PETROVAC,M,0-4,10
2013,NUMBER,PETROVAC,F,0-4,7
2013,NUMBER,PETROVO,_T,0-4,258
2013,NUMBER,PETROVO,M,0-4,143
2013,NUMBER,PETROVO,F,0-4,115
2013,NUMBER,GRAD PRIJEDOR,_T,0-4,3194
2013,NUMBER,GRAD PRIJEDOR,M,0-4,1659
2013,NUMBER,GRAD PRIJEDOR,F,0-4,1535
2013,NUMBER,PRNJAVOR,_T,0-4,1564
2013,NUMBER,PRNJAVOR,M,0-4,809
2013,NUMBER,PRNJAVOR,F,0-4,755
2013,NUMBER,RIBNIK,_T,0-4,232
2013,NUMBER,RIBNIK,M,0-4,114
2013,NUMBER,RIBNIK,F,0-4,118
2013,NUMBER,ROGATICA,_T,0-4,501
2013,NUMBER,ROGATICA,M,0-4,252
2013,NUMBER,ROGATICA,F,0-4,249
2013,NUMBER,RUDO,_T,0-4,281
2013,NUMBER,RUDO,M,0-4,146
2013,NUMBER,RUDO,F,0-4,135
2013,NUMBER,SRBAC,_T,0-4,802
2013,NUMBER,SRBAC,M,0-4,389
2013,NUMBER,SRBAC,F,0-4,413
2013,NUMBER,SREBRENICA,_T,0-4,474
2013,NUMBER,SREBRENICA,M,0-4,235
2013,NUMBER,SREBRENICA,F,0-4,239
2013,NUMBER,STANARI,_T,0-4,294
2013,NUMBER,STANARI,M,0-4,150
2013,NUMBER,STANARI,F,0-4,144
2013,NUMBER,TESLIC,_T,0-4,1953
2013,NUMBER,TESLIC,M,0-4,1039
2013,NUMBER,TESLIC,F,0-4,914
2013,NUMBER,GRAD TREBINJE,_T,0-4,1394
2013,NUMBER,GRAD TREBINJE,M,0-4,749
2013,NUMBER,GRAD TREBINJE,F,0-4,645
2013,NUMBER,UGLJEVIK,_T,0-4,664
2013,NUMBER,UGLJEVIK,M,0-4,361
2013,NUMBER,UGLJEVIK,F,0-4,303
2013,NUMBER,FOCA,_T,0-4,625
2013,NUMBER,FOCA,M,0-4,355
2013,NUMBER,FOCA,F,0-4,270
2013,NUMBER,HAN PIJESAK,_T,0-4,135
2013,NUMBER,HAN PIJESAK,M,0-4,69
2013,NUMBER,HAN PIJESAK,F,0-4,66
2013,NUMBER,CAJNICE,_T,0-4,184
2013,NUMBER,CAJNICE,M,0-4,86
2013,NUMBER,CAJNICE,F,0-4,98
2013,NUMBER,CELINAC,_T,0-4,753
2013,NUMBER,CELINAC,M,0-4,389
2013,NUMBER,CELINAC,F,0-4,364
2013,NUMBER,SAMAC,_T,0-4,557
2013,NUMBER,SAMAC,M,0-4,282
2013,NUMBER,SAMAC,F,0-4,275
2013,NUMBER,SEKOVICI,_T,0-4,246
2013,NUMBER,SEKOVICI,M,0-4,124
2013,NUMBER,SEKOVICI,F,0-4,122
2013,NUMBER,SIPOVO,_T,0-4,432
2013,NUMBER,SIPOVO,M,0-4,234
2013,NUMBER,SIPOVO,F,0-4,198
2013,NUMBER,REPUBLIKA SRPSKA,_T,5-9,54042
2013,NUMBER,REPUBLIKA SRPSKA,M,5-9,27681
2013,NUMBER,REPUBLIKA SRPSKA,F,5-9,26361
2013,NUMBER,GRAD BANJA LUKA,_T,5-9,8447
2013,NUMBER,GRAD BANJA LUKA,M,5-9,4315
2013,NUMBER,GRAD BANJA LUKA,F,5-9,4132
2013,NUMBER,BERKOVICI,_T,5-9,129
2013,NUMBER,BERKOVICI,M,5-9,69
2013,NUMBER,BERKOVICI,F,5-9,60
2013,NUMBER,GRAD BIJELJINA,_T,5-9,4964
2013,NUMBER,GRAD BIJELJINA,M,5-9,2576
2013,NUMBER,GRAD BIJELJINA,F,5-9,2388
2013,NUMBER,BILECA,_T,5-9,471
2013,NUMBER,BILECA,M,5-9,259
2013,NUMBER,BILECA,F,5-9,212
2013,NUMBER,BRATUNAC,_T,5-9,985
2013,NUMBER,BRATUNAC,M,5-9,496
2013,NUMBER,BRATUNAC,F,5-9,489
2013,NUMBER,BROD,_T,5-9,708
2013,NUMBER,BROD,M,5-9,377
2013,NUMBER,BROD,F,5-9,331
2013,NUMBER,VISEGRAD,_T,5-9,404
2013,NUMBER,VISEGRAD,M,5-9,197
2013,NUMBER,VISEGRAD,F,5-9,207
2013,NUMBER,VLASENICA,_T,5-9,523
2013,NUMBER,VLASENICA,M,5-9,267
2013,NUMBER,VLASENICA,F,5-9,256
2013,NUMBER,VUKOSAVLJE,_T,5-9,217
2013,NUMBER,VUKOSAVLJE,M,5-9,113
2013,NUMBER,VUKOSAVLJE,F,5-9,104
2013,NUMBER,GACKO,_T,5-9,436
2013,NUMBER,GACKO,M,5-9,236
2013,NUMBER,GACKO,F,5-9,200
2013,NUMBER,GRAD GRADISKA,_T,5-9,2159
2013,NUMBER,GRAD GRADISKA,M,5-9,1102
2013,NUMBER,GRAD GRADISKA,F,5-9,1057
2013,NUMBER,GRAD DERVENTA,_T,5-9,1168
2013,NUMBER,GRAD DERVENTA,M,5-9,607
2013,NUMBER,GRAD DERVENTA,F,5-9,561
2013,NUMBER,GRAD DOBOJ,_T,5-9,2914
2013,NUMBER,GRAD DOBOJ,M,5-9,1452
2013,NUMBER,GRAD DOBOJ,F,5-9,1462
2013,NUMBER,DONJI ZABAR,_T,5-9,174
2013,NUMBER,DONJI ZABAR,M,5-9,99
2013,NUMBER,DONJI ZABAR,F,5-9,75
2013,NUMBER,GRAD ZVORNIK,_T,5-9,2948
2013,NUMBER,GRAD ZVORNIK,M,5-9,1518
2013,NUMBER,GRAD ZVORNIK,F,5-9,1430
2013,NUMBER,ISTOCNI DRVAR,_T,5-9,1
2013,NUMBER,ISTOCNI DRVAR,M,5-9,1
2013,NUMBER,ISTOCNI DRVAR,F,5-9,-
2013,NUMBER,ISTOCNI MOSTAR,_T,5-9,11
2013,NUMBER,ISTOCNI MOSTAR,M,5-9,6
2013,NUMBER,ISTOCNI MOSTAR,F,5-9,5
2013,NUMBER,GRAD ISTOCNO SARAJEVO,_T,5-9,2643
2013,NUMBER,GRAD ISTOCNO SARAJEVO,M,5-9,1330
2013,NUMBER,GRAD ISTOCNO SARAJEVO,F,5-9,1313
2013,NUMBER,ISTOCNA ILIDZA,_T,5-9,658
2013,NUMBER,ISTOCNA ILIDZA,M,5-9,321
2013,NUMBER,ISTOCNA ILIDZA,F,5-9,337
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,5-9,479
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,5-9,239
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,5-9,240
2013,NUMBER,ISTOČNI STARI GRAD,_T,5-9,39
2013,NUMBER,ISTOČNI STARI GRAD,M,5-9,22
2013,NUMBER,ISTOČNI STARI GRAD,F,5-9,17
2013,NUMBER,PALE,_T,5-9,870
2013,NUMBER,PALE,M,5-9,442
2013,NUMBER,PALE,F,5-9,428
2013,NUMBER,SOKOLAC,_T,5-9,533
2013,NUMBER,SOKOLAC,M,5-9,269
2013,NUMBER,SOKOLAC,F,5-9,264
2013,NUMBER,TRNOVO,_T,5-9,64
2013,NUMBER,TRNOVO,M,5-9,37
2013,NUMBER,TRNOVO,F,5-9,27
2013,NUMBER,JEZERO,_T,5-9,52
2013,NUMBER,JEZERO,M,5-9,24
2013,NUMBER,JEZERO,F,5-9,28
2013,NUMBER,KALINOVIK,_T,5-9,67
2013,NUMBER,KALINOVIK,M,5-9,29
2013,NUMBER,KALINOVIK,F,5-9,38
2013,NUMBER,KNEZEVO,_T,5-9,399
2013,NUMBER,KNEZEVO,M,5-9,206
2013,NUMBER,KNEZEVO,F,5-9,193
2013,NUMBER,KOSTAJNICA,_T,5-9,225
2013,NUMBER,KOSTAJNICA,M,5-9,122
2013,NUMBER,KOSTAJNICA,F,5-9,103
2013,NUMBER,KOTOR VAROS,_T,5-9,958
2013,NUMBER,KOTOR VAROS,M,5-9,489
2013,NUMBER,KOTOR VAROS,F,5-9,469
2013,NUMBER,KOZARSKA DUBICA,_T,5-9,816
2013,NUMBER,KOZARSKA DUBICA,M,5-9,409
2013,NUMBER,KOZARSKA DUBICA,F,5-9,407
2013,NUMBER,KRUPA NA UNI,_T,5-9,56
2013,NUMBER,KRUPA NA UNI,M,5-9,29
2013,NUMBER,KRUPA NA UNI,F,5-9,27
2013,NUMBER,KUPRES,_T,5-9,8
2013,NUMBER,KUPRES,M,5-9,5
2013,NUMBER,KUPRES,F,5-9,3
2013,NUMBER,LAKTASI,_T,5-9,1847
2013,NUMBER,LAKTASI,M,5-9,937
2013,NUMBER,LAKTASI,F,5-9,910
2013,NUMBER,LOPARE,_T,5-9,590
2013,NUMBER,LOPARE,M,5-9,298
2013,NUMBER,LOPARE,F,5-9,292
2013,NUMBER,LJUBINJE,_T,5-9,127
2013,NUMBER,LJUBINJE,M,5-9,62
2013,NUMBER,LJUBINJE,F,5-9,65
2013,NUMBER,MILICI,_T,5-9,498
2013,NUMBER,MILICI,M,5-9,257
2013,NUMBER,MILICI,F,5-9,241
2013,NUMBER,MODRICA,_T,5-9,1130
2013,NUMBER,MODRICA,M,5-9,570
2013,NUMBER,MODRICA,F,5-9,560
2013,NUMBER,MRKONJIC GRAD,_T,5-9,734
2013,NUMBER,MRKONJIC GRAD,M,5-9,383
2013,NUMBER,MRKONJIC GRAD,F,5-9,351
2013,NUMBER,NEVESINJE,_T,5-9,640
2013,NUMBER,NEVESINJE,M,5-9,320
2013,NUMBER,NEVESINJE,F,5-9,320
2013,NUMBER,NOVI GRAD,_T,5-9,1001
2013,NUMBER,NOVI GRAD,M,5-9,523
2013,NUMBER,NOVI GRAD,F,5-9,478
2013,NUMBER,NOVO GORAZDE,_T,5-9,94
2013,NUMBER,NOVO GORAZDE,M,5-9,40
2013,NUMBER,NOVO GORAZDE,F,5-9,54
2013,NUMBER,OSMACI,_T,5-9,261
2013,NUMBER,OSMACI,M,5-9,136
2013,NUMBER,OSMACI,F,5-9,125
2013,NUMBER,OSTRA LUKA,_T,5-9,137
2013,NUMBER,OSTRA LUKA,M,5-9,75
2013,NUMBER,OSTRA LUKA,F,5-9,62
2013,NUMBER,PELAGICEVO,_T,5-9,157
2013,NUMBER,PELAGICEVO,M,5-9,82
2013,NUMBER,PELAGICEVO,F,5-9,75
2013,NUMBER,PETROVAC,_T,5-9,18
2013,NUMBER,PETROVAC,M,5-9,9
2013,NUMBER,PETROVAC,F,5-9,9
2013,NUMBER,PETROVO,_T,5-9,226
2013,NUMBER,PETROVO,M,5-9,110
2013,NUMBER,PETROVO,F,5-9,116
2013,NUMBER,GRAD PRIJEDOR,_T,5-9,3337
2013,NUMBER,GRAD PRIJEDOR,M,5-9,1733
2013,NUMBER,GRAD PRIJEDOR,F,5-9,1604
2013,NUMBER,PRNJAVOR,_T,5-9,1591
2013,NUMBER,PRNJAVOR,M,5-9,805
2013,NUMBER,PRNJAVOR,F,5-9,786
2013,NUMBER,RIBNIK,_T,5-9,255
2013,NUMBER,RIBNIK,M,5-9,136
2013,NUMBER,RIBNIK,F,5-9,119
2013,NUMBER,ROGATICA,_T,5-9,464
2013,NUMBER,ROGATICA,M,5-9,245
2013,NUMBER,ROGATICA,F,5-9,219
2013,NUMBER,RUDO,_T,5-9,311
2013,NUMBER,RUDO,M,5-9,164
2013,NUMBER,RUDO,F,5-9,147
2013,NUMBER,SRBAC,_T,5-9,736
2013,NUMBER,SRBAC,M,5-9,373
2013,NUMBER,SRBAC,F,5-9,363
2013,NUMBER,SREBRENICA,_T,5-9,489
2013,NUMBER,SREBRENICA,M,5-9,238
2013,NUMBER,SREBRENICA,F,5-9,251
2013,NUMBER,STANARI,_T,5-9,293
2013,NUMBER,STANARI,M,5-9,156
2013,NUMBER,STANARI,F,5-9,137
2013,NUMBER,TESLIC,_T,5-9,1914
2013,NUMBER,TESLIC,M,5-9,1000
2013,NUMBER,TESLIC,F,5-9,914
2013,NUMBER,GRAD TREBINJE,_T,5-9,1399
2013,NUMBER,GRAD TREBINJE,M,5-9,709
2013,NUMBER,GRAD TREBINJE,F,5-9,690
2013,NUMBER,UGLJEVIK,_T,5-9,734
2013,NUMBER,UGLJEVIK,M,5-9,369
2013,NUMBER,UGLJEVIK,F,5-9,365
2013,NUMBER,FOCA,_T,5-9,716
2013,NUMBER,FOCA,M,5-9,374
2013,NUMBER,FOCA,F,5-9,342
2013,NUMBER,HAN PIJESAK,_T,5-9,122
2013,NUMBER,HAN PIJESAK,M,5-9,65
2013,NUMBER,HAN PIJESAK,F,5-9,57
2013,NUMBER,CAJNICE,_T,5-9,205
2013,NUMBER,CAJNICE,M,5-9,95
2013,NUMBER,CAJNICE,F,5-9,110
2013,NUMBER,CELINAC,_T,5-9,733
2013,NUMBER,CELINAC,M,5-9,376
2013,NUMBER,CELINAC,F,5-9,357
2013,NUMBER,SAMAC,_T,5-9,663
2013,NUMBER,SAMAC,M,5-9,344
2013,NUMBER,SAMAC,F,5-9,319
2013,NUMBER,SEKOVICI,_T,5-9,273
2013,NUMBER,SEKOVICI,M,5-9,119
2013,NUMBER,SEKOVICI,F,5-9,154
2013,NUMBER,SIPOVO,_T,5-9,464
2013,NUMBER,SIPOVO,M,5-9,245
2013,NUMBER,SIPOVO,F,5-9,219
2013,NUMBER,REPUBLIKA SRPSKA,_T,10-14,58024
2013,NUMBER,REPUBLIKA SRPSKA,M,10-14,29826
2013,NUMBER,REPUBLIKA SRPSKA,F,10-14,28198
2013,NUMBER,GRAD BANJA LUKA,_T,10-14,8487
2013,NUMBER,GRAD BANJA LUKA,M,10-14,4344
2013,NUMBER,GRAD BANJA LUKA,F,10-14,4143
2013,NUMBER,BERKOVICI,_T,10-14,141
2013,NUMBER,BERKOVICI,M,10-14,73
2013,NUMBER,BERKOVICI,F,10-14,68
2013,NUMBER,GRAD BIJELJINA,_T,10-14,5341
2013,NUMBER,GRAD BIJELJINA,M,10-14,2718
2013,NUMBER,GRAD BIJELJINA,F,10-14,2623
2013,NUMBER,BILECA,_T,10-14,633
2013,NUMBER,BILECA,M,10-14,303
2013,NUMBER,BILECA,F,10-14,330
2013,NUMBER,BRATUNAC,_T,10-14,870
2013,NUMBER,BRATUNAC,M,10-14,457
2013,NUMBER,BRATUNAC,F,10-14,413
2013,NUMBER,BROD,_T,10-14,781
2013,NUMBER,BROD,M,10-14,407
2013,NUMBER,BROD,F,10-14,374
2013,NUMBER,VISEGRAD,_T,10-14,442
2013,NUMBER,VISEGRAD,M,10-14,222
2013,NUMBER,VISEGRAD,F,10-14,220
2013,NUMBER,VLASENICA,_T,10-14,519
2013,NUMBER,VLASENICA,M,10-14,273
2013,NUMBER,VLASENICA,F,10-14,246
2013,NUMBER,VUKOSAVLJE,_T,10-14,244
2013,NUMBER,VUKOSAVLJE,M,10-14,122
2013,NUMBER,VUKOSAVLJE,F,10-14,122
2013,NUMBER,GACKO,_T,10-14,534
2013,NUMBER,GACKO,M,10-14,299
2013,NUMBER,GACKO,F,10-14,235
2013,NUMBER,GRAD GRADISKA,_T,10-14,2387
2013,NUMBER,GRAD GRADISKA,M,10-14,1210
2013,NUMBER,GRAD GRADISKA,F,10-14,1177
2013,NUMBER,GRAD DERVENTA,_T,10-14,1301
2013,NUMBER,GRAD DERVENTA,M,10-14,654
2013,NUMBER,GRAD DERVENTA,F,10-14,647
2013,NUMBER,GRAD DOBOJ,_T,10-14,2970
2013,NUMBER,GRAD DOBOJ,M,10-14,1599
2013,NUMBER,GRAD DOBOJ,F,10-14,1371
2013,NUMBER,DONJI ZABAR,_T,10-14,214
2013,NUMBER,DONJI ZABAR,M,10-14,105
2013,NUMBER,DONJI ZABAR,F,10-14,109
2013,NUMBER,GRAD ZVORNIK,_T,10-14,2860
2013,NUMBER,GRAD ZVORNIK,M,10-14,1438
2013,NUMBER,GRAD ZVORNIK,F,10-14,1422
2013,NUMBER,ISTOCNI DRVAR,_T,10-14,-
2013,NUMBER,ISTOCNI DRVAR,M,10-14,-
2013,NUMBER,ISTOCNI DRVAR,F,10-14,-
2013,NUMBER,ISTOCNI MOSTAR,_T,10-14,13
2013,NUMBER,ISTOCNI MOSTAR,M,10-14,8
2013,NUMBER,ISTOCNI MOSTAR,F,10-14,5
2013,NUMBER,GRAD ISTOCNO SARAJEVO,_T,10-14,2730
2013,NUMBER,GRAD ISTOCNO SARAJEVO,M,10-14,1401
2013,NUMBER,GRAD ISTOCNO SARAJEVO,F,10-14,1329
2013,NUMBER,ISTOCNA ILIDZA,_T,10-14,651
2013,NUMBER,ISTOCNA ILIDZA,M,10-14,313
2013,NUMBER,ISTOCNA ILIDZA,F,10-14,338
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,10-14,486
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,10-14,242
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,10-14,244
2013,NUMBER,ISTOČNI STARI GRAD,_T,10-14,31
2013,NUMBER,ISTOČNI STARI GRAD,M,10-14,18
2013,NUMBER,ISTOČNI STARI GRAD,F,10-14,13
2013,NUMBER,PALE,_T,10-14,954
2013,NUMBER,PALE,M,10-14,509
2013,NUMBER,PALE,F,10-14,445
2013,NUMBER,SOKOLAC,_T,10-14,542
2013,NUMBER,SOKOLAC,M,10-14,282
2013,NUMBER,SOKOLAC,F,10-14,260
2013,NUMBER,TRNOVO,_T,10-14,66
2013,NUMBER,TRNOVO,M,10-14,37
2013,NUMBER,TRNOVO,F,10-14,29
2013,NUMBER,JEZERO,_T,10-14,49
2013,NUMBER,JEZERO,M,10-14,26
2013,NUMBER,JEZERO,F,10-14,23
2013,NUMBER,KALINOVIK,_T,10-14,78
2013,NUMBER,KALINOVIK,M,10-14,25
2013,NUMBER,KALINOVIK,F,10-14,53
2013,NUMBER,KNEZEVO,_T,10-14,557
2013,NUMBER,KNEZEVO,M,10-14,283
2013,NUMBER,KNEZEVO,F,10-14,274
2013,NUMBER,KOSTAJNICA,_T,10-14,235
2013,NUMBER,KOSTAJNICA,M,10-14,119
2013,NUMBER,KOSTAJNICA,F,10-14,116
2013,NUMBER,KOTOR VAROS,_T,10-14,1173
2013,NUMBER,KOTOR VAROS,M,10-14,620
2013,NUMBER,KOTOR VAROS,F,10-14,553
2013,NUMBER,KOZARSKA DUBICA,_T,10-14,884
2013,NUMBER,KOZARSKA DUBICA,M,10-14,465
2013,NUMBER,KOZARSKA DUBICA,F,10-14,419
2013,NUMBER,KRUPA NA UNI,_T,10-14,80
2013,NUMBER,KRUPA NA UNI,M,10-14,36
2013,NUMBER,KRUPA NA UNI,F,10-14,44
2013,NUMBER,KUPRES,_T,10-14,14
2013,NUMBER,KUPRES,M,10-14,8
2013,NUMBER,KUPRES,F,10-14,6
2013,NUMBER,LAKTASI,_T,10-14,1864
2013,NUMBER,LAKTASI,M,10-14,969
2013,NUMBER,LAKTASI,F,10-14,895
2013,NUMBER,LOPARE,_T,10-14,701
2013,NUMBER,LOPARE,M,10-14,382
2013,NUMBER,LOPARE,F,10-14,319
2013,NUMBER,LJUBINJE,_T,10-14,150
2013,NUMBER,LJUBINJE,M,10-14,77
2013,NUMBER,LJUBINJE,F,10-14,73
2013,NUMBER,MILICI,_T,10-14,498
2013,NUMBER,MILICI,M,10-14,259
2013,NUMBER,MILICI,F,10-14,239
2013,NUMBER,MODRICA,_T,10-14,1326
2013,NUMBER,MODRICA,M,10-14,683
2013,NUMBER,MODRICA,F,10-14,643
2013,NUMBER,MRKONJIC GRAD,_T,10-14,844
2013,NUMBER,MRKONJIC GRAD,M,10-14,403
2013,NUMBER,MRKONJIC GRAD,F,10-14,441
2013,NUMBER,NEVESINJE,_T,10-14,689
2013,NUMBER,NEVESINJE,M,10-14,340
2013,NUMBER,NEVESINJE,F,10-14,349
2013,NUMBER,NOVI GRAD,_T,10-14,1193
2013,NUMBER,NOVI GRAD,M,10-14,655
2013,NUMBER,NOVI GRAD,F,10-14,538
2013,NUMBER,NOVO GORAZDE,_T,10-14,83
2013,NUMBER,NOVO GORAZDE,M,10-14,36
2013,NUMBER,NOVO GORAZDE,F,10-14,47
2013,NUMBER,OSMACI,_T,10-14,313
2013,NUMBER,OSMACI,M,10-14,159
2013,NUMBER,OSMACI,F,10-14,154
2013,NUMBER,OSTRA LUKA,_T,10-14,163
2013,NUMBER,OSTRA LUKA,M,10-14,89
2013,NUMBER,OSTRA LUKA,F,10-14,74
2013,NUMBER,PELAGICEVO,_T,10-14,185
