Year,UNIT_MEASURE,Age_group,SEX,Value
2014,NUMBER,70-74,F,30056
2014,NUMBER,75-79,F,28946
2014,NUMBER,80-84,F,16603
2014,NUMBER,85-89,F,6405
2014,NUMBER,90 +,F,1626
2015,NUMBER,_T,_T,1162164
2015,NUMBER,0-4,_T,50067
2015,NUMBER,5-9,_T,54755
2015,NUMBER,10-14,_T,55647
2015,NUMBER,15-19,_T,66727
2015,NUMBER,20-24,_T,65603
2015,NUMBER,25-29,_T,73297
2015,NUMBER,30-34,_T,80365
2015,NUMBER,35-39,_T,81003
2015,NUMBER,40-44,_T,77328
2015,NUMBER,45-49,_T,78838
2015,NUMBER,50-54,_T,87925
2015,NUMBER,55-59,_T,91658
2015,NUMBER,60-64,_T,90125
2015,NUMBER,65-69,_T,70039
2015,NUMBER,70-74,_T,48676
2015,NUMBER,75-79,_T,49216
2015,NUMBER,80-84,_T,27692
2015,NUMBER,85-89,_T,10696
2015,NUMBER,90 +,_T,2507
2015,NUMBER,_T,M,567711
2015,NUMBER,0-4,M,25709
2015,NUMBER,5-9,M,28072
2015,NUMBER,10-14,M,28692
2015,NUMBER,15-19,M,34235
2015,NUMBER,20-24,M,34166
2015,NUMBER,25-29,M,37392
2015,NUMBER,30-34,M,40942
2015,NUMBER,35-39,M,41257
2015,NUMBER,40-44,M,39602
2015,NUMBER,45-49,M,39752
2015,NUMBER,50-54,M,43301
2015,NUMBER,55-59,M,44221
2015,NUMBER,60-64,M,42870
2015,NUMBER,65-69,M,31928
2015,NUMBER,70-74,M,20798
2015,NUMBER,75-79,M,19949
2015,NUMBER,80-84,M,10285
2015,NUMBER,85-89,M,3791
2015,NUMBER,90 +,M,749
2015,NUMBER,_T,F,594453
2015,NUMBER,0-4,F,24358
2015,NUMBER,5-9,F,26683
2015,NUMBER,10-14,F,26955
2015,NUMBER,15-19,F,32492
2015,NUMBER,20-24,F,31437
2015,NUMBER,25-29,F,35905
2015,NUMBER,30-34,F,39423
2015,NUMBER,35-39,F,39746
2015,NUMBER,40-44,F,37726
2015,NUMBER,45-49,F,39086
2015,NUMBER,50-54,F,44624
2015,NUMBER,55-59,F,47437
2015,NUMBER,60-64,F,47255
2015,NUMBER,65-69,F,38111
2015,NUMBER,70-74,F,27878
2015,NUMBER,75-79,F,29267
2015,NUMBER,80-84,F,17407
2015,NUMBER,85-89,F,6905
2015,NUMBER,90 +,F,1758
2016,NUMBER,_T,_T,1157516
2016,NUMBER,0-4,_T,48734
2016,NUMBER,5-9,_T,54692
2016,NUMBER,10-14,_T,54647
2016,NUMBER,15-19,_T,63924
2016,NUMBER,20-24,_T,66283
2016,NUMBER,25-29,_T,71750
2016,NUMBER,30-34,_T,79504
2016,NUMBER,35-39,_T,80647
2016,NUMBER,40-44,_T,78874
2016,NUMBER,45-49,_T,76424
2016,NUMBER,50-54,_T,86398
2016,NUMBER,55-59,_T,90613
2016,NUMBER,60-64,_T,91762
2016,NUMBER,65-69,_T,73686
2016,NUMBER,70-74,_T,47137
2016,NUMBER,75-79,_T,49174
2016,NUMBER,80-84,_T,29104
2016,NUMBER,85-89,_T,11443
2016,NUMBER,90 +,_T,2720
2016,NUMBER,_T,M,565368
2016,NUMBER,0-4,M,25099
2016,NUMBER,5-9,M,28032
2016,NUMBER,10-14,M,28143
2016,NUMBER,15-19,M,32819
2016,NUMBER,20-24,M,34406
2016,NUMBER,25-29,M,36741
2016,NUMBER,30-34,M,40519
2016,NUMBER,35-39,M,40983
2016,NUMBER,40-44,M,40396
2016,NUMBER,45-49,M,38631
2016,NUMBER,50-54,M,42599
2016,NUMBER,55-59,M,43773
2016,NUMBER,60-64,M,43636
2016,NUMBER,65-69,M,33670
2016,NUMBER,70-74,M,20198
2016,NUMBER,75-79,M,20005
2016,NUMBER,80-84,M,10819
2016,NUMBER,85-89,M,4077
2016,NUMBER,90 +,M,822
2016,NUMBER,_T,F,592148
2016,NUMBER,0-4,F,23635
2016,NUMBER,5-9,F,26660
2016,NUMBER,10-14,F,26504
2016,NUMBER,15-19,F,31105
2016,NUMBER,20-24,F,31877
2016,NUMBER,25-29,F,35009
2016,NUMBER,30-34,F,38985
2016,NUMBER,35-39,F,39664
2016,NUMBER,40-44,F,38478
2016,NUMBER,45-49,F,37793
2016,NUMBER,50-54,F,43799
2016,NUMBER,55-59,F,46840
2016,NUMBER,60-64,F,48126
2016,NUMBER,65-69,F,40016
2016,NUMBER,70-74,F,26939
2016,NUMBER,75-79,F,29169
2016,NUMBER,80-84,F,18285
2016,NUMBER,85-89,F,7366
2016,NUMBER,90 +,F,1898
2017,NUMBER,_T,_T,1153017
2017,NUMBER,0-4,_T,47669
2017,NUMBER,5-9,_T,54425
2017,NUMBER,10-14,_T,54011
2017,NUMBER,15-19,_T,60988
2017,NUMBER,20-24,_T,67578
2017,NUMBER,25-29,_T,69711
2017,NUMBER,30-34,_T,78413
2017,NUMBER,35-39,_T,80313
2017,NUMBER,40-44,_T,79628
2017,NUMBER,45-49,_T,75563
2017,NUMBER,50-54,_T,84512
2017,NUMBER,55-59,_T,90210
2017,NUMBER,60-64,_T,91623
2017,NUMBER,65-69,_T,76077
2017,NUMBER,70-74,_T,49170
2017,NUMBER,75-79,_T,47544
2017,NUMBER,80-84,_T,30644
2017,NUMBER,85-89,_T,12003
2017,NUMBER,90 +,_T,2935
2017,NUMBER,_T,M,563187
2017,NUMBER,0-4,M,24658
2017,NUMBER,5-9,M,27909
2017,NUMBER,10-14,M,27739
2017,NUMBER,15-19,M,31302
2017,NUMBER,20-24,M,34984
2017,NUMBER,25-29,M,35943
2017,NUMBER,30-34,M,39935
2017,NUMBER,35-39,M,40775
2017,NUMBER,40-44,M,40696
2017,NUMBER,45-49,M,38318
2017,NUMBER,50-54,M,41752
2017,NUMBER,55-59,M,43657
2017,NUMBER,60-64,M,43518
2017,NUMBER,65-69,M,34812
2017,NUMBER,70-74,M,21177
2017,NUMBER,75-79,M,19315
2017,NUMBER,80-84,M,11479
2017,NUMBER,85-89,M,4303
2017,NUMBER,90 +,M,915
2017,NUMBER,_T,F,589830
2017,NUMBER,0-4,F,23011
2017,NUMBER,5-9,F,26516
2017,NUMBER,10-14,F,26272
2017,NUMBER,15-19,F,29686
2017,NUMBER,20-24,F,32594
2017,NUMBER,25-29,F,33768
2017,NUMBER,30-34,F,38478
2017,NUMBER,35-39,F,39538
2017,NUMBER,40-44,F,38932
2017,NUMBER,45-49,F,37245
2017,NUMBER,50-54,F,42760
2017,NUMBER,55-59,F,46553
2017,NUMBER,60-64,F,48105
2017,NUMBER,65-69,F,41265
2017,NUMBER,70-74,F,27993
2017,NUMBER,75-79,F,28229
2017,NUMBER,80-84,F,19165
2017,NUMBER,85-89,F,7700
2017,NUMBER,90 +,F,2020
2018,NUMBER,_T,_T,1147902
2018,NUMBER,0-4,_T,46783
2018,NUMBER,5-9,_T,53561
2018,NUMBER,10-14,_T,53979
2018,NUMBER,15-19,_T,58248
2018,NUMBER,20-24,_T,69375
2018,NUMBER,25-29,_T,66608
2018,NUMBER,30-34,_T,77062
2018,NUMBER,35-39,_T,80370
2018,NUMBER,40-44,_T,80022
2018,NUMBER,45-49,_T,75372
2018,NUMBER,50-54,_T,82290
2018,NUMBER,55-59,_T,89379
2018,NUMBER,60-64,_T,90342
2018,NUMBER,65-69,_T,79067
2018,NUMBER,70-74,_T,52446
2018,NUMBER,75-79,_T,45216
2018,NUMBER,80-84,_T,31930
2018,NUMBER,85-89,_T,12742
2018,NUMBER,90 +,_T,3110
2018,NUMBER,_T,M,560795
2018,NUMBER,0-4,M,24321
2018,NUMBER,5-9,M,27463
2018,NUMBER,10-14,M,27689
2018,NUMBER,15-19,M,29864
2018,NUMBER,20-24,M,35777
2018,NUMBER,25-29,M,34534
2018,NUMBER,30-34,M,39285
2018,NUMBER,35-39,M,40743
2018,NUMBER,40-44,M,40878
2018,NUMBER,45-49,M,38377
2018,NUMBER,50-54,M,40817
2018,NUMBER,55-59,M,43267
2018,NUMBER,60-64,M,42830
2018,NUMBER,65-69,M,36278
2018,NUMBER,70-74,M,22707
2018,NUMBER,75-79,M,18324
2018,NUMBER,80-84,M,12075
2018,NUMBER,85-89,M,4564
2018,NUMBER,90 +,M,1002
2018,NUMBER,_T,F,587107
2018,NUMBER,0-4,F,22462
2018,NUMBER,5-9,F,26098
2018,NUMBER,10-14,F,26290
2018,NUMBER,15-19,F,28384
2018,NUMBER,20-24,F,33598
2018,NUMBER,25-29,F,32074
2018,NUMBER,30-34,F,37777
2018,NUMBER,35-39,F,39627
2018,NUMBER,40-44,F,39144
2018,NUMBER,45-49,F,36995
2018,NUMBER,50-54,F,41473
2018,NUMBER,55-59,F,46112
2018,NUMBER,60-64,F,47512
2018,NUMBER,65-69,F,42789
2018,NUMBER,70-74,F,29739
2018,NUMBER,75-79,F,26892
2018,NUMBER,80-84,F,19855
2018,NUMBER,85-89,F,8178
2018,NUMBER,90 +,F,2108
2019,NUMBER,_T,_T,1142495
2019,NUMBER,0-4,_T,46989
2019,NUMBER,5-9,_T,51849
2019,NUMBER,10-14,_T,54340
2019,NUMBER,15-19,_T,56767
2019,NUMBER,20-24,_T,68958
2019,NUMBER,25-29,_T,65048
2019,NUMBER,30-34,_T,75240
2019,NUMBER,35-39,_T,80574
2019,NUMBER,40-44,_T,80242
2019,NUMBER,45-49,_T,75535
2019,NUMBER,50-54,_T,80297
2019,NUMBER,55-59,_T,87300
2019,NUMBER,60-64,_T,88926
2019,NUMBER,65-69,_T,81485
2019,NUMBER,70-74,_T,56623
2019,NUMBER,75-79,_T,42470
2019,NUMBER,80-84,_T,32745
2019,NUMBER,85-89,_T,13503
2019,NUMBER,90 +,_T,3604
2019,NUMBER,_T,M,558093
2019,NUMBER,0-4,M,24499
2019,NUMBER,5-9,M,26577
2019,NUMBER,10-14,M,27877
2019,NUMBER,15-19,M,29150
2019,NUMBER,20-24,M,35339
2019,NUMBER,25-29,M,33871
2019,NUMBER,30-34,M,38358
2019,NUMBER,35-39,M,40861
2019,NUMBER,40-44,M,40907
2019,NUMBER,45-49,M,38510
2019,NUMBER,50-54,M,40006
2019,NUMBER,55-59,M,42309
2019,NUMBER,60-64,M,42038
2019,NUMBER,65-69,M,37464
2019,NUMBER,70-74,M,24642
2019,NUMBER,75-79,M,17180
2019,NUMBER,80-84,M,12494
2019,NUMBER,85-89,M,4782
2019,NUMBER,90 +,M,1229
2019,NUMBER,_T,F,584402
2019,NUMBER,0-4,F,22490
2019,NUMBER,5-9,F,25272
2019,NUMBER,10-14,F,26463
2019,NUMBER,15-19,F,27617
2019,NUMBER,20-24,F,33619
2019,NUMBER,25-29,F,31177
2019,NUMBER,30-34,F,36882
2019,NUMBER,35-39,F,39713
2019,NUMBER,40-44,F,39335
2019,NUMBER,45-49,F,37025
2019,NUMBER,50-54,F,40291
2019,NUMBER,55-59,F,44991
2019,NUMBER,60-64,F,46888
2019,NUMBER,65-69,F,44021
2019,NUMBER,70-74,F,31981
2019,NUMBER,75-79,F,25290
2019,NUMBER,80-84,F,20251
2019,NUMBER,85-89,F,8721
2019,NUMBER,90 +,F,2375
2020,NUMBER,_T,_T,1136274
2020,NUMBER,0-4,_T,46766
2020,NUMBER,5-9,_T,50140
2020,NUMBER,10-14,_T,54624
2020,NUMBER,15-19,_T,55722
2020,NUMBER,20-24,_T,66540
2020,NUMBER,25-29,_T,65512
2020,NUMBER,30-34,_T,73246
2020,NUMBER,35-39,_T,80317
2020,NUMBER,40-44,_T,80441
2020,NUMBER,45-49,_T,76443
2020,NUMBER,50-54,_T,77704
2020,NUMBER,55-59,_T,85566
2020,NUMBER,60-64,_T,87281
2020,NUMBER,65-69,_T,83151
2020,NUMBER,70-74,_T,61635
2020,NUMBER,75-79,_T,39518
2020,NUMBER,80-84,_T,33481
2020,NUMBER,85-89,_T,14165
2020,NUMBER,90 +,_T,4022
2020,NUMBER,_T,M,557422
2020,NUMBER,0-4,M,24479
2020,NUMBER,5-9,M,25854
2020,NUMBER,10-14,M,28034
2020,NUMBER,15-19,M,28881
2020,NUMBER,20-24,M,34373
2020,NUMBER,25-29,M,34543
2020,NUMBER,30-34,M,37631
2020,NUMBER,35-39,M,41043
2020,NUMBER,40-44,M,41041
2020,NUMBER,45-49,M,39083
2020,NUMBER,50-54,M,38950
2020,NUMBER,55-59,M,41653
2020,NUMBER,60-64,M,41310
2020,NUMBER,65-69,M,38322
2020,NUMBER,70-74,M,26890
2020,NUMBER,75-79,M,16062
2020,NUMBER,80-84,M,12843
2020,NUMBER,85-89,M,5019
2020,NUMBER,90 +,M,1411
2020,NUMBER,_T,F,578852
2020,NUMBER,0-4,F,22287
2020,NUMBER,5-9,F,24286
2020,NUMBER,10-14,F,26590
2020,NUMBER,15-19,F,26841
2020,NUMBER,20-24,F,32167
2020,NUMBER,25-29,F,30969
2020,NUMBER,30-34,F,35615
2020,NUMBER,35-39,F,39274
2020,NUMBER,40-44,F,39400
2020,NUMBER,45-49,F,37360
2020,NUMBER,50-54,F,38754
2020,NUMBER,55-59,F,43913
2020,NUMBER,60-64,F,45971
2020,NUMBER,65-69,F,44829
2020,NUMBER,70-74,F,34745
2020,NUMBER,75-79,F,23456
2020,NUMBER,80-84,F,20638
2020,NUMBER,85-89,F,9146
2020,NUMBER,90 +,F,2611
2021,NUMBER,_T,_T,1128309
2021,NUMBER,0-4,_T,46576
2021,NUMBER,5-9,_T,48911
2021,NUMBER,10-14,_T,54566
2021,NUMBER,15-19,_T,54747
2021,NUMBER,20-24,_T,63880
2021,NUMBER,25-29,_T,66061
2021,NUMBER,30-34,_T,71716
2021,NUMBER,35-39,_T,79502
2021,NUMBER,40-44,_T,80230
2021,NUMBER,45-49,_T,77843
2021,NUMBER,50-54,_T,75293
2021,NUMBER,55-59,_T,83859
2021,NUMBER,60-64,_T,86008
2021,NUMBER,65-69,_T,84343
2021,NUMBER,70-74,_T,64407
2021,NUMBER,75-79,_T,38179
2021,NUMBER,80-84,_T,33203
2021,NUMBER,85-89,_T,14615
2021,NUMBER,90 +,_T,4370
2021,NUMBER,_T,M,555675
2021,NUMBER,0-4,M,24423
2021,NUMBER,5-9,M,25415
2021,NUMBER,10-14,M,28047
2021,NUMBER,15-19,M,28452
2021,NUMBER,20-24,M,33368
2021,NUMBER,25-29,M,35138
2021,NUMBER,30-34,M,37332
2021,NUMBER,35-39,M,40838
2021,NUMBER,40-44,M,41042
2021,NUMBER,45-49,M,39882
2021,NUMBER,50-54,M,37942
2021,NUMBER,55-59,M,40953
2021,NUMBER,60-64,M,40805
2021,NUMBER,65-69,M,38861
2021,NUMBER,70-74,M,28106
2021,NUMBER,75-79,M,15574
2021,NUMBER,80-84,M,12753
2021,NUMBER,85-89,M,5205
2021,NUMBER,90 +,M,1539
2021,NUMBER,_T,F,572634
2021,NUMBER,0-4,F,22153
2021,NUMBER,5-9,F,23496
2021,NUMBER,10-14,F,26519
2021,NUMBER,15-19,F,26295
2021,NUMBER,20-24,F,30512
2021,NUMBER,25-29,F,30923
2021,NUMBER,30-34,F,34384
2021,NUMBER,35-39,F,38664
2021,NUMBER,40-44,F,39188
2021,NUMBER,45-49,F,37961
2021,NUMBER,50-54,F,37351
2021,NUMBER,55-59,F,42906
2021,NUMBER,60-64,F,45203
2021,NUMBER,65-69,F,45482
2021,NUMBER,70-74,F,36301
2021,NUMBER,75-79,F,22605
2021,NUMBER,80-84,F,20450
2021,NUMBER,85-89,F,9410
2021,NUMBER,90 +,F,2831
2022,NUMBER,_T,_T,1120236
2022,NUMBER,0-4,_T,46394
2022,NUMBER,5-9,_T,47796
2022,NUMBER,10-14,_T,54372
2022,NUMBER,15-19,_T,54069
2022,NUMBER,20-24,_T,60901
2022,NUMBER,25-29,_T,67370
2022,NUMBER,30-34,_T,69610
2022,NUMBER,35-39,_T,78304
2022,NUMBER,40-44,_T,79978
2022,NUMBER,45-49,_T,78709
2022,NUMBER,50-54,_T,74238
2022,NUMBER,55-59,_T,81717
2022,NUMBER,60-64,_T,85329
2022,NUMBER,65-69,_T,83893
2022,NUMBER,70-74,_T,66323
2022,NUMBER,75-79,_T,39578
2022,NUMBER,80-84,_T,31802
2022,NUMBER,85-89,_T,15255
2022,NUMBER,90 +,_T,4598
2022,NUMBER,_T,M,551376
2022,NUMBER,0-4,M,24217
2022,NUMBER,5-9,M,24939
2022,NUMBER,10-14,M,27994
2022,NUMBER,15-19,M,27885
2022,NUMBER,20-24,M,31825
2022,NUMBER,25-29,M,35717
2022,NUMBER,30-34,M,36548
2022,NUMBER,35-39,M,40243
2022,NUMBER,40-44,M,40886
2022,NUMBER,45-49,M,40248
2022,NUMBER,50-54,M,37552
2022,NUMBER,55-59,M,39976
2022,NUMBER,60-64,M,40478
2022,NUMBER,65-69,M,38556
2022,NUMBER,70-74,M,28924
2022,NUMBER,75-79,M,16145
2022,NUMBER,80-84,M,12190
2022,NUMBER,85-89,M,5438
2022,NUMBER,90 +,M,1615
2022,NUMBER,_T,F,568860
2022,NUMBER,0-4,F,22177
2022,NUMBER,5-9,F,22857
2022,NUMBER,10-14,F,26378
2022,NUMBER,15-19,F,26184
2022,NUMBER,20-24,F,29076
2022,NUMBER,25-29,F,31653
2022,NUMBER,30-34,F,33062
2022,NUMBER,35-39,F,38061
2022,NUMBER,40-44,F,39092
2022,NUMBER,45-49,F,38461
2022,NUMBER,50-54,F,36686
2022,NUMBER,55-59,F,41741
2022,NUMBER,60-64,F,44851
2022,NUMBER,65-69,F,45337
2022,NUMBER,70-74,F,37399
2022,NUMBER,75-79,F,23433
2022,NUMBER,80-84,F,19612
2022,NUMBER,85-89,F,9817
2022,NUMBER,90 +,F,2983
2023,NUMBER,_T,_T,1114819
2023,NUMBER,0-4,_T,46147
2023,NUMBER,5-9,_T,47158
2023,NUMBER,10-14,_T,53554
2023,NUMBER,15-19,_T,53967
2023,NUMBER,20-24,_T,58214
2023,NUMBER,25-29,_T,69206
2023,NUMBER,30-34,_T,66524
2023,NUMBER,35-39,_T,76909
2023,NUMBER,40-44,_T,80073
2023,NUMBER,45-49,_T,79140
2023,NUMBER,50-54,_T,74038
2023,NUMBER,55-59,_T,79564
2023,NUMBER,60-64,_T,84540
2023,NUMBER,65-69,_T,82695
2023,NUMBER,70-74,_T,69035
2023,NUMBER,75-79,_T,42332
2023,NUMBER,80-84,_T,30426
2023,NUMBER,85-89,_T,16153
2023,NUMBER,90 +,_T,5144
2023,NUMBER,_T,M,548577
2023,NUMBER,0-4,M,23999
2023,NUMBER,5-9,M,24722
2023,NUMBER,10-14,M,27598
2023,NUMBER,15-19,M,27755
2023,NUMBER,20-24,M,30356
2023,NUMBER,25-29,M,36534
2023,NUMBER,30-34,M,35177
2023,NUMBER,35-39,M,39611
2023,NUMBER,40-44,M,40887
2023,NUMBER,45-49,M,40480
2023,NUMBER,50-54,M,37583
2023,NUMBER,55-59,M,39073
2023,NUMBER,60-64,M,40122
2023,NUMBER,65-69,M,37948
2023,NUMBER,70-74,M,30177
2023,NUMBER,75-79,M,17324
2023,NUMBER,80-84,M,11640
2023,NUMBER,85-89,M,5820
2023,NUMBER,90 +,M,1771
2023,NUMBER,_T,F,566242
2023,NUMBER,0-4,F,22148
2023,NUMBER,5-9,F,22436
2023,NUMBER,10-14,F,25956
2023,NUMBER,15-19,F,26212
2023,NUMBER,20-24,F,27858
2023,NUMBER,25-29,F,32672
2023,NUMBER,30-34,F,31347
2023,NUMBER,35-39,F,37298
2023,NUMBER,40-44,F,39186
2023,NUMBER,45-49,F,38660
2023,NUMBER,50-54,F,36455
2023,NUMBER,55-59,F,40491
2023,NUMBER,60-64,F,44418
2023,NUMBER,65-69,F,44747
2023,NUMBER,70-74,F,38858
2023,NUMBER,75-79,F,25008
2023,NUMBER,80-84,F,18786
2023,NUMBER,85-89,F,10333
2023,NUMBER,90 +,F,3373
2024,NUMBER,_T,_T,1110496
2024,NUMBER,0-4,_T,45969
2024,NUMBER,5-9,_T,47030
2024,NUMBER,10-14,_T,51877
2024,NUMBER,15-19,_T,54276
2024,NUMBER,20-24,_T,56641
2024,NUMBER,25-29,_T,68784
2024,NUMBER,30-34,_T,64955
2024,NUMBER,35-39,_T,75096
2024,NUMBER,40-44,_T,80210
2024,NUMBER,45-49,_T,79514
2024,NUMBER,50-54,_T,74270
2024,NUMBER,55-59,_T,77761
2024,NUMBER,60-64,_T,82749
2024,NUMBER,65-69,_T,81772
2024,NUMBER,70-74,_T,71439
2024,NUMBER,75-79,_T,46103
2024,NUMBER,80-84,_T,29122
2024,NUMBER,85-89,_T,17018
2024,NUMBER,90+,_T,5910
2024,NUMBER,_T,M,546449
2024,NUMBER,0-4,M,23805
2024,NUMBER,5-9,M,24694
2024,NUMBER,10-14,M,26774
2024,NUMBER,15-19,M,27956
2024,NUMBER,20-24,M,29531
2024,NUMBER,25-29,M,36109
2024,NUMBER,30-34,M,34599
2024,NUMBER,35-39,M,38724
2024,NUMBER,40-44,M,41004
2024,NUMBER,45-49,M,40656
2024,NUMBER,50-54,M,37794
2024,NUMBER,55-59,M,38395
2024,NUMBER,60-64,M,39329
2024,NUMBER,65-69,M,37415
2024,NUMBER,70-74,M,31318
2024,NUMBER,75-79,M,18947
2024,NUMBER,80-84,M,11154
2024,NUMBER,85-89,M,6201
2024,NUMBER,90+,M,2044
2024,NUMBER,_T,F,564047
2024,NUMBER,0-4,F,22164
2024,NUMBER,5-9,F,22336
2024,NUMBER,10-14,F,25103
2024,NUMBER,15-19,F,26320
2024,NUMBER,20-24,F,27110
2024,NUMBER,25-29,F,32675
2024,NUMBER,30-34,F,30356
2024,NUMBER,35-39,F,36372
2024,NUMBER,40-44,F,39206
2024,NUMBER,45-49,F,38858
2024,NUMBER,50-54,F,36476
2024,NUMBER,55-59,F,39366
2024,NUMBER,60-64,F,43420
2024,NUMBER,65-69,F,44357
2024,NUMBER,70-74,F,40121
2024,NUMBER,75-79,F,27156
2024,NUMBER,80-84,F,17968
2024,NUMBER,85-89,F,10817
2024,NUMBER,90+,F,3866
