Year,UNIT_MEASURE,type_of_education,Sex,Value
2018,Number,"Business, administration and law",M,10
2018,Number,Education,M,1
2018,Number,Arts and humanities,M,2
2018,Number,Services,M,0
2018,Number,Total,F,15
2018,Number,"Natural sciences, mathematics and statistics",F,0
2018,Number,"Engineering, manufacturing and construction",F,2
2018,Number,information_and_communication_technologie,F,0
2018,Number,Health and social protection,F,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,3
2018,Number,"Social sciences, journalism and information",F,5
2018,Number,"Business, administration and law",F,2
2018,Number,Education,F,0
2018,Number,Arts and humanities,F,3
2018,Number,Services,F,0
2019,Number,Total,Both sexes,42
2019,Number,"Natural sciences, mathematics and statistics",Both sexes,2
2019,Number,"Engineering, manufacturing and construction",Both sexes,1
2019,Number,information_and_communication_technologie,Both sexes,25
2019,Number,Health and social protection,Both sexes,2
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,3
2019,Number,"Social sciences, journalism and information",Both sexes,1
2019,Number,"Business, administration and law",Both sexes,3
2019,Number,Education,Both sexes,3
2019,Number,Arts and humanities,Both sexes,2
2019,Number,Services,Both sexes,0
2019,Number,Total,M,26
2019,Number,"Natural sciences, mathematics and statistics",M,2
2019,Number,"Engineering, manufacturing and construction",M,0
2019,Number,information_and_communication_technologie,M,19
2019,Number,Health and social protection,M,2
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2019,Number,"Social sciences, journalism and information",M,0
2019,Number,"Business, administration and law",M,2
2019,Number,Education,M,1
2019,Number,Arts and humanities,M,0
2019,Number,Services,M,0
2019,Number,Total,F,16
2019,Number,"Natural sciences, mathematics and statistics",F,0
2019,Number,"Engineering, manufacturing and construction",F,1
2019,Number,information_and_communication_technologie,F,6
2019,Number,Health and social protection,F,0
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,3
2019,Number,"Social sciences, journalism and information",F,1
2019,Number,"Business, administration and law",F,1
2019,Number,Education,F,2
2019,Number,Arts and humanities,F,2
2019,Number,Services,F,0
2020,Number,Total,Both sexes,64
2020,Number,"Natural sciences, mathematics and statistics",Both sexes,0
2020,Number,"Engineering, manufacturing and construction",Both sexes,3
2020,Number,information_and_communication_technologie,Both sexes,30
2020,Number,Health and social protection,Both sexes,5
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,2
2020,Number,"Social sciences, journalism and information",Both sexes,5
2020,Number,"Business, administration and law",Both sexes,8
2020,Number,Education,Both sexes,2
2020,Number,Arts and humanities,Both sexes,9
2020,Number,Services,Both sexes,0
2020,Number,Total,M,34
2020,Number,"Natural sciences, mathematics and statistics",M,0
2020,Number,"Engineering, manufacturing and construction",M,0
2020,Number,information_and_communication_technologie,M,21
2020,Number,Health and social protection,M,4
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2020,Number,"Social sciences, journalism and information",M,3
2020,Number,"Business, administration and law",M,3
2020,Number,Education,M,0
2020,Number,Arts and humanities,M,2
2020,Number,Services,M,0
2020,Number,Total,F,30
2020,Number,"Natural sciences, mathematics and statistics",F,0
2020,Number,"Engineering, manufacturing and construction",F,3
2020,Number,information_and_communication_technologie,F,9
2020,Number,Health and social protection,F,1
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,1
2020,Number,"Social sciences, journalism and information",F,2
2020,Number,"Business, administration and law",F,5
2020,Number,Education,F,2
2020,Number,Arts and humanities,F,7
2020,Number,Services,F,0
