Year,UNIT_MEASURE,SEX,BIRTHS,Value
2017,NUMBER,_T,DEATHS,14663
2018,NUMBER,_T,DEATHS,14763
2019,NUMBER,_T,DEATHS,15081
2020,NUMBER,_T,DEATHS,16582
2021,NUMBER,_T,DEATHS,19002
2022,NUMBER,_T,DEATHS,16263
2023,NUMBER,_T,DEATHS,13508
2003,NUMBER,M,DEATHS,6804
2004,NUMBER,M,DEATHS,6735
2005,NUMBER,M,DEATHS,7239
2006,NUMBER,M,DEATHS,6904
2007,NUMBER,M,DEATHS,7302
2008,NUMBER,M,DEATHS,7058
2009,NUMBER,M,DEATHS,7099
2010,NUMBER,M,DEATHS,6935
2011,NUMBER,M,DEATHS,7001
2012,NUMBER,M,DEATHS,7064
2013,NUMBER,M,DEATHS,7237
2014,NUMBER,M,DEATHS,7386
2015,NUMBER,M,DEATHS,7640
2016,NUMBER,M,DEATHS,7198
2017,NUMBER,M,DEATHS,7363
2018,NUMBER,M,DEATHS,7449
2019,NUMBER,M,DEATHS,7753
2020,NUMBER,M,DEATHS,8613
2021,NUMBER,M,DEATHS,9943
2022,NUMBER,M,DEATHS,8469
2023,NUMBER,M,DEATHS,6978
2003,NUMBER,F,DEATHS,6184
2004,NUMBER,F,DEATHS,6347
2005,NUMBER,F,DEATHS,6563
2006,NUMBER,F,DEATHS,6328
2007,NUMBER,F,DEATHS,6844
2008,NUMBER,F,DEATHS,6443
2009,NUMBER,F,DEATHS,6676
2010,NUMBER,F,DEATHS,6582
2011,NUMBER,F,DEATHS,6657
2012,NUMBER,F,DEATHS,6732
2013,NUMBER,F,DEATHS,6741
2014,NUMBER,F,DEATHS,7023
2015,NUMBER,F,DEATHS,7419
2016,NUMBER,F,DEATHS,6772
2017,NUMBER,F,DEATHS,7300
2018,NUMBER,F,DEATHS,7314
2019,NUMBER,F,DEATHS,7328
2020,NUMBER,F,DEATHS,7969
2021,NUMBER,F,DEATHS,9059
2022,NUMBER,F,DEATHS,7794
2023,NUMBER,F,DEATHS,6530
2003,NUMBER,_T,NATURAL_CHANGE,-2451
2004,NUMBER,_T,NATURAL_CHANGE,-2454
2005,NUMBER,_T,NATURAL_CHANGE,-3480
2006,NUMBER,_T,NATURAL_CHANGE,-2708
2007,NUMBER,_T,NATURAL_CHANGE,-4036
2008,NUMBER,_T,NATURAL_CHANGE,-3303
2009,NUMBER,_T,NATURAL_CHANGE,-3172
2010,NUMBER,_T,NATURAL_CHANGE,-3370
2011,NUMBER,_T,NATURAL_CHANGE,-4097
2012,NUMBER,_T,NATURAL_CHANGE,-3818
2013,NUMBER,_T,NATURAL_CHANGE,-4468
2014,NUMBER,_T,NATURAL_CHANGE,-5074
2015,NUMBER,_T,NATURAL_CHANGE,-5702
2016,NUMBER,_T,NATURAL_CHANGE,-4518
2017,NUMBER,_T,NATURAL_CHANGE,-5324
2018,NUMBER,_T,NATURAL_CHANGE,-5195
2019,NUMBER,_T,NATURAL_CHANGE,-5807
2020,NUMBER,_T,NATURAL_CHANGE,-7421
2021,NUMBER,_T,NATURAL_CHANGE,-9728
2022,NUMBER,_T,NATURAL_CHANGE,-7145
2023,NUMBER,_T,NATURAL_CHANGE,-4199
