Year,UNIT_MEASURE,Vrsta obrazovanja,Pol,Value
2018,Broj,"Prirodne nauke, matematika i statistika",M,1
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1
2018,Broj,Informacione i komunikacione tehnologije,M,3
2018,Broj,Zdravstvo i socijalna zaštita,M,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,1
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,9
2018,Broj,"Poslovanje, administracija i pravo",M,10
2018,Broj,Obrazovanje,M,1
2018,Broj,Umjetnost i humanističke nauke,M,2
2018,Broj,Usluge,M,0
2018,Broj,Ukupno,Ž,15
2018,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,2
2018,Broj,Informacione i komunikacione tehnologije,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Ž,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,5
2018,Broj,"Poslovanje, administracija i pravo",Ž,2
2018,Broj,Obrazovanje,Ž,0
2018,Broj,Umjetnost i humanističke nauke,Ž,3
2018,Broj,Usluge,Ž,0
2019,Broj,Ukupno,Ukupno,42
2019,Broj,"Prirodne nauke, matematika i statistika",Ukupno,2
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,1
2019,Broj,Informacione i komunikacione tehnologije,Ukupno,25
2019,Broj,Zdravstvo i socijalna zaštita,Ukupno,2
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,3
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,1
2019,Broj,"Poslovanje, administracija i pravo",Ukupno,3
2019,Broj,Obrazovanje,Ukupno,3
2019,Broj,Umjetnost i humanističke nauke,Ukupno,2
2019,Broj,Usluge,Ukupno,0
2019,Broj,Ukupno,M,26
2019,Broj,"Prirodne nauke, matematika i statistika",M,2
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,0
2019,Broj,Informacione i komunikacione tehnologije,M,19
2019,Broj,Zdravstvo i socijalna zaštita,M,2
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,0
2019,Broj,"Poslovanje, administracija i pravo",M,2
2019,Broj,Obrazovanje,M,1
2019,Broj,Umjetnost i humanističke nauke,M,0
2019,Broj,Usluge,M,0
2019,Broj,Ukupno,Ž,16
2019,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,1
2019,Broj,Informacione i komunikacione tehnologije,Ž,6
2019,Broj,Zdravstvo i socijalna zaštita,Ž,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,1
2019,Broj,"Poslovanje, administracija i pravo",Ž,1
2019,Broj,Obrazovanje,Ž,2
2019,Broj,Umjetnost i humanističke nauke,Ž,2
2019,Broj,Usluge,Ž,0
2020,Broj,Ukupno,Ukupno,64
2020,Broj,"Prirodne nauke, matematika i statistika",Ukupno,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,3
2020,Broj,Informacione i komunikacione tehnologije,Ukupno,30
2020,Broj,Zdravstvo i socijalna zaštita,Ukupno,5
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,2
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,5
2020,Broj,"Poslovanje, administracija i pravo",Ukupno,8
2020,Broj,Obrazovanje,Ukupno,2
2020,Broj,Umjetnost i humanističke nauke,Ukupno,9
2020,Broj,Usluge,Ukupno,0
2020,Broj,Ukupno,M,34
2020,Broj,"Prirodne nauke, matematika i statistika",M,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,0
2020,Broj,Informacione i komunikacione tehnologije,M,21
2020,Broj,Zdravstvo i socijalna zaštita,M,4
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,1
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,3
2020,Broj,"Poslovanje, administracija i pravo",M,3
2020,Broj,Obrazovanje,M,0
2020,Broj,Umjetnost i humanističke nauke,M,2
2020,Broj,Usluge,M,0
2020,Broj,Ukupno,Ž,30
2020,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,3
2020,Broj,Informacione i komunikacione tehnologije,Ž,9
2020,Broj,Zdravstvo i socijalna zaštita,Ž,1
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,1
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,2
2020,Broj,"Poslovanje, administracija i pravo",Ž,5
2020,Broj,Obrazovanje,Ž,2
2020,Broj,Umjetnost i humanističke nauke,Ž,7
2020,Broj,Usluge,Ž,0
2021,Broj,Ukupno,Ukupno,40
2021,Broj,"Prirodne nauke, matematika i statistika",Ukupno,3
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,3
2021,Broj,Informacione i komunikacione tehnologije,Ukupno,0
2021,Broj,Zdravstvo i socijalna zaštita,Ukupno,1
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,1
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,23
2021,Broj,"Poslovanje, administracija i pravo",Ukupno,3
2021,Broj,Obrazovanje,Ukupno,2
2021,Broj,Umjetnost i humanističke nauke,Ukupno,4
2021,Broj,Usluge,Ukupno,0
2021,Broj,Ukupno,M,21
2021,Broj,"Prirodne nauke, matematika i statistika",M,2
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1
2021,Broj,Informacione i komunikacione tehnologije,M,0
2021,Broj,Zdravstvo i socijalna zaštita,M,0
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,0
2021,Broj,"Društvene nauke, novinarstvo i informisanje",M,14
2021,Broj,"Poslovanje, administracija i pravo",M,3
2021,Broj,Obrazovanje,M,1
2021,Broj,Umjetnost i humanističke nauke,M,0
2021,Broj,Usluge,M,0
2021,Broj,Ukupno,Ž,19
2021,Broj,"Prirodne nauke, matematika i statistika",Ž,1
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,2
2021,Broj,Informacione i komunikacione tehnologije,Ž,0
2021,Broj,Zdravstvo i socijalna zaštita,Ž,1
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,1
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,9
2021,Broj,"Poslovanje, administracija i pravo",Ž,0
2021,Broj,Obrazovanje,Ž,1
2021,Broj,Umjetnost i humanističke nauke,Ž,4
2021,Broj,Usluge,Ž,0
2022,Broj,Ukupno,Ukupno,67
2022,Broj,"Prirodne nauke, matematika i statistika",Ukupno,5
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,9
2022,Broj,Informacione i komunikacione tehnologije,Ukupno,0
2022,Broj,Zdravstvo i socijalna zaštita,Ukupno,10
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,2
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,10
2022,Broj,"Poslovanje, administracija i pravo",Ukupno,22
2022,Broj,Obrazovanje,Ukupno,1
2022,Broj,Umjetnost i humanističke nauke,Ukupno,8
2022,Broj,Usluge,Ukupno,0
2022,Broj,Ukupno,M,34
2022,Broj,"Prirodne nauke, matematika i statistika",M,3
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,5
2022,Broj,Informacione i komunikacione tehnologije,M,0
2022,Broj,Zdravstvo i socijalna zaštita,M,3
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,2
2022,Broj,"Društvene nauke, novinarstvo i informisanje",M,6
2022,Broj,"Poslovanje, administracija i pravo",M,12
2022,Broj,Obrazovanje,M,1
2022,Broj,Umjetnost i humanističke nauke,M,2
2022,Broj,Usluge,M,0
2022,Broj,Ukupno,Ž,33
2022,Broj,"Prirodne nauke, matematika i statistika",Ž,2
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,4
2022,Broj,Informacione i komunikacione tehnologije,Ž,0
2022,Broj,Zdravstvo i socijalna zaštita,Ž,7
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,0
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,4
2022,Broj,"Poslovanje, administracija i pravo",Ž,10
2022,Broj,Obrazovanje,Ž,0
2022,Broj,Umjetnost i humanističke nauke,Ž,6
2022,Broj,Usluge,Ž,0
