Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2015,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",762
2016,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",691
2017,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",825
2018,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",844
2019,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",604
2020,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",825
2021,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",921
2022,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",994
2023,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",904
2003,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,33
2004,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2005,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,80
2006,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,82
2007,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,107
2008,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,101
2009,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,122
2010,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,84
2011,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2012,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2013,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,95
2014,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,84
2015,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2016,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,98
2017,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,113
2018,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,85
2019,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2020,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2021,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,107
2022,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,132
2023,Broj,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,102
2003,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,65
2004,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,91
2005,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,170
2006,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,184
2007,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,155
2008,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,146
2009,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,133
2010,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,152
2011,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,209
2012,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,207
2013,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,185
2014,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,186
2015,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,212
2016,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,171
2017,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,197
2018,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,169
2019,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,165
2020,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,188
2021,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,173
2022,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,168
2023,Broj,Ukupno,(G00-G99) Bolesti nervnog sistema,157
2003,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2004,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2005,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2006,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2007,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2008,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2009,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2010,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2011,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2012,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2013,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2014,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2015,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2016,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2017,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2018,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2019,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2020,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2021,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2022,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2023,Broj,Ukupno,(H00-H59) Bolesti oka i pripojka oka,0
2003,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2004,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2005,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,1
2006,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2007,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,1
2008,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2009,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2010,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2011,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2012,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2013,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2014,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2015,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2016,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2017,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2018,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2019,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2020,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2021,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2022,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2023,Broj,Ukupno,(H60-H93) Bolesti uva i mastoidnog nastavka,0
2003,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7071
2004,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7340
2005,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7002
2006,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6463
2007,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7097
2008,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6965
2009,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7014
2010,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7211
2011,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7339
2012,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7625
2013,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6687
2014,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6777
2015,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7275
2016,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6920
2017,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7180
2018,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6989
2019,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7473
2020,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7602
2021,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,7217
2022,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6791
2023,Broj,Ukupno,(I00-I99) Bolesti cirkulatornog sistema,6051
2003,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,304
2004,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,345
2005,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,504
2006,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,520
2007,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,493
2008,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,449
2009,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,430
2010,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,450
2011,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,536
2012,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,424
2013,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,556
2014,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,524
2015,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,618
2016,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,510
2017,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,576
2018,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,626
2019,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,596
2020,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,631
2021,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,640
2022,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,567
2023,Broj,Ukupno,(J00-J99) Bolesti respiratornog sistema,586
2003,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,352
2004,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,347
2005,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,343
2006,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,379
2007,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,396
2008,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,366
2009,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,371
2010,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,398
2011,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,391
2012,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,393
2013,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,402
2014,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,429
2015,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,440
2016,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,450
2017,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,413
2018,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,481
2019,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,419
2020,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,438
2021,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,400
2022,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,460
2023,Broj,Ukupno,(K00-K93) Bolesti digestivnog sistema,457
2003,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,0
2004,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,3
2005,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,0
2006,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,1
2007,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,2
2008,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,2
2009,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,3
2010,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,6
2011,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,1
2012,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,4
2013,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,20
2014,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,22
2015,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,22
2016,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,21
2017,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,24
2018,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,22
2019,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,23
2020,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,30
2021,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,33
2022,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,31
2023,Broj,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,45
2003,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,6
2004,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,3
2005,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,12
2006,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,10
2007,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,13
2008,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,17
2009,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,13
2010,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,11
2011,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,18
2012,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,16
2013,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,28
2014,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,22
2015,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,30
2016,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,19
2017,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,17
2018,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,21
2019,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,13
2020,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,28
2021,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,8
2022,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,24
2023,Broj,Ukupno,(M00-M99) Bolesti mišićno-koštanog sistema i vezivnog tkiva,13
2003,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,222
2004,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,205
2005,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,257
2006,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,266
2007,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,275
2008,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,268
2009,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,257
2010,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,255
2011,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,175
2012,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,236
2013,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,213
2014,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,150
2015,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,179
2016,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,218
2017,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,193
2018,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,220
2019,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,195
2020,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,221
2021,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,197
2022,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,254
2023,Broj,Ukupno,(N00-N99) Bolesti genitourinarnog sistema,310
2003,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2004,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2005,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",2
2006,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",2
2007,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2008,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2009,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2010,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2011,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2012,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2013,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2014,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2015,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2016,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2017,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2018,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2019,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2020,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",3
2021,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2022,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",1
2023,Broj,Ukupno,"(O00-O99) Trudnoća, porođaj i puerperijum",0
2003,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,44
2004,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,38
2005,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,27
2006,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,38
2007,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,27
2008,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,20
2009,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,34
2010,Broj,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,29
