Year,UNIT_MEASURE,scientific_field,Пол,Value
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,11
2019,Број,"business,_administration_and_law",Укупно,35
2019,Број,"natural_sciences,_mathematics_and_statistics",Укупно,24
2019,Број,services,Укупно,1
2019,Број,health_and_social_protection,Укупно,100
2019,Број,total,M,188
2019,Број,"social_sciences,_journalism_and_information",M,65
2019,Број,arts_and_humanities,M,21
2019,Број,information_and_communication_technologies,M,6
2019,Број,"engineering,_production_and_construction",M,12
2019,Број,education,M,12
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2019,Број,"business,_administration_and_law",M,22
2019,Број,"natural_sciences,_mathematics_and_statistics",M,9
2019,Број,services,M,1
2019,Број,health_and_social_protection,M,36
2019,Број,total,Ж,278
2019,Број,"social_sciences,_journalism_and_information",Ж,83
2019,Број,arts_and_humanities,Ж,38
2019,Број,information_and_communication_technologies,Ж,4
2019,Број,"engineering,_production_and_construction",Ж,18
2019,Број,education,Ж,36
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,7
2019,Број,"business,_administration_and_law",Ж,13
2019,Број,"natural_sciences,_mathematics_and_statistics",Ж,15
2019,Број,services,Ж,0
2019,Број,health_and_social_protection,Ж,64
2020,Број,total,Укупно,384
2020,Број,"social_sciences,_journalism_and_information",Укупно,86
2020,Број,arts_and_humanities,Укупно,65
2020,Број,information_and_communication_technologies,Укупно,11
2020,Број,"engineering,_production_and_construction",Укупно,30
2020,Број,education,Укупно,29
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,20
2020,Број,"business,_administration_and_law",Укупно,28
2020,Број,"natural_sciences,_mathematics_and_statistics",Укупно,20
2020,Број,services,Укупно,0
2020,Број,health_and_social_protection,Укупно,95
2020,Број,total,M,156
2020,Број,"social_sciences,_journalism_and_information",M,41
2020,Број,arts_and_humanities,M,20
2020,Број,information_and_communication_technologies,M,9
2020,Број,"engineering,_production_and_construction",M,15
2020,Број,education,M,7
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2020,Број,"business,_administration_and_law",M,13
2020,Број,"natural_sciences,_mathematics_and_statistics",M,6
2020,Број,services,M,0
2020,Број,health_and_social_protection,M,32
2020,Број,total,Ж,228
2020,Број,"social_sciences,_journalism_and_information",Ж,45
2020,Број,arts_and_humanities,Ж,45
2020,Број,information_and_communication_technologies,Ж,2
2020,Број,"engineering,_production_and_construction",Ж,15
2020,Број,education,Ж,22
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,7
2020,Број,"business,_administration_and_law",Ж,15
2020,Број,"natural_sciences,_mathematics_and_statistics",Ж,14
2020,Број,services,Ж,0
2020,Број,health_and_social_protection,Ж,63
