Year,UNIT_MEASURE,scientific_field,SEX,Value
2021,NUMBER,"business,_administration_and_law",_T,5
2021,NUMBER,education,_T,11
2021,NUMBER,arts_and_humanities,_T,45
2021,NUMBER,services,_T,0
2021,NUMBER,total,M,118
2021,NUMBER,"natural_sciences,_mathematics_and_statistics",M,7
2021,NUMBER,"engineering,_production_and_construction",M,5
2021,NUMBER,information_and_communication_technologies,M,8
2021,NUMBER,health_and_social_protection,M,49
2021,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2021,NUMBER,"social_sciences,_journalism_and_information",M,20
2021,NUMBER,"business,_administration_and_law",M,3
2021,NUMBER,education,M,9
2021,NUMBER,arts_and_humanities,M,8
2021,NUMBER,services,M,0
2021,NUMBER,total,F,167
2021,NUMBER,"natural_sciences,_mathematics_and_statistics",F,6
2021,NUMBER,"engineering,_production_and_construction",F,5
2021,NUMBER,information_and_communication_technologies,F,2
2021,NUMBER,health_and_social_protection,F,87
2021,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,4
2021,NUMBER,"social_sciences,_journalism_and_information",F,22
2021,NUMBER,"business,_administration_and_law",F,2
2021,NUMBER,education,F,2
2021,NUMBER,arts_and_humanities,F,37
2021,NUMBER,services,F,0
2022,NUMBER,total,_T,235
2022,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,13
2022,NUMBER,"engineering,_production_and_construction",_T,8
2022,NUMBER,information_and_communication_technologies,_T,12
2022,NUMBER,health_and_social_protection,_T,92
2022,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,4
2022,NUMBER,"social_sciences,_journalism_and_information",_T,28
2022,NUMBER,"business,_administration_and_law",_T,17
2022,NUMBER,education,_T,29
2022,NUMBER,arts_and_humanities,_T,32
2022,NUMBER,services,_T,0
2022,NUMBER,total,M,101
2022,NUMBER,"natural_sciences,_mathematics_and_statistics",M,6
2022,NUMBER,"engineering,_production_and_construction",M,4
2022,NUMBER,information_and_communication_technologies,M,8
2022,NUMBER,health_and_social_protection,M,34
2022,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,3
2022,NUMBER,"social_sciences,_journalism_and_information",M,18
2022,NUMBER,"business,_administration_and_law",M,5
2022,NUMBER,education,M,17
2022,NUMBER,arts_and_humanities,M,6
2022,NUMBER,services,M,0
2022,NUMBER,total,F,134
2022,NUMBER,"natural_sciences,_mathematics_and_statistics",F,7
2022,NUMBER,"engineering,_production_and_construction",F,4
2022,NUMBER,information_and_communication_technologies,F,4
2022,NUMBER,health_and_social_protection,F,58
2022,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,1
2022,NUMBER,"social_sciences,_journalism_and_information",F,10
2022,NUMBER,"business,_administration_and_law",F,12
2022,NUMBER,education,F,12
2022,NUMBER,arts_and_humanities,F,26
2022,NUMBER,services,F,0
2023,NUMBER,total,_T,258
2023,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,15
2023,NUMBER,"engineering,_production_and_construction",_T,9
2023,NUMBER,information_and_communication_technologies,_T,21
2023,NUMBER,health_and_social_protection,_T,83
2023,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,12
2023,NUMBER,"social_sciences,_journalism_and_information",_T,22
2023,NUMBER,"business,_administration_and_law",_T,28
2023,NUMBER,education,_T,23
2023,NUMBER,arts_and_humanities,_T,45
2023,NUMBER,services,_T,0
2023,NUMBER,total,M,122
2023,NUMBER,"natural_sciences,_mathematics_and_statistics",M,8
2023,NUMBER,"engineering,_production_and_construction",M,5
2023,NUMBER,information_and_communication_technologies,M,16
2023,NUMBER,health_and_social_protection,M,29
2023,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,7
2023,NUMBER,"social_sciences,_journalism_and_information",M,11
2023,NUMBER,"business,_administration_and_law",M,17
2023,NUMBER,education,M,15
2023,NUMBER,arts_and_humanities,M,14
2023,NUMBER,services,M,0
2023,NUMBER,total,F,136
2023,NUMBER,"natural_sciences,_mathematics_and_statistics",F,7
2023,NUMBER,"engineering,_production_and_construction",F,4
2023,NUMBER,information_and_communication_technologies,F,5
2023,NUMBER,health_and_social_protection,F,54
2023,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2023,NUMBER,"social_sciences,_journalism_and_information",F,11
2023,NUMBER,"business,_administration_and_law",F,11
2023,NUMBER,education,F,8
2023,NUMBER,arts_and_humanities,F,31
2023,NUMBER,services,F,0
2024,NUMBER,total,_T,295
2024,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,14
2024,NUMBER,"engineering,_production_and_construction",_T,27
2024,NUMBER,information_and_communication_technologies,_T,18
2024,NUMBER,health_and_social_protection,_T,80
2024,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,19
2024,NUMBER,"social_sciences,_journalism_and_information",_T,25
2024,NUMBER,"business,_administration_and_law",_T,24
2024,NUMBER,education,_T,44
2024,NUMBER,arts_and_humanities,_T,44
2024,NUMBER,services,_T,0
2024,NUMBER,total,M,156
2024,NUMBER,"natural_sciences,_mathematics_and_statistics",M,8
2024,NUMBER,"engineering,_production_and_construction",M,20
2024,NUMBER,information_and_communication_technologies,M,15
2024,NUMBER,health_and_social_protection,M,33
2024,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2024,NUMBER,"social_sciences,_journalism_and_information",M,13
2024,NUMBER,"business,_administration_and_law",M,14
2024,NUMBER,education,M,25
2024,NUMBER,arts_and_humanities,M,18
2024,NUMBER,services,M,0
2024,NUMBER,total,F,139
2024,NUMBER,"natural_sciences,_mathematics_and_statistics",F,6
2024,NUMBER,"engineering,_production_and_construction",F,7
2024,NUMBER,information_and_communication_technologies,F,3
2024,NUMBER,health_and_social_protection,F,47
2024,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,9
2024,NUMBER,"social_sciences,_journalism_and_information",F,12
2024,NUMBER,"business,_administration_and_law",F,10
2024,NUMBER,education,F,19
2024,NUMBER,arts_and_humanities,F,26
2024,NUMBER,services,F,0
