Year,UNIT_MEASURE,Administrative area,Sex,Religion,Value
2013,Number,Petrovo,F,Total,3274
2013,Number,City of Prijedor,Both sexes,Total,80916
2013,Number,City of Prijedor,M,Total,39418
2013,Number,City of Prijedor,F,Total,41498
2013,Number,Prnjavor,Both sexes,Total,34357
2013,Number,Prnjavor,M,Total,16675
2013,Number,Prnjavor,F,Total,17682
2013,Number,Ribnik,Both sexes,Total,5851
2013,Number,Ribnik,M,Total,2900
2013,Number,Ribnik,F,Total,2951
2013,Number,Rogatica,Both sexes,Total,10302
2013,Number,Rogatica,M,Total,5053
2013,Number,Rogatica,F,Total,5249
2013,Number,Rudo,Both sexes,Total,7578
2013,Number,Rudo,M,Total,3840
2013,Number,Rudo,F,Total,3738
2013,Number,Sokolac,Both sexes,Total,11620
2013,Number,Sokolac,M,Total,5723
2013,Number,Sokolac,F,Total,5897
2013,Number,Srbac,Both sexes,Total,16933
2013,Number,Srbac,M,Total,8295
2013,Number,Srbac,F,Total,8638
2013,Number,Srebrenica,Both sexes,Total,11698
2013,Number,Srebrenica,M,Total,5714
2013,Number,Srebrenica,F,Total,5984
2013,Number,Teslic,Both sexes,Total,37236
2013,Number,Teslic,M,Total,17894
2013,Number,Teslic,F,Total,19342
2013,Number,City of Trebinje,Both sexes,Total,28239
2013,Number,City of Trebinje,M,Total,13760
2013,Number,City of Trebinje,F,Total,14479
2013,Number,Trnovo,Both sexes,Total,1983
2013,Number,Trnovo,M,Total,953
2013,Number,Trnovo,F,Total,1030
2013,Number,Ugljevik,Both sexes,Total,15118
2013,Number,Ugljevik,M,Total,7626
2013,Number,Ugljevik,F,Total,7492
2013,Number,Foca,Both sexes,Total,17580
2013,Number,Foca,M,Total,8880
2013,Number,Foca,F,Total,8700
2013,Number,Han Pijesak,Both sexes,Total,3445
2013,Number,Han Pijesak,M,Total,1632
2013,Number,Han Pijesak,F,Total,1813
2013,Number,Cajnice,Both sexes,Total,4679
2013,Number,Cajnice,M,Total,2347
2013,Number,Cajnice,F,Total,2332
2013,Number,Celinac,Both sexes,Total,15117
2013,Number,Celinac,M,Total,7477
2013,Number,Celinac,F,Total,7640
2013,Number,Samac,Both sexes,Total,16308
2013,Number,Samac,M,Total,7908
2013,Number,Samac,F,Total,8400
2013,Number,Sekovici,Both sexes,Total,6323
2013,Number,Sekovici,M,Total,3103
2013,Number,Sekovici,F,Total,3220
2013,Number,Sipovo,Both sexes,Total,9969
2013,Number,Sipovo,M,Total,5046
2013,Number,Sipovo,F,Total,4923
2013,Number,Republika Srpska,Both sexes,Muslim,149435
2013,Number,Republika Srpska,M,Muslim,72605
2013,Number,Republika Srpska,F,Muslim,76830
2013,Number,City of Banja Luka,Both sexes,Muslim,6693
2013,Number,City of Banja Luka,M,Muslim,3053
2013,Number,City of Banja Luka,F,Muslim,3640
2013,Number,Berkovici,Both sexes,Muslim,155
2013,Number,Berkovici,M,Muslim,87
2013,Number,Berkovici,F,Muslim,68
2013,Number,City of Bijeljina,Both sexes,Muslim,12055
2013,Number,City of Bijeljina,M,Muslim,5902
2013,Number,City of Bijeljina,F,Muslim,6153
2013,Number,Bileca,Both sexes,Muslim,23
2013,Number,Bileca,M,Muslim,14
2013,Number,Bileca,F,Muslim,9
2013,Number,Bratunac,Both sexes,Muslim,6591
2013,Number,Bratunac,M,Muslim,3220
2013,Number,Bratunac,F,Muslim,3371
2013,Number,Brod,Both sexes,Muslim,1311
2013,Number,Brod,M,Muslim,646
2013,Number,Brod,F,Muslim,665
2013,Number,Visegrad,Both sexes,Muslim,876
2013,Number,Visegrad,M,Muslim,443
2013,Number,Visegrad,F,Muslim,433
2013,Number,Vlasenica,Both sexes,Muslim,3354
2013,Number,Vlasenica,M,Muslim,1645
2013,Number,Vlasenica,F,Muslim,1709
2013,Number,Vukosavlje,Both sexes,Muslim,2154
2013,Number,Vukosavlje,M,Muslim,1105
2013,Number,Vukosavlje,F,Muslim,1049
2013,Number,Gacko,Both sexes,Muslim,330
2013,Number,Gacko,M,Muslim,178
2013,Number,Gacko,F,Muslim,152
2013,Number,City of Gradiska,Both sexes,Muslim,6619
2013,Number,City of Gradiska,M,Muslim,3214
2013,Number,City of Gradiska,F,Muslim,3405
2013,Number,City of Derventa,Both sexes,Muslim,1709
2013,Number,City of Derventa,M,Muslim,820
2013,Number,City of Derventa,F,Muslim,889
2013,Number,City of Doboj,Both sexes,Muslim,14342
2013,Number,City of Doboj,M,Muslim,6861
2013,Number,City of Doboj,F,Muslim,7481
2013,Number,Donji Zabar,Both sexes,Muslim,4
2013,Number,Donji Zabar,M,Muslim,0
2013,Number,Donji Zabar,F,Muslim,4
2013,Number,City of Zvornik,Both sexes,Muslim,16791
2013,Number,City of Zvornik,M,Muslim,8218
2013,Number,City of Zvornik,F,Muslim,8573
2013,Number,East Ilidza,Both sexes,Muslim,630
2013,Number,East Ilidza,M,Muslim,291
2013,Number,East Ilidza,F,Muslim,339
2013,Number,East Drvar,Both sexes,Muslim,0
2013,Number,East Drvar,M,Muslim,0
2013,Number,East Drvar,F,Muslim,0
2013,Number,East Mostar,Both sexes,Muslim,77
2013,Number,East Mostar,M,Muslim,44
2013,Number,East Mostar,F,Muslim,33
2013,Number,East Stari Grad,Both sexes,Muslim,38
2013,Number,East Stari Grad,M,Muslim,23
2013,Number,East Stari Grad,F,Muslim,15
2013,Number,East Novo Sarajevo,Both sexes,Muslim,121
2013,Number,East Novo Sarajevo,M,Muslim,52
2013,Number,East Novo Sarajevo,F,Muslim,69
2013,Number,Jezero,Both sexes,Muslim,250
2013,Number,Jezero,M,Muslim,117
2013,Number,Jezero,F,Muslim,133
2013,Number,Kalinovik,Both sexes,Muslim,42
2013,Number,Kalinovik,M,Muslim,19
2013,Number,Kalinovik,F,Muslim,23
2013,Number,Knezevo,Both sexes,Muslim,403
2013,Number,Knezevo,M,Muslim,182
2013,Number,Knezevo,F,Muslim,221
2013,Number,Kozarska Dubica,Both sexes,Muslim,1902
2013,Number,Kozarska Dubica,M,Muslim,915
2013,Number,Kozarska Dubica,F,Muslim,987
2013,Number,Kostajnica,Both sexes,Muslim,1271
2013,Number,Kostajnica,M,Muslim,623
2013,Number,Kostajnica,F,Muslim,648
2013,Number,Kotor Varos,Both sexes,Muslim,4498
2013,Number,Kotor Varos,M,Muslim,2159
2013,Number,Kotor Varos,F,Muslim,2339
2013,Number,Krupa Na Uni,Both sexes,Muslim,3
2013,Number,Krupa Na Uni,M,Muslim,1
2013,Number,Krupa Na Uni,F,Muslim,2
2013,Number,Kupres,Both sexes,Muslim,0
2013,Number,Kupres,M,Muslim,0
2013,Number,Kupres,F,Muslim,0
2013,Number,Laktasi,Both sexes,Muslim,110
2013,Number,Laktasi,M,Muslim,49
2013,Number,Laktasi,F,Muslim,61
2013,Number,Lopare,Both sexes,Muslim,1315
2013,Number,Lopare,M,Muslim,648
2013,Number,Lopare,F,Muslim,667
2013,Number,Ljubinje,Both sexes,Muslim,12
2013,Number,Ljubinje,M,Muslim,6
2013,Number,Ljubinje,F,Muslim,6
2013,Number,Milici,Both sexes,Muslim,3538
2013,Number,Milici,M,Muslim,1750
2013,Number,Milici,F,Muslim,1788
2013,Number,Modrica,Both sexes,Muslim,3032
2013,Number,Modrica,M,Muslim,1445
2013,Number,Modrica,F,Muslim,1587
2013,Number,Mrkonjic Grad,Both sexes,Muslim,351
2013,Number,Mrkonjic Grad,M,Muslim,170
2013,Number,Mrkonjic Grad,F,Muslim,181
2013,Number,Nevesinje,Both sexes,Muslim,508
2013,Number,Nevesinje,M,Muslim,260
2013,Number,Nevesinje,F,Muslim,248
2013,Number,Novi Grad,Both sexes,Muslim,5261
2013,Number,Novi Grad,M,Muslim,2635
2013,Number,Novi Grad,F,Muslim,2626
2013,Number,Novo Gorazde,Both sexes,Muslim,1319
2013,Number,Novo Gorazde,M,Muslim,662
2013,Number,Novo Gorazde,F,Muslim,657
2013,Number,Osmaci,Both sexes,Muslim,2647
2013,Number,Osmaci,M,Muslim,1303
2013,Number,Osmaci,F,Muslim,1344
2013,Number,Ostra Luka,Both sexes,Muslim,26
2013,Number,Ostra Luka,M,Muslim,8
2013,Number,Ostra Luka,F,Muslim,18
2013,Number,Pale,Both sexes,Muslim,160
2013,Number,Pale,M,Muslim,83
2013,Number,Pale,F,Muslim,77
2013,Number,Pelagicevo,Both sexes,Muslim,13
2013,Number,Pelagicevo,M,Muslim,3
2013,Number,Pelagicevo,F,Muslim,10
2013,Number,Petrovac,Both sexes,Muslim,0
2013,Number,Petrovac,M,Muslim,0
2013,Number,Petrovac,F,Muslim,0
2013,Number,Petrovo,Both sexes,Muslim,7
2013,Number,Petrovo,M,Muslim,2
2013,Number,Petrovo,F,Muslim,5
2013,Number,City of Prijedor,Both sexes,Muslim,22271
2013,Number,City of Prijedor,M,Muslim,10662
2013,Number,City of Prijedor,F,Muslim,11609
2013,Number,Prnjavor,Both sexes,Muslim,2776
2013,Number,Prnjavor,M,Muslim,1337
2013,Number,Prnjavor,F,Muslim,1439
2013,Number,Ribnik,Both sexes,Muslim,0
2013,Number,Ribnik,M,Muslim,0
2013,Number,Ribnik,F,Muslim,0
2013,Number,Rogatica,Both sexes,Muslim,1006
2013,Number,Rogatica,M,Muslim,517
2013,Number,Rogatica,F,Muslim,489
2013,Number,Rudo,Both sexes,Muslim,588
2013,Number,Rudo,M,Muslim,306
2013,Number,Rudo,F,Muslim,282
2013,Number,Sokolac,Both sexes,Muslim,620
2013,Number,Sokolac,M,Muslim,325
2013,Number,Sokolac,F,Muslim,295
2013,Number,Srbac,Both sexes,Muslim,399
2013,Number,Srbac,M,Muslim,184
2013,Number,Srbac,F,Muslim,215
2013,Number,Srebrenica,Both sexes,Muslim,6134
2013,Number,Srebrenica,M,Muslim,2916
2013,Number,Srebrenica,F,Muslim,3218
2013,Number,Teslic,Both sexes,Muslim,6932
2013,Number,Teslic,M,Muslim,3410
2013,Number,Teslic,F,Muslim,3522
2013,Number,City of Trebinje,Both sexes,Muslim,848
2013,Number,City of Trebinje,M,Muslim,415
2013,Number,City of Trebinje,F,Muslim,433
2013,Number,Trnovo,Both sexes,Muslim,802
2013,Number,Trnovo,M,Muslim,395
2013,Number,Trnovo,F,Muslim,407
2013,Number,Ugljevik,Both sexes,Muslim,2002
2013,Number,Ugljevik,M,Muslim,977
2013,Number,Ugljevik,F,Muslim,1025
2013,Number,Foca,Both sexes,Muslim,1173
2013,Number,Foca,M,Muslim,630
2013,Number,Foca,F,Muslim,543
2013,Number,Han Pijesak,Both sexes,Muslim,435
2013,Number,Han Pijesak,M,Muslim,212
2013,Number,Han Pijesak,F,Muslim,223
2013,Number,Cajnice,Both sexes,Muslim,836
2013,Number,Cajnice,M,Muslim,440
2013,Number,Cajnice,F,Muslim,396
2013,Number,Celinac,Both sexes,Muslim,406
2013,Number,Celinac,M,Muslim,203
2013,Number,Celinac,F,Muslim,203
2013,Number,Samac,Both sexes,Muslim,976
2013,Number,Samac,M,Muslim,471
2013,Number,Samac,F,Muslim,505
2013,Number,Sekovici,Both sexes,Muslim,107
2013,Number,Sekovici,M,Muslim,54
2013,Number,Sekovici,F,Muslim,53
2013,Number,Sipovo,Both sexes,Muslim,583
2013,Number,Sipovo,M,Muslim,295
2013,Number,Sipovo,F,Muslim,288
2013,Number,Republika Srpska,Both sexes,Catholic,25763
2013,Number,Republika Srpska,M,Catholic,10431
2013,Number,Republika Srpska,F,Catholic,15332
2013,Number,City of Banja Luka,Both sexes,Catholic,4637
2013,Number,City of Banja Luka,M,Catholic,1585
2013,Number,City of Banja Luka,F,Catholic,3052
2013,Number,Berkovici,Both sexes,Catholic,6
2013,Number,Berkovici,M,Catholic,1
2013,Number,Berkovici,F,Catholic,5
2013,Number,City of Bijeljina,Both sexes,Catholic,508
2013,Number,City of Bijeljina,M,Catholic,103
2013,Number,City of Bijeljina,F,Catholic,405
2013,Number,Bileca,Both sexes,Catholic,18
2013,Number,Bileca,M,Catholic,2
2013,Number,Bileca,F,Catholic,16
2013,Number,Bratunac,Both sexes,Catholic,26
2013,Number,Bratunac,M,Catholic,3
2013,Number,Bratunac,F,Catholic,23
2013,Number,Brod,Both sexes,Catholic,2925
2013,Number,Brod,M,Catholic,1360
2013,Number,Brod,F,Catholic,1565
2013,Number,Visegrad,Both sexes,Catholic,33
2013,Number,Visegrad,M,Catholic,6
2013,Number,Visegrad,F,Catholic,27
2013,Number,Vlasenica,Both sexes,Catholic,22
2013,Number,Vlasenica,M,Catholic,4
2013,Number,Vlasenica,F,Catholic,18
2013,Number,Vukosavlje,Both sexes,Catholic,680
2013,Number,Vukosavlje,M,Catholic,325
2013,Number,Vukosavlje,F,Catholic,355
2013,Number,Gacko,Both sexes,Catholic,10
2013,Number,Gacko,M,Catholic,4
2013,Number,Gacko,F,Catholic,6
2013,Number,City of Gradiska,Both sexes,Catholic,865
2013,Number,City of Gradiska,M,Catholic,303
2013,Number,City of Gradiska,F,Catholic,562
2013,Number,City of Derventa,Both sexes,Catholic,2109
2013,Number,City of Derventa,M,Catholic,999
2013,Number,City of Derventa,F,Catholic,1110
2013,Number,City of Doboj,Both sexes,Catholic,1448
2013,Number,City of Doboj,M,Catholic,532
2013,Number,City of Doboj,F,Catholic,916
2013,Number,Donji Zabar,Both sexes,Catholic,977
2013,Number,Donji Zabar,M,Catholic,490
2013,Number,Donji Zabar,F,Catholic,487
2013,Number,City of Zvornik,Both sexes,Catholic,83
2013,Number,City of Zvornik,M,Catholic,6
2013,Number,City of Zvornik,F,Catholic,77
2013,Number,East Ilidza,Both sexes,Catholic,142
2013,Number,East Ilidza,M,Catholic,36
2013,Number,East Ilidza,F,Catholic,106
2013,Number,East Drvar,Both sexes,Catholic,1
2013,Number,East Drvar,M,Catholic,0
2013,Number,East Drvar,F,Catholic,1
2013,Number,East Mostar,Both sexes,Catholic,11
2013,Number,East Mostar,M,Catholic,8
2013,Number,East Mostar,F,Catholic,3
2013,Number,East Stari Grad,Both sexes,Catholic,5
2013,Number,East Stari Grad,M,Catholic,0
2013,Number,East Stari Grad,F,Catholic,5
2013,Number,East Novo Sarajevo,Both sexes,Catholic,101
2013,Number,East Novo Sarajevo,M,Catholic,28
2013,Number,East Novo Sarajevo,F,Catholic,73
2013,Number,Jezero,Both sexes,Catholic,4
2013,Number,Jezero,M,Catholic,2
2013,Number,Jezero,F,Catholic,2
2013,Number,Kalinovik,Both sexes,Catholic,5
2013,Number,Kalinovik,M,Catholic,2
2013,Number,Kalinovik,F,Catholic,3
2013,Number,Knezevo,Both sexes,Catholic,17
2013,Number,Knezevo,M,Catholic,4
2013,Number,Knezevo,F,Catholic,13
2013,Number,Kozarska Dubica,Both sexes,Catholic,250
2013,Number,Kozarska Dubica,M,Catholic,72
2013,Number,Kozarska Dubica,F,Catholic,178
2013,Number,Kostajnica,Both sexes,Catholic,84
2013,Number,Kostajnica,M,Catholic,26
2013,Number,Kostajnica,F,Catholic,58
2013,Number,Kotor Varos,Both sexes,Catholic,788
2013,Number,Kotor Varos,M,Catholic,365
2013,Number,Kotor Varos,F,Catholic,423
2013,Number,Krupa Na Uni,Both sexes,Catholic,2
2013,Number,Krupa Na Uni,M,Catholic,0
2013,Number,Krupa Na Uni,F,Catholic,2
2013,Number,Kupres,Both sexes,Catholic,0
2013,Number,Kupres,M,Catholic,0
2013,Number,Kupres,F,Catholic,0
2013,Number,Laktasi,Both sexes,Catholic,497
2013,Number,Laktasi,M,Catholic,166
2013,Number,Laktasi,F,Catholic,331
2013,Number,Lopare,Both sexes,Catholic,40
2013,Number,Lopare,M,Catholic,5
2013,Number,Lopare,F,Catholic,35
2013,Number,Ljubinje,Both sexes,Catholic,5
2013,Number,Ljubinje,M,Catholic,1
2013,Number,Ljubinje,F,Catholic,4
2013,Number,Milici,Both sexes,Catholic,17
2013,Number,Milici,M,Catholic,5
2013,Number,Milici,F,Catholic,12
2013,Number,Modrica,Both sexes,Catholic,1365
2013,Number,Modrica,M,Catholic,651
2013,Number,Modrica,F,Catholic,714
2013,Number,Mrkonjic Grad,Both sexes,Catholic,146
2013,Number,Mrkonjic Grad,M,Catholic,56
2013,Number,Mrkonjic Grad,F,Catholic,90
2013,Number,Nevesinje,Both sexes,Catholic,21
2013,Number,Nevesinje,M,Catholic,5
2013,Number,Nevesinje,F,Catholic,16
2013,Number,Novi Grad,Both sexes,Catholic,152
2013,Number,Novi Grad,M,Catholic,47
2013,Number,Novi Grad,F,Catholic,105
2013,Number,Novo Gorazde,Both sexes,Catholic,2
2013,Number,Novo Gorazde,M,Catholic,1
2013,Number,Novo Gorazde,F,Catholic,1
2013,Number,Osmaci,Both sexes,Catholic,4
2013,Number,Osmaci,M,Catholic,0
2013,Number,Osmaci,F,Catholic,4
2013,Number,Ostra Luka,Both sexes,Catholic,131
2013,Number,Ostra Luka,M,Catholic,62
2013,Number,Ostra Luka,F,Catholic,69
2013,Number,Pale,Both sexes,Catholic,116
2013,Number,Pale,M,Catholic,30
2013,Number,Pale,F,Catholic,86
2013,Number,Pelagicevo,Both sexes,Catholic,1180
2013,Number,Pelagicevo,M,Catholic,578
2013,Number,Pelagicevo,F,Catholic,602
2013,Number,Petrovac,Both sexes,Catholic,0
2013,Number,Petrovac,M,Catholic,0
2013,Number,Petrovac,F,Catholic,0
2013,Number,Petrovo,Both sexes,Catholic,35
2013,Number,Petrovo,M,Catholic,10
2013,Number,Petrovo,F,Catholic,25
2013,Number,City of Prijedor,Both sexes,Catholic,1544
2013,Number,City of Prijedor,M,Catholic,587
2013,Number,City of Prijedor,F,Catholic,957
2013,Number,Prnjavor,Both sexes,Catholic,645
2013,Number,Prnjavor,M,Catholic,255
2013,Number,Prnjavor,F,Catholic,390
2013,Number,Ribnik,Both sexes,Catholic,7
2013,Number,Ribnik,M,Catholic,1
2013,Number,Ribnik,F,Catholic,6
2013,Number,Rogatica,Both sexes,Catholic,16
2013,Number,Rogatica,M,Catholic,1
2013,Number,Rogatica,F,Catholic,15
2013,Number,Rudo,Both sexes,Catholic,3
2013,Number,Rudo,M,Catholic,1
2013,Number,Rudo,F,Catholic,2
2013,Number,Sokolac,Both sexes,Catholic,23
2013,Number,Sokolac,M,Catholic,3
2013,Number,Sokolac,F,Catholic,20
2013,Number,Srbac,Both sexes,Catholic,153
2013,Number,Srbac,M,Catholic,37
2013,Number,Srbac,F,Catholic,116
2013,Number,Srebrenica,Both sexes,Catholic,17
2013,Number,Srebrenica,M,Catholic,7
2013,Number,Srebrenica,F,Catholic,10
2013,Number,Teslic,Both sexes,Catholic,1292
2013,Number,Teslic,M,Catholic,552
2013,Number,Teslic,F,Catholic,740
2013,Number,City of Trebinje,Both sexes,Catholic,293
2013,Number,City of Trebinje,M,Catholic,90
2013,Number,City of Trebinje,F,Catholic,203
2013,Number,Trnovo,Both sexes,Catholic,15
2013,Number,Trnovo,M,Catholic,2
2013,Number,Trnovo,F,Catholic,13
2013,Number,Ugljevik,Both sexes,Catholic,39
2013,Number,Ugljevik,M,Catholic,7
2013,Number,Ugljevik,F,Catholic,32
2013,Number,Foca,Both sexes,Catholic,64
2013,Number,Foca,M,Catholic,20
2013,Number,Foca,F,Catholic,44
2013,Number,Han Pijesak,Both sexes,Catholic,5
2013,Number,Han Pijesak,M,Catholic,0
2013,Number,Han Pijesak,F,Catholic,5
2013,Number,Cajnice,Both sexes,Catholic,5
2013,Number,Cajnice,M,Catholic,0
2013,Number,Cajnice,F,Catholic,5
2013,Number,Celinac,Both sexes,Catholic,58
2013,Number,Celinac,M,Catholic,14
2013,Number,Celinac,F,Catholic,44
2013,Number,Samac,Both sexes,Catholic,2091
2013,Number,Samac,M,Catholic,969
2013,Number,Samac,F,Catholic,1122
2013,Number,Sekovici,Both sexes,Catholic,7
2013,Number,Sekovici,M,Catholic,0
2013,Number,Sekovici,F,Catholic,7
2013,Number,Sipovo,Both sexes,Catholic,18
2013,Number,Sipovo,M,Catholic,2
2013,Number,Sipovo,F,Catholic,16
2013,Number,Republika Srpska,Both sexes,ortodox,969315
2013,Number,Republika Srpska,M,ortodox,476184
2013,Number,Republika Srpska,F,ortodox,493131
2013,Number,City of Banja Luka,Both sexes,ortodox,161267
2013,Number,City of Banja Luka,M,ortodox,78266
2013,Number,City of Banja Luka,F,ortodox,83001
2013,Number,Berkovici,Both sexes,ortodox,1873
2013,Number,Berkovici,M,ortodox,940
2013,Number,Berkovici,F,ortodox,933
2013,Number,City of Bijeljina,Both sexes,ortodox,89144
2013,Number,City of Bijeljina,M,ortodox,43682
2013,Number,City of Bijeljina,F,ortodox,45462
2013,Number,Bileca,Both sexes,ortodox,10490
2013,Number,Bileca,M,ortodox,5291
2013,Number,Bileca,F,ortodox,5199
2013,Number,Bratunac,Both sexes,ortodox,11726
2013,Number,Bratunac,M,ortodox,5835
2013,Number,Bratunac,F,ortodox,5891
2013,Number,Brod,Both sexes,ortodox,11066
2013,Number,Brod,M,ortodox,5474
2013,Number,Brod,F,ortodox,5592
2013,Number,Visegrad,Both sexes,ortodox,8913
2013,Number,Visegrad,M,ortodox,4315
2013,Number,Visegrad,F,ortodox,4598
2013,Number,Vlasenica,Both sexes,ortodox,7111
2013,Number,Vlasenica,M,ortodox,3473
2013,Number,Vlasenica,F,ortodox,3638
2013,Number,Vukosavlje,Both sexes,ortodox,1442
2013,Number,Vukosavlje,M,ortodox,713
2013,Number,Vukosavlje,F,ortodox,729
2013,Number,Gacko,Both sexes,ortodox,8337
2013,Number,Gacko,M,ortodox,4228
2013,Number,Gacko,F,ortodox,4109
2013,Number,City of Gradiska,Both sexes,ortodox,40702
2013,Number,City of Gradiska,M,ortodox,19929
2013,Number,City of Gradiska,F,ortodox,20773
2013,Number,City of Derventa,Both sexes,ortodox,21541
2013,Number,City of Derventa,M,ortodox,10537
2013,Number,City of Derventa,F,ortodox,11004
2013,Number,City of Doboj,Both sexes,ortodox,50744
2013,Number,City of Doboj,M,ortodox,24842
2013,Number,City of Doboj,F,ortodox,25902
