Year,UNIT_MEASURE,Scientific field,Sex,Value
2018,Number,Health and social protection,F,28
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,3
2018,Number,"Social sciences, journalism and information",F,8
2018,Number,"Business, administration and law",F,6
2018,Number,Education,F,0
2018,Number,Arts and humanities,F,12
2018,Number,Services,F,0
2019,Number,Total,Both sexes,165
2019,Number,"Natural sciences, mathematics and statistics",Both sexes,10
2019,Number,"Engineering, manufacturing and construction",Both sexes,0
2019,Number,Information and communication technologies,Both sexes,0
2019,Number,Health and social protection,Both sexes,65
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,9
2019,Number,"Social sciences, journalism and information",Both sexes,58
2019,Number,"Business, administration and law",Both sexes,5
2019,Number,Education,Both sexes,8
2019,Number,Arts and humanities,Both sexes,10
2019,Number,Services,Both sexes,0
2019,Number,Total,M,71
2019,Number,"Natural sciences, mathematics and statistics",M,6
2019,Number,"Engineering, manufacturing and construction",M,0
2019,Number,Information and communication technologies,M,0
2019,Number,Health and social protection,M,19
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,6
2019,Number,"Social sciences, journalism and information",M,28
2019,Number,"Business, administration and law",M,2
2019,Number,Education,M,5
2019,Number,Arts and humanities,M,5
2019,Number,Services,M,0
2019,Number,Total,F,94
2019,Number,"Natural sciences, mathematics and statistics",F,4
2019,Number,"Engineering, manufacturing and construction",F,0
2019,Number,Information and communication technologies,F,0
2019,Number,Health and social protection,F,46
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,3
2019,Number,"Social sciences, journalism and information",F,30
2019,Number,"Business, administration and law",F,3
2019,Number,Education,F,3
2019,Number,Arts and humanities,F,5
2019,Number,Services,F,0
2020,Number,Total,Both sexes,184
2020,Number,"Natural sciences, mathematics and statistics",Both sexes,12
2020,Number,"Engineering, manufacturing and construction",Both sexes,2
2020,Number,Information and communication technologies,Both sexes,5
2020,Number,Health and social protection,Both sexes,96
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,14
2020,Number,"Social sciences, journalism and information",Both sexes,22
2020,Number,"Business, administration and law",Both sexes,1
2020,Number,Education,Both sexes,8
2020,Number,Arts and humanities,Both sexes,24
2020,Number,Services,Both sexes,0
2020,Number,Total,M,79
2020,Number,"Natural sciences, mathematics and statistics",M,8
2020,Number,"Engineering, manufacturing and construction",M,1
2020,Number,Information and communication technologies,M,3
2020,Number,Health and social protection,M,35
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,9
2020,Number,"Social sciences, journalism and information",M,12
2020,Number,"Business, administration and law",M,0
2020,Number,Education,M,8
2020,Number,Arts and humanities,M,3
2020,Number,Services,M,0
2020,Number,Total,F,105
2020,Number,"Natural sciences, mathematics and statistics",F,4
2020,Number,"Engineering, manufacturing and construction",F,1
2020,Number,Information and communication technologies,F,2
2020,Number,Health and social protection,F,61
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,5
2020,Number,"Social sciences, journalism and information",F,10
2020,Number,"Business, administration and law",F,1
2020,Number,Education,F,0
2020,Number,Arts and humanities,F,21
2020,Number,Services,F,0
