Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2004,Number,M,Diseases of the endocrine glands nutrition and metabolism,68
2005,Number,M,Diseases of the endocrine glands nutrition and metabolism,286
2006,Number,M,Diseases of the endocrine glands nutrition and metabolism,306
2007,Number,M,Diseases of the endocrine glands nutrition and metabolism,349
2008,Number,M,Diseases of the endocrine glands nutrition and metabolism,310
2009,Number,M,Diseases of the endocrine glands nutrition and metabolism,361
2010,Number,M,Diseases of the endocrine glands nutrition and metabolism,289
2011,Number,M,Diseases of the endocrine glands nutrition and metabolism,257
2012,Number,M,Diseases of the endocrine glands nutrition and metabolism,211
2013,Number,M,Diseases of the endocrine glands nutrition and metabolism,341
2014,Number,M,Diseases of the endocrine glands nutrition and metabolism,411
2015,Number,M,Diseases of the endocrine glands nutrition and metabolism,362
2016,Number,M,Diseases of the endocrine glands nutrition and metabolism,313
2017,Number,M,Diseases of the endocrine glands nutrition and metabolism,373
2018,Number,M,Diseases of the endocrine glands nutrition and metabolism,386
2019,Number,M,Diseases of the endocrine glands nutrition and metabolism,261
2020,Number,M,Diseases of the endocrine glands nutrition and metabolism,340
2003,Number,M,Mental disorders and behavioral disorders,24
2004,Number,M,Mental disorders and behavioral disorders,46
2005,Number,M,Mental disorders and behavioral disorders,64
2006,Number,M,Mental disorders and behavioral disorders,67
2007,Number,M,Mental disorders and behavioral disorders,87
2008,Number,M,Mental disorders and behavioral disorders,82
2009,Number,M,Mental disorders and behavioral disorders,92
2010,Number,M,Mental disorders and behavioral disorders,73
2011,Number,M,Mental disorders and behavioral disorders,58
2012,Number,M,Mental disorders and behavioral disorders,46
2013,Number,M,Mental disorders and behavioral disorders,64
2014,Number,M,Mental disorders and behavioral disorders,63
2015,Number,M,Mental disorders and behavioral disorders,44
2016,Number,M,Mental disorders and behavioral disorders,72
2017,Number,M,Mental disorders and behavioral disorders,70
2018,Number,M,Mental disorders and behavioral disorders,55
2019,Number,M,Mental disorders and behavioral disorders,50
2020,Number,M,Mental disorders and behavioral disorders,43
2003,Number,M,Nervous system diseases,39
2004,Number,M,Nervous system diseases,53
2005,Number,M,Nervous system diseases,86
2006,Number,M,Nervous system diseases,111
2007,Number,M,Nervous system diseases,85
2008,Number,M,Nervous system diseases,91
2009,Number,M,Nervous system diseases,78
2010,Number,M,Nervous system diseases,76
2011,Number,M,Nervous system diseases,112
2012,Number,M,Nervous system diseases,105
2013,Number,M,Nervous system diseases,98
2014,Number,M,Nervous system diseases,97
2015,Number,M,Nervous system diseases,106
2016,Number,M,Nervous system diseases,96
2017,Number,M,Nervous system diseases,102
2018,Number,M,Nervous system diseases,82
2019,Number,M,Nervous system diseases,84
2020,Number,M,Nervous system diseases,91
2003,Number,M,Eye diseases and eye soldering disease,0
2004,Number,M,Eye diseases and eye soldering disease,0
2005,Number,M,Eye diseases and eye soldering disease,0
2006,Number,M,Eye diseases and eye soldering disease,0
2007,Number,M,Eye diseases and eye soldering disease,0
2008,Number,M,Eye diseases and eye soldering disease,0
2009,Number,M,Eye diseases and eye soldering disease,0
2010,Number,M,Eye diseases and eye soldering disease,0
2011,Number,M,Eye diseases and eye soldering disease,0
2012,Number,M,Eye diseases and eye soldering disease,0
2013,Number,M,Eye diseases and eye soldering disease,0
2014,Number,M,Eye diseases and eye soldering disease,0
2015,Number,M,Eye diseases and eye soldering disease,0
2016,Number,M,Eye diseases and eye soldering disease,0
2017,Number,M,Eye diseases and eye soldering disease,0
2018,Number,M,Eye diseases and eye soldering disease,0
2019,Number,M,Eye diseases and eye soldering disease,0
2020,Number,M,Eye diseases and eye soldering disease,0
2003,Number,M,diseases_of_ear_and_mastoid_process,0
2004,Number,M,diseases_of_ear_and_mastoid_process,0
2005,Number,M,diseases_of_ear_and_mastoid_process,1
2006,Number,M,diseases_of_ear_and_mastoid_process,0
2007,Number,M,diseases_of_ear_and_mastoid_process,1
2008,Number,M,diseases_of_ear_and_mastoid_process,0
2009,Number,M,diseases_of_ear_and_mastoid_process,0
2010,Number,M,diseases_of_ear_and_mastoid_process,0
2011,Number,M,diseases_of_ear_and_mastoid_process,0
2012,Number,M,diseases_of_ear_and_mastoid_process,0
2013,Number,M,diseases_of_ear_and_mastoid_process,0
2014,Number,M,diseases_of_ear_and_mastoid_process,0
2015,Number,M,diseases_of_ear_and_mastoid_process,0
2016,Number,M,diseases_of_ear_and_mastoid_process,0
2017,Number,M,diseases_of_ear_and_mastoid_process,0
2018,Number,M,diseases_of_ear_and_mastoid_process,0
2019,Number,M,diseases_of_ear_and_mastoid_process,0
2020,Number,M,diseases_of_ear_and_mastoid_process,0
2003,Number,M,Diseases of the circulatory system,3323
2004,Number,M,Diseases of the circulatory system,3383
2005,Number,M,Diseases of the circulatory system,3325
2006,Number,M,Diseases of the circulatory system,3005
2007,Number,M,Diseases of the circulatory system,3233
2008,Number,M,Diseases of the circulatory system,3209
2009,Number,M,Diseases of the circulatory system,3271
2010,Number,M,Diseases of the circulatory system,3285
2011,Number,M,Diseases of the circulatory system,3330
2012,Number,M,Diseases of the circulatory system,3516
2013,Number,M,Diseases of the circulatory system,3062
2014,Number,M,Diseases of the circulatory system,3142
2015,Number,M,Diseases of the circulatory system,3311
2016,Number,M,Diseases of the circulatory system,3177
2017,Number,M,Diseases of the circulatory system,3220
2018,Number,M,Diseases of the circulatory system,3084
2019,Number,M,Diseases of the circulatory system,3440
2020,Number,M,Diseases of the circulatory system,3452
2003,Number,M,Diseases of the respiratory system,184
2004,Number,M,Diseases of the respiratory system,211
2005,Number,M,Diseases of the respiratory system,284
2006,Number,M,Diseases of the respiratory system,292
2007,Number,M,Diseases of the respiratory system,282
2008,Number,M,Diseases of the respiratory system,276
2009,Number,M,Diseases of the respiratory system,254
2010,Number,M,Diseases of the respiratory system,277
2011,Number,M,Diseases of the respiratory system,303
2012,Number,M,Diseases of the respiratory system,263
2013,Number,M,Diseases of the respiratory system,334
2014,Number,M,Diseases of the respiratory system,315
2015,Number,M,Diseases of the respiratory system,370
2016,Number,M,Diseases of the respiratory system,306
2017,Number,M,Diseases of the respiratory system,333
2018,Number,M,Diseases of the respiratory system,344
2019,Number,M,Diseases of the respiratory system,338
2020,Number,M,Diseases of the respiratory system,377
2003,Number,M,Diseases of the digestive system,216
2004,Number,M,Diseases of the digestive system,206
2005,Number,M,Diseases of the digestive system,219
2006,Number,M,Diseases of the digestive system,233
2007,Number,M,Diseases of the digestive system,249
2008,Number,M,Diseases of the digestive system,235
2009,Number,M,Diseases of the digestive system,223
2010,Number,M,Diseases of the digestive system,242
2011,Number,M,Diseases of the digestive system,255
2012,Number,M,Diseases of the digestive system,248
2013,Number,M,Diseases of the digestive system,219
2014,Number,M,Diseases of the digestive system,241
2015,Number,M,Diseases of the digestive system,249
2016,Number,M,Diseases of the digestive system,265
2017,Number,M,Diseases of the digestive system,229
2018,Number,M,Diseases of the digestive system,290
2019,Number,M,Diseases of the digestive system,239
2020,Number,M,Diseases of the digestive system,269
2003,Number,M,Skin and subcutaneous tissue disorders,0
2004,Number,M,Skin and subcutaneous tissue disorders,0
2005,Number,M,Skin and subcutaneous tissue disorders,0
2006,Number,M,Skin and subcutaneous tissue disorders,0
2007,Number,M,Skin and subcutaneous tissue disorders,0
2008,Number,M,Skin and subcutaneous tissue disorders,0
2009,Number,M,Skin and subcutaneous tissue disorders,1
2010,Number,M,Skin and subcutaneous tissue disorders,4
2011,Number,M,Skin and subcutaneous tissue disorders,0
2012,Number,M,Skin and subcutaneous tissue disorders,3
2013,Number,M,Skin and subcutaneous tissue disorders,9
2014,Number,M,Skin and subcutaneous tissue disorders,13
2015,Number,M,Skin and subcutaneous tissue disorders,7
2016,Number,M,Skin and subcutaneous tissue disorders,7
2017,Number,M,Skin and subcutaneous tissue disorders,5
2018,Number,M,Skin and subcutaneous tissue disorders,12
2019,Number,M,Skin and subcutaneous tissue disorders,7
2020,Number,M,Skin and subcutaneous tissue disorders,13
2003,Number,M,Diseases of the musculoskeletal system and connective tissue,3
2004,Number,M,Diseases of the musculoskeletal system and connective tissue,1
2005,Number,M,Diseases of the musculoskeletal system and connective tissue,5
2006,Number,M,Diseases of the musculoskeletal system and connective tissue,1
2007,Number,M,Diseases of the musculoskeletal system and connective tissue,4
2008,Number,M,Diseases of the musculoskeletal system and connective tissue,3
2009,Number,M,Diseases of the musculoskeletal system and connective tissue,2
2010,Number,M,Diseases of the musculoskeletal system and connective tissue,3
2011,Number,M,Diseases of the musculoskeletal system and connective tissue,4
2012,Number,M,Diseases of the musculoskeletal system and connective tissue,4
2013,Number,M,Diseases of the musculoskeletal system and connective tissue,9
2014,Number,M,Diseases of the musculoskeletal system and connective tissue,8
2015,Number,M,Diseases of the musculoskeletal system and connective tissue,12
2016,Number,M,Diseases of the musculoskeletal system and connective tissue,6
2017,Number,M,Diseases of the musculoskeletal system and connective tissue,8
2018,Number,M,Diseases of the musculoskeletal system and connective tissue,4
2019,Number,M,Diseases of the musculoskeletal system and connective tissue,4
2020,Number,M,Diseases of the musculoskeletal system and connective tissue,7
2003,Number,M,Diseases_of_the_genitourinary_system,123
2004,Number,M,Diseases_of_the_genitourinary_system,113
2005,Number,M,Diseases_of_the_genitourinary_system,160
2006,Number,M,Diseases_of_the_genitourinary_system,152
2007,Number,M,Diseases_of_the_genitourinary_system,163
2008,Number,M,Diseases_of_the_genitourinary_system,155
2009,Number,M,Diseases_of_the_genitourinary_system,139
2010,Number,M,Diseases_of_the_genitourinary_system,140
2011,Number,M,Diseases_of_the_genitourinary_system,101
2012,Number,M,Diseases_of_the_genitourinary_system,116
2013,Number,M,Diseases_of_the_genitourinary_system,121
2014,Number,M,Diseases_of_the_genitourinary_system,73
2015,Number,M,Diseases_of_the_genitourinary_system,93
2016,Number,M,Diseases_of_the_genitourinary_system,117
2017,Number,M,Diseases_of_the_genitourinary_system,96
2018,Number,M,Diseases_of_the_genitourinary_system,117
2019,Number,M,Diseases_of_the_genitourinary_system,104
2020,Number,M,Diseases_of_the_genitourinary_system,113
2003,Number,M,Certain conditions occurred in the perinatal period,23
2004,Number,M,Certain conditions occurred in the perinatal period,28
2005,Number,M,Certain conditions occurred in the perinatal period,17
2006,Number,M,Certain conditions occurred in the perinatal period,26
2007,Number,M,Certain conditions occurred in the perinatal period,15
2008,Number,M,Certain conditions occurred in the perinatal period,12
2009,Number,M,Certain conditions occurred in the perinatal period,22
2010,Number,M,Certain conditions occurred in the perinatal period,13
2011,Number,M,Certain conditions occurred in the perinatal period,20
2012,Number,M,Certain conditions occurred in the perinatal period,18
2013,Number,M,Certain conditions occurred in the perinatal period,13
2014,Number,M,Certain conditions occurred in the perinatal period,7
2015,Number,M,Certain conditions occurred in the perinatal period,2
2016,Number,M,Certain conditions occurred in the perinatal period,13
2017,Number,M,Certain conditions occurred in the perinatal period,7
2018,Number,M,Certain conditions occurred in the perinatal period,3
2019,Number,M,Certain conditions occurred in the perinatal period,6
2020,Number,M,Certain conditions occurred in the perinatal period,16
2003,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",7
2004,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",10
2005,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",6
2006,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",7
2007,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",8
2008,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",5
2009,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",7
2010,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",10
2011,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",7
2012,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",5
2013,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",7
2014,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",3
2015,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",3
2016,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",3
2017,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",4
2018,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",2
2019,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",0
2020,Number,M,"Congenital anomalies, deformities and chromosomal abnormalities",3
2003,Number,M,Symptoms signs and abnormal clinical and laboratory findings,821
2004,Number,M,Symptoms signs and abnormal clinical and laboratory findings,726
2005,Number,M,Symptoms signs and abnormal clinical and laboratory findings,659
2006,Number,M,Symptoms signs and abnormal clinical and laboratory findings,627
2007,Number,M,Symptoms signs and abnormal clinical and laboratory findings,638
2008,Number,M,Symptoms signs and abnormal clinical and laboratory findings,496
2009,Number,M,Symptoms signs and abnormal clinical and laboratory findings,485
2010,Number,M,Symptoms signs and abnormal clinical and laboratory findings,446
2011,Number,M,Symptoms signs and abnormal clinical and laboratory findings,302
2012,Number,M,Symptoms signs and abnormal clinical and laboratory findings,277
2013,Number,M,Symptoms signs and abnormal clinical and laboratory findings,643
2014,Number,M,Symptoms signs and abnormal clinical and laboratory findings,718
2015,Number,M,Symptoms signs and abnormal clinical and laboratory findings,780
2016,Number,M,Symptoms signs and abnormal clinical and laboratory findings,598
2017,Number,M,Symptoms signs and abnormal clinical and laboratory findings,720
2018,Number,M,Symptoms signs and abnormal clinical and laboratory findings,844
2019,Number,M,Symptoms signs and abnormal clinical and laboratory findings,1048
2020,Number,M,Symptoms signs and abnormal clinical and laboratory findings,834
2003,Number,M,Injuries poisonings and consequences of external factors,444
2004,Number,M,Injuries poisonings and consequences of external factors,411
2005,Number,M,Injuries poisonings and consequences of external factors,463
2006,Number,M,Injuries poisonings and consequences of external factors,466
2007,Number,M,Injuries poisonings and consequences of external factors,488
2008,Number,M,Injuries poisonings and consequences of external factors,451
2009,Number,M,Injuries poisonings and consequences of external factors,424
2010,Number,M,Injuries poisonings and consequences of external factors,405
2011,Number,M,Injuries poisonings and consequences of external factors,482
2012,Number,M,Injuries poisonings and consequences of external factors,420
2013,Number,M,Injuries poisonings and consequences of external factors,377
2014,Number,M,Injuries poisonings and consequences of external factors,412
2015,Number,M,Injuries poisonings and consequences of external factors,417
2016,Number,M,Injuries poisonings and consequences of external factors,373
2017,Number,M,Injuries poisonings and consequences of external factors,349
2018,Number,M,Injuries poisonings and consequences of external factors,370
2019,Number,M,Injuries poisonings and consequences of external factors,340
2020,Number,M,Injuries poisonings and consequences of external factors,304
2003,Number,M,special_purpose_codes,0
2004,Number,M,special_purpose_codes,0
2005,Number,M,special_purpose_codes,0
2006,Number,M,special_purpose_codes,0
2007,Number,M,special_purpose_codes,0
2008,Number,M,special_purpose_codes,0
2009,Number,M,special_purpose_codes,0
2010,Number,M,special_purpose_codes,0
2011,Number,M,special_purpose_codes,0
2012,Number,M,special_purpose_codes,0
2013,Number,M,special_purpose_codes,0
2014,Number,M,special_purpose_codes,0
2015,Number,M,special_purpose_codes,0
2016,Number,M,special_purpose_codes,0
2017,Number,M,special_purpose_codes,0
2018,Number,M,special_purpose_codes,0
2019,Number,M,special_purpose_codes,0
2020,Number,M,special_purpose_codes,1030
2003,Number,F,Total,6184
2004,Number,F,Total,6347
2005,Number,F,Total,6563
2006,Number,F,Total,6328
2007,Number,F,Total,6844
2008,Number,F,Total,6443
2009,Number,F,Total,6676
2010,Number,F,Total,6582
2011,Number,F,Total,6657
2012,Number,F,Total,6732
2013,Number,F,Total,6741
2014,Number,F,Total,7023
2015,Number,F,Total,7419
2016,Number,F,Total,6772
2017,Number,F,Total,7300
2018,Number,F,Total,7314
2019,Number,F,Total,7328
2020,Number,F,Total,7969
2003,Number,F,Infectious and parasitic diseases,30
2004,Number,F,Infectious and parasitic diseases,49
2005,Number,F,Infectious and parasitic diseases,50
2006,Number,F,Infectious and parasitic diseases,38
2007,Number,F,Infectious and parasitic diseases,33
2008,Number,F,Infectious and parasitic diseases,46
2009,Number,F,Infectious and parasitic diseases,43
2010,Number,F,Infectious and parasitic diseases,37
2011,Number,F,Infectious and parasitic diseases,38
2012,Number,F,Infectious and parasitic diseases,66
2013,Number,F,Infectious and parasitic diseases,47
2014,Number,F,Infectious and parasitic diseases,56
2015,Number,F,Infectious and parasitic diseases,67
2016,Number,F,Infectious and parasitic diseases,83
2017,Number,F,Infectious and parasitic diseases,62
2018,Number,F,Infectious and parasitic diseases,75
2019,Number,F,Infectious and parasitic diseases,81
2020,Number,F,Infectious and parasitic diseases,75
2003,Number,F,Neoplasms,950
2004,Number,F,Neoplasms,928
2005,Number,F,Neoplasms,1072
2006,Number,F,Neoplasms,1015
2007,Number,F,Neoplasms,1109
2008,Number,F,Neoplasms,1075
2009,Number,F,Neoplasms,1161
2010,Number,F,Neoplasms,1105
2011,Number,F,Neoplasms,1118
2012,Number,F,Neoplasms,1183
2013,Number,F,Neoplasms,1231
2014,Number,F,Neoplasms,1353
2015,Number,F,Neoplasms,1355
2016,Number,F,Neoplasms,1209
2017,Number,F,Neoplasms,1268
2018,Number,F,Neoplasms,1209
2019,Number,F,Neoplasms,1186
2020,Number,F,Neoplasms,1097
2003,Number,F,Diseases of the blood and blood forming organs,2
2004,Number,F,Diseases of the blood and blood forming organs,11
2005,Number,F,Diseases of the blood and blood forming organs,10
2006,Number,F,Diseases of the blood and blood forming organs,4
2007,Number,F,Diseases of the blood and blood forming organs,10
2008,Number,F,Diseases of the blood and blood forming organs,5
2009,Number,F,Diseases of the blood and blood forming organs,9
2010,Number,F,Diseases of the blood and blood forming organs,10
2011,Number,F,Diseases of the blood and blood forming organs,10
2012,Number,F,Diseases of the blood and blood forming organs,6
2013,Number,F,Diseases of the blood and blood forming organs,8
2014,Number,F,Diseases of the blood and blood forming organs,8
2015,Number,F,Diseases of the blood and blood forming organs,10
2016,Number,F,Diseases of the blood and blood forming organs,15
2017,Number,F,Diseases of the blood and blood forming organs,17
2018,Number,F,Diseases of the blood and blood forming organs,18
2019,Number,F,Diseases of the blood and blood forming organs,16
2020,Number,F,Diseases of the blood and blood forming organs,15
2003,Number,F,Diseases of the endocrine glands nutrition and metabolism,109
2004,Number,F,Diseases of the endocrine glands nutrition and metabolism,92
2005,Number,F,Diseases of the endocrine glands nutrition and metabolism,441
2006,Number,F,Diseases of the endocrine glands nutrition and metabolism,484
2007,Number,F,Diseases of the endocrine glands nutrition and metabolism,442
2008,Number,F,Diseases of the endocrine glands nutrition and metabolism,454
2009,Number,F,Diseases of the endocrine glands nutrition and metabolism,530
2010,Number,F,Diseases of the endocrine glands nutrition and metabolism,402
2011,Number,F,Diseases of the endocrine glands nutrition and metabolism,397
2012,Number,F,Diseases of the endocrine glands nutrition and metabolism,350
2013,Number,F,Diseases of the endocrine glands nutrition and metabolism,459
2014,Number,F,Diseases of the endocrine glands nutrition and metabolism,501
2015,Number,F,Diseases of the endocrine glands nutrition and metabolism,400
2016,Number,F,Diseases of the endocrine glands nutrition and metabolism,378
2017,Number,F,Diseases of the endocrine glands nutrition and metabolism,452
2018,Number,F,Diseases of the endocrine glands nutrition and metabolism,458
2019,Number,F,Diseases of the endocrine glands nutrition and metabolism,343
2020,Number,F,Diseases of the endocrine glands nutrition and metabolism,485
2003,Number,F,Mental disorders and behavioral disorders,9
2004,Number,F,Mental disorders and behavioral disorders,12
2005,Number,F,Mental disorders and behavioral disorders,16
2006,Number,F,Mental disorders and behavioral disorders,15
2007,Number,F,Mental disorders and behavioral disorders,20
2008,Number,F,Mental disorders and behavioral disorders,19
2009,Number,F,Mental disorders and behavioral disorders,30
2010,Number,F,Mental disorders and behavioral disorders,11
2011,Number,F,Mental disorders and behavioral disorders,14
2012,Number,F,Mental disorders and behavioral disorders,12
2013,Number,F,Mental disorders and behavioral disorders,31
2014,Number,F,Mental disorders and behavioral disorders,21
2015,Number,F,Mental disorders and behavioral disorders,28
2016,Number,F,Mental disorders and behavioral disorders,26
2017,Number,F,Mental disorders and behavioral disorders,43
2018,Number,F,Mental disorders and behavioral disorders,30
2019,Number,F,Mental disorders and behavioral disorders,22
2020,Number,F,Mental disorders and behavioral disorders,29
2003,Number,F,Nervous system diseases,26
2004,Number,F,Nervous system diseases,38
2005,Number,F,Nervous system diseases,84
2006,Number,F,Nervous system diseases,73
2007,Number,F,Nervous system diseases,70
2008,Number,F,Nervous system diseases,55
2009,Number,F,Nervous system diseases,55
2010,Number,F,Nervous system diseases,76
2011,Number,F,Nervous system diseases,97
2012,Number,F,Nervous system diseases,102
2013,Number,F,Nervous system diseases,87
2014,Number,F,Nervous system diseases,89
2015,Number,F,Nervous system diseases,106
2016,Number,F,Nervous system diseases,75
2017,Number,F,Nervous system diseases,95
2018,Number,F,Nervous system diseases,87
2019,Number,F,Nervous system diseases,81
2020,Number,F,Nervous system diseases,97
2003,Number,F,Eye diseases and eye soldering disease,0
2004,Number,F,Eye diseases and eye soldering disease,0
2005,Number,F,Eye diseases and eye soldering disease,0
2006,Number,F,Eye diseases and eye soldering disease,0
2007,Number,F,Eye diseases and eye soldering disease,0
2008,Number,F,Eye diseases and eye soldering disease,0
2009,Number,F,Eye diseases and eye soldering disease,0
2010,Number,F,Eye diseases and eye soldering disease,0
2011,Number,F,Eye diseases and eye soldering disease,0
2012,Number,F,Eye diseases and eye soldering disease,0
2013,Number,F,Eye diseases and eye soldering disease,0
2014,Number,F,Eye diseases and eye soldering disease,0
2015,Number,F,Eye diseases and eye soldering disease,0
2016,Number,F,Eye diseases and eye soldering disease,0
2017,Number,F,Eye diseases and eye soldering disease,0
2018,Number,F,Eye diseases and eye soldering disease,0
2019,Number,F,Eye diseases and eye soldering disease,0
2020,Number,F,Eye diseases and eye soldering disease,0
2003,Number,F,diseases_of_ear_and_mastoid_process,0
2004,Number,F,diseases_of_ear_and_mastoid_process,0
2005,Number,F,diseases_of_ear_and_mastoid_process,0
2006,Number,F,diseases_of_ear_and_mastoid_process,0
2007,Number,F,diseases_of_ear_and_mastoid_process,0
2008,Number,F,diseases_of_ear_and_mastoid_process,0
2009,Number,F,diseases_of_ear_and_mastoid_process,0
2010,Number,F,diseases_of_ear_and_mastoid_process,0
2011,Number,F,diseases_of_ear_and_mastoid_process,0
2012,Number,F,diseases_of_ear_and_mastoid_process,0
2013,Number,F,diseases_of_ear_and_mastoid_process,0
2014,Number,F,diseases_of_ear_and_mastoid_process,0
2015,Number,F,diseases_of_ear_and_mastoid_process,0
2016,Number,F,diseases_of_ear_and_mastoid_process,0
2017,Number,F,diseases_of_ear_and_mastoid_process,0
2018,Number,F,diseases_of_ear_and_mastoid_process,0
2019,Number,F,diseases_of_ear_and_mastoid_process,0
2020,Number,F,diseases_of_ear_and_mastoid_process,0
2003,Number,F,Diseases of the circulatory system,3748
2004,Number,F,Diseases of the circulatory system,3957
2005,Number,F,Diseases of the circulatory system,3677
2006,Number,F,Diseases of the circulatory system,3458
2007,Number,F,Diseases of the circulatory system,3864
2008,Number,F,Diseases of the circulatory system,3756
2009,Number,F,Diseases of the circulatory system,3743
2010,Number,F,Diseases of the circulatory system,3926
2011,Number,F,Diseases of the circulatory system,4009
2012,Number,F,Diseases of the circulatory system,4109
2013,Number,F,Diseases of the circulatory system,3625
2014,Number,F,Diseases of the circulatory system,3635
2015,Number,F,Diseases of the circulatory system,3964
2016,Number,F,Diseases of the circulatory system,3743
2017,Number,F,Diseases of the circulatory system,3960
2018,Number,F,Diseases of the circulatory system,3905
2019,Number,F,Diseases of the circulatory system,4033
2020,Number,F,Diseases of the circulatory system,4150
2003,Number,F,Diseases of the respiratory system,120
2004,Number,F,Diseases of the respiratory system,134
2005,Number,F,Diseases of the respiratory system,220
2006,Number,F,Diseases of the respiratory system,228
2007,Number,F,Diseases of the respiratory system,211
2008,Number,F,Diseases of the respiratory system,173
2009,Number,F,Diseases of the respiratory system,176
2010,Number,F,Diseases of the respiratory system,173
2011,Number,F,Diseases of the respiratory system,233
2012,Number,F,Diseases of the respiratory system,161
2013,Number,F,Diseases of the respiratory system,222
2014,Number,F,Diseases of the respiratory system,209
2015,Number,F,Diseases of the respiratory system,248
2016,Number,F,Diseases of the respiratory system,204
2017,Number,F,Diseases of the respiratory system,243
2018,Number,F,Diseases of the respiratory system,282
