Year,UNIT_MEASURE,Age_group,Sex,Value
2013.0,Number,85-89,F,5892.0
2013.0,Number,90 +,F,1484.0
2014.0,Number,Total,Total,1167082.0
2014.0,Number,0-4,Total,51846.0
2014.0,Number,5-9,Total,54417.0
2014.0,Number,10-14,Total,56601.0
2014.0,Number,15-19,Total,69432.0
2014.0,Number,20-24,Total,65038.0
2014.0,Number,25-29,Total,75296.0
2014.0,Number,30-34,Total,80722.0
2014.0,Number,35-39,Total,80852.0
2014.0,Number,40-44,Total,76216.0
2014.0,Number,45-49,Total,81515.0
2014.0,Number,50-54,Total,89781.0
2014.0,Number,55-59,Total,93123.0
2014.0,Number,60-64,Total,88482.0
2014.0,Number,65-69,Total,64182.0
2014.0,Number,70-74,Total,52482.0
2014.0,Number,75-79,Total,48465.0
2014.0,Number,80-84,Total,26497.0
2014.0,Number,85-89,Total,9835.0
2014.0,Number,90 +,Total,2300.0
2014.0,Number,Total,M,570176.0
2014.0,Number,0-4,M,26590.0
2014.0,Number,5-9,M,27911.0
2014.0,Number,10-14,M,29125.0
2014.0,Number,15-19,M,35664.0
2014.0,Number,20-24,M,33895.0
2014.0,Number,25-29,M,38395.0
2014.0,Number,30-34,M,40994.0
2014.0,Number,35-39,M,41341.0
2014.0,Number,40-44,M,39018.0
2014.0,Number,45-49,M,40931.0
2014.0,Number,50-54,M,44141.0
2014.0,Number,55-59,M,44986.0
2014.0,Number,60-64,M,42062.0
2014.0,Number,65-69,M,29180.0
2014.0,Number,70-74,M,22426.0
2014.0,Number,75-79,M,19519.0
2014.0,Number,80-84,M,9894.0
2014.0,Number,85-89,M,3430.0
2014.0,Number,90 +,M,674.0
2014.0,Number,Total,F,596906.0
2014.0,Number,0-4,F,25256.0
2014.0,Number,5-9,F,26506.0
2014.0,Number,10-14,F,27476.0
2014.0,Number,15-19,F,33768.0
2014.0,Number,20-24,F,31143.0
2014.0,Number,25-29,F,36901.0
2014.0,Number,30-34,F,39728.0
2014.0,Number,35-39,F,39511.0
2014.0,Number,40-44,F,37198.0
2014.0,Number,45-49,F,40584.0
2014.0,Number,50-54,F,45640.0
2014.0,Number,55-59,F,48137.0
2014.0,Number,60-64,F,46420.0
2014.0,Number,65-69,F,35002.0
2014.0,Number,70-74,F,30056.0
2014.0,Number,75-79,F,28946.0
2014.0,Number,80-84,F,16603.0
2014.0,Number,85-89,F,6405.0
2014.0,Number,90 +,F,1626.0
2015.0,Number,Total,Total,1162164.0
2015.0,Number,0-4,Total,50067.0
2015.0,Number,5-9,Total,54755.0
2015.0,Number,10-14,Total,55647.0
2015.0,Number,15-19,Total,66727.0
2015.0,Number,20-24,Total,65603.0
2015.0,Number,25-29,Total,73297.0
2015.0,Number,30-34,Total,80365.0
2015.0,Number,35-39,Total,81003.0
2015.0,Number,40-44,Total,77328.0
2015.0,Number,45-49,Total,78838.0
2015.0,Number,50-54,Total,87925.0
2015.0,Number,55-59,Total,91658.0
2015.0,Number,60-64,Total,90125.0
2015.0,Number,65-69,Total,70039.0
2015.0,Number,70-74,Total,48676.0
2015.0,Number,75-79,Total,49216.0
2015.0,Number,80-84,Total,27692.0
2015.0,Number,85-89,Total,10696.0
2015.0,Number,90 +,Total,2507.0
2015.0,Number,Total,M,567711.0
2015.0,Number,0-4,M,25709.0
2015.0,Number,5-9,M,28072.0
2015.0,Number,10-14,M,28692.0
2015.0,Number,15-19,M,34235.0
2015.0,Number,20-24,M,34166.0
2015.0,Number,25-29,M,37392.0
2015.0,Number,30-34,M,40942.0
2015.0,Number,35-39,M,41257.0
2015.0,Number,40-44,M,39602.0
2015.0,Number,45-49,M,39752.0
2015.0,Number,50-54,M,43301.0
2015.0,Number,55-59,M,44221.0
2015.0,Number,60-64,M,42870.0
2015.0,Number,65-69,M,31928.0
2015.0,Number,70-74,M,20798.0
2015.0,Number,75-79,M,19949.0
2015.0,Number,80-84,M,10285.0
2015.0,Number,85-89,M,3791.0
2015.0,Number,90 +,M,749.0
2015.0,Number,Total,F,594453.0
2015.0,Number,0-4,F,24358.0
2015.0,Number,5-9,F,26683.0
2015.0,Number,10-14,F,26955.0
2015.0,Number,15-19,F,32492.0
2015.0,Number,20-24,F,31437.0
2015.0,Number,25-29,F,35905.0
2015.0,Number,30-34,F,39423.0
2015.0,Number,35-39,F,39746.0
2015.0,Number,40-44,F,37726.0
2015.0,Number,45-49,F,39086.0
2015.0,Number,50-54,F,44624.0
2015.0,Number,55-59,F,47437.0
2015.0,Number,60-64,F,47255.0
2015.0,Number,65-69,F,38111.0
2015.0,Number,70-74,F,27878.0
2015.0,Number,75-79,F,29267.0
2015.0,Number,80-84,F,17407.0
2015.0,Number,85-89,F,6905.0
2015.0,Number,90 +,F,1758.0
2016.0,Number,Total,Total,1157516.0
2016.0,Number,0-4,Total,48734.0
2016.0,Number,5-9,Total,54692.0
2016.0,Number,10-14,Total,54647.0
2016.0,Number,15-19,Total,63924.0
2016.0,Number,20-24,Total,66283.0
2016.0,Number,25-29,Total,71750.0
2016.0,Number,30-34,Total,79504.0
2016.0,Number,35-39,Total,80647.0
2016.0,Number,40-44,Total,78874.0
2016.0,Number,45-49,Total,76424.0
2016.0,Number,50-54,Total,86398.0
2016.0,Number,55-59,Total,90613.0
2016.0,Number,60-64,Total,91762.0
2016.0,Number,65-69,Total,73686.0
2016.0,Number,70-74,Total,47137.0
2016.0,Number,75-79,Total,49174.0
2016.0,Number,80-84,Total,29104.0
2016.0,Number,85-89,Total,11443.0
2016.0,Number,90 +,Total,2720.0
2016.0,Number,Total,M,565368.0
2016.0,Number,0-4,M,25099.0
2016.0,Number,5-9,M,28032.0
2016.0,Number,10-14,M,28143.0
2016.0,Number,15-19,M,32819.0
2016.0,Number,20-24,M,34406.0
2016.0,Number,25-29,M,36741.0
2016.0,Number,30-34,M,40519.0
2016.0,Number,35-39,M,40983.0
2016.0,Number,40-44,M,40396.0
2016.0,Number,45-49,M,38631.0
2016.0,Number,50-54,M,42599.0
2016.0,Number,55-59,M,43773.0
2016.0,Number,60-64,M,43636.0
2016.0,Number,65-69,M,33670.0
2016.0,Number,70-74,M,20198.0
2016.0,Number,75-79,M,20005.0
2016.0,Number,80-84,M,10819.0
2016.0,Number,85-89,M,4077.0
2016.0,Number,90 +,M,822.0
2016.0,Number,Total,F,592148.0
2016.0,Number,0-4,F,23635.0
2016.0,Number,5-9,F,26660.0
2016.0,Number,10-14,F,26504.0
2016.0,Number,15-19,F,31105.0
2016.0,Number,20-24,F,31877.0
2016.0,Number,25-29,F,35009.0
2016.0,Number,30-34,F,38985.0
2016.0,Number,35-39,F,39664.0
2016.0,Number,40-44,F,38478.0
2016.0,Number,45-49,F,37793.0
2016.0,Number,50-54,F,43799.0
2016.0,Number,55-59,F,46840.0
2016.0,Number,60-64,F,48126.0
2016.0,Number,65-69,F,40016.0
2016.0,Number,70-74,F,26939.0
2016.0,Number,75-79,F,29169.0
2016.0,Number,80-84,F,18285.0
2016.0,Number,85-89,F,7366.0
2016.0,Number,90 +,F,1898.0
2017.0,Number,Total,Total,1153017.0
2017.0,Number,0-4,Total,47669.0
2017.0,Number,5-9,Total,54425.0
2017.0,Number,10-14,Total,54011.0
2017.0,Number,15-19,Total,60988.0
2017.0,Number,20-24,Total,67578.0
2017.0,Number,25-29,Total,69711.0
2017.0,Number,30-34,Total,78413.0
2017.0,Number,35-39,Total,80313.0
2017.0,Number,40-44,Total,79628.0
2017.0,Number,45-49,Total,75563.0
2017.0,Number,50-54,Total,84512.0
2017.0,Number,55-59,Total,90210.0
2017.0,Number,60-64,Total,91623.0
2017.0,Number,65-69,Total,76077.0
2017.0,Number,70-74,Total,49170.0
2017.0,Number,75-79,Total,47544.0
2017.0,Number,80-84,Total,30644.0
2017.0,Number,85-89,Total,12003.0
2017.0,Number,90 +,Total,2935.0
2017.0,Number,Total,M,563187.0
2017.0,Number,0-4,M,24658.0
2017.0,Number,5-9,M,27909.0
2017.0,Number,10-14,M,27739.0
2017.0,Number,15-19,M,31302.0
2017.0,Number,20-24,M,34984.0
2017.0,Number,25-29,M,35943.0
2017.0,Number,30-34,M,39935.0
2017.0,Number,35-39,M,40775.0
2017.0,Number,40-44,M,40696.0
2017.0,Number,45-49,M,38318.0
2017.0,Number,50-54,M,41752.0
2017.0,Number,55-59,M,43657.0
2017.0,Number,60-64,M,43518.0
2017.0,Number,65-69,M,34812.0
2017.0,Number,70-74,M,21177.0
2017.0,Number,75-79,M,19315.0
2017.0,Number,80-84,M,11479.0
2017.0,Number,85-89,M,4303.0
2017.0,Number,90 +,M,915.0
2017.0,Number,Total,F,589830.0
2017.0,Number,0-4,F,23011.0
2017.0,Number,5-9,F,26516.0
2017.0,Number,10-14,F,26272.0
2017.0,Number,15-19,F,29686.0
2017.0,Number,20-24,F,32594.0
2017.0,Number,25-29,F,33768.0
2017.0,Number,30-34,F,38478.0
2017.0,Number,35-39,F,39538.0
2017.0,Number,40-44,F,38932.0
2017.0,Number,45-49,F,37245.0
2017.0,Number,50-54,F,42760.0
2017.0,Number,55-59,F,46553.0
2017.0,Number,60-64,F,48105.0
2017.0,Number,65-69,F,41265.0
2017.0,Number,70-74,F,27993.0
2017.0,Number,75-79,F,28229.0
2017.0,Number,80-84,F,19165.0
2017.0,Number,85-89,F,7700.0
2017.0,Number,90 +,F,2020.0
2018.0,Number,Total,Total,1147902.0
2018.0,Number,0-4,Total,46783.0
2018.0,Number,5-9,Total,53561.0
2018.0,Number,10-14,Total,53979.0
2018.0,Number,15-19,Total,58248.0
2018.0,Number,20-24,Total,69375.0
2018.0,Number,25-29,Total,66608.0
2018.0,Number,30-34,Total,77062.0
2018.0,Number,35-39,Total,80370.0
2018.0,Number,40-44,Total,80022.0
2018.0,Number,45-49,Total,75372.0
2018.0,Number,50-54,Total,82290.0
2018.0,Number,55-59,Total,89379.0
2018.0,Number,60-64,Total,90342.0
2018.0,Number,65-69,Total,79067.0
2018.0,Number,70-74,Total,52446.0
2018.0,Number,75-79,Total,45216.0
2018.0,Number,80-84,Total,31930.0
2018.0,Number,85-89,Total,12742.0
2018.0,Number,90 +,Total,3110.0
2018.0,Number,Total,M,560795.0
2018.0,Number,0-4,M,24321.0
2018.0,Number,5-9,M,27463.0
2018.0,Number,10-14,M,27689.0
2018.0,Number,15-19,M,29864.0
2018.0,Number,20-24,M,35777.0
2018.0,Number,25-29,M,34534.0
2018.0,Number,30-34,M,39285.0
2018.0,Number,35-39,M,40743.0
2018.0,Number,40-44,M,40878.0
2018.0,Number,45-49,M,38377.0
2018.0,Number,50-54,M,40817.0
2018.0,Number,55-59,M,43267.0
2018.0,Number,60-64,M,42830.0
2018.0,Number,65-69,M,36278.0
2018.0,Number,70-74,M,22707.0
2018.0,Number,75-79,M,18324.0
2018.0,Number,80-84,M,12075.0
2018.0,Number,85-89,M,4564.0
2018.0,Number,90 +,M,1002.0
2018.0,Number,Total,F,587107.0
2018.0,Number,0-4,F,22462.0
2018.0,Number,5-9,F,26098.0
2018.0,Number,10-14,F,26290.0
2018.0,Number,15-19,F,28384.0
2018.0,Number,20-24,F,33598.0
2018.0,Number,25-29,F,32074.0
2018.0,Number,30-34,F,37777.0
2018.0,Number,35-39,F,39627.0
2018.0,Number,40-44,F,39144.0
2018.0,Number,45-49,F,36995.0
2018.0,Number,50-54,F,41473.0
2018.0,Number,55-59,F,46112.0
2018.0,Number,60-64,F,47512.0
2018.0,Number,65-69,F,42789.0
2018.0,Number,70-74,F,29739.0
2018.0,Number,75-79,F,26892.0
2018.0,Number,80-84,F,19855.0
2018.0,Number,85-89,F,8178.0
2018.0,Number,90 +,F,2108.0
2019.0,Number,Total,Total,1142495.0
2019.0,Number,0-4,Total,46989.0
2019.0,Number,5-9,Total,51849.0
2019.0,Number,10-14,Total,54340.0
2019.0,Number,15-19,Total,56767.0
2019.0,Number,20-24,Total,68958.0
2019.0,Number,25-29,Total,65048.0
2019.0,Number,30-34,Total,75240.0
2019.0,Number,35-39,Total,80574.0
2019.0,Number,40-44,Total,80242.0
2019.0,Number,45-49,Total,75535.0
2019.0,Number,50-54,Total,80297.0
2019.0,Number,55-59,Total,87300.0
2019.0,Number,60-64,Total,88926.0
2019.0,Number,65-69,Total,81485.0
2019.0,Number,70-74,Total,56623.0
2019.0,Number,75-79,Total,42470.0
2019.0,Number,80-84,Total,32745.0
2019.0,Number,85-89,Total,13503.0
2019.0,Number,90 +,Total,3604.0
2019.0,Number,Total,M,558093.0
2019.0,Number,0-4,M,24499.0
2019.0,Number,5-9,M,26577.0
2019.0,Number,10-14,M,27877.0
2019.0,Number,15-19,M,29150.0
2019.0,Number,20-24,M,35339.0
2019.0,Number,25-29,M,33871.0
2019.0,Number,30-34,M,38358.0
2019.0,Number,35-39,M,40861.0
2019.0,Number,40-44,M,40907.0
2019.0,Number,45-49,M,38510.0
2019.0,Number,50-54,M,40006.0
2019.0,Number,55-59,M,42309.0
2019.0,Number,60-64,M,42038.0
2019.0,Number,65-69,M,37464.0
2019.0,Number,70-74,M,24642.0
2019.0,Number,75-79,M,17180.0
2019.0,Number,80-84,M,12494.0
2019.0,Number,85-89,M,4782.0
2019.0,Number,90 +,M,1229.0
2019.0,Number,Total,F,584402.0
2019.0,Number,0-4,F,22490.0
2019.0,Number,5-9,F,25272.0
2019.0,Number,10-14,F,26463.0
2019.0,Number,15-19,F,27617.0
2019.0,Number,20-24,F,33619.0
2019.0,Number,25-29,F,31177.0
2019.0,Number,30-34,F,36882.0
2019.0,Number,35-39,F,39713.0
2019.0,Number,40-44,F,39335.0
2019.0,Number,45-49,F,37025.0
2019.0,Number,50-54,F,40291.0
2019.0,Number,55-59,F,44991.0
2019.0,Number,60-64,F,46888.0
2019.0,Number,65-69,F,44021.0
2019.0,Number,70-74,F,31981.0
2019.0,Number,75-79,F,25290.0
2019.0,Number,80-84,F,20251.0
2019.0,Number,85-89,F,8721.0
2019.0,Number,90 +,F,2375.0
2020.0,Number,Total,Total,1136274.0
2020.0,Number,0-4,Total,46766.0
2020.0,Number,5-9,Total,50140.0
2020.0,Number,10-14,Total,54624.0
2020.0,Number,15-19,Total,55722.0
2020.0,Number,20-24,Total,66540.0
2020.0,Number,25-29,Total,65512.0
2020.0,Number,30-34,Total,73246.0
2020.0,Number,35-39,Total,80317.0
2020.0,Number,40-44,Total,80441.0
2020.0,Number,45-49,Total,76443.0
2020.0,Number,50-54,Total,77704.0
2020.0,Number,55-59,Total,85566.0
2020.0,Number,60-64,Total,87281.0
2020.0,Number,65-69,Total,83151.0
2020.0,Number,70-74,Total,61635.0
2020.0,Number,75-79,Total,39518.0
2020.0,Number,80-84,Total,33481.0
2020.0,Number,85-89,Total,14165.0
2020.0,Number,90 +,Total,4022.0
2020.0,Number,Total,M,557422.0
2020.0,Number,0-4,M,24479.0
2020.0,Number,5-9,M,25854.0
2020.0,Number,10-14,M,28034.0
2020.0,Number,15-19,M,28881.0
2020.0,Number,20-24,M,34373.0
2020.0,Number,25-29,M,34543.0
2020.0,Number,30-34,M,37631.0
2020.0,Number,35-39,M,41043.0
2020.0,Number,40-44,M,41041.0
2020.0,Number,45-49,M,39083.0
2020.0,Number,50-54,M,38950.0
2020.0,Number,55-59,M,41653.0
2020.0,Number,60-64,M,41310.0
2020.0,Number,65-69,M,38322.0
2020.0,Number,70-74,M,26890.0
2020.0,Number,75-79,M,16062.0
2020.0,Number,80-84,M,12843.0
2020.0,Number,85-89,M,5019.0
2020.0,Number,90 +,M,1411.0
2020.0,Number,Total,F,578852.0
2020.0,Number,0-4,F,22287.0
2020.0,Number,5-9,F,24286.0
2020.0,Number,10-14,F,26590.0
2020.0,Number,15-19,F,26841.0
2020.0,Number,20-24,F,32167.0
2020.0,Number,25-29,F,30969.0
2020.0,Number,30-34,F,35615.0
2020.0,Number,35-39,F,39274.0
2020.0,Number,40-44,F,39400.0
2020.0,Number,45-49,F,37360.0
2020.0,Number,50-54,F,38754.0
2020.0,Number,55-59,F,43913.0
2020.0,Number,60-64,F,45971.0
2020.0,Number,65-69,F,44829.0
2020.0,Number,70-74,F,34745.0
2020.0,Number,75-79,F,23456.0
2020.0,Number,80-84,F,20638.0
2020.0,Number,85-89,F,9146.0
2020.0,Number,90 +,F,2611.0
2021.0,Number,Total,Total,1128309.0
2021.0,Number,0-4,Total,46576.0
2021.0,Number,5-9,Total,48911.0
2021.0,Number,10-14,Total,54566.0
2021.0,Number,15-19,Total,54747.0
2021.0,Number,20-24,Total,63880.0
2021.0,Number,25-29,Total,66061.0
2021.0,Number,30-34,Total,71716.0
2021.0,Number,35-39,Total,79502.0
2021.0,Number,40-44,Total,80230.0
2021.0,Number,45-49,Total,77843.0
2021.0,Number,50-54,Total,75293.0
2021.0,Number,55-59,Total,83859.0
2021.0,Number,60-64,Total,86008.0
2021.0,Number,65-69,Total,84343.0
2021.0,Number,70-74,Total,64407.0
2021.0,Number,75-79,Total,38179.0
2021.0,Number,80-84,Total,33203.0
2021.0,Number,85-89,Total,14615.0
2021.0,Number,90 +,Total,4370.0
2021.0,Number,Total,M,555675.0
2021.0,Number,0-4,M,24423.0
2021.0,Number,5-9,M,25415.0
2021.0,Number,10-14,M,28047.0
2021.0,Number,15-19,M,28452.0
2021.0,Number,20-24,M,33368.0
2021.0,Number,25-29,M,35138.0
2021.0,Number,30-34,M,37332.0
2021.0,Number,35-39,M,40838.0
2021.0,Number,40-44,M,41042.0
2021.0,Number,45-49,M,39882.0
2021.0,Number,50-54,M,37942.0
2021.0,Number,55-59,M,40953.0
2021.0,Number,60-64,M,40805.0
2021.0,Number,65-69,M,38861.0
2021.0,Number,70-74,M,28106.0
2021.0,Number,75-79,M,15574.0
2021.0,Number,80-84,M,12753.0
2021.0,Number,85-89,M,5205.0
2021.0,Number,90 +,M,1539.0
2021.0,Number,Total,F,572634.0
2021.0,Number,0-4,F,22153.0
2021.0,Number,5-9,F,23496.0
2021.0,Number,10-14,F,26519.0
2021.0,Number,15-19,F,26295.0
2021.0,Number,20-24,F,30512.0
2021.0,Number,25-29,F,30923.0
2021.0,Number,30-34,F,34384.0
2021.0,Number,35-39,F,38664.0
2021.0,Number,40-44,F,39188.0
2021.0,Number,45-49,F,37961.0
2021.0,Number,50-54,F,37351.0
2021.0,Number,55-59,F,42906.0
2021.0,Number,60-64,F,45203.0
2021.0,Number,65-69,F,45482.0
2021.0,Number,70-74,F,36301.0
2021.0,Number,75-79,F,22605.0
2021.0,Number,80-84,F,20450.0
2021.0,Number,85-89,F,9410.0
2021.0,Number,90 +,F,2831.0
,,,,
,,,,
