Year,UNIT_MEASURE,scientific_field,Sex,Value
2020,Number,information_and_communication_technologies,F,2
2020,Number,"engineering,_production_and_construction",F,15
2020,Number,education,F,22
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,7
2020,Number,"business,_administration_and_law",F,15
2020,Number,"natural_sciences,_mathematics_and_statistic",F,14
2020,Number,health_and_social_protection,F,63
2020,Number,TOTAL,Both sexes,384
2020,Number,"social_sciences,_journalism_and_information",Both sexes,86
2020,Number,humanities_and_arts,Both sexes,65
2020,Number,information_and_communication_technologies,Both sexes,11
2020,Number,"engineering,_production_and_construction",Both sexes,30
2020,Number,education,Both sexes,29
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Both sexes,20
2020,Number,"business,_administration_and_law",Both sexes,28
2020,Number,"natural_sciences,_mathematics_and_statistic",Both sexes,20
2020,Number,health_and_social_protection,Both sexes,95
