Year,UNIT_MEASURE,type_of_education,Sex,Value
2018,Number,"social_sciences,_journalism_and_information",M,9
2018,Number,"business,_administration_and_law",M,10
2018,Number,education,M,1
2018,Number,arts_and_humanities,M,2
2018,Number,services,M,0
2018,Number,Total,F,15
2018,Number,"natural_sciences,_mathematics_and_statistics",F,0
2018,Number,"engineering,_production_and_construction",F,2
2018,Number,information_and_communication_technologie,F,0
2018,Number,health_and_social_protection,F,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,3
2018,Number,"social_sciences,_journalism_and_information",F,5
2018,Number,"business,_administration_and_law",F,2
2018,Number,education,F,0
2018,Number,arts_and_humanities,F,3
2018,Number,services,F,0
2019,Number,Total,Both sexes,42
2019,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,2
2019,Number,"engineering,_production_and_construction",Both sexes,1
2019,Number,information_and_communication_technologie,Both sexes,25
2019,Number,health_and_social_protection,Both sexes,2
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,3
2019,Number,"social_sciences,_journalism_and_information",Both sexes,1
2019,Number,"business,_administration_and_law",Both sexes,3
2019,Number,education,Both sexes,3
2019,Number,arts_and_humanities,Both sexes,2
2019,Number,services,Both sexes,0
2019,Number,Total,M,26
2019,Number,"natural_sciences,_mathematics_and_statistics",M,2
2019,Number,"engineering,_production_and_construction",M,0
2019,Number,information_and_communication_technologie,M,19
2019,Number,health_and_social_protection,M,2
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2019,Number,"social_sciences,_journalism_and_information",M,0
2019,Number,"business,_administration_and_law",M,2
2019,Number,education,M,1
2019,Number,arts_and_humanities,M,0
2019,Number,services,M,0
2019,Number,Total,F,16
2019,Number,"natural_sciences,_mathematics_and_statistics",F,0
2019,Number,"engineering,_production_and_construction",F,1
2019,Number,information_and_communication_technologie,F,6
2019,Number,health_and_social_protection,F,0
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,3
2019,Number,"social_sciences,_journalism_and_information",F,1
2019,Number,"business,_administration_and_law",F,1
2019,Number,education,F,2
2019,Number,arts_and_humanities,F,2
2019,Number,services,F,0
2020,Number,Total,Both sexes,64
2020,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,0
2020,Number,"engineering,_production_and_construction",Both sexes,3
2020,Number,information_and_communication_technologie,Both sexes,30
2020,Number,health_and_social_protection,Both sexes,5
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,2
2020,Number,"social_sciences,_journalism_and_information",Both sexes,5
2020,Number,"business,_administration_and_law",Both sexes,8
2020,Number,education,Both sexes,2
2020,Number,arts_and_humanities,Both sexes,9
2020,Number,services,Both sexes,0
2020,Number,Total,M,34
2020,Number,"natural_sciences,_mathematics_and_statistics",M,0
2020,Number,"engineering,_production_and_construction",M,0
2020,Number,information_and_communication_technologie,M,21
2020,Number,health_and_social_protection,M,4
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2020,Number,"social_sciences,_journalism_and_information",M,3
2020,Number,"business,_administration_and_law",M,3
2020,Number,education,M,0
2020,Number,arts_and_humanities,M,2
2020,Number,services,M,0
2020,Number,Total,F,30
2020,Number,"natural_sciences,_mathematics_and_statistics",F,0
2020,Number,"engineering,_production_and_construction",F,3
2020,Number,information_and_communication_technologie,F,9
2020,Number,health_and_social_protection,F,1
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,1
2020,Number,"social_sciences,_journalism_and_information",F,2
2020,Number,"business,_administration_and_law",F,5
2020,Number,education,F,2
2020,Number,arts_and_humanities,F,7
2020,Number,services,F,0
