Year,UNIT_MEASURE,City/minicipality,Agricultural activity,Value
2013,Number,Lopare,Engaged in agricultural activities that sell their products in the market,668
2013,Number,Ljubinje,Engaged in agricultural activities that sell their products in the market,269
2013,Number,Milići,Engaged in agricultural activities that sell their products in the market,185
2013,Number,Modriča,Engaged in agricultural activities that sell their products in the market,420
2013,Number,Mrkonjić Grad,Engaged in agricultural activities that sell their products in the market,257
2013,Number,Nevesinje,Engaged in agricultural activities that sell their products in the market,702
2013,Number,Novi Grad,Engaged in agricultural activities that sell their products in the market,499
2013,Number,Novo Goražde,Engaged in agricultural activities that sell their products in the market,87
2013,Number,Osmaci,Engaged in agricultural activities that sell their products in the market,159
2013,Number,Oštra Luka,Engaged in agricultural activities that sell their products in the market,57
2013,Number,Pale,Engaged in agricultural activities that sell their products in the market,99
2013,Number,Pelagićevo,Engaged in agricultural activities that sell their products in the market,256
2013,Number,Petrovac,Engaged in agricultural activities that sell their products in the market,12
2013,Number,Petrovo,Engaged in agricultural activities that sell their products in the market,61
2013,Number,Grad Prijedor,Engaged in agricultural activities that sell their products in the market,798
2013,Number,Prnjavor,Engaged in agricultural activities that sell their products in the market,986
2013,Number,Ribnik,Engaged in agricultural activities that sell their products in the market,93
2013,Number,Rogatica,Engaged in agricultural activities that sell their products in the market,265
2013,Number,Rudo,Engaged in agricultural activities that sell their products in the market,244
2013,Number,Sokolac,Engaged in agricultural activities that sell their products in the market,292
2013,Number,Srbac,Engaged in agricultural activities that sell their products in the market,594
2013,Number,Srebrenica,Engaged in agricultural activities that sell their products in the market,469
2013,Number,Teslić,Engaged in agricultural activities that sell their products in the market,576
2013,Number,Grad Trebinje,Engaged in agricultural activities that sell their products in the market,327
2013,Number,Trnovo,Engaged in agricultural activities that sell their products in the market,17
2013,Number,Ugljevik,Engaged in agricultural activities that sell their products in the market,632
2013,Number,Foča,Engaged in agricultural activities that sell their products in the market,262
2013,Number,Han Pijesak,Engaged in agricultural activities that sell their products in the market,75
2013,Number,Čajniče,Engaged in agricultural activities that sell their products in the market,131
2013,Number,Čelinac,Engaged in agricultural activities that sell their products in the market,191
2013,Number,Šamac,Engaged in agricultural activities that sell their products in the market,616
2013,Number,Šekovići,Engaged in agricultural activities that sell their products in the market,81
2013,Number,Šipovo,Engaged in agricultural activities that sell their products in the market,247
