Year,UNIT_MEASURE,type_of_education,Пол,Value
2018,Број,"engineering,_production_and_construction",M,10
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Број,health_and_social_protection,M,2
2018,Број,services,M,0
2018,Број,TOTAL,Ж,15
2018,Број,education,Ж,0
2018,Број,humanities_and_arts,Ж,2
2018,Број,"social_sciences,_journalism_and_information",Ж,0
2018,Број,"business,_administration_and_law",Ж,0
2018,Број,"natural_sciences,_mathematics_and_statistics",Ж,3
2018,Број,information_and_communication_technologie,Ж,5
2018,Број,"engineering,_production_and_construction",Ж,2
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2018,Број,health_and_social_protection,Ж,3
2018,Број,services,Ж,0
2019,Број,TOTAL,Оба пола,42
2019,Број,education,Оба пола,2
2019,Број,humanities_and_arts,Оба пола,1
2019,Број,"social_sciences,_journalism_and_information",Оба пола,25
2019,Број,"business,_administration_and_law",Оба пола,2
2019,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,3
2019,Број,information_and_communication_technologie,Оба пола,1
2019,Број,"engineering,_production_and_construction",Оба пола,3
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,3
2019,Број,health_and_social_protection,Оба пола,2
2019,Број,services,Оба пола,0
2019,Број,TOTAL,M,26
2019,Број,education,M,2
2019,Број,humanities_and_arts,M,0
2019,Број,"social_sciences,_journalism_and_information",M,19
2019,Број,"business,_administration_and_law",M,2
2019,Број,"natural_sciences,_mathematics_and_statistics",M,0
2019,Број,information_and_communication_technologie,M,0
2019,Број,"engineering,_production_and_construction",M,2
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2019,Број,health_and_social_protection,M,0
2019,Број,services,M,0
2019,Број,TOTAL,Ж,16
2019,Број,education,Ж,0
2019,Број,humanities_and_arts,Ж,1
2019,Број,"social_sciences,_journalism_and_information",Ж,6
2019,Број,"business,_administration_and_law",Ж,0
2019,Број,"natural_sciences,_mathematics_and_statistics",Ж,3
2019,Број,information_and_communication_technologie,Ж,1
2019,Број,"engineering,_production_and_construction",Ж,1
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2019,Број,health_and_social_protection,Ж,2
2019,Број,services,Ж,0
2020,Број,TOTAL,Оба пола,64
2020,Број,education,Оба пола,0
2020,Број,humanities_and_arts,Оба пола,3
2020,Број,"social_sciences,_journalism_and_information",Оба пола,30
2020,Број,"business,_administration_and_law",Оба пола,5
2020,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,2
2020,Број,information_and_communication_technologie,Оба пола,5
2020,Број,"engineering,_production_and_construction",Оба пола,8
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,2
2020,Број,health_and_social_protection,Оба пола,9
2020,Број,services,Оба пола,0
2020,Број,TOTAL,M,34
2020,Број,education,M,0
2020,Број,humanities_and_arts,M,0
2020,Број,"social_sciences,_journalism_and_information",M,21
2020,Број,"business,_administration_and_law",M,4
2020,Број,"natural_sciences,_mathematics_and_statistics",M,1
2020,Број,information_and_communication_technologie,M,3
2020,Број,"engineering,_production_and_construction",M,3
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2020,Број,health_and_social_protection,M,2
2020,Број,services,M,0
2020,Број,TOTAL,Ж,30
2020,Број,education,Ж,0
2020,Број,humanities_and_arts,Ж,3
2020,Број,"social_sciences,_journalism_and_information",Ж,9
2020,Број,"business,_administration_and_law",Ж,1
2020,Број,"natural_sciences,_mathematics_and_statistics",Ж,1
2020,Број,information_and_communication_technologie,Ж,2
2020,Број,"engineering,_production_and_construction",Ж,5
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2020,Број,health_and_social_protection,Ж,7
2020,Број,services,Ж,0
