Year,UNIT_MEASURE,Field of education,Type of education,Sex,Value
2017,Number,Arts and humanities,Master studies,Total,5
2017,Number,Services,Master studies,Total,0
2017,Number,Total,Master studies,M,21
2017,Number,"Natural sciences, mathematics and statistics",Master studies,M,0
2017,Number,"Engineering, manufacturing and construction",Master studies,M,0
2017,Number,Information and communication technologies,Master studies,M,14
2017,Number,Health and social protection,Master studies,M,0
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,M,0
2017,Number,"Social sciences, journalism and information",Master studies,M,0
2017,Number,"Business, administration and law",Master studies,M,2
2017,Number,Education,Master studies,M,0
2017,Number,Arts and humanities,Master studies,M,5
2017,Number,Services,Master studies,M,0
2017,Number,Total,Master studies,F,10
2017,Number,"Natural sciences, mathematics and statistics",Master studies,F,1
2017,Number,"Engineering, manufacturing and construction",Master studies,F,0
2017,Number,Information and communication technologies,Master studies,F,8
2017,Number,Health and social protection,Master studies,F,0
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,F,0
2017,Number,"Social sciences, journalism and information",Master studies,F,0
2017,Number,"Business, administration and law",Master studies,F,0
2017,Number,Education,Master studies,F,1
2017,Number,Arts and humanities,Master studies,F,0
2017,Number,Services,Master studies,F,0
2017,Number,Total,Specialist studies,Total,73
2017,Number,"Natural sciences, mathematics and statistics",Specialist studies,Total,0
2017,Number,"Engineering, manufacturing and construction",Specialist studies,Total,0
2017,Number,Information and communication technologies,Specialist studies,Total,0
2017,Number,Health and social protection,Specialist studies,Total,71
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,Total,0
2017,Number,"Social sciences, journalism and information",Specialist studies,Total,1
2017,Number,"Business, administration and law",Specialist studies,Total,1
2017,Number,Education,Specialist studies,Total,0
2017,Number,Arts and humanities,Specialist studies,Total,0
2017,Number,Services,Specialist studies,Total,0
2017,Number,Total,Specialist studies,M,34
2017,Number,"Natural sciences, mathematics and statistics",Specialist studies,M,0
2017,Number,"Engineering, manufacturing and construction",Specialist studies,M,0
2017,Number,Information and communication technologies,Specialist studies,M,0
2017,Number,Health and social protection,Specialist studies,M,33
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,M,0
2017,Number,"Social sciences, journalism and information",Specialist studies,M,1
2017,Number,"Business, administration and law",Specialist studies,M,0
2017,Number,Education,Specialist studies,M,0
2017,Number,Arts and humanities,Specialist studies,M,0
2017,Number,Services,Specialist studies,M,0
2017,Number,Total,Specialist studies,F,39
2017,Number,"Natural sciences, mathematics and statistics",Specialist studies,F,0
2017,Number,"Engineering, manufacturing and construction",Specialist studies,F,0
2017,Number,Information and communication technologies,Specialist studies,F,0
2017,Number,Health and social protection,Specialist studies,F,38
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,F,0
2017,Number,"Social sciences, journalism and information",Specialist studies,F,0
2017,Number,"Business, administration and law",Specialist studies,F,1
2017,Number,Education,Specialist studies,F,0
2017,Number,Arts and humanities,Specialist studies,F,0
2017,Number,Services,Specialist studies,F,0
2018,Number,Total,Master of science studies,Total,14
2018,Number,"Natural sciences, mathematics and statistics",Master of science studies,Total,0
2018,Number,"Engineering, manufacturing and construction",Master of science studies,Total,0
2018,Number,Information and communication technologies,Master of science studies,Total,0
2018,Number,Health and social protection,Master of science studies,Total,0
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,Total,1
2018,Number,"Social sciences, journalism and information",Master of science studies,Total,1
2018,Number,"Business, administration and law",Master of science studies,Total,0
2018,Number,Education,Master of science studies,Total,9
2018,Number,Arts and humanities,Master of science studies,Total,3
2018,Number,Services,Master of science studies,Total,0
2018,Number,Total,Master of science studies,M,6
2018,Number,"Natural sciences, mathematics and statistics",Master of science studies,M,0
2018,Number,"Engineering, manufacturing and construction",Master of science studies,M,0
2018,Number,Information and communication technologies,Master of science studies,M,0
2018,Number,Health and social protection,Master of science studies,M,0
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,M,0
2018,Number,"Social sciences, journalism and information",Master of science studies,M,1
2018,Number,"Business, administration and law",Master of science studies,M,0
2018,Number,Education,Master of science studies,M,2
2018,Number,Arts and humanities,Master of science studies,M,3
2018,Number,Services,Master of science studies,M,0
2018,Number,Total,Master of science studies,F,8
2018,Number,"Natural sciences, mathematics and statistics",Master of science studies,F,0
2018,Number,"Engineering, manufacturing and construction",Master of science studies,F,0
2018,Number,Information and communication technologies,Master of science studies,F,0
2018,Number,Health and social protection,Master of science studies,F,0
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,F,1
2018,Number,"Social sciences, journalism and information",Master of science studies,F,0
2018,Number,"Business, administration and law",Master of science studies,F,0
2018,Number,Education,Master of science studies,F,7
2018,Number,Arts and humanities,Master of science studies,F,0
2018,Number,Services,Master of science studies,F,0
2018,Number,Total,Master studies,Total,2144
2018,Number,"Natural sciences, mathematics and statistics",Master studies,Total,76
2018,Number,"Engineering, manufacturing and construction",Master studies,Total,362
2018,Number,Information and communication technologies,Master studies,Total,120
2018,Number,Health and social protection,Master studies,Total,42
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,Total,189
2018,Number,"Social sciences, journalism and information",Master studies,Total,503
2018,Number,"Business, administration and law",Master studies,Total,240
2018,Number,Education,Master studies,Total,314
2018,Number,Arts and humanities,Master studies,Total,291
2018,Number,Services,Master studies,Total,7
2018,Number,Total,Master studies,M,937
2018,Number,"Natural sciences, mathematics and statistics",Master studies,M,28
2018,Number,"Engineering, manufacturing and construction",Master studies,M,229
2018,Number,Information and communication technologies,Master studies,M,83
2018,Number,Health and social protection,Master studies,M,12
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,M,98
2018,Number,"Social sciences, journalism and information",Master studies,M,163
2018,Number,"Business, administration and law",Master studies,M,85
2018,Number,Education,Master studies,M,103
2018,Number,Arts and humanities,Master studies,M,133
2018,Number,Services,Master studies,M,3
2018,Number,Total,Master studies,F,1207
2018,Number,"Natural sciences, mathematics and statistics",Master studies,F,48
2018,Number,"Engineering, manufacturing and construction",Master studies,F,133
2018,Number,Information and communication technologies,Master studies,F,37
2018,Number,Health and social protection,Master studies,F,30
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,F,91
2018,Number,"Social sciences, journalism and information",Master studies,F,340
2018,Number,"Business, administration and law",Master studies,F,155
2018,Number,Education,Master studies,F,211
2018,Number,Arts and humanities,Master studies,F,158
2018,Number,Services,Master studies,F,4
2018,Number,Total,Specialist studies,Total,160
2018,Number,"Natural sciences, mathematics and statistics",Specialist studies,Total,0
2018,Number,"Engineering, manufacturing and construction",Specialist studies,Total,0
2018,Number,Information and communication technologies,Specialist studies,Total,0
2018,Number,Health and social protection,Specialist studies,Total,156
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,Total,0
2018,Number,"Social sciences, journalism and information",Specialist studies,Total,1
2018,Number,"Business, administration and law",Specialist studies,Total,0
2018,Number,Education,Specialist studies,Total,2
2018,Number,Arts and humanities,Specialist studies,Total,1
2018,Number,Services,Specialist studies,Total,0
2018,Number,Total,Specialist studies,M,66
2018,Number,"Natural sciences, mathematics and statistics",Specialist studies,M,0
2018,Number,"Engineering, manufacturing and construction",Specialist studies,M,0
2018,Number,Information and communication technologies,Specialist studies,M,0
2018,Number,Health and social protection,Specialist studies,M,64
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,M,0
2018,Number,"Social sciences, journalism and information",Specialist studies,M,1
2018,Number,"Business, administration and law",Specialist studies,M,0
2018,Number,Education,Specialist studies,M,0
2018,Number,Arts and humanities,Specialist studies,M,1
2018,Number,Services,Specialist studies,M,0
2018,Number,Total,Specialist studies,F,94
2018,Number,"Natural sciences, mathematics and statistics",Specialist studies,F,0
2018,Number,"Engineering, manufacturing and construction",Specialist studies,F,0
2018,Number,Information and communication technologies,Specialist studies,F,0
2018,Number,Health and social protection,Specialist studies,F,92
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,F,0
2018,Number,"Social sciences, journalism and information",Specialist studies,F,0
2018,Number,"Business, administration and law",Specialist studies,F,0
2018,Number,Education,Specialist studies,F,2
2018,Number,Arts and humanities,Specialist studies,F,0
2018,Number,Services,Specialist studies,F,0
2019,Number,Total,Master of science studies,Total,16
2019,Number,"Natural sciences, mathematics and statistics",Master of science studies,Total,0
2019,Number,"Engineering, manufacturing and construction",Master of science studies,Total,13
2019,Number,Information and communication technologies,Master of science studies,Total,0
2019,Number,Health and social protection,Master of science studies,Total,0
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,Total,0
2019,Number,"Social sciences, journalism and information",Master of science studies,Total,0
2019,Number,"Business, administration and law",Master of science studies,Total,0
2019,Number,Education,Master of science studies,Total,2
2019,Number,Arts and humanities,Master of science studies,Total,1
2019,Number,Services,Master of science studies,Total,0
2019,Number,Total,Master of science studies,M,12
2019,Number,"Natural sciences, mathematics and statistics",Master of science studies,M,0
2019,Number,"Engineering, manufacturing and construction",Master of science studies,M,10
2019,Number,Information and communication technologies,Master of science studies,M,0
2019,Number,Health and social protection,Master of science studies,M,0
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,M,0
2019,Number,"Social sciences, journalism and information",Master of science studies,M,0
2019,Number,"Business, administration and law",Master of science studies,M,0
2019,Number,Education,Master of science studies,M,1
2019,Number,Arts and humanities,Master of science studies,M,1
2019,Number,Services,Master of science studies,M,0
2019,Number,Total,Master of science studies,F,4
2019,Number,"Natural sciences, mathematics and statistics",Master of science studies,F,0
2019,Number,"Engineering, manufacturing and construction",Master of science studies,F,3
2019,Number,Information and communication technologies,Master of science studies,F,0
2019,Number,Health and social protection,Master of science studies,F,0
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,F,0
2019,Number,"Social sciences, journalism and information",Master of science studies,F,0
2019,Number,"Business, administration and law",Master of science studies,F,0
2019,Number,Education,Master of science studies,F,1
2019,Number,Arts and humanities,Master of science studies,F,0
2019,Number,Services,Master of science studies,F,0
2019,Number,Total,Master studies,Total,2109
2019,Number,"Natural sciences, mathematics and statistics",Master studies,Total,79
2019,Number,"Engineering, manufacturing and construction",Master studies,Total,394
2019,Number,Information and communication technologies,Master studies,Total,80
2019,Number,Health and social protection,Master studies,Total,45
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,Total,188
2019,Number,"Social sciences, journalism and information",Master studies,Total,492
2019,Number,"Business, administration and law",Master studies,Total,236
2019,Number,Education,Master studies,Total,298
2019,Number,Arts and humanities,Master studies,Total,291
2019,Number,Services,Master studies,Total,6
2019,Number,Total,Master studies,M,930
2019,Number,"Natural sciences, mathematics and statistics",Master studies,M,22
2019,Number,"Engineering, manufacturing and construction",Master studies,M,243
2019,Number,Information and communication technologies,Master studies,M,59
2019,Number,Health and social protection,Master studies,M,10
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,M,98
2019,Number,"Social sciences, journalism and information",Master studies,M,160
2019,Number,"Business, administration and law",Master studies,M,89
2019,Number,Education,Master studies,M,104
2019,Number,Arts and humanities,Master studies,M,142
2019,Number,Services,Master studies,M,3
2019,Number,Total,Master studies,F,1179
2019,Number,"Natural sciences, mathematics and statistics",Master studies,F,57
2019,Number,"Engineering, manufacturing and construction",Master studies,F,151
2019,Number,Information and communication technologies,Master studies,F,21
2019,Number,Health and social protection,Master studies,F,35
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,F,90
2019,Number,"Social sciences, journalism and information",Master studies,F,332
2019,Number,"Business, administration and law",Master studies,F,147
2019,Number,Education,Master studies,F,194
2019,Number,Arts and humanities,Master studies,F,149
2019,Number,Services,Master studies,F,3
2019,Number,Total,Specialist studies,Total,170
2019,Number,"Natural sciences, mathematics and statistics",Specialist studies,Total,0
2019,Number,"Engineering, manufacturing and construction",Specialist studies,Total,0
2019,Number,Information and communication technologies,Specialist studies,Total,0
2019,Number,Health and social protection,Specialist studies,Total,170
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,Total,0
2019,Number,"Social sciences, journalism and information",Specialist studies,Total,0
2019,Number,"Business, administration and law",Specialist studies,Total,0
2019,Number,Education,Specialist studies,Total,0
2019,Number,Arts and humanities,Specialist studies,Total,0
2019,Number,Services,Specialist studies,Total,0
2019,Number,Total,Specialist studies,M,72
2019,Number,"Natural sciences, mathematics and statistics",Specialist studies,M,0
2019,Number,"Engineering, manufacturing and construction",Specialist studies,M,0
2019,Number,Information and communication technologies,Specialist studies,M,0
2019,Number,Health and social protection,Specialist studies,M,72
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,M,0
2019,Number,"Social sciences, journalism and information",Specialist studies,M,0
2019,Number,"Business, administration and law",Specialist studies,M,0
2019,Number,Education,Specialist studies,M,0
2019,Number,Arts and humanities,Specialist studies,M,0
2019,Number,Services,Specialist studies,M,0
2019,Number,Total,Specialist studies,F,98
2019,Number,"Natural sciences, mathematics and statistics",Specialist studies,F,0
2019,Number,"Engineering, manufacturing and construction",Specialist studies,F,0
2019,Number,Information and communication technologies,Specialist studies,F,0
2019,Number,Health and social protection,Specialist studies,F,98
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,F,0
2019,Number,"Social sciences, journalism and information",Specialist studies,F,0
2019,Number,"Business, administration and law",Specialist studies,F,0
2019,Number,Education,Specialist studies,F,0
2019,Number,Arts and humanities,Specialist studies,F,0
2019,Number,Services,Specialist studies,F,0
2020,Number,Total,Master of science studies,Total,4
2020,Number,"Natural sciences, mathematics and statistics",Master of science studies,Total,0
2020,Number,"Engineering, manufacturing and construction",Master of science studies,Total,0
2020,Number,Information and communication technologies,Master of science studies,Total,0
2020,Number,Health and social protection,Master of science studies,Total,0
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,Total,0
2020,Number,"Social sciences, journalism and information",Master of science studies,Total,0
2020,Number,"Business, administration and law",Master of science studies,Total,2
2020,Number,Education,Master of science studies,Total,2
2020,Number,Arts and humanities,Master of science studies,Total,0
2020,Number,Services,Master of science studies,Total,0
2020,Number,Total,Master of science studies,M,3
2020,Number,"Natural sciences, mathematics and statistics",Master of science studies,M,0
2020,Number,"Engineering, manufacturing and construction",Master of science studies,M,0
2020,Number,Information and communication technologies,Master of science studies,M,0
2020,Number,Health and social protection,Master of science studies,M,0
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,M,0
2020,Number,"Social sciences, journalism and information",Master of science studies,M,0
2020,Number,"Business, administration and law",Master of science studies,M,1
2020,Number,Education,Master of science studies,M,2
2020,Number,Arts and humanities,Master of science studies,M,0
2020,Number,Services,Master of science studies,M,0
2020,Number,Total,Master of science studies,F,1
2020,Number,"Natural sciences, mathematics and statistics",Master of science studies,F,0
2020,Number,"Engineering, manufacturing and construction",Master of science studies,F,0
2020,Number,Information and communication technologies,Master of science studies,F,0
2020,Number,Health and social protection,Master of science studies,F,0
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,F,0
2020,Number,"Social sciences, journalism and information",Master of science studies,F,0
2020,Number,"Business, administration and law",Master of science studies,F,1
2020,Number,Education,Master of science studies,F,0
2020,Number,Arts and humanities,Master of science studies,F,0
2020,Number,Services,Master of science studies,F,0
2020,Number,Total,Master studies,Total,2430
2020,Number,"Natural sciences, mathematics and statistics",Master studies,Total,93
2020,Number,"Engineering, manufacturing and construction",Master studies,Total,399
2020,Number,Information and communication technologies,Master studies,Total,117
2020,Number,Health and social protection,Master studies,Total,52
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,Total,216
2020,Number,"Social sciences, journalism and information",Master studies,Total,619
2020,Number,"Business, administration and law",Master studies,Total,216
2020,Number,Education,Master studies,Total,381
2020,Number,Arts and humanities,Master studies,Total,328
2020,Number,Services,Master studies,Total,9
2020,Number,Total,Master studies,M,1036
2020,Number,"Natural sciences, mathematics and statistics",Master studies,M,26
2020,Number,"Engineering, manufacturing and construction",Master studies,M,252
2020,Number,Information and communication technologies,Master studies,M,82
2020,Number,Health and social protection,Master studies,M,10
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,M,119
2020,Number,"Social sciences, journalism and information",Master studies,M,194
2020,Number,"Business, administration and law",Master studies,M,79
2020,Number,Education,Master studies,M,129
2020,Number,Arts and humanities,Master studies,M,142
2020,Number,Services,Master studies,M,3
2020,Number,Total,Master studies,F,1394
2020,Number,"Natural sciences, mathematics and statistics",Master studies,F,67
2020,Number,"Engineering, manufacturing and construction",Master studies,F,147
2020,Number,Information and communication technologies,Master studies,F,35
2020,Number,Health and social protection,Master studies,F,42
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,F,97
2020,Number,"Social sciences, journalism and information",Master studies,F,425
2020,Number,"Business, administration and law",Master studies,F,137
2020,Number,Education,Master studies,F,252
2020,Number,Arts and humanities,Master studies,F,186
2020,Number,Services,Master studies,F,6
2020,Number,Total,Specialist studies,Total,170
2020,Number,"Natural sciences, mathematics and statistics",Specialist studies,Total,0
2020,Number,"Engineering, manufacturing and construction",Specialist studies,Total,0
2020,Number,Information and communication technologies,Specialist studies,Total,0
2020,Number,Health and social protection,Specialist studies,Total,170
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,Total,0
2020,Number,"Social sciences, journalism and information",Specialist studies,Total,0
2020,Number,"Business, administration and law",Specialist studies,Total,0
2020,Number,Education,Specialist studies,Total,0
2020,Number,Arts and humanities,Specialist studies,Total,0
2020,Number,Services,Specialist studies,Total,0
2020,Number,Total,Specialist studies,M,39
2020,Number,"Natural sciences, mathematics and statistics",Specialist studies,M,0
2020,Number,"Engineering, manufacturing and construction",Specialist studies,M,0
2020,Number,Information and communication technologies,Specialist studies,M,0
2020,Number,Health and social protection,Specialist studies,M,39
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,M,0
2020,Number,"Social sciences, journalism and information",Specialist studies,M,0
2020,Number,"Business, administration and law",Specialist studies,M,0
2020,Number,Education,Specialist studies,M,0
2020,Number,Arts and humanities,Specialist studies,M,0
2020,Number,Services,Specialist studies,M,0
2020,Number,Total,Specialist studies,F,131
2020,Number,"Natural sciences, mathematics and statistics",Specialist studies,F,0
2020,Number,"Engineering, manufacturing and construction",Specialist studies,F,0
2020,Number,Information and communication technologies,Specialist studies,F,0
2020,Number,Health and social protection,Specialist studies,F,131
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Specialist studies,F,0
2020,Number,"Social sciences, journalism and information",Specialist studies,F,0
2020,Number,"Business, administration and law",Specialist studies,F,0
2020,Number,Education,Specialist studies,F,0
2020,Number,Arts and humanities,Specialist studies,F,0
2020,Number,Services,Specialist studies,F,0
