Year,UNIT_MEASURE,scientific_field,Spol,Value
2018,Broj,"natural_sciences,_mathematics_and_statistic",Ž,5
2018,Broj,servies,Ž,0
2018,Broj,health_and_social_protection,Ž,38
2018,Broj,Ukupno,Oba spola,530
2018,Broj,"social_sciences,_journalism_and_information",Oba spola,101
2018,Broj,humanities_and_arts,Oba spola,76
2018,Broj,information_and_communication_technologies,Oba spola,22
2018,Broj,"engineering,_production_and_construction",Oba spola,33
2018,Broj,education,Oba spola,55
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,27
2018,Broj,"business,_administration_and_law",Oba spola,67
2018,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,23
2018,Broj,servies,Oba spola,3
2018,Broj,health_and_social_protection,Oba spola,123
2019,Broj,Ukupno,M,188
2019,Broj,"social_sciences,_journalism_and_information",M,65
2019,Broj,humanities_and_arts,M,21
2019,Broj,information_and_communication_technologies,M,6
2019,Broj,"engineering,_production_and_construction",M,12
2019,Broj,education,M,12
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2019,Broj,"business,_administration_and_law",M,22
2019,Broj,"natural_sciences,_mathematics_and_statistic",M,9
2019,Broj,servies,M,1
2019,Broj,health_and_social_protection,M,36
2019,Broj,Ukupno,Ž,278
2019,Broj,"social_sciences,_journalism_and_information",Ž,83
2019,Broj,humanities_and_arts,Ž,38
2019,Broj,information_and_communication_technologies,Ž,4
2019,Broj,"engineering,_production_and_construction",Ž,18
2019,Broj,education,Ž,36
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,7
2019,Broj,"business,_administration_and_law",Ž,13
2019,Broj,"natural_sciences,_mathematics_and_statistic",Ž,15
2019,Broj,servies,Ž,0
2019,Broj,health_and_social_protection,Ž,64
2019,Broj,Ukupno,Oba spola,466
2019,Broj,"social_sciences,_journalism_and_information",Oba spola,148
2019,Broj,humanities_and_arts,Oba spola,59
2019,Broj,information_and_communication_technologies,Oba spola,10
2019,Broj,"engineering,_production_and_construction",Oba spola,30
2019,Broj,education,Oba spola,48
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,11
2019,Broj,"business,_administration_and_law",Oba spola,35
2019,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,24
2019,Broj,servies,Oba spola,1
2019,Broj,health_and_social_protection,Oba spola,100
2020,Broj,Ukupno,M,156
2020,Broj,"social_sciences,_journalism_and_information",M,41
2020,Broj,humanities_and_arts,M,20
2020,Broj,information_and_communication_technologies,M,9
2020,Broj,"engineering,_production_and_construction",M,15
2020,Broj,education,M,7
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2020,Broj,"business,_administration_and_law",M,13
2020,Broj,"natural_sciences,_mathematics_and_statistic",M,6
2020,Broj,health_and_social_protection,M,32
2020,Broj,Ukupno,Ž,228
2020,Broj,"social_sciences,_journalism_and_information",Ž,45
2020,Broj,humanities_and_arts,Ž,45
2020,Broj,information_and_communication_technologies,Ž,2
2020,Broj,"engineering,_production_and_construction",Ž,15
2020,Broj,education,Ž,22
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,7
2020,Broj,"business,_administration_and_law",Ž,15
2020,Broj,"natural_sciences,_mathematics_and_statistic",Ž,14
2020,Broj,health_and_social_protection,Ž,63
2020,Broj,Ukupno,Oba spola,384
2020,Broj,"social_sciences,_journalism_and_information",Oba spola,86
2020,Broj,humanities_and_arts,Oba spola,65
2020,Broj,information_and_communication_technologies,Oba spola,11
2020,Broj,"engineering,_production_and_construction",Oba spola,30
2020,Broj,education,Oba spola,29
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,20
2020,Broj,"business,_administration_and_law",Oba spola,28
2020,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,20
2020,Broj,health_and_social_protection,Oba spola,95
