Year,UNIT_MEASURE,scientific_field,TYPE_OF_EDUCATION,Spol,Value
2017,Broj,services,enrolled_in_specialist_studies,Ž,1
2017,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2017,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,50
2017,Broj,"engineering,_production_and_construction",doctoral_students,Ž,29
2017,Broj,information_and_communication_technologies,doctoral_students,M,21
2017,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,356
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,124
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,232
2017,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,2
2017,Broj,education,enrolled_in_specialist_studies,Ž,2
2017,Broj,services,enrolled_in_specialist_studies,M,0
2017,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,1
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,1
2017,Broj,information_and_communication_technologies,doctoral_students,Oba spola,10
2017,Broj,health_and_social_protection,doctoral_students,Ž,4
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,6
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,236
2017,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,39
2017,Broj,education,enrolled_in_master's_studies,M,197
2017,Broj,services,enrolled_in_master_studies,Oba spola,1
2017,Broj,TOTAL,enrolled_in_specialist_studies,Ž,0
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,1
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2017,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,0
2017,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,0
2017,Broj,"business,_administration_and_law",doctoral_students,M,0
2017,Broj,education,enrolled_in_master's_studies,Oba spola,319
2017,Broj,services,enrolled_in_master's_studies,Ž,142
2017,Broj,TOTAL,enrolled_in_master's_studies,M,177
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,5
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,5
2017,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2017,Broj,"business,_administration_and_law",doctoral_students,Oba spola,10
2017,Broj,education,doctoral_students,Ž,9
2017,Broj,services,doctoral_students,M,1
2017,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,2
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,0
2017,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,2
2017,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,0
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,0
2017,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,0
2017,Broj,education,enrolled_in_specialist_studies,M,0
2017,Broj,services,doctoral_students,Oba spola,0
2017,Broj,TOTAL,doctoral_students,Ž,0
2017,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,0
2018,Broj,,enrolled_in_master's_studies,Oba spola,0
2018,Broj,TOTAL,enrolled_in_master's_studies,Ž,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,M,0
2018,Broj,"engineering,_production_and_construction",enrolled_in_master_studies,Oba spola,0
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Oba spola,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,0
2018,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,0
2018,Broj,education,doctoral_students,Oba spola,0
2018,Broj,services,doctoral_students,Ž,0
2018,Broj,,doctoral_students,M,0
2018,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,16
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,12
2018,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,4
2018,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,2 109
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,930
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,1 179
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,170
2018,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,72
2018,Broj,education,enrolled_in_specialist_studies,M,98
2018,Broj,services,doctoral_students,Oba spola,165
2018,Broj,,doctoral_students,Ž,71
2018,Broj,TOTAL,doctoral_students,M,94
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Oba spola,0
2018,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Ž,0
2018,Broj,information_and_communication_technologies,enrolled_in_master's_studies,M,0
2018,Broj,health_and_social_protection,enrolled_in_master_studies,Oba spola,79
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,22
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,57
2018,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Oba spola,0
2018,Broj,education,enrolled_in_specialist_studies,Ž,0
2018,Broj,services,enrolled_in_specialist_studies,M,0
2018,Broj,,doctoral_students,Oba spola,10
2018,Broj,TOTAL,doctoral_students,Ž,6
2018,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,4
2018,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,13
2018,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,10
2018,Broj,health_and_social_protection,enrolled_in_master's_studies,M,3
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,394
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,243
2018,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,151
2018,Broj,education,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,services,enrolled_in_specialist_studies,Ž,0
2018,Broj,,enrolled_in_specialist_studies,M,0
2018,Broj,TOTAL,doctoral_students,Oba spola,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Ž,0
2018,Broj,"engineering,_production_and_construction",doctoral_students,M,0
2018,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Oba spola,0
2018,Broj,health_and_social_protection,enrolled_in_master's_studies,Ž,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,M,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_master_studies,Oba spola,80
2018,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,59
2018,Broj,education,enrolled_in_specialist_studies,M,21
2018,Broj,services,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,,enrolled_in_specialist_studies,Ž,0
2018,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,0
2018,Broj,"engineering,_production_and_construction",doctoral_students,Ž,0
2018,Broj,information_and_communication_technologies,doctoral_students,M,0
2018,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,0
2018,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,45
2018,Broj,education,enrolled_in_specialist_studies,Ž,10
2018,Broj,services,enrolled_in_specialist_studies,M,35
2018,Broj,,enrolled_in_specialist_studies,Oba spola,170
2018,Broj,TOTAL,enrolled_in_specialist_studies,Ž,72
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,98
2018,Broj,"engineering,_production_and_construction",doctoral_students,Oba spola,65
2018,Broj,information_and_communication_technologies,doctoral_students,Ž,19
2018,Broj,health_and_social_protection,doctoral_students,M,46
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Oba spola,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Ž,0
2018,Broj,"business,_administration_and_law",enrolled_in_master's_studies,M,0
2018,Broj,education,enrolled_in_master_studies,Oba spola,188
2018,Broj,services,enrolled_in_specialist_studies,Ž,98
2018,Broj,,enrolled_in_specialist_studies,M,90
2018,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2018,Broj,information_and_communication_technologies,doctoral_students,Oba spola,9
2018,Broj,health_and_social_protection,doctoral_students,Ž,6
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,3
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,0
2018,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,0
2018,Broj,education,enrolled_in_master's_studies,M,0
2018,Broj,services,enrolled_in_master_studies,Oba spola,492
2018,Broj,,enrolled_in_specialist_studies,Ž,160
2018,Broj,TOTAL,enrolled_in_specialist_studies,M,332
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Oba spola,0
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,0
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,0
2018,Broj,health_and_social_protection,doctoral_students,Oba spola,58
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Ž,28
2018,Broj,"social_sciences,_journalism_and_information",doctoral_students,M,30
2018,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Oba spola,0
2018,Broj,education,enrolled_in_master's_studies,Ž,0
2018,Broj,services,enrolled_in_master's_studies,M,0
2018,Broj,,enrolled_in_master_studies,Oba spola,236
2018,Broj,TOTAL,enrolled_in_specialist_studies,Ž,89
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,147
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,5
2018,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,2
2018,Broj,"business,_administration_and_law",doctoral_students,M,3
2018,Broj,education,enrolled_in_master's_studies,Oba spola,2
2018,Broj,services,enrolled_in_master's_studies,Ž,1
2018,Broj,,enrolled_in_master's_studies,M,1
2018,Broj,TOTAL,enrolled_in_master_studies,Oba spola,298
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,104
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,194
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,0
2018,Broj,"social_sciences,_journalism_and_information",doctoral_students,Oba spola,8
2018,Broj,"business,_administration_and_law",doctoral_students,Ž,5
2018,Broj,education,doctoral_students,M,3
2018,Broj,services,enrolled_in_master's_studies,Oba spola,1
2018,Broj,,enrolled_in_master's_studies,Ž,1
2018,Broj,TOTAL,enrolled_in_master's_studies,M,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,291
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,142
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,149
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2018,Broj,"business,_administration_and_law",doctoral_students,Oba spola,10
2018,Broj,education,doctoral_students,Ž,5
2018,Broj,services,doctoral_students,M,5
2018,Broj,,enrolled_in_master's_studies,Oba spola,0
2018,Broj,,enrolled_in_master's_studies,Ž,0
2018,Broj,TOTAL,enrolled_in_master's_studies,M,0
2018,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,6
2018,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,3
2018,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,3
2018,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,0
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,0
2018,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,0
2018,Broj,"business,_administration_and_law",doctoral_students,Oba spola,0
2018,Broj,education,doctoral_students,Ž,0
2018,Broj,services,doctoral_students,M,0
2019,Broj,,enrolled_in_master's_studies,Oba spola,0
2019,Broj,TOTAL,enrolled_in_master's_studies,Ž,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,M,0
2019,Broj,"engineering,_production_and_construction",enrolled_in_master_studies,Oba spola,0
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Oba spola,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,0
2019,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,0
2019,Broj,education,doctoral_students,Oba spola,0
2019,Broj,services,doctoral_students,Ž,0
2019,Broj,,doctoral_students,M,0
2019,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,16
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,12
2019,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,4
2019,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,2 109
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,930
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,1 179
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,170
2019,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,72
2019,Broj,education,enrolled_in_specialist_studies,M,98
2019,Broj,services,doctoral_students,Oba spola,165
2019,Broj,,doctoral_students,Ž,71
2019,Broj,TOTAL,doctoral_students,M,94
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Oba spola,0
2019,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Ž,0
2019,Broj,information_and_communication_technologies,enrolled_in_master's_studies,M,0
2019,Broj,health_and_social_protection,enrolled_in_master_studies,Oba spola,79
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,22
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,57
2019,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Oba spola,0
2019,Broj,education,enrolled_in_specialist_studies,Ž,0
2019,Broj,services,enrolled_in_specialist_studies,M,0
2019,Broj,,doctoral_students,Oba spola,10
2019,Broj,TOTAL,doctoral_students,Ž,6
2019,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,4
2019,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,13
2019,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,10
2019,Broj,health_and_social_protection,enrolled_in_master's_studies,M,3
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,394
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,243
2019,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,151
2019,Broj,education,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,services,enrolled_in_specialist_studies,Ž,0
2019,Broj,,enrolled_in_specialist_studies,M,0
2019,Broj,TOTAL,doctoral_students,Oba spola,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Ž,0
2019,Broj,"engineering,_production_and_construction",doctoral_students,M,0
2019,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Oba spola,0
2019,Broj,health_and_social_protection,enrolled_in_master's_studies,Ž,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,M,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_master_studies,Oba spola,80
2019,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,59
2019,Broj,education,enrolled_in_specialist_studies,M,21
2019,Broj,services,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,,enrolled_in_specialist_studies,Ž,0
2019,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,0
2019,Broj,"engineering,_production_and_construction",doctoral_students,Ž,0
2019,Broj,information_and_communication_technologies,doctoral_students,M,0
2019,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,0
2019,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,45
2019,Broj,education,enrolled_in_specialist_studies,Ž,10
2019,Broj,services,enrolled_in_specialist_studies,M,35
2019,Broj,,enrolled_in_specialist_studies,Oba spola,170
2019,Broj,TOTAL,enrolled_in_specialist_studies,Ž,72
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,98
2019,Broj,"engineering,_production_and_construction",doctoral_students,Oba spola,65
2019,Broj,information_and_communication_technologies,doctoral_students,Ž,19
2019,Broj,health_and_social_protection,doctoral_students,M,46
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Oba spola,0
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Ž,0
2019,Broj,"business,_administration_and_law",enrolled_in_master's_studies,M,0
2019,Broj,education,enrolled_in_master_studies,Oba spola,188
2019,Broj,services,enrolled_in_specialist_studies,Ž,98
2019,Broj,,enrolled_in_specialist_studies,M,90
2019,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,0
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2019,Broj,information_and_communication_technologies,doctoral_students,Oba spola,9
2019,Broj,health_and_social_protection,doctoral_students,Ž,6
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,3
2019,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,0
2019,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,0
2019,Broj,education,enrolled_in_master's_studies,M,0
2019,Broj,services,enrolled_in_master_studies,Oba spola,492
2019,Broj,,enrolled_in_specialist_studies,Ž,160
2019,Broj,TOTAL,enrolled_in_specialist_studies,M,332
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Oba spola,0
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,0
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,0
2019,Broj,health_and_social_protection,doctoral_students,Oba spola,58
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Ž,28
2019,Broj,"social_sciences,_journalism_and_information",doctoral_students,M,30
2019,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Oba spola,0
2019,Broj,education,enrolled_in_master's_studies,Ž,0
2019,Broj,services,enrolled_in_master's_studies,M,0
2019,Broj,,enrolled_in_master_studies,Oba spola,236
2019,Broj,TOTAL,enrolled_in_specialist_studies,Ž,89
2019,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,147
2019,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2019,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2019,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,5
2019,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,2
2019,Broj,"business,_administration_and_law",doctoral_students,M,3
2019,Broj,education,enrolled_in_master's_studies,Oba spola,2
2019,Broj,services,enrolled_in_master's_studies,Ž,1
