Year,UNIT_MEASURE,Научна област,Врста образовања,Пол,Value
2017,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2017,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2017,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2017,Број,Здравство и социјална заштита,Специјалистичке студије,M,33
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2017,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,1
2017,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2017,Број,образовање,Специјалистичке студије,M,0
2017,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,0
2017,Број,услуге,Специјалистичке студије,M,0
2017,Број,Укупно,Специјалистичке студије,Ж,39
2017,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2017,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2017,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,0
2017,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,38
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2017,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2017,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,1
2017,Број,образовање,Специјалистичке студије,Ж,0
2017,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2017,Број,услуге,Специјалистичке студије,Ж,0
2018,Број,Укупно,Mагистарске студије,Оба пола,14
2018,Број,"Природне науке, математика и статистика",Mагистарске студије,Оба пола,0
2018,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Оба пола,0
2018,Број,Информационе и комуникационе технологије,Mагистарске студије,Оба пола,0
2018,Број,Здравство и социјална заштита,Mагистарске студије,Оба пола,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Оба пола,1
2018,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Оба пола,1
2018,Број,"Пословање, администрација и право",Mагистарске студије,Оба пола,0
2018,Број,образовање,Mагистарске студије,Оба пола,9
2018,Број,Умјетност и хуманистичке науке,Mагистарске студије,Оба пола,3
2018,Број,услуге,Mагистарске студије,Оба пола,0
2018,Број,Укупно,Mагистарске студије,M,6
2018,Број,"Природне науке, математика и статистика",Mагистарске студије,M,0
2018,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,M,0
2018,Број,Информационе и комуникационе технологије,Mагистарске студије,M,0
2018,Број,Здравство и социјална заштита,Mагистарске студије,M,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,0
2018,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,1
2018,Број,"Пословање, администрација и право",Mагистарске студије,M,0
2018,Број,образовање,Mагистарске студије,M,2
2018,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,3
2018,Број,услуге,Mагистарске студије,M,0
2018,Број,Укупно,Mагистарске студије,Ж,8
2018,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,0
2018,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,0
2018,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,0
2018,Број,Здравство и социјална заштита,Mагистарске студије,Ж,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,1
2018,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,0
2018,Број,"Пословање, администрација и право",Mагистарске студије,Ж,0
2018,Број,образовање,Mагистарске студије,Ж,7
2018,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,0
2018,Број,услуге,Mагистарске студије,Ж,0
2018,Број,Укупно,Mастер студије,Оба пола,2144
2018,Број,"Природне науке, математика и статистика",Mастер студије,Оба пола,76
2018,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Оба пола,362
2018,Број,Информационе и комуникационе технологије,Mастер студије,Оба пола,120
2018,Број,Здравство и социјална заштита,Mастер студије,Оба пола,42
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Оба пола,189
2018,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Оба пола,503
2018,Број,"Пословање, администрација и право",Mастер студије,Оба пола,240
2018,Број,образовање,Mастер студије,Оба пола,314
2018,Број,Умјетност и хуманистичке науке,Mастер студије,Оба пола,291
2018,Број,услуге,Mастер студије,Оба пола,7
2018,Број,Укупно,Mастер студије,M,937
2018,Број,"Природне науке, математика и статистика",Mастер студије,M,28
2018,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,229
2018,Број,Информационе и комуникационе технологије,Mастер студије,M,83
2018,Број,Здравство и социјална заштита,Mастер студије,M,12
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,98
2018,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,163
2018,Број,"Пословање, администрација и право",Mастер студије,M,85
2018,Број,образовање,Mастер студије,M,103
2018,Број,Умјетност и хуманистичке науке,Mастер студије,M,133
2018,Број,услуге,Mастер студије,M,3
2018,Број,Укупно,Mастер студије,Ж,1207
2018,Број,"Природне науке, математика и статистика",Mастер студије,Ж,48
2018,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,133
2018,Број,Информационе и комуникационе технологије,Mастер студије,Ж,37
2018,Број,Здравство и социјална заштита,Mастер студије,Ж,30
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,91
2018,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,340
2018,Број,"Пословање, администрација и право",Mастер студије,Ж,155
2018,Број,образовање,Mастер студије,Ж,211
2018,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,158
2018,Број,услуге,Mастер студије,Ж,4
2018,Број,Укупно,Специјалистичке студије,Оба пола,160
2018,Број,"Природне науке, математика и статистика",Специјалистичке студије,Оба пола,0
2018,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Оба пола,0
2018,Број,Информационе и комуникационе технологије,Специјалистичке студије,Оба пола,0
2018,Број,Здравство и социјална заштита,Специјалистичке студије,Оба пола,156
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Оба пола,0
2018,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Оба пола,1
2018,Број,"Пословање, администрација и право",Специјалистичке студије,Оба пола,0
2018,Број,образовање,Специјалистичке студије,Оба пола,2
2018,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Оба пола,1
2018,Број,услуге,Специјалистичке студије,Оба пола,0
2018,Број,Укупно,Специјалистичке студије,M,66
2018,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2018,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2018,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2018,Број,Здравство и социјална заштита,Специјалистичке студије,M,64
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2018,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,1
2018,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2018,Број,образовање,Специјалистичке студије,M,0
2018,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,1
2018,Број,услуге,Специјалистичке студије,M,0
2018,Број,Укупно,Специјалистичке студије,Ж,94
2018,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2018,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2018,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,0
2018,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,92
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2018,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2018,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,0
2018,Број,образовање,Специјалистичке студије,Ж,2
2018,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2018,Број,услуге,Специјалистичке студије,Ж,0
2019,Број,Укупно,Mагистарске студије,Оба пола,16
2019,Број,"Природне науке, математика и статистика",Mагистарске студије,Оба пола,0
2019,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Оба пола,13
2019,Број,Информационе и комуникационе технологије,Mагистарске студије,Оба пола,0
2019,Број,Здравство и социјална заштита,Mагистарске студије,Оба пола,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Оба пола,0
2019,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Оба пола,0
2019,Број,"Пословање, администрација и право",Mагистарске студије,Оба пола,0
2019,Број,образовање,Mагистарске студије,Оба пола,2
2019,Број,Умјетност и хуманистичке науке,Mагистарске студије,Оба пола,1
2019,Број,услуге,Mагистарске студије,Оба пола,0
2019,Број,Укупно,Mагистарске студије,M,12
2019,Број,"Природне науке, математика и статистика",Mагистарске студије,M,0
2019,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,M,10
2019,Број,Информационе и комуникационе технологије,Mагистарске студије,M,0
2019,Број,Здравство и социјална заштита,Mагистарске студије,M,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,0
2019,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,0
2019,Број,"Пословање, администрација и право",Mагистарске студије,M,0
2019,Број,образовање,Mагистарске студије,M,1
2019,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,1
2019,Број,услуге,Mагистарске студије,M,0
2019,Број,Укупно,Mагистарске студије,Ж,4
2019,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,0
2019,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,3
2019,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,0
2019,Број,Здравство и социјална заштита,Mагистарске студије,Ж,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,0
2019,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,0
2019,Број,"Пословање, администрација и право",Mагистарске студије,Ж,0
2019,Број,образовање,Mагистарске студије,Ж,1
2019,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,0
2019,Број,услуге,Mагистарске студије,Ж,0
2019,Број,Укупно,Mастер студије,Оба пола,2109
2019,Број,"Природне науке, математика и статистика",Mастер студије,Оба пола,79
2019,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Оба пола,394
2019,Број,Информационе и комуникационе технологије,Mастер студије,Оба пола,80
2019,Број,Здравство и социјална заштита,Mастер студије,Оба пола,45
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Оба пола,188
2019,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Оба пола,492
2019,Број,"Пословање, администрација и право",Mастер студије,Оба пола,236
2019,Број,образовање,Mастер студије,Оба пола,298
2019,Број,Умјетност и хуманистичке науке,Mастер студије,Оба пола,291
2019,Број,услуге,Mастер студије,Оба пола,6
2019,Број,Укупно,Mастер студије,M,930
2019,Број,"Природне науке, математика и статистика",Mастер студије,M,22
2019,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,243
2019,Број,Информационе и комуникационе технологије,Mастер студије,M,59
2019,Број,Здравство и социјална заштита,Mастер студије,M,10
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,98
2019,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,160
2019,Број,"Пословање, администрација и право",Mастер студије,M,89
2019,Број,образовање,Mастер студије,M,104
2019,Број,Умјетност и хуманистичке науке,Mастер студије,M,142
2019,Број,услуге,Mастер студије,M,3
2019,Број,Укупно,Mастер студије,Ж,1179
2019,Број,"Природне науке, математика и статистика",Mастер студије,Ж,57
2019,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,151
2019,Број,Информационе и комуникационе технологије,Mастер студије,Ж,21
2019,Број,Здравство и социјална заштита,Mастер студије,Ж,35
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,90
2019,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,332
2019,Број,"Пословање, администрација и право",Mастер студије,Ж,147
2019,Број,образовање,Mастер студије,Ж,194
2019,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,149
2019,Број,услуге,Mастер студије,Ж,3
2019,Број,Укупно,Специјалистичке студије,Оба пола,170
2019,Број,"Природне науке, математика и статистика",Специјалистичке студије,Оба пола,0
2019,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Оба пола,0
2019,Број,Информационе и комуникационе технологије,Специјалистичке студије,Оба пола,0
2019,Број,Здравство и социјална заштита,Специјалистичке студије,Оба пола,170
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Оба пола,0
2019,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Оба пола,0
2019,Број,"Пословање, администрација и право",Специјалистичке студије,Оба пола,0
2019,Број,образовање,Специјалистичке студије,Оба пола,0
2019,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Оба пола,0
2019,Број,услуге,Специјалистичке студије,Оба пола,0
2019,Број,Укупно,Специјалистичке студије,M,72
2019,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2019,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2019,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2019,Број,Здравство и социјална заштита,Специјалистичке студије,M,72
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2019,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,0
2019,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2019,Број,образовање,Специјалистичке студије,M,0
2019,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,0
2019,Број,услуге,Специјалистичке студије,M,0
2019,Број,Укупно,Специјалистичке студије,Ж,98
2019,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2019,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2019,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,0
2019,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,98
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2019,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2019,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,0
2019,Број,образовање,Специјалистичке студије,Ж,0
2019,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2019,Број,услуге,Специјалистичке студије,Ж,0
2020,Број,Укупно,Mагистарске студије,Оба пола,4
2020,Број,"Природне науке, математика и статистика",Mагистарске студије,Оба пола,0
2020,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Оба пола,0
2020,Број,Информационе и комуникационе технологије,Mагистарске студије,Оба пола,0
2020,Број,Здравство и социјална заштита,Mагистарске студије,Оба пола,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Оба пола,0
2020,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Оба пола,0
2020,Број,"Пословање, администрација и право",Mагистарске студије,Оба пола,2
2020,Број,образовање,Mагистарске студије,Оба пола,2
2020,Број,Умјетност и хуманистичке науке,Mагистарске студије,Оба пола,0
2020,Број,услуге,Mагистарске студије,Оба пола,0
2020,Број,Укупно,Mагистарске студије,M,3
2020,Број,"Природне науке, математика и статистика",Mагистарске студије,M,0
2020,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,M,0
2020,Број,Информационе и комуникационе технологије,Mагистарске студије,M,0
2020,Број,Здравство и социјална заштита,Mагистарске студије,M,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,0
2020,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,0
2020,Број,"Пословање, администрација и право",Mагистарске студије,M,1
2020,Број,образовање,Mагистарске студије,M,2
2020,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,0
2020,Број,услуге,Mагистарске студије,M,0
2020,Број,Укупно,Mагистарске студије,Ж,1
2020,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,0
2020,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,0
2020,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,0
2020,Број,Здравство и социјална заштита,Mагистарске студије,Ж,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,0
2020,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,0
2020,Број,"Пословање, администрација и право",Mагистарске студије,Ж,1
2020,Број,образовање,Mагистарске студије,Ж,0
2020,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,0
2020,Број,услуге,Mагистарске студије,Ж,0
2020,Број,Укупно,Mастер студије,Оба пола,2430
2020,Број,"Природне науке, математика и статистика",Mастер студије,Оба пола,93
2020,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Оба пола,399
2020,Број,Информационе и комуникационе технологије,Mастер студије,Оба пола,117
2020,Број,Здравство и социјална заштита,Mастер студије,Оба пола,52
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Оба пола,216
2020,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Оба пола,619
2020,Број,"Пословање, администрација и право",Mастер студије,Оба пола,216
2020,Број,образовање,Mастер студије,Оба пола,381
2020,Број,Умјетност и хуманистичке науке,Mастер студије,Оба пола,328
2020,Број,услуге,Mастер студије,Оба пола,9
2020,Број,Укупно,Mастер студије,M,1036
2020,Број,"Природне науке, математика и статистика",Mастер студије,M,26
2020,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,252
2020,Број,Информационе и комуникационе технологије,Mастер студије,M,82
2020,Број,Здравство и социјална заштита,Mастер студије,M,10
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,119
2020,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,194
2020,Број,"Пословање, администрација и право",Mастер студије,M,79
2020,Број,образовање,Mастер студије,M,129
2020,Број,Умјетност и хуманистичке науке,Mастер студије,M,142
2020,Број,услуге,Mастер студије,M,3
2020,Број,Укупно,Mастер студије,Ж,1394
2020,Број,"Природне науке, математика и статистика",Mастер студије,Ж,67
2020,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,147
2020,Број,Информационе и комуникационе технологије,Mастер студије,Ж,35
2020,Број,Здравство и социјална заштита,Mастер студије,Ж,42
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,97
2020,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,425
2020,Број,"Пословање, администрација и право",Mастер студије,Ж,137
2020,Број,образовање,Mастер студије,Ж,252
2020,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,186
2020,Број,услуге,Mастер студије,Ж,6
2020,Број,Укупно,Специјалистичке студије,Оба пола,170
2020,Број,"Природне науке, математика и статистика",Специјалистичке студије,Оба пола,0
2020,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Оба пола,0
2020,Број,Информационе и комуникационе технологије,Специјалистичке студије,Оба пола,0
2020,Број,Здравство и социјална заштита,Специјалистичке студије,Оба пола,170
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Оба пола,0
2020,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Оба пола,0
2020,Број,"Пословање, администрација и право",Специјалистичке студије,Оба пола,0
2020,Број,образовање,Специјалистичке студије,Оба пола,0
2020,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Оба пола,0
2020,Број,услуге,Специјалистичке студије,Оба пола,0
2020,Број,Укупно,Специјалистичке студије,M,39
2020,Број,"Природне науке, математика и статистика",Специјалистичке студије,M,0
2020,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,M,0
2020,Број,Информационе и комуникационе технологије,Специјалистичке студије,M,0
2020,Број,Здравство и социјална заштита,Специјалистичке студије,M,39
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,M,0
2020,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,M,0
2020,Број,"Пословање, администрација и право",Специјалистичке студије,M,0
2020,Број,образовање,Специјалистичке студије,M,0
2020,Број,Умјетност и хуманистичке науке,Специјалистичке студије,M,0
2020,Број,услуге,Специјалистичке студије,M,0
2020,Број,Укупно,Специјалистичке студије,Ж,131
2020,Број,"Природне науке, математика и статистика",Специјалистичке студије,Ж,0
2020,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Ж,0
2020,Број,Информационе и комуникационе технологије,Специјалистичке студије,Ж,0
2020,Број,Здравство и социјална заштита,Специјалистичке студије,Ж,131
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Ж,0
2020,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Ж,0
2020,Број,"Пословање, администрација и право",Специјалистичке студије,Ж,0
2020,Број,образовање,Специјалистичке студије,Ж,0
2020,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Ж,0
2020,Број,услуге,Специјалистичке студије,Ж,0
