Year,UNIT_MEASURE,scientific_field,SEX,Value
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2020,NUMBER,"business,_administration_and_law",M,13
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",M,6
2020,NUMBER,health_and_social_protection,M,32
2020,NUMBER,total,F,228
2020,NUMBER,"social_sciences,_journalism_and_information",F,45
2020,NUMBER,humanities_and_arts,F,45
2020,NUMBER,information_and_communication_technologies,F,2
2020,NUMBER,"engineering,_production_and_construction",F,15
2020,NUMBER,education,F,22
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,7
2020,NUMBER,"business,_administration_and_law",F,15
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",F,14
2020,NUMBER,health_and_social_protection,F,63
2020,NUMBER,total,_T,384
2020,NUMBER,"social_sciences,_journalism_and_information",_T,86
2020,NUMBER,humanities_and_arts,_T,65
2020,NUMBER,information_and_communication_technologies,_T,11
2020,NUMBER,"engineering,_production_and_construction",_T,30
2020,NUMBER,education,_T,29
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,20
2020,NUMBER,"business,_administration_and_law",_T,28
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,20
2020,NUMBER,health_and_social_protection,_T,95
