Year,UNIT_MEASURE,scientific_field,SEX,Value
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2019,NUMBER,"social_sciences,_journalism_and_information",_T,58
2019,NUMBER,"business,_administration_and_law",_T,5
2019,NUMBER,eduaction,_T,8
2019,NUMBER,humanities_and_arts,_T,10
2019,NUMBER,services,_T,0
2019,NUMBER,total,M,71
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",M,6
2019,NUMBER,"engineering,_production_and_construction",M,0
2019,NUMBER,information_and_communication_technologies,M,0
2019,NUMBER,health_and_social_protection,M,19
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,NUMBER,"social_sciences,_journalism_and_information",M,28
2019,NUMBER,"business,_administration_and_law",M,2
2019,NUMBER,eduaction,M,5
2019,NUMBER,humanities_and_arts,M,5
2019,NUMBER,services,M,0
2019,NUMBER,total,F,94
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",F,4
2019,NUMBER,"engineering,_production_and_construction",F,0
2019,NUMBER,information_and_communication_technologies,F,0
2019,NUMBER,health_and_social_protection,F,46
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2019,NUMBER,"social_sciences,_journalism_and_information",F,30
2019,NUMBER,"business,_administration_and_law",F,3
2019,NUMBER,eduaction,F,3
2019,NUMBER,humanities_and_arts,F,5
2019,NUMBER,services,F,0
2020,NUMBER,total,_T,184
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,12
2020,NUMBER,"engineering,_production_and_construction",_T,2
2020,NUMBER,information_and_communication_technologies,_T,5
2020,NUMBER,health_and_social_protection,_T,96
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,14
2020,NUMBER,"social_sciences,_journalism_and_information",_T,22
2020,NUMBER,"business,_administration_and_law",_T,1
2020,NUMBER,eduaction,_T,8
2020,NUMBER,humanities_and_arts,_T,24
2020,NUMBER,services,_T,0
2020,NUMBER,total,M,79
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",M,8
2020,NUMBER,"engineering,_production_and_construction",M,1
2020,NUMBER,information_and_communication_technologies,M,3
2020,NUMBER,health_and_social_protection,M,35
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,NUMBER,"social_sciences,_journalism_and_information",M,12
2020,NUMBER,"business,_administration_and_law",M,0
2020,NUMBER,eduaction,M,8
2020,NUMBER,humanities_and_arts,M,3
2020,NUMBER,services,M,0
2020,NUMBER,total,F,105
2020,NUMBER,"natural_sciences,_mathematics_and_statistic",F,4
2020,NUMBER,"engineering,_production_and_construction",F,1
2020,NUMBER,information_and_communication_technologies,F,2
2020,NUMBER,health_and_social_protection,F,61
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2020,NUMBER,"social_sciences,_journalism_and_information",F,10
2020,NUMBER,"business,_administration_and_law",F,1
2020,NUMBER,eduaction,F,0
2020,NUMBER,humanities_and_arts,F,21
2020,NUMBER,services,F,0
