Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2023,NUMBER,_T,diseases_of_the_digestive,457
2024,NUMBER,_T,diseases_of_the_digestive,441
2003,NUMBER,_T,diseases_of_the_skin,0
2004,NUMBER,_T,diseases_of_the_skin,3
2005,NUMBER,_T,diseases_of_the_skin,0
2006,NUMBER,_T,diseases_of_the_skin,1
2007,NUMBER,_T,diseases_of_the_skin,2
2008,NUMBER,_T,diseases_of_the_skin,2
2009,NUMBER,_T,diseases_of_the_skin,3
2010,NUMBER,_T,diseases_of_the_skin,6
2011,NUMBER,_T,diseases_of_the_skin,1
2012,NUMBER,_T,diseases_of_the_skin,4
2013,NUMBER,_T,diseases_of_the_skin,20
2014,NUMBER,_T,diseases_of_the_skin,22
2015,NUMBER,_T,diseases_of_the_skin,22
2016,NUMBER,_T,diseases_of_the_skin,21
2017,NUMBER,_T,diseases_of_the_skin,24
2018,NUMBER,_T,diseases_of_the_skin,22
2019,NUMBER,_T,diseases_of_the_skin,23
2020,NUMBER,_T,diseases_of_the_skin,30
2021,NUMBER,_T,diseases_of_the_skin,33
2022,NUMBER,_T,diseases_of_the_skin,31
2023,NUMBER,_T,diseases_of_the_skin,45
2024,NUMBER,_T,diseases_of_the_skin,55
2003,NUMBER,_T,diseases_of_the_musculoskeletal,6
2004,NUMBER,_T,diseases_of_the_musculoskeletal,3
2005,NUMBER,_T,diseases_of_the_musculoskeletal,12
2006,NUMBER,_T,diseases_of_the_musculoskeletal,10
2007,NUMBER,_T,diseases_of_the_musculoskeletal,13
2008,NUMBER,_T,diseases_of_the_musculoskeletal,17
2009,NUMBER,_T,diseases_of_the_musculoskeletal,13
2010,NUMBER,_T,diseases_of_the_musculoskeletal,11
2011,NUMBER,_T,diseases_of_the_musculoskeletal,18
2012,NUMBER,_T,diseases_of_the_musculoskeletal,16
2013,NUMBER,_T,diseases_of_the_musculoskeletal,28
2014,NUMBER,_T,diseases_of_the_musculoskeletal,22
2015,NUMBER,_T,diseases_of_the_musculoskeletal,30
2016,NUMBER,_T,diseases_of_the_musculoskeletal,19
2017,NUMBER,_T,diseases_of_the_musculoskeletal,17
2018,NUMBER,_T,diseases_of_the_musculoskeletal,21
2019,NUMBER,_T,diseases_of_the_musculoskeletal,13
2020,NUMBER,_T,diseases_of_the_musculoskeletal,28
2021,NUMBER,_T,diseases_of_the_musculoskeletal,8
2022,NUMBER,_T,diseases_of_the_musculoskeletal,24
2023,NUMBER,_T,diseases_of_the_musculoskeletal,13
2024,NUMBER,_T,diseases_of_the_musculoskeletal,17
2003,NUMBER,_T,diseases_of_the_genitourinary,222
2004,NUMBER,_T,diseases_of_the_genitourinary,205
2005,NUMBER,_T,diseases_of_the_genitourinary,257
2006,NUMBER,_T,diseases_of_the_genitourinary,266
2007,NUMBER,_T,diseases_of_the_genitourinary,275
2008,NUMBER,_T,diseases_of_the_genitourinary,268
2009,NUMBER,_T,diseases_of_the_genitourinary,257
2010,NUMBER,_T,diseases_of_the_genitourinary,255
2011,NUMBER,_T,diseases_of_the_genitourinary,175
2012,NUMBER,_T,diseases_of_the_genitourinary,236
2013,NUMBER,_T,diseases_of_the_genitourinary,213
2014,NUMBER,_T,diseases_of_the_genitourinary,150
2015,NUMBER,_T,diseases_of_the_genitourinary,179
2016,NUMBER,_T,diseases_of_the_genitourinary,218
2017,NUMBER,_T,diseases_of_the_genitourinary,193
2018,NUMBER,_T,diseases_of_the_genitourinary,220
2019,NUMBER,_T,diseases_of_the_genitourinary,195
2020,NUMBER,_T,diseases_of_the_genitourinary,221
2021,NUMBER,_T,diseases_of_the_genitourinary,197
2022,NUMBER,_T,diseases_of_the_genitourinary,254
2023,NUMBER,_T,diseases_of_the_genitourinary,310
2024,NUMBER,_T,diseases_of_the_genitourinary,313
2003,NUMBER,_T,pregnancy_childbirth_and_the,1
2004,NUMBER,_T,pregnancy_childbirth_and_the,0
2005,NUMBER,_T,pregnancy_childbirth_and_the,2
2006,NUMBER,_T,pregnancy_childbirth_and_the,2
2007,NUMBER,_T,pregnancy_childbirth_and_the,1
2008,NUMBER,_T,pregnancy_childbirth_and_the,1
2009,NUMBER,_T,pregnancy_childbirth_and_the,0
2010,NUMBER,_T,pregnancy_childbirth_and_the,1
2011,NUMBER,_T,pregnancy_childbirth_and_the,1
2012,NUMBER,_T,pregnancy_childbirth_and_the,0
2013,NUMBER,_T,pregnancy_childbirth_and_the,0
2014,NUMBER,_T,pregnancy_childbirth_and_the,0
2015,NUMBER,_T,pregnancy_childbirth_and_the,1
2016,NUMBER,_T,pregnancy_childbirth_and_the,1
2017,NUMBER,_T,pregnancy_childbirth_and_the,0
2018,NUMBER,_T,pregnancy_childbirth_and_the,1
2019,NUMBER,_T,pregnancy_childbirth_and_the,0
2020,NUMBER,_T,pregnancy_childbirth_and_the,3
2021,NUMBER,_T,pregnancy_childbirth_and_the,0
2022,NUMBER,_T,pregnancy_childbirth_and_the,1
2023,NUMBER,_T,pregnancy_childbirth_and_the,0
2024,NUMBER,_T,pregnancy_childbirth_and_the,0
2003,NUMBER,_T,certain_conditions_originating,44
2004,NUMBER,_T,certain_conditions_originating,38
2005,NUMBER,_T,certain_conditions_originating,27
2006,NUMBER,_T,certain_conditions_originating,38
2007,NUMBER,_T,certain_conditions_originating,27
2008,NUMBER,_T,certain_conditions_originating,20
2009,NUMBER,_T,certain_conditions_originating,34
2010,NUMBER,_T,certain_conditions_originating,29
2011,NUMBER,_T,certain_conditions_originating,36
2012,NUMBER,_T,certain_conditions_originating,29
2013,NUMBER,_T,certain_conditions_originating,21
2014,NUMBER,_T,certain_conditions_originating,16
2015,NUMBER,_T,certain_conditions_originating,10
2016,NUMBER,_T,certain_conditions_originating,18
2017,NUMBER,_T,certain_conditions_originating,17
2018,NUMBER,_T,certain_conditions_originating,10
2019,NUMBER,_T,certain_conditions_originating,11
2020,NUMBER,_T,certain_conditions_originating,34
2021,NUMBER,_T,certain_conditions_originating,9
2022,NUMBER,_T,certain_conditions_originating,19
2023,NUMBER,_T,certain_conditions_originating,14
2024,NUMBER,_T,certain_conditions_originating,25
2003,NUMBER,_T,congenital_malformations_deformations,10
2004,NUMBER,_T,congenital_malformations_deformations,11
2005,NUMBER,_T,congenital_malformations_deformations,14
2006,NUMBER,_T,congenital_malformations_deformations,14
2007,NUMBER,_T,congenital_malformations_deformations,14
2008,NUMBER,_T,congenital_malformations_deformations,15
2009,NUMBER,_T,congenital_malformations_deformations,20
2010,NUMBER,_T,congenital_malformations_deformations,17
2011,NUMBER,_T,congenital_malformations_deformations,9
2012,NUMBER,_T,congenital_malformations_deformations,6
2013,NUMBER,_T,congenital_malformations_deformations,10
2014,NUMBER,_T,congenital_malformations_deformations,10
2015,NUMBER,_T,congenital_malformations_deformations,7
2016,NUMBER,_T,congenital_malformations_deformations,5
2017,NUMBER,_T,congenital_malformations_deformations,5
2018,NUMBER,_T,congenital_malformations_deformations,5
2019,NUMBER,_T,congenital_malformations_deformations,4
2020,NUMBER,_T,congenital_malformations_deformations,6
2021,NUMBER,_T,congenital_malformations_deformations,5
2022,NUMBER,_T,congenital_malformations_deformations,13
2023,NUMBER,_T,congenital_malformations_deformations,7
2024,NUMBER,_T,congenital_malformations_deformations,11
2003,NUMBER,_T,symptoms_signs_and_abnormal,1612
2004,NUMBER,_T,symptoms_signs_and_abnormal,1462
2005,NUMBER,_T,symptoms_signs_and_abnormal,1249
2006,NUMBER,_T,symptoms_signs_and_abnormal,1200
2007,NUMBER,_T,symptoms_signs_and_abnormal,1288
2008,NUMBER,_T,symptoms_signs_and_abnormal,945
2009,NUMBER,_T,symptoms_signs_and_abnormal,953
2010,NUMBER,_T,symptoms_signs_and_abnormal,877
2011,NUMBER,_T,symptoms_signs_and_abnormal,681
2012,NUMBER,_T,symptoms_signs_and_abnormal,612
2013,NUMBER,_T,symptoms_signs_and_abnormal,1231
2014,NUMBER,_T,symptoms_signs_and_abnormal,1445
2015,NUMBER,_T,symptoms_signs_and_abnormal,1556
2016,NUMBER,_T,symptoms_signs_and_abnormal,1198
2017,NUMBER,_T,symptoms_signs_and_abnormal,1435
2018,NUMBER,_T,symptoms_signs_and_abnormal,1650
2019,NUMBER,_T,symptoms_signs_and_abnormal,1961
2020,NUMBER,_T,symptoms_signs_and_abnormal,1599
2021,NUMBER,_T,symptoms_signs_and_abnormal,2213
2022,NUMBER,_T,symptoms_signs_and_abnormal,2158
2023,NUMBER,_T,symptoms_signs_and_abnormal,1431
2024,NUMBER,_T,symptoms_signs_and_abnormal,1567
2003,NUMBER,_T,injuries_poisoning_and_consequences,580
2004,NUMBER,_T,injuries_poisoning_and_consequences,552
2005,NUMBER,_T,injuries_poisoning_and_consequences,618
2006,NUMBER,_T,injuries_poisoning_and_consequences,615
2007,NUMBER,_T,injuries_poisoning_and_consequences,634
2008,NUMBER,_T,injuries_poisoning_and_consequences,584
2009,NUMBER,_T,injuries_poisoning_and_consequences,581
2010,NUMBER,_T,injuries_poisoning_and_consequences,511
2011,NUMBER,_T,injuries_poisoning_and_consequences,600
2012,NUMBER,_T,injuries_poisoning_and_consequences,538
2013,NUMBER,_T,injuries_poisoning_and_consequences,504
2014,NUMBER,_T,injuries_poisoning_and_consequences,532
2015,NUMBER,_T,injuries_poisoning_and_consequences,559
2016,NUMBER,_T,injuries_poisoning_and_consequences,491
2017,NUMBER,_T,injuries_poisoning_and_consequences,474
2018,NUMBER,_T,injuries_poisoning_and_consequences,482
2019,NUMBER,_T,injuries_poisoning_and_consequences,430
2020,NUMBER,_T,injuries_poisoning_and_consequences,405
2021,NUMBER,_T,injuries_poisoning_and_consequences,448
2022,NUMBER,_T,injuries_poisoning_and_consequences,465
2023,NUMBER,_T,injuries_poisoning_and_consequences,434
2024,NUMBER,_T,injuries_poisoning_and_consequences,422
2003,NUMBER,_T,special_purpose_codes,0
2004,NUMBER,_T,special_purpose_codes,0
2005,NUMBER,_T,special_purpose_codes,0
2006,NUMBER,_T,special_purpose_codes,0
2007,NUMBER,_T,special_purpose_codes,0
2008,NUMBER,_T,special_purpose_codes,0
2009,NUMBER,_T,special_purpose_codes,0
2010,NUMBER,_T,special_purpose_codes,0
2011,NUMBER,_T,special_purpose_codes,0
2012,NUMBER,_T,special_purpose_codes,0
2013,NUMBER,_T,special_purpose_codes,0
2014,NUMBER,_T,special_purpose_codes,0
2015,NUMBER,_T,special_purpose_codes,0
2016,NUMBER,_T,special_purpose_codes,0
2017,NUMBER,_T,special_purpose_codes,0
2018,NUMBER,_T,special_purpose_codes,0
2019,NUMBER,_T,special_purpose_codes,0
2020,NUMBER,_T,special_purpose_codes,1592
2021,NUMBER,_T,special_purpose_codes,3846
2022,NUMBER,_T,special_purpose_codes,1312
2023,NUMBER,_T,special_purpose_codes,162
2024,NUMBER,_T,special_purpose_codes,72
2003,NUMBER,M,total,6804
2004,NUMBER,M,total,6735
2005,NUMBER,M,total,7239
2006,NUMBER,M,total,6904
2007,NUMBER,M,total,7302
2008,NUMBER,M,total,7058
2009,NUMBER,M,total,7099
2010,NUMBER,M,total,6935
2011,NUMBER,M,total,7001
2012,NUMBER,M,total,7064
2013,NUMBER,M,total,7237
2014,NUMBER,M,total,7386
2015,NUMBER,M,total,7640
2016,NUMBER,M,total,7198
2017,NUMBER,M,total,7363
2018,NUMBER,M,total,7449
2019,NUMBER,M,total,7753
2020,NUMBER,M,total,8613
2021,NUMBER,M,total,9943
2022,NUMBER,M,total,8469
2023,NUMBER,M,total,6978
2024,NUMBER,M,total,7289
2003,NUMBER,M,infectious_and_parasitic,59
2004,NUMBER,M,infectious_and_parasitic,75
2005,NUMBER,M,infectious_and_parasitic,78
2006,NUMBER,M,infectious_and_parasitic,73
2007,NUMBER,M,infectious_and_parasitic,70
2008,NUMBER,M,infectious_and_parasitic,72
2009,NUMBER,M,infectious_and_parasitic,75
2010,NUMBER,M,infectious_and_parasitic,72
2011,NUMBER,M,infectious_and_parasitic,79
2012,NUMBER,M,infectious_and_parasitic,69
2013,NUMBER,M,infectious_and_parasitic,73
2014,NUMBER,M,infectious_and_parasitic,80
2015,NUMBER,M,infectious_and_parasitic,92
2016,NUMBER,M,infectious_and_parasitic,104
2017,NUMBER,M,infectious_and_parasitic,85
2018,NUMBER,M,infectious_and_parasitic,109
2019,NUMBER,M,infectious_and_parasitic,119
2020,NUMBER,M,infectious_and_parasitic,87
2021,NUMBER,M,infectious_and_parasitic,86
2022,NUMBER,M,infectious_and_parasitic,115
2023,NUMBER,M,infectious_and_parasitic,105
2024,NUMBER,M,infectious_and_parasitic,105
2003,NUMBER,M,neoplasms,1461
2004,NUMBER,M,neoplasms,1402
2005,NUMBER,M,neoplasms,1581
2006,NUMBER,M,neoplasms,1536
2007,NUMBER,M,neoplasms,1624
2008,NUMBER,M,neoplasms,1658
2009,NUMBER,M,neoplasms,1661
2010,NUMBER,M,neoplasms,1595
2011,NUMBER,M,neoplasms,1684
2012,NUMBER,M,neoplasms,1754
2013,NUMBER,M,neoplasms,1859
2014,NUMBER,M,neoplasms,1801
2015,NUMBER,M,neoplasms,1783
2016,NUMBER,M,neoplasms,1739
2017,NUMBER,M,neoplasms,1759
2018,NUMBER,M,neoplasms,1729
2019,NUMBER,M,neoplasms,1705
2020,NUMBER,M,neoplasms,1622
2021,NUMBER,M,neoplasms,1558
2022,NUMBER,M,neoplasms,1519
2023,NUMBER,M,neoplasms,1542
2024,NUMBER,M,neoplasms,1651
2003,NUMBER,M,diseases_of_the_blood,6
2004,NUMBER,M,diseases_of_the_blood,2
2005,NUMBER,M,diseases_of_the_blood,5
2006,NUMBER,M,diseases_of_the_blood,2
2007,NUMBER,M,diseases_of_the_blood,6
2008,NUMBER,M,diseases_of_the_blood,3
2009,NUMBER,M,diseases_of_the_blood,4
2010,NUMBER,M,diseases_of_the_blood,5
2011,NUMBER,M,diseases_of_the_blood,7
2012,NUMBER,M,diseases_of_the_blood,9
2013,NUMBER,M,diseases_of_the_blood,8
2014,NUMBER,M,diseases_of_the_blood,2
2015,NUMBER,M,diseases_of_the_blood,9
2016,NUMBER,M,diseases_of_the_blood,9
2017,NUMBER,M,diseases_of_the_blood,3
2018,NUMBER,M,diseases_of_the_blood,18
2019,NUMBER,M,diseases_of_the_blood,8
2020,NUMBER,M,diseases_of_the_blood,12
2021,NUMBER,M,diseases_of_the_blood,7
2022,NUMBER,M,diseases_of_the_blood,9
2023,NUMBER,M,diseases_of_the_blood,10
2024,NUMBER,M,diseases_of_the_blood,10
