Year,UNIT_MEASURE,Град/општина,Пол,Етничка/национална припадност,Value
2013,Број,Козарска Дубица,Ж,Укупно,10587
2013,Број,Костајница,Укупно,Укупно,5645
2013,Број,Костајница,M,Укупно,2780
2013,Број,Костајница,Ж,Укупно,2865
2013,Број,Котор Варош,Укупно,Укупно,18361
2013,Број,Котор Варош,M,Укупно,9007
2013,Број,Котор Варош,Ж,Укупно,9354
2013,Број,Крупа на Уни,Укупно,Укупно,1560
2013,Број,Крупа на Уни,M,Укупно,841
2013,Број,Крупа на Уни,Ж,Укупно,719
2013,Број,Купрес,Укупно,Укупно,293
2013,Број,Купрес,M,Укупно,157
2013,Број,Купрес,Ж,Укупно,136
2013,Број,Лакташи,Укупно,Укупно,34210
2013,Број,Лакташи,M,Укупно,16905
2013,Број,Лакташи,Ж,Укупно,17305
2013,Број,Лопаре,Укупно,Укупно,14689
2013,Број,Лопаре,M,Укупно,7377
2013,Број,Лопаре,Ж,Укупно,7312
2013,Број,Љубиње,Укупно,Укупно,3319
2013,Број,Љубиње,M,Укупно,1633
2013,Број,Љубиње,Ж,Укупно,1686
2013,Број,Милићи,Укупно,Укупно,10445
2013,Број,Милићи,M,Укупно,5252
2013,Број,Милићи,Ж,Укупно,5193
2013,Број,Модрича,Укупно,Укупно,24490
2013,Број,Модрича,M,Укупно,11969
2013,Број,Модрича,Ж,Укупно,12521
2013,Број,Мркоњић Град,Укупно,Укупно,15926
2013,Број,Мркоњић Град,M,Укупно,7660
2013,Број,Мркоњић Град,Ж,Укупно,8266
2013,Број,Невесиње,Укупно,Укупно,12542
2013,Број,Невесиње,M,Укупно,6236
2013,Број,Невесиње,Ж,Укупно,6306
2013,Број,Нови Град,Укупно,Укупно,25240
2013,Број,Нови Град,M,Укупно,12580
2013,Број,Нови Град,Ж,Укупно,12660
2013,Број,Ново Горажде,Укупно,Укупно,2915
2013,Број,Ново Горажде,M,Укупно,1500
2013,Број,Ново Горажде,Ж,Укупно,1415
2013,Број,Осмаци,Укупно,Укупно,5546
2013,Број,Осмаци,M,Укупно,2779
2013,Број,Осмаци,Ж,Укупно,2767
2013,Број,Оштра Лука,Укупно,Укупно,2705
2013,Број,Оштра Лука,M,Укупно,1386
2013,Број,Оштра Лука,Ж,Укупно,1319
2013,Број,Пале,Укупно,Укупно,20359
2013,Број,Пале,M,Укупно,9744
2013,Број,Пале,Ж,Укупно,10615
2013,Број,Пелагићево,Укупно,Укупно,4358
2013,Број,Пелагићево,M,Укупно,2151
2013,Број,Пелагићево,Ж,Укупно,2207
2013,Број,Петровац,Укупно,Укупно,354
2013,Број,Петровац,M,Укупно,169
2013,Број,Петровац,Ж,Укупно,185
2013,Број,Петрово,Укупно,Укупно,6317
2013,Број,Петрово,M,Укупно,3043
2013,Број,Петрово,Ж,Укупно,3274
2013,Број,Град Приједор,Укупно,Укупно,80916
2013,Број,Град Приједор,M,Укупно,39418
2013,Број,Град Приједор,Ж,Укупно,41498
2013,Број,Прњавор,Укупно,Укупно,34357
2013,Број,Прњавор,M,Укупно,16675
2013,Број,Прњавор,Ж,Укупно,17682
2013,Број,Рибник,Укупно,Укупно,5851
2013,Број,Рибник,M,Укупно,2900
2013,Број,Рибник,Ж,Укупно,2951
2013,Број,Рогатица,Укупно,Укупно,10302
2013,Број,Рогатица,M,Укупно,5053
2013,Број,Рогатица,Ж,Укупно,5249
2013,Број,Рудо,Укупно,Укупно,7578
2013,Број,Рудо,M,Укупно,3840
2013,Број,Рудо,Ж,Укупно,3738
2013,Број,Соколац,Укупно,Укупно,11620
2013,Број,Соколац,M,Укупно,5723
2013,Број,Соколац,Ж,Укупно,5897
2013,Број,Србац,Укупно,Укупно,16933
2013,Број,Србац,M,Укупно,8295
2013,Број,Србац,Ж,Укупно,8638
2013,Број,Сребреница,Укупно,Укупно,11698
2013,Број,Сребреница,M,Укупно,5714
2013,Број,Сребреница,Ж,Укупно,5984
2013,Број,Теслић,Укупно,Укупно,37236
2013,Број,Теслић,M,Укупно,17894
2013,Број,Теслић,Ж,Укупно,19342
2013,Број,Град Требиње,Укупно,Укупно,28239
2013,Број,Град Требиње,M,Укупно,13760
2013,Број,Град Требиње,Ж,Укупно,14479
2013,Број,Трново,Укупно,Укупно,1983
2013,Број,Трново,M,Укупно,953
2013,Број,Трново,Ж,Укупно,1030
2013,Број,Угљевик,Укупно,Укупно,15118
2013,Број,Угљевик,M,Укупно,7626
2013,Број,Угљевик,Ж,Укупно,7492
2013,Број,Фоча,Укупно,Укупно,17580
2013,Број,Фоча,M,Укупно,8880
2013,Број,Фоча,Ж,Укупно,8700
2013,Број,Хан Пијесак,Укупно,Укупно,3445
2013,Број,Хан Пијесак,M,Укупно,1632
2013,Број,Хан Пијесак,Ж,Укупно,1813
2013,Број,Чајниче,Укупно,Укупно,4679
2013,Број,Чајниче,M,Укупно,2347
2013,Број,Чајниче,Ж,Укупно,2332
2013,Број,Челинац,Укупно,Укупно,15117
2013,Број,Челинац,M,Укупно,7477
2013,Број,Челинац,Ж,Укупно,7640
2013,Број,Шамац,Укупно,Укупно,16308
2013,Број,Шамац,M,Укупно,7908
2013,Број,Шамац,Ж,Укупно,8400
2013,Број,Шековићи,Укупно,Укупно,6323
2013,Број,Шековићи,M,Укупно,3103
2013,Број,Шековићи,Ж,Укупно,3220
2013,Број,Шипово,Укупно,Укупно,9969
2013,Број,Шипово,M,Укупно,5046
2013,Број,Шипово,Ж,Укупно,4923
2013,Број,Република Српска,Укупно,Бошњаци,148477
2013,Број,Република Српска,M,Бошњаци,72148
2013,Број,Република Српска,Ж,Бошњаци,76329
2013,Број,Град Бања Лука,Укупно,Бошњаци,6816
2013,Број,Град Бања Лука,M,Бошњаци,3108
2013,Број,Град Бања Лука,Ж,Бошњаци,3708
2013,Број,Берковићи,Укупно,Бошњаци,155
2013,Број,Берковићи,M,Бошњаци,87
2013,Број,Берковићи,Ж,Бошњаци,68
2013,Број,Град Бијељина,Укупно,Бошњаци,11680
2013,Број,Град Бијељина,M,Бошњаци,5733
2013,Број,Град Бијељина,Ж,Бошњаци,5947
2013,Број,Билећа,Укупно,Бошњаци,26
2013,Број,Билећа,M,Бошњаци,16
2013,Број,Билећа,Ж,Бошњаци,10
2013,Број,Братунац,Укупно,Бошњаци,6588
2013,Број,Братунац,M,Бошњаци,3218
2013,Број,Братунац,Ж,Бошњаци,3370
2013,Број,Брод,Укупно,Бошњаци,1312
2013,Број,Брод,M,Бошњаци,640
2013,Број,Брод,Ж,Бошњаци,672
2013,Број,Вишеград,Укупно,Бошњаци,895
2013,Број,Вишеград,M,Бошњаци,454
2013,Број,Вишеград,Ж,Бошњаци,441
2013,Број,Власеница,Укупно,Бошњаци,3360
2013,Број,Власеница,M,Бошњаци,1646
2013,Број,Власеница,Ж,Бошњаци,1714
2013,Број,Вукосавље,Укупно,Бошњаци,2025
2013,Број,Вукосавље,M,Бошњаци,1034
2013,Број,Вукосавље,Ж,Бошњаци,991
2013,Број,Гацко,Укупно,Бошњаци,332
2013,Број,Гацко,M,Бошњаци,179
2013,Број,Гацко,Ж,Бошњаци,153
2013,Број,Град Градишка,Укупно,Бошњаци,6266
2013,Број,Град Градишка,M,Бошњаци,3047
2013,Број,Град Градишка,Ж,Бошњаци,3219
2013,Број,Град Дервента,Укупно,Бошњаци,1686
2013,Број,Град Дервента,M,Бошњаци,812
2013,Број,Град Дервента,Ж,Бошњаци,874
2013,Број,Град Добој,Укупно,Бошњаци,14417
2013,Број,Град Добој,M,Бошњаци,6904
2013,Број,Град Добој,Ж,Бошњаци,7513
2013,Број,Доњи Жабар,Укупно,Бошњаци,4
2013,Број,Доњи Жабар,M,Бошњаци,0
2013,Број,Доњи Жабар,Ж,Бошњаци,4
2013,Број,Град Зворник,Укупно,Бошњаци,16775
2013,Број,Град Зворник,M,Бошњаци,8206
2013,Број,Град Зворник,Ж,Бошњаци,8569
2013,Број,Источна Илиџа,Укупно,Бошњаци,632
2013,Број,Источна Илиџа,M,Бошњаци,293
2013,Број,Источна Илиџа,Ж,Бошњаци,339
2013,Број,Источни Дрвар,Укупно,Бошњаци,0
2013,Број,Источни Дрвар,M,Бошњаци,0
2013,Број,Источни Дрвар,Ж,Бошњаци,0
2013,Број,Источни Мостар,Укупно,Бошњаци,78
2013,Број,Источни Мостар,M,Бошњаци,45
2013,Број,Источни Мостар,Ж,Бошњаци,33
2013,Број,Источни Стари Град,Укупно,Бошњаци,41
2013,Број,Источни Стари Град,M,Бошњаци,25
2013,Број,Источни Стари Град,Ж,Бошњаци,16
2013,Број,Источно Ново Сарајево,Укупно,Бошњаци,44
2013,Број,Источно Ново Сарајево,M,Бошњаци,14
2013,Број,Источно Ново Сарајево,Ж,Бошњаци,30
2013,Број,Језеро,Укупно,Бошњаци,251
2013,Број,Језеро,M,Бошњаци,118
2013,Број,Језеро,Ж,Бошњаци,133
2013,Број,Калиновик,Укупно,Бошњаци,43
2013,Број,Калиновик,M,Бошњаци,19
2013,Број,Калиновик,Ж,Бошњаци,24
2013,Број,Кнежево,Укупно,Бошњаци,413
2013,Број,Кнежево,M,Бошњаци,186
2013,Број,Кнежево,Ж,Бошњаци,227
2013,Број,Козарска Дубица,Укупно,Бошњаци,1883
2013,Број,Козарска Дубица,M,Бошњаци,906
2013,Број,Козарска Дубица,Ж,Бошњаци,977
2013,Број,Костајница,Укупно,Бошњаци,1276
2013,Број,Костајница,M,Бошњаци,626
2013,Број,Костајница,Ж,Бошњаци,650
2013,Број,Котор Варош,Укупно,Бошњаци,4516
2013,Број,Котор Варош,M,Бошњаци,2173
2013,Број,Котор Варош,Ж,Бошњаци,2343
2013,Број,Крупа на Уни,Укупно,Бошњаци,3
2013,Број,Крупа на Уни,M,Бошњаци,1
2013,Број,Крупа на Уни,Ж,Бошњаци,2
2013,Број,Купрес,Укупно,Бошњаци,0
2013,Број,Купрес,M,Бошњаци,0
2013,Број,Купрес,Ж,Бошњаци,0
2013,Број,Лакташи,Укупно,Бошњаци,104
2013,Број,Лакташи,M,Бошњаци,47
2013,Број,Лакташи,Ж,Бошњаци,57
2013,Број,Лопаре,Укупно,Бошњаци,1310
2013,Број,Лопаре,M,Бошњаци,646
2013,Број,Лопаре,Ж,Бошњаци,664
2013,Број,Љубиње,Укупно,Бошњаци,9
2013,Број,Љубиње,M,Бошњаци,5
2013,Број,Љубиње,Ж,Бошњаци,4
2013,Број,Милићи,Укупно,Бошњаци,3532
2013,Број,Милићи,M,Бошњаци,1746
2013,Број,Милићи,Ж,Бошњаци,1786
2013,Број,Модрича,Укупно,Бошњаци,2880
2013,Број,Модрича,M,Бошњаци,1364
2013,Број,Модрича,Ж,Бошњаци,1516
2013,Број,Мркоњић Град,Укупно,Бошњаци,354
2013,Број,Мркоњић Град,M,Бошњаци,170
2013,Број,Мркоњић Град,Ж,Бошњаци,184
2013,Број,Невесиње,Укупно,Бошњаци,508
2013,Број,Невесиње,M,Бошњаци,261
2013,Број,Невесиње,Ж,Бошњаци,247
2013,Број,Нови Град,Укупно,Бошњаци,5214
2013,Број,Нови Град,M,Бошњаци,2606
2013,Број,Нови Град,Ж,Бошњаци,2608
2013,Број,Ново Горажде,Укупно,Бошњаци,1317
2013,Број,Ново Горажде,M,Бошњаци,662
2013,Број,Ново Горажде,Ж,Бошњаци,655
2013,Број,Осмаци,Укупно,Бошњаци,2673
2013,Број,Осмаци,M,Бошњаци,1321
2013,Број,Осмаци,Ж,Бошњаци,1352
2013,Број,Оштра Лука,Укупно,Бошњаци,23
2013,Број,Оштра Лука,M,Бошњаци,7
2013,Број,Оштра Лука,Ж,Бошњаци,16
2013,Број,Пале,Укупно,Бошњаци,165
2013,Број,Пале,M,Бошњаци,86
2013,Број,Пале,Ж,Бошњаци,79
2013,Број,Пелагићево,Укупно,Бошњаци,13
2013,Број,Пелагићево,M,Бошњаци,2
2013,Број,Пелагићево,Ж,Бошњаци,11
2013,Број,Петровац,Укупно,Бошњаци,0
2013,Број,Петровац,M,Бошњаци,0
2013,Број,Петровац,Ж,Бошњаци,0
2013,Број,Петрово,Укупно,Бошњаци,6
2013,Број,Петрово,M,Бошњаци,2
2013,Број,Петрово,Ж,Бошњаци,4
2013,Број,Град Приједор,Укупно,Бошњаци,22303
2013,Број,Град Приједор,M,Бошњаци,10669
2013,Број,Град Приједор,Ж,Бошњаци,11634
2013,Број,Прњавор,Укупно,Бошњаци,2749
2013,Број,Прњавор,M,Бошњаци,1329
2013,Број,Прњавор,Ж,Бошњаци,1420
2013,Број,Рибник,Укупно,Бошњаци,0
2013,Број,Рибник,M,Бошњаци,0
2013,Број,Рибник,Ж,Бошњаци,0
2013,Број,Рогатица,Укупно,Бошњаци,1009
2013,Број,Рогатица,M,Бошњаци,520
2013,Број,Рогатица,Ж,Бошњаци,489
2013,Број,Рудо,Укупно,Бошњаци,574
2013,Број,Рудо,M,Бошњаци,300
2013,Број,Рудо,Ж,Бошњаци,274
2013,Број,Соколац,Укупно,Бошњаци,629
2013,Број,Соколац,M,Бошњаци,329
2013,Број,Соколац,Ж,Бошњаци,300
2013,Број,Србац,Укупно,Бошњаци,394
2013,Број,Србац,M,Бошњаци,184
2013,Број,Србац,Ж,Бошњаци,210
2013,Број,Сребреница,Укупно,Бошњаци,6122
2013,Број,Сребреница,M,Бошњаци,2913
2013,Број,Сребреница,Ж,Бошњаци,3209
2013,Број,Теслић,Укупно,Бошњаци,6887
2013,Број,Теслић,M,Бошњаци,3387
2013,Број,Теслић,Ж,Бошњаци,3500
2013,Број,Град Требиње,Укупно,Бошњаци,863
2013,Број,Град Требиње,M,Бошњаци,426
2013,Број,Град Требиње,Ж,Бошњаци,437
2013,Број,Трново,Укупно,Бошњаци,818
2013,Број,Трново,M,Бошњаци,405
2013,Број,Трново,Ж,Бошњаци,413
2013,Број,Угљевик,Укупно,Бошњаци,1999
2013,Број,Угљевик,M,Бошњаци,974
2013,Број,Угљевик,Ж,Бошњаци,1025
2013,Број,Фоча,Укупно,Бошњаци,1169
2013,Број,Фоча,M,Бошњаци,626
2013,Број,Фоча,Ж,Бошњаци,543
2013,Број,Хан Пијесак,Укупно,Бошњаци,420
2013,Број,Хан Пијесак,M,Бошњаци,204
2013,Број,Хан Пијесак,Ж,Бошњаци,216
2013,Број,Чајниче,Укупно,Бошњаци,835
2013,Број,Чајниче,M,Бошњаци,439
2013,Број,Чајниче,Ж,Бошњаци,396
2013,Број,Челинац,Укупно,Бошњаци,395
2013,Број,Челинац,M,Бошњаци,197
2013,Број,Челинац,Ж,Бошњаци,198
2013,Број,Шамац,Укупно,Бошњаци,1005
2013,Број,Шамац,M,Бошњаци,486
2013,Број,Шамац,Ж,Бошњаци,519
2013,Број,Шековићи,Укупно,Бошњаци,103
2013,Број,Шековићи,M,Бошњаци,51
2013,Број,Шековићи,Ж,Бошњаци,52
2013,Број,Шипово,Укупно,Бошњаци,578
2013,Број,Шипово,M,Бошњаци,294
2013,Број,Шипово,Ж,Бошњаци,284
2013,Број,Република Српска,Укупно,Хрвати,26509
2013,Број,Република Српска,M,Хрвати,11005
2013,Број,Република Српска,Ж,Хрвати,15504
2013,Број,Град Бања Лука,Укупно,Хрвати,4887
2013,Број,Град Бања Лука,M,Хрвати,1761
2013,Број,Град Бања Лука,Ж,Хрвати,3126
2013,Број,Берковићи,Укупно,Хрвати,11
2013,Број,Берковићи,M,Хрвати,1
2013,Број,Берковићи,Ж,Хрвати,10
2013,Број,Град Бијељина,Укупно,Хрвати,498
2013,Број,Град Бијељина,M,Хрвати,140
2013,Број,Град Бијељина,Ж,Хрвати,358
2013,Број,Билећа,Укупно,Хрвати,21
2013,Број,Билећа,M,Хрвати,2
2013,Број,Билећа,Ж,Хрвати,19
2013,Број,Братунац,Укупно,Хрвати,30
2013,Број,Братунац,M,Хрвати,5
2013,Број,Братунац,Ж,Хрвати,25
2013,Број,Брод,Укупно,Хрвати,3021
2013,Број,Брод,M,Хрвати,1413
2013,Број,Брод,Ж,Хрвати,1608
2013,Број,Вишеград,Укупно,Хрвати,32
2013,Број,Вишеград,M,Хрвати,5
2013,Број,Вишеград,Ж,Хрвати,27
2013,Број,Власеница,Укупно,Хрвати,29
2013,Број,Власеница,M,Хрвати,5
2013,Број,Власеница,Ж,Хрвати,24
2013,Број,Вукосавље,Укупно,Хрвати,698
2013,Број,Вукосавље,M,Хрвати,332
2013,Број,Вукосавље,Ж,Хрвати,366
2013,Број,Гацко,Укупно,Хрвати,13
2013,Број,Гацко,M,Хрвати,5
2013,Број,Гацко,Ж,Хрвати,8
2013,Број,Град Градишка,Укупно,Хрвати,800
2013,Број,Град Градишка,M,Хрвати,276
2013,Број,Град Градишка,Ж,Хрвати,524
2013,Број,Град Дервента,Укупно,Хрвати,2181
2013,Број,Град Дервента,M,Хрвати,1040
2013,Број,Град Дервента,Ж,Хрвати,1141
2013,Број,Град Добој,Укупно,Хрвати,1550
2013,Број,Град Добој,M,Хрвати,605
2013,Број,Град Добој,Ж,Хрвати,945
2013,Број,Доњи Жабар,Укупно,Хрвати,991
2013,Број,Доњи Жабар,M,Хрвати,497
2013,Број,Доњи Жабар,Ж,Хрвати,494
2013,Број,Град Зворник,Укупно,Хрвати,103
2013,Број,Град Зворник,M,Хрвати,17
2013,Број,Град Зворник,Ж,Хрвати,86
2013,Број,Источна Илиџа,Укупно,Хрвати,148
2013,Број,Источна Илиџа,M,Хрвати,39
2013,Број,Источна Илиџа,Ж,Хрвати,109
2013,Број,Источни Дрвар,Укупно,Хрвати,1
2013,Број,Источни Дрвар,M,Хрвати,0
2013,Број,Источни Дрвар,Ж,Хрвати,1
2013,Број,Источни Мостар,Укупно,Хрвати,11
2013,Број,Источни Мостар,M,Хрвати,8
2013,Број,Источни Мостар,Ж,Хрвати,3
2013,Број,Источни Стари Град,Укупно,Хрвати,6
2013,Број,Источни Стари Град,M,Хрвати,2
2013,Број,Источни Стари Град,Ж,Хрвати,4
2013,Број,Источно Ново Сарајево,Укупно,Хрвати,102
2013,Број,Источно Ново Сарајево,M,Хрвати,23
2013,Број,Источно Ново Сарајево,Ж,Хрвати,79
2013,Број,Језеро,Укупно,Хрвати,6
2013,Број,Језеро,M,Хрвати,4
2013,Број,Језеро,Ж,Хрвати,2
2013,Број,Калиновик,Укупно,Хрвати,8
2013,Број,Калиновик,M,Хрвати,2
2013,Број,Калиновик,Ж,Хрвати,6
2013,Број,Кнежево,Укупно,Хрвати,24
2013,Број,Кнежево,M,Хрвати,5
2013,Број,Кнежево,Ж,Хрвати,19
2013,Број,Козарска Дубица,Укупно,Хрвати,261
2013,Број,Козарска Дубица,M,Хрвати,79
2013,Број,Козарска Дубица,Ж,Хрвати,182
2013,Број,Костајница,Укупно,Хрвати,82
2013,Број,Костајница,M,Хрвати,29
2013,Број,Костајница,Ж,Хрвати,53
2013,Број,Котор Варош,Укупно,Хрвати,852
2013,Број,Котор Варош,M,Хрвати,410
2013,Број,Котор Варош,Ж,Хрвати,442
2013,Број,Крупа на Уни,Укупно,Хрвати,2
2013,Број,Крупа на Уни,M,Хрвати,0
2013,Број,Крупа на Уни,Ж,Хрвати,2
2013,Број,Купрес,Укупно,Хрвати,0
2013,Број,Купрес,M,Хрвати,0
2013,Број,Купрес,Ж,Хрвати,0
2013,Број,Лакташи,Укупно,Хрвати,500
2013,Број,Лакташи,M,Хрвати,175
2013,Број,Лакташи,Ж,Хрвати,325
2013,Број,Лопаре,Укупно,Хрвати,48
2013,Број,Лопаре,M,Хрвати,9
2013,Број,Лопаре,Ж,Хрвати,39
2013,Број,Љубиње,Укупно,Хрвати,10
2013,Број,Љубиње,M,Хрвати,3
2013,Број,Љубиње,Ж,Хрвати,7
2013,Број,Милићи,Укупно,Хрвати,22
2013,Број,Милићи,M,Хрвати,7
2013,Број,Милићи,Ж,Хрвати,15
2013,Број,Модрича,Укупно,Хрвати,1396
2013,Број,Модрича,M,Хрвати,662
2013,Број,Модрича,Ж,Хрвати,734
2013,Број,Мркоњић Град,Укупно,Хрвати,148
2013,Број,Мркоњић Град,M,Хрвати,60
2013,Број,Мркоњић Град,Ж,Хрвати,88
2013,Број,Невесиње,Укупно,Хрвати,27
2013,Број,Невесиње,M,Хрвати,9
2013,Број,Невесиње,Ж,Хрвати,18
2013,Број,Нови Град,Укупно,Хрвати,174
2013,Број,Нови Град,M,Хрвати,58
2013,Број,Нови Град,Ж,Хрвати,116
2013,Број,Ново Горажде,Укупно,Хрвати,2
2013,Број,Ново Горажде,M,Хрвати,1
2013,Број,Ново Горажде,Ж,Хрвати,1
2013,Број,Осмаци,Укупно,Хрвати,7
2013,Број,Осмаци,M,Хрвати,1
2013,Број,Осмаци,Ж,Хрвати,6
2013,Број,Оштра Лука,Укупно,Хрвати,149
2013,Број,Оштра Лука,M,Хрвати,74
2013,Број,Оштра Лука,Ж,Хрвати,75
2013,Број,Пале,Укупно,Хрвати,126
2013,Број,Пале,M,Хрвати,37
2013,Број,Пале,Ж,Хрвати,89
2013,Број,Пелагићево,Укупно,Хрвати,1182
2013,Број,Пелагићево,M,Хрвати,580
2013,Број,Пелагићево,Ж,Хрвати,602
2013,Број,Петровац,Укупно,Хрвати,0
2013,Број,Петровац,M,Хрвати,0
2013,Број,Петровац,Ж,Хрвати,0
2013,Број,Петрово,Укупно,Хрвати,34
2013,Број,Петрово,M,Хрвати,8
2013,Број,Петрово,Ж,Хрвати,26
2013,Број,Град Приједор,Укупно,Хрвати,1666
2013,Број,Град Приједор,M,Хрвати,679
2013,Број,Град Приједор,Ж,Хрвати,987
2013,Број,Прњавор,Укупно,Хрвати,423
2013,Број,Прњавор,M,Хрвати,150
2013,Број,Прњавор,Ж,Хрвати,273
2013,Број,Рибник,Укупно,Хрвати,11
2013,Број,Рибник,M,Хрвати,4
2013,Број,Рибник,Ж,Хрвати,7
2013,Број,Рогатица,Укупно,Хрвати,18
2013,Број,Рогатица,M,Хрвати,2
2013,Број,Рогатица,Ж,Хрвати,16
2013,Број,Рудо,Укупно,Хрвати,7
2013,Број,Рудо,M,Хрвати,6
2013,Број,Рудо,Ж,Хрвати,1
2013,Број,Соколац,Укупно,Хрвати,28
2013,Број,Соколац,M,Хрвати,8
2013,Број,Соколац,Ж,Хрвати,20
2013,Број,Србац,Укупно,Хрвати,128
2013,Број,Србац,M,Хрвати,21
2013,Број,Србац,Ж,Хрвати,107
2013,Број,Сребреница,Укупно,Хрвати,14
2013,Број,Сребреница,M,Хрвати,6
2013,Број,Сребреница,Ж,Хрвати,8
2013,Број,Теслић,Укупно,Хрвати,1346
2013,Број,Теслић,M,Хрвати,581
2013,Број,Теслић,Ж,Хрвати,765
2013,Број,Град Требиње,Укупно,Хрвати,295
2013,Број,Град Требиње,M,Хрвати,99
2013,Број,Град Требиње,Ж,Хрвати,196
2013,Број,Трново,Укупно,Хрвати,15
2013,Број,Трново,M,Хрвати,3
2013,Број,Трново,Ж,Хрвати,12
2013,Број,Угљевик,Укупно,Хрвати,42
2013,Број,Угљевик,M,Хрвати,8
2013,Број,Угљевик,Ж,Хрвати,34
2013,Број,Фоча,Укупно,Хрвати,52
2013,Број,Фоча,M,Хрвати,16
2013,Број,Фоча,Ж,Хрвати,36
2013,Број,Хан Пијесак,Укупно,Хрвати,7
2013,Број,Хан Пијесак,M,Хрвати,1
2013,Број,Хан Пијесак,Ж,Хрвати,6
2013,Број,Чајниче,Укупно,Хрвати,6
2013,Број,Чајниче,M,Хрвати,1
2013,Број,Чајниче,Ж,Хрвати,5
2013,Број,Челинац,Укупно,Хрвати,48
2013,Број,Челинац,M,Хрвати,11
2013,Број,Челинац,Ж,Хрвати,37
2013,Број,Шамац,Укупно,Хрвати,2176
2013,Број,Шамац,M,Хрвати,1011
2013,Број,Шамац,Ж,Хрвати,1165
2013,Број,Шековићи,Укупно,Хрвати,8
2013,Број,Шековићи,M,Хрвати,2
2013,Број,Шековићи,Ж,Хрвати,6
2013,Број,Шипово,Укупно,Хрвати,26
2013,Број,Шипово,M,Хрвати,7
2013,Број,Шипово,Ж,Хрвати,19
2013,Број,Република Српска,Укупно,Срби,970857
2013,Број,Република Српска,M,Срби,477334
