Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2009,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,3
2010,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,6
2011,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,1
2012,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,4
2013,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,20
2014,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,22
2015,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,22
2016,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,21
2017,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,24
2018,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,22
2019,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,23
2020,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,30
2003,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,6
2004,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,3
2005,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,12
2006,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,10
2007,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2008,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,17
2009,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2010,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,11
2011,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,18
2012,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,16
2013,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,28
2014,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,22
2015,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,30
2016,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,19
2017,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,17
2018,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,21
2019,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2020,NUMBER,_T,diseases_of_the_musculoskeletal_system_and_connective_tissue,28
2003,NUMBER,_T,diseases_of_the_genitourinary_system,222
2004,NUMBER,_T,diseases_of_the_genitourinary_system,205
2005,NUMBER,_T,diseases_of_the_genitourinary_system,257
2006,NUMBER,_T,diseases_of_the_genitourinary_system,266
2007,NUMBER,_T,diseases_of_the_genitourinary_system,275
2008,NUMBER,_T,diseases_of_the_genitourinary_system,268
2009,NUMBER,_T,diseases_of_the_genitourinary_system,257
2010,NUMBER,_T,diseases_of_the_genitourinary_system,255
2011,NUMBER,_T,diseases_of_the_genitourinary_system,175
2012,NUMBER,_T,diseases_of_the_genitourinary_system,236
2013,NUMBER,_T,diseases_of_the_genitourinary_system,213
2014,NUMBER,_T,diseases_of_the_genitourinary_system,150
2015,NUMBER,_T,diseases_of_the_genitourinary_system,179
2016,NUMBER,_T,diseases_of_the_genitourinary_system,218
2017,NUMBER,_T,diseases_of_the_genitourinary_system,193
2018,NUMBER,_T,diseases_of_the_genitourinary_system,220
2019,NUMBER,_T,diseases_of_the_genitourinary_system,195
2020,NUMBER,_T,diseases_of_the_genitourinary_system,221
2003,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2004,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2005,NUMBER,_T,pregnancy_childbirth_and_puerperium,2
2006,NUMBER,_T,pregnancy_childbirth_and_puerperium,2
2007,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2008,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2009,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2010,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2011,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2012,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2013,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2014,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2015,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2016,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2017,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2018,NUMBER,_T,pregnancy_childbirth_and_puerperium,1
2019,NUMBER,_T,pregnancy_childbirth_and_puerperium,0
2020,NUMBER,_T,pregnancy_childbirth_and_puerperium,3
2003,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,44
2004,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,38
2005,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,27
2006,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,38
2007,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,27
2008,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,20
2009,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,34
2010,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,29
2011,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,36
2012,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,29
2013,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,21
2014,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,16
2015,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,10
2016,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,18
2017,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,17
2018,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,10
2019,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,11
2020,NUMBER,_T,certain_conditions_occurred_in_the_perinatal_period,34
2003,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2004,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,11
2005,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2006,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2007,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2008,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,15
2009,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,20
2010,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,17
2011,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,9
2012,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,6
2013,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2014,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2015,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2016,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2017,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2018,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2019,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,4
2020,NUMBER,_T,congenital_anomalies_deformities_and_chromosomal_abnormalities,6
2003,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1612
2004,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1462
2005,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1249
2006,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1200
2007,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1288
2008,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,945
2009,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,953
2010,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,877
2011,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,681
2012,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,612
2013,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1231
2014,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1445
2015,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1556
2016,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1198
2017,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1435
2018,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1650
2019,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1961
2020,NUMBER,_T,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1599
2003,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,580
2004,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,552
2005,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,618
2006,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,615
2007,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,634
2008,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,584
2009,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,581
2010,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,511
2011,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,600
2012,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,538
2013,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,504
2014,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,532
2015,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,559
2016,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,491
2017,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,474
2018,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,482
2019,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,430
2020,NUMBER,_T,injuries_poisonings_and_consequences_of_external_factors,405
2003,NUMBER,_T,special_purpose_codes,0
2004,NUMBER,_T,special_purpose_codes,0
2005,NUMBER,_T,special_purpose_codes,0
2006,NUMBER,_T,special_purpose_codes,0
2007,NUMBER,_T,special_purpose_codes,0
2008,NUMBER,_T,special_purpose_codes,0
2009,NUMBER,_T,special_purpose_codes,0
2010,NUMBER,_T,special_purpose_codes,0
2011,NUMBER,_T,special_purpose_codes,0
2012,NUMBER,_T,special_purpose_codes,0
2013,NUMBER,_T,special_purpose_codes,0
2014,NUMBER,_T,special_purpose_codes,0
2015,NUMBER,_T,special_purpose_codes,0
2016,NUMBER,_T,special_purpose_codes,0
2017,NUMBER,_T,special_purpose_codes,0
2018,NUMBER,_T,special_purpose_codes,0
2019,NUMBER,_T,special_purpose_codes,0
2020,NUMBER,_T,special_purpose_codes,1592
2003,NUMBER,M,total,6804
2004,NUMBER,M,total,6735
2005,NUMBER,M,total,7239
2006,NUMBER,M,total,6904
2007,NUMBER,M,total,7302
2008,NUMBER,M,total,7058
2009,NUMBER,M,total,7099
2010,NUMBER,M,total,6935
2011,NUMBER,M,total,7001
2012,NUMBER,M,total,7064
2013,NUMBER,M,total,7237
2014,NUMBER,M,total,7386
2015,NUMBER,M,total,7640
2016,NUMBER,M,total,7198
2017,NUMBER,M,total,7363
2018,NUMBER,M,total,7449
2019,NUMBER,M,total,7753
2020,NUMBER,M,total,8613
2003,NUMBER,M,infectious_and_parasitic_diseases,59
2004,NUMBER,M,infectious_and_parasitic_diseases,75
2005,NUMBER,M,infectious_and_parasitic_diseases,78
2006,NUMBER,M,infectious_and_parasitic_diseases,73
2007,NUMBER,M,infectious_and_parasitic_diseases,70
2008,NUMBER,M,infectious_and_parasitic_diseases,72
2009,NUMBER,M,infectious_and_parasitic_diseases,75
2010,NUMBER,M,infectious_and_parasitic_diseases,72
2011,NUMBER,M,infectious_and_parasitic_diseases,79
2012,NUMBER,M,infectious_and_parasitic_diseases,69
2013,NUMBER,M,infectious_and_parasitic_diseases,73
2014,NUMBER,M,infectious_and_parasitic_diseases,80
2015,NUMBER,M,infectious_and_parasitic_diseases,92
2016,NUMBER,M,infectious_and_parasitic_diseases,104
2017,NUMBER,M,infectious_and_parasitic_diseases,85
2018,NUMBER,M,infectious_and_parasitic_diseases,109
2019,NUMBER,M,infectious_and_parasitic_diseases,119
2020,NUMBER,M,infectious_and_parasitic_diseases,87
2003,NUMBER,M,neoplasms,1461
2004,NUMBER,M,neoplasms,1402
2005,NUMBER,M,neoplasms,1581
2006,NUMBER,M,neoplasms,1536
2007,NUMBER,M,neoplasms,1624
2008,NUMBER,M,neoplasms,1658
2009,NUMBER,M,neoplasms,1661
2010,NUMBER,M,neoplasms,1595
2011,NUMBER,M,neoplasms,1684
2012,NUMBER,M,neoplasms,1754
2013,NUMBER,M,neoplasms,1859
2014,NUMBER,M,neoplasms,1801
2015,NUMBER,M,neoplasms,1783
2016,NUMBER,M,neoplasms,1739
2017,NUMBER,M,neoplasms,1759
2018,NUMBER,M,neoplasms,1729
2019,NUMBER,M,neoplasms,1705
2020,NUMBER,M,neoplasms,1622
2003,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,6
2004,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2005,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,5
2006,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2007,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,6
2008,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,3
2009,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,4
2010,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,5
2011,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,7
2012,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2013,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,8
2014,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2015,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2016,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2017,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,3
2018,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,18
2019,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,8
2020,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,12
