Year,UNIT_MEASURE,City/minicipality,Sex,Religion,Value
2013,Number,Ribnik,F,Total,2951
2013,Number,Rogatica,Total,Total,10302
2013,Number,Rogatica,M,Total,5053
2013,Number,Rogatica,F,Total,5249
2013,Number,Rudo,Total,Total,7578
2013,Number,Rudo,M,Total,3840
2013,Number,Rudo,F,Total,3738
2013,Number,Sokolac,Total,Total,11620
2013,Number,Sokolac,M,Total,5723
2013,Number,Sokolac,F,Total,5897
2013,Number,Srbac,Total,Total,16933
2013,Number,Srbac,M,Total,8295
2013,Number,Srbac,F,Total,8638
2013,Number,Srebrenica,Total,Total,11698
2013,Number,Srebrenica,M,Total,5714
2013,Number,Srebrenica,F,Total,5984
2013,Number,Teslić,Total,Total,37236
2013,Number,Teslić,M,Total,17894
2013,Number,Teslić,F,Total,19342
2013,Number,Grad Trebinje,Total,Total,28239
2013,Number,Grad Trebinje,M,Total,13760
2013,Number,Grad Trebinje,F,Total,14479
2013,Number,Trnovo,Total,Total,1983
2013,Number,Trnovo,M,Total,953
2013,Number,Trnovo,F,Total,1030
2013,Number,Ugljevik,Total,Total,15118
2013,Number,Ugljevik,M,Total,7626
2013,Number,Ugljevik,F,Total,7492
2013,Number,Foča,Total,Total,17580
2013,Number,Foča,M,Total,8880
2013,Number,Foča,F,Total,8700
2013,Number,Han Pijesak,Total,Total,3445
2013,Number,Han Pijesak,M,Total,1632
2013,Number,Han Pijesak,F,Total,1813
2013,Number,Čajniče,Total,Total,4679
2013,Number,Čajniče,M,Total,2347
2013,Number,Čajniče,F,Total,2332
2013,Number,Čelinac,Total,Total,15117
2013,Number,Čelinac,M,Total,7477
2013,Number,Čelinac,F,Total,7640
2013,Number,Šamac,Total,Total,16308
2013,Number,Šamac,M,Total,7908
2013,Number,Šamac,F,Total,8400
2013,Number,Šekovići,Total,Total,6323
2013,Number,Šekovići,M,Total,3103
2013,Number,Šekovići,F,Total,3220
2013,Number,Šipovo,Total,Total,9969
2013,Number,Šipovo,M,Total,5046
2013,Number,Šipovo,F,Total,4923
2013,Number,Republika Srpska,Total,Islam,149435
2013,Number,Republika Srpska,M,Islam,72605
2013,Number,Republika Srpska,F,Islam,76830
2013,Number,Grad Banja Luka,Total,Islam,6693
2013,Number,Grad Banja Luka,M,Islam,3053
2013,Number,Grad Banja Luka,F,Islam,3640
2013,Number,Berkovići,Total,Islam,155
2013,Number,Berkovići,M,Islam,87
2013,Number,Berkovići,F,Islam,68
2013,Number,Grad Bijeljina,Total,Islam,12055
2013,Number,Grad Bijeljina,M,Islam,5902
2013,Number,Grad Bijeljina,F,Islam,6153
2013,Number,Bileća,Total,Islam,23
2013,Number,Bileća,M,Islam,14
2013,Number,Bileća,F,Islam,9
2013,Number,Bratunac,Total,Islam,6591
2013,Number,Bratunac,M,Islam,3220
2013,Number,Bratunac,F,Islam,3371
2013,Number,Brod,Total,Islam,1311
2013,Number,Brod,M,Islam,646
2013,Number,Brod,F,Islam,665
2013,Number,Višegrad,Total,Islam,876
2013,Number,Višegrad,M,Islam,443
2013,Number,Višegrad,F,Islam,433
2013,Number,Vlasenica,Total,Islam,3354
2013,Number,Vlasenica,M,Islam,1645
2013,Number,Vlasenica,F,Islam,1709
2013,Number,Vukosavlje,Total,Islam,2154
2013,Number,Vukosavlje,M,Islam,1105
2013,Number,Vukosavlje,F,Islam,1049
2013,Number,Gacko,Total,Islam,330
2013,Number,Gacko,M,Islam,178
2013,Number,Gacko,F,Islam,152
2013,Number,Grad Gradiška,Total,Islam,6619
2013,Number,Grad Gradiška,M,Islam,3214
2013,Number,Grad Gradiška,F,Islam,3405
2013,Number,Grad Derventa,Total,Islam,1709
2013,Number,Grad Derventa,M,Islam,820
2013,Number,Grad Derventa,F,Islam,889
2013,Number,Grad Doboj,Total,Islam,14342
2013,Number,Grad Doboj,M,Islam,6861
2013,Number,Grad Doboj,F,Islam,7481
2013,Number,Donji Žabar,Total,Islam,4
2013,Number,Donji Žabar,M,Islam,0
2013,Number,Donji Žabar,F,Islam,4
2013,Number,Grad Zvornik,Total,Islam,16791
2013,Number,Grad Zvornik,M,Islam,8218
2013,Number,Grad Zvornik,F,Islam,8573
2013,Number,Istočna Ilidža,Total,Islam,630
2013,Number,Istočna Ilidža,M,Islam,291
2013,Number,Istočna Ilidža,F,Islam,339
2013,Number,Istočni Drvar,Total,Islam,0
2013,Number,Istočni Drvar,M,Islam,0
2013,Number,Istočni Drvar,F,Islam,0
2013,Number,Istočni Mostar,Total,Islam,77
2013,Number,Istočni Mostar,M,Islam,44
2013,Number,Istočni Mostar,F,Islam,33
2013,Number,Istočni Stari Grad,Total,Islam,38
2013,Number,Istočni Stari Grad,M,Islam,23
2013,Number,Istočni Stari Grad,F,Islam,15
2013,Number,Istočno Novo Sarajevo,Total,Islam,121
2013,Number,Istočno Novo Sarajevo,M,Islam,52
2013,Number,Istočno Novo Sarajevo,F,Islam,69
2013,Number,Jezero,Total,Islam,250
2013,Number,Jezero,M,Islam,117
2013,Number,Jezero,F,Islam,133
2013,Number,Kalinovik,Total,Islam,42
2013,Number,Kalinovik,M,Islam,19
2013,Number,Kalinovik,F,Islam,23
2013,Number,Kneževo,Total,Islam,403
2013,Number,Kneževo,M,Islam,182
2013,Number,Kneževo,F,Islam,221
2013,Number,Kozarska Dubica,Total,Islam,1902
2013,Number,Kozarska Dubica,M,Islam,915
2013,Number,Kozarska Dubica,F,Islam,987
2013,Number,Kostajnica,Total,Islam,1271
2013,Number,Kostajnica,M,Islam,623
2013,Number,Kostajnica,F,Islam,648
2013,Number,Kotor Varoš,Total,Islam,4498
2013,Number,Kotor Varoš,M,Islam,2159
2013,Number,Kotor Varoš,F,Islam,2339
2013,Number,Krupa Na Uni,Total,Islam,3
2013,Number,Krupa Na Uni,M,Islam,1
2013,Number,Krupa Na Uni,F,Islam,2
2013,Number,Kupres,Total,Islam,0
2013,Number,Kupres,M,Islam,0
2013,Number,Kupres,F,Islam,0
2013,Number,Laktaši,Total,Islam,110
2013,Number,Laktaši,M,Islam,49
2013,Number,Laktaši,F,Islam,61
2013,Number,Lopare,Total,Islam,1315
2013,Number,Lopare,M,Islam,648
2013,Number,Lopare,F,Islam,667
2013,Number,Ljubinje,Total,Islam,12
2013,Number,Ljubinje,M,Islam,6
2013,Number,Ljubinje,F,Islam,6
2013,Number,Milići,Total,Islam,3538
2013,Number,Milići,M,Islam,1750
2013,Number,Milići,F,Islam,1788
2013,Number,Modriča,Total,Islam,3032
2013,Number,Modriča,M,Islam,1445
2013,Number,Modriča,F,Islam,1587
2013,Number,Mrkonjić Grad,Total,Islam,351
2013,Number,Mrkonjić Grad,M,Islam,170
2013,Number,Mrkonjić Grad,F,Islam,181
2013,Number,Nevesinje,Total,Islam,508
2013,Number,Nevesinje,M,Islam,260
2013,Number,Nevesinje,F,Islam,248
2013,Number,Novi Grad,Total,Islam,5261
2013,Number,Novi Grad,M,Islam,2635
2013,Number,Novi Grad,F,Islam,2626
2013,Number,Novo Goražde,Total,Islam,1319
2013,Number,Novo Goražde,M,Islam,662
2013,Number,Novo Goražde,F,Islam,657
2013,Number,Osmaci,Total,Islam,2647
2013,Number,Osmaci,M,Islam,1303
2013,Number,Osmaci,F,Islam,1344
2013,Number,Oštra Luka,Total,Islam,26
2013,Number,Oštra Luka,M,Islam,8
2013,Number,Oštra Luka,F,Islam,18
2013,Number,Pale,Total,Islam,160
2013,Number,Pale,M,Islam,83
2013,Number,Pale,F,Islam,77
2013,Number,Pelagićevo,Total,Islam,13
2013,Number,Pelagićevo,M,Islam,3
2013,Number,Pelagićevo,F,Islam,10
2013,Number,Petrovac,Total,Islam,0
2013,Number,Petrovac,M,Islam,0
2013,Number,Petrovac,F,Islam,0
2013,Number,Petrovo,Total,Islam,7
2013,Number,Petrovo,M,Islam,2
2013,Number,Petrovo,F,Islam,5
2013,Number,Grad Prijedor,Total,Islam,22271
2013,Number,Grad Prijedor,M,Islam,10662
2013,Number,Grad Prijedor,F,Islam,11609
2013,Number,Prnjavor,Total,Islam,2776
2013,Number,Prnjavor,M,Islam,1337
2013,Number,Prnjavor,F,Islam,1439
2013,Number,Ribnik,Total,Islam,0
2013,Number,Ribnik,M,Islam,0
2013,Number,Ribnik,F,Islam,0
2013,Number,Rogatica,Total,Islam,1006
2013,Number,Rogatica,M,Islam,517
2013,Number,Rogatica,F,Islam,489
2013,Number,Rudo,Total,Islam,588
2013,Number,Rudo,M,Islam,306
2013,Number,Rudo,F,Islam,282
2013,Number,Sokolac,Total,Islam,620
2013,Number,Sokolac,M,Islam,325
2013,Number,Sokolac,F,Islam,295
2013,Number,Srbac,Total,Islam,399
2013,Number,Srbac,M,Islam,184
2013,Number,Srbac,F,Islam,215
2013,Number,Srebrenica,Total,Islam,6134
2013,Number,Srebrenica,M,Islam,2916
2013,Number,Srebrenica,F,Islam,3218
2013,Number,Teslić,Total,Islam,6932
2013,Number,Teslić,M,Islam,3410
2013,Number,Teslić,F,Islam,3522
2013,Number,Grad Trebinje,Total,Islam,848
2013,Number,Grad Trebinje,M,Islam,415
2013,Number,Grad Trebinje,F,Islam,433
2013,Number,Trnovo,Total,Islam,802
2013,Number,Trnovo,M,Islam,395
2013,Number,Trnovo,F,Islam,407
2013,Number,Ugljevik,Total,Islam,2002
2013,Number,Ugljevik,M,Islam,977
2013,Number,Ugljevik,F,Islam,1025
2013,Number,Foča,Total,Islam,1173
2013,Number,Foča,M,Islam,630
2013,Number,Foča,F,Islam,543
2013,Number,Han Pijesak,Total,Islam,435
2013,Number,Han Pijesak,M,Islam,212
2013,Number,Han Pijesak,F,Islam,223
2013,Number,Čajniče,Total,Islam,836
2013,Number,Čajniče,M,Islam,440
2013,Number,Čajniče,F,Islam,396
2013,Number,Čelinac,Total,Islam,406
2013,Number,Čelinac,M,Islam,203
2013,Number,Čelinac,F,Islam,203
2013,Number,Šamac,Total,Islam,976
2013,Number,Šamac,M,Islam,471
2013,Number,Šamac,F,Islam,505
2013,Number,Šekovići,Total,Islam,107
2013,Number,Šekovići,M,Islam,54
2013,Number,Šekovići,F,Islam,53
2013,Number,Šipovo,Total,Islam,583
2013,Number,Šipovo,M,Islam,295
2013,Number,Šipovo,F,Islam,288
2013,Number,Republika Srpska,Total,Catholic,25763
2013,Number,Republika Srpska,M,Catholic,10431
2013,Number,Republika Srpska,F,Catholic,15332
2013,Number,Grad Banja Luka,Total,Catholic,4637
2013,Number,Grad Banja Luka,M,Catholic,1585
2013,Number,Grad Banja Luka,F,Catholic,3052
2013,Number,Berkovići,Total,Catholic,6
2013,Number,Berkovići,M,Catholic,1
2013,Number,Berkovići,F,Catholic,5
2013,Number,Grad Bijeljina,Total,Catholic,508
2013,Number,Grad Bijeljina,M,Catholic,103
2013,Number,Grad Bijeljina,F,Catholic,405
2013,Number,Bileća,Total,Catholic,18
2013,Number,Bileća,M,Catholic,2
2013,Number,Bileća,F,Catholic,16
2013,Number,Bratunac,Total,Catholic,26
2013,Number,Bratunac,M,Catholic,3
2013,Number,Bratunac,F,Catholic,23
2013,Number,Brod,Total,Catholic,2925
2013,Number,Brod,M,Catholic,1360
2013,Number,Brod,F,Catholic,1565
2013,Number,Višegrad,Total,Catholic,33
2013,Number,Višegrad,M,Catholic,6
2013,Number,Višegrad,F,Catholic,27
2013,Number,Vlasenica,Total,Catholic,22
2013,Number,Vlasenica,M,Catholic,4
2013,Number,Vlasenica,F,Catholic,18
2013,Number,Vukosavlje,Total,Catholic,680
2013,Number,Vukosavlje,M,Catholic,325
2013,Number,Vukosavlje,F,Catholic,355
2013,Number,Gacko,Total,Catholic,10
2013,Number,Gacko,M,Catholic,4
2013,Number,Gacko,F,Catholic,6
2013,Number,Grad Gradiška,Total,Catholic,865
2013,Number,Grad Gradiška,M,Catholic,303
2013,Number,Grad Gradiška,F,Catholic,562
2013,Number,Grad Derventa,Total,Catholic,2109
2013,Number,Grad Derventa,M,Catholic,999
2013,Number,Grad Derventa,F,Catholic,1110
2013,Number,Grad Doboj,Total,Catholic,1448
2013,Number,Grad Doboj,M,Catholic,532
2013,Number,Grad Doboj,F,Catholic,916
2013,Number,Donji Žabar,Total,Catholic,977
2013,Number,Donji Žabar,M,Catholic,490
2013,Number,Donji Žabar,F,Catholic,487
2013,Number,Grad Zvornik,Total,Catholic,83
2013,Number,Grad Zvornik,M,Catholic,6
2013,Number,Grad Zvornik,F,Catholic,77
2013,Number,Istočna Ilidža,Total,Catholic,142
2013,Number,Istočna Ilidža,M,Catholic,36
2013,Number,Istočna Ilidža,F,Catholic,106
2013,Number,Istočni Drvar,Total,Catholic,1
2013,Number,Istočni Drvar,M,Catholic,0
2013,Number,Istočni Drvar,F,Catholic,1
2013,Number,Istočni Mostar,Total,Catholic,11
2013,Number,Istočni Mostar,M,Catholic,8
2013,Number,Istočni Mostar,F,Catholic,3
2013,Number,Istočni Stari Grad,Total,Catholic,5
2013,Number,Istočni Stari Grad,M,Catholic,0
2013,Number,Istočni Stari Grad,F,Catholic,5
2013,Number,Istočno Novo Sarajevo,Total,Catholic,101
2013,Number,Istočno Novo Sarajevo,M,Catholic,28
2013,Number,Istočno Novo Sarajevo,F,Catholic,73
2013,Number,Jezero,Total,Catholic,4
2013,Number,Jezero,M,Catholic,2
2013,Number,Jezero,F,Catholic,2
2013,Number,Kalinovik,Total,Catholic,5
2013,Number,Kalinovik,M,Catholic,2
2013,Number,Kalinovik,F,Catholic,3
2013,Number,Kneževo,Total,Catholic,17
2013,Number,Kneževo,M,Catholic,4
2013,Number,Kneževo,F,Catholic,13
2013,Number,Kozarska Dubica,Total,Catholic,250
2013,Number,Kozarska Dubica,M,Catholic,72
2013,Number,Kozarska Dubica,F,Catholic,178
2013,Number,Kostajnica,Total,Catholic,84
2013,Number,Kostajnica,M,Catholic,26
2013,Number,Kostajnica,F,Catholic,58
2013,Number,Kotor Varoš,Total,Catholic,788
2013,Number,Kotor Varoš,M,Catholic,365
2013,Number,Kotor Varoš,F,Catholic,423
2013,Number,Krupa Na Uni,Total,Catholic,2
2013,Number,Krupa Na Uni,M,Catholic,0
2013,Number,Krupa Na Uni,F,Catholic,2
2013,Number,Kupres,Total,Catholic,0
2013,Number,Kupres,M,Catholic,0
2013,Number,Kupres,F,Catholic,0
2013,Number,Laktaši,Total,Catholic,497
2013,Number,Laktaši,M,Catholic,166
2013,Number,Laktaši,F,Catholic,331
2013,Number,Lopare,Total,Catholic,40
2013,Number,Lopare,M,Catholic,5
2013,Number,Lopare,F,Catholic,35
2013,Number,Ljubinje,Total,Catholic,5
2013,Number,Ljubinje,M,Catholic,1
2013,Number,Ljubinje,F,Catholic,4
2013,Number,Milići,Total,Catholic,17
2013,Number,Milići,M,Catholic,5
2013,Number,Milići,F,Catholic,12
2013,Number,Modriča,Total,Catholic,1365
2013,Number,Modriča,M,Catholic,651
2013,Number,Modriča,F,Catholic,714
2013,Number,Mrkonjić Grad,Total,Catholic,146
2013,Number,Mrkonjić Grad,M,Catholic,56
2013,Number,Mrkonjić Grad,F,Catholic,90
2013,Number,Nevesinje,Total,Catholic,21
2013,Number,Nevesinje,M,Catholic,5
2013,Number,Nevesinje,F,Catholic,16
2013,Number,Novi Grad,Total,Catholic,152
2013,Number,Novi Grad,M,Catholic,47
2013,Number,Novi Grad,F,Catholic,105
2013,Number,Novo Goražde,Total,Catholic,2
2013,Number,Novo Goražde,M,Catholic,1
2013,Number,Novo Goražde,F,Catholic,1
2013,Number,Osmaci,Total,Catholic,4
2013,Number,Osmaci,M,Catholic,0
2013,Number,Osmaci,F,Catholic,4
2013,Number,Oštra Luka,Total,Catholic,131
2013,Number,Oštra Luka,M,Catholic,62
2013,Number,Oštra Luka,F,Catholic,69
2013,Number,Pale,Total,Catholic,116
2013,Number,Pale,M,Catholic,30
2013,Number,Pale,F,Catholic,86
2013,Number,Pelagićevo,Total,Catholic,1180
2013,Number,Pelagićevo,M,Catholic,578
2013,Number,Pelagićevo,F,Catholic,602
2013,Number,Petrovac,Total,Catholic,0
2013,Number,Petrovac,M,Catholic,0
2013,Number,Petrovac,F,Catholic,0
2013,Number,Petrovo,Total,Catholic,35
2013,Number,Petrovo,M,Catholic,10
2013,Number,Petrovo,F,Catholic,25
2013,Number,Grad Prijedor,Total,Catholic,1544
2013,Number,Grad Prijedor,M,Catholic,587
2013,Number,Grad Prijedor,F,Catholic,957
2013,Number,Prnjavor,Total,Catholic,645
2013,Number,Prnjavor,M,Catholic,255
2013,Number,Prnjavor,F,Catholic,390
2013,Number,Ribnik,Total,Catholic,7
2013,Number,Ribnik,M,Catholic,1
2013,Number,Ribnik,F,Catholic,6
2013,Number,Rogatica,Total,Catholic,16
2013,Number,Rogatica,M,Catholic,1
2013,Number,Rogatica,F,Catholic,15
2013,Number,Rudo,Total,Catholic,3
2013,Number,Rudo,M,Catholic,1
2013,Number,Rudo,F,Catholic,2
2013,Number,Sokolac,Total,Catholic,23
2013,Number,Sokolac,M,Catholic,3
2013,Number,Sokolac,F,Catholic,20
2013,Number,Srbac,Total,Catholic,153
2013,Number,Srbac,M,Catholic,37
2013,Number,Srbac,F,Catholic,116
2013,Number,Srebrenica,Total,Catholic,17
2013,Number,Srebrenica,M,Catholic,7
2013,Number,Srebrenica,F,Catholic,10
2013,Number,Teslić,Total,Catholic,1292
2013,Number,Teslić,M,Catholic,552
2013,Number,Teslić,F,Catholic,740
2013,Number,Grad Trebinje,Total,Catholic,293
2013,Number,Grad Trebinje,M,Catholic,90
2013,Number,Grad Trebinje,F,Catholic,203
2013,Number,Trnovo,Total,Catholic,15
2013,Number,Trnovo,M,Catholic,2
2013,Number,Trnovo,F,Catholic,13
2013,Number,Ugljevik,Total,Catholic,39
2013,Number,Ugljevik,M,Catholic,7
2013,Number,Ugljevik,F,Catholic,32
2013,Number,Foča,Total,Catholic,64
2013,Number,Foča,M,Catholic,20
2013,Number,Foča,F,Catholic,44
2013,Number,Han Pijesak,Total,Catholic,5
2013,Number,Han Pijesak,M,Catholic,0
2013,Number,Han Pijesak,F,Catholic,5
2013,Number,Čajniče,Total,Catholic,5
2013,Number,Čajniče,M,Catholic,0
2013,Number,Čajniče,F,Catholic,5
2013,Number,Čelinac,Total,Catholic,58
2013,Number,Čelinac,M,Catholic,14
2013,Number,Čelinac,F,Catholic,44
2013,Number,Šamac,Total,Catholic,2091
2013,Number,Šamac,M,Catholic,969
2013,Number,Šamac,F,Catholic,1122
2013,Number,Šekovići,Total,Catholic,7
2013,Number,Šekovići,M,Catholic,0
2013,Number,Šekovići,F,Catholic,7
2013,Number,Šipovo,Total,Catholic,18
2013,Number,Šipovo,M,Catholic,2
2013,Number,Šipovo,F,Catholic,16
2013,Number,Republika Srpska,Total,Orthodox,969315
2013,Number,Republika Srpska,M,Orthodox,476184
2013,Number,Republika Srpska,F,Orthodox,493131
2013,Number,Grad Banja Luka,Total,Orthodox,161267
2013,Number,Grad Banja Luka,M,Orthodox,78266
2013,Number,Grad Banja Luka,F,Orthodox,83001
2013,Number,Berkovići,Total,Orthodox,1873
2013,Number,Berkovići,M,Orthodox,940
2013,Number,Berkovići,F,Orthodox,933
2013,Number,Grad Bijeljina,Total,Orthodox,89144
2013,Number,Grad Bijeljina,M,Orthodox,43682
2013,Number,Grad Bijeljina,F,Orthodox,45462
2013,Number,Bileća,Total,Orthodox,10490
2013,Number,Bileća,M,Orthodox,5291
2013,Number,Bileća,F,Orthodox,5199
2013,Number,Bratunac,Total,Orthodox,11726
2013,Number,Bratunac,M,Orthodox,5835
2013,Number,Bratunac,F,Orthodox,5891
2013,Number,Brod,Total,Orthodox,11066
2013,Number,Brod,M,Orthodox,5474
2013,Number,Brod,F,Orthodox,5592
2013,Number,Višegrad,Total,Orthodox,8913
2013,Number,Višegrad,M,Orthodox,4315
2013,Number,Višegrad,F,Orthodox,4598
2013,Number,Vlasenica,Total,Orthodox,7111
2013,Number,Vlasenica,M,Orthodox,3473
2013,Number,Vlasenica,F,Orthodox,3638
2013,Number,Vukosavlje,Total,Orthodox,1442
2013,Number,Vukosavlje,M,Orthodox,713
2013,Number,Vukosavlje,F,Orthodox,729
2013,Number,Gacko,Total,Orthodox,8337
2013,Number,Gacko,M,Orthodox,4228
2013,Number,Gacko,F,Orthodox,4109
2013,Number,Grad Gradiška,Total,Orthodox,40702
2013,Number,Grad Gradiška,M,Orthodox,19929
2013,Number,Grad Gradiška,F,Orthodox,20773
2013,Number,Grad Derventa,Total,Orthodox,21541
2013,Number,Grad Derventa,M,Orthodox,10537
2013,Number,Grad Derventa,F,Orthodox,11004
2013,Number,Grad Doboj,Total,Orthodox,50744
2013,Number,Grad Doboj,M,Orthodox,24842
2013,Number,Grad Doboj,F,Orthodox,25902
2013,Number,Donji Žabar,Total,Orthodox,2658
2013,Number,Donji Žabar,M,Orthodox,1352
2013,Number,Donji Žabar,F,Orthodox,1306
2013,Number,Grad Zvornik,Total,Orthodox,37114
2013,Number,Grad Zvornik,M,Orthodox,18378
2013,Number,Grad Zvornik,F,Orthodox,18736
2013,Number,Istočna Ilidža,Total,Orthodox,13458
2013,Number,Istočna Ilidža,M,Orthodox,6479
2013,Number,Istočna Ilidža,F,Orthodox,6979
2013,Number,Istočni Drvar,Total,Orthodox,65
2013,Number,Istočni Drvar,M,Orthodox,44
2013,Number,Istočni Drvar,F,Orthodox,21
2013,Number,Istočni Mostar,Total,Orthodox,153
2013,Number,Istočni Mostar,M,Orthodox,84
2013,Number,Istočni Mostar,F,Orthodox,69
2013,Number,Istočni Stari Grad,Total,Orthodox,1058
2013,Number,Istočni Stari Grad,M,Orthodox,520
2013,Number,Istočni Stari Grad,F,Orthodox,538
2013,Number,Istočno Novo Sarajevo,Total,Orthodox,10044
