Year,UNIT_MEASURE,Starosna dob,Value
2005,Broj djece po ženi 15-49,35-39,
2006,Broj djece po ženi 15-49,35-39,
2007,Broj djece po ženi 15-49,35-39,
2008,Broj djece po ženi 15-49,35-39,
2009,Broj djece po ženi 15-49,35-39,
2010,Broj djece po ženi 15-49,35-39,
2011,Broj djece po ženi 15-49,35-39,
2012,Broj djece po ženi 15-49,35-39,
2013,Broj djece po ženi 15-49,35-39,
2014,Broj djece po ženi 15-49,35-39,
2015,Broj djece po ženi 15-49,35-39,
2016,Broj djece po ženi 15-49,35-39,
2017,Broj djece po ženi 15-49,35-39,
2018,Broj djece po ženi 15-49,35-39,
2019,Broj djece po ženi 15-49,35-39,
1996,Broj djece po ženi 15-49,40-44,
1997,Broj djece po ženi 15-49,40-44,
1998,Broj djece po ženi 15-49,40-44,
1999,Broj djece po ženi 15-49,40-44,
2000,Broj djece po ženi 15-49,40-44,
2001,Broj djece po ženi 15-49,40-44,
2002,Broj djece po ženi 15-49,40-44,
2003,Broj djece po ženi 15-49,40-44,
2004,Broj djece po ženi 15-49,40-44,
2005,Broj djece po ženi 15-49,40-44,
2006,Broj djece po ženi 15-49,40-44,
2007,Broj djece po ženi 15-49,40-44,
2008,Broj djece po ženi 15-49,40-44,
2009,Broj djece po ženi 15-49,40-44,
2010,Broj djece po ženi 15-49,40-44,
2011,Broj djece po ženi 15-49,40-44,
2012,Broj djece po ženi 15-49,40-44,
2013,Broj djece po ženi 15-49,40-44,
2014,Broj djece po ženi 15-49,40-44,
2015,Broj djece po ženi 15-49,40-44,
2016,Broj djece po ženi 15-49,40-44,
2017,Broj djece po ženi 15-49,40-44,
2018,Broj djece po ženi 15-49,40-44,
2019,Broj djece po ženi 15-49,40-44,
1996,Broj djece po ženi 15-49,45-49,
1997,Broj djece po ženi 15-49,45-49,
1998,Broj djece po ženi 15-49,45-49,
1999,Broj djece po ženi 15-49,45-49,
2000,Broj djece po ženi 15-49,45-49,
2001,Broj djece po ženi 15-49,45-49,
2002,Broj djece po ženi 15-49,45-49,
2003,Broj djece po ženi 15-49,45-49,
2004,Broj djece po ženi 15-49,45-49,
2005,Broj djece po ženi 15-49,45-49,
2006,Broj djece po ženi 15-49,45-49,
2007,Broj djece po ženi 15-49,45-49,
2008,Broj djece po ženi 15-49,45-49,
2009,Broj djece po ženi 15-49,45-49,
2010,Broj djece po ženi 15-49,45-49,
2011,Broj djece po ženi 15-49,45-49,
2012,Broj djece po ženi 15-49,45-49,
2013,Broj djece po ženi 15-49,45-49,
2014,Broj djece po ženi 15-49,45-49,
2015,Broj djece po ženi 15-49,45-49,
2016,Broj djece po ženi 15-49,45-49,
2017,Broj djece po ženi 15-49,45-49,
2018,Broj djece po ženi 15-49,45-49,
2019,Broj djece po ženi 15-49,45-49,
1996,Broj djece po ženi 15-49,50+,
1997,Broj djece po ženi 15-49,50+,
1998,Broj djece po ženi 15-49,50+,
1999,Broj djece po ženi 15-49,50+,
2000,Broj djece po ženi 15-49,50+,
2001,Broj djece po ženi 15-49,50+,
2002,Broj djece po ženi 15-49,50+,
2003,Broj djece po ženi 15-49,50+,
2004,Broj djece po ženi 15-49,50+,
2005,Broj djece po ženi 15-49,50+,
2006,Broj djece po ženi 15-49,50+,
2007,Broj djece po ženi 15-49,50+,
2008,Broj djece po ženi 15-49,50+,
2009,Broj djece po ženi 15-49,50+,
2010,Broj djece po ženi 15-49,50+,
2011,Broj djece po ženi 15-49,50+,
2012,Broj djece po ženi 15-49,50+,
2013,Broj djece po ženi 15-49,50+,
2014,Broj djece po ženi 15-49,50+,
2015,Broj djece po ženi 15-49,50+,
2016,Broj djece po ženi 15-49,50+,
2017,Broj djece po ženi 15-49,50+,
2018,Broj djece po ženi 15-49,50+,
2019,Broj djece po ženi 15-49,50+,
