Year,UNIT_MEASURE,school_year_end,Type_of_school,Spol,Value
2011,Broj,2011/2012,vocational_schools,M,6443
2012,Broj,2012/2013,vocational_schools,M,7094
2013,Broj,2013/2014,vocational_schools,M,7549
2014,Broj,2014/2015,vocational_schools,M,6355
2015,Broj,2015/2016,vocational_schools,M,5047
2016,Broj,2016/2017,vocational_schools,M,5142
2017,Broj,2017/2018,vocational_schools,M,5068
2018,Broj,2018/2019,vocational_schools,M,4947
2019,Broj,2019/2020,vocational_schools,M,5195
2010,Broj,2010/2011,high_schools_for_children_with_special_needs,M,65
2011,Broj,2011/2012,high_schools_for_children_with_special_needs,M,60
2012,Broj,2012/2013,high_schools_for_children_with_special_needs,M,78
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,M,132
2014,Broj,2014/2015,high_schools_for_children_with_special_needs,M,79
2015,Broj,2015/2016,high_schools_for_children_with_special_needs,M,72
2016,Broj,2016/2017,high_schools_for_children_with_special_needs,M,67
2017,Broj,2017/2018,high_schools_for_children_with_special_needs,M,82
2018,Broj,2018/2019,high_schools_for_children_with_special_needs,M,82
2019,Broj,2019/2020,high_schools_for_children_with_special_needs,M,66
2010,Broj,2010/2011,_T,Ž,17327
2011,Broj,2011/2012,_T,Ž,16638
2012,Broj,2012/2013,_T,Ž,19735
2013,Broj,2013/2014,_T,Ž,21402
2014,Broj,2014/2015,_T,Ž,21088
2015,Broj,2015/2016,_T,Ž,17433
2016,Broj,2016/2017,_T,Ž,15454
2017,Broj,2017/2018,_T,Ž,16383
2018,Broj,2018/2019,_T,Ž,16021
2019,Broj,2019/2020,_T,Ž,15158
2010,Broj,2010/2011,gymnasium,Ž,5617
2011,Broj,2011/2012,gymnasium,Ž,5080
2012,Broj,2012/2013,gymnasium,Ž,6090
2013,Broj,2013/2014,gymnasium,Ž,6909
2014,Broj,2014/2015,gymnasium,Ž,7492
2015,Broj,2015/2016,gymnasium,Ž,5798
2016,Broj,2016/2017,gymnasium,Ž,4998
2017,Broj,2017/2018,gymnasium,Ž,4930
2018,Broj,2018/2019,gymnasium,Ž,4643
2019,Broj,2019/2020,gymnasium,Ž,4472
2010,Broj,2010/2011,technical_schools,Ž,8716
2011,Broj,2011/2012,technical_schools,Ž,8220
2012,Broj,2012/2013,technical_schools,Ž,9944
2013,Broj,2013/2014,technical_schools,Ž,10730
2014,Broj,2014/2015,technical_schools,Ž,10515
2015,Broj,2015/2016,technical_schools,Ž,9037
2016,Broj,2016/2017,technical_schools,Ž,7933
2017,Broj,2017/2018,technical_schools,Ž,8788
2018,Broj,2018/2019,technical_schools,Ž,8783
2019,Broj,2019/2020,technical_schools,Ž,8272
2010,Broj,2010/2011,art_schools,Ž,163
2011,Broj,2011/2012,art_schools,Ž,173
2012,Broj,2012/2013,art_schools,Ž,179
2013,Broj,2013/2014,art_schools,Ž,185
2014,Broj,2014/2015,art_schools,Ž,196
2015,Broj,2015/2016,art_schools,Ž,177
2016,Broj,2016/2017,art_schools,Ž,134
2017,Broj,2017/2018,art_schools,Ž,194
2018,Broj,2018/2019,art_schools,Ž,170
2019,Broj,2019/2020,art_schools,Ž,161
2010,Broj,2010/2011,religion_schools,Ž,219
2011,Broj,2011/2012,religion_schools,Ž,180
2012,Broj,2012/2013,religion_schools,Ž,251
2013,Broj,2013/2014,religion_schools,Ž,257
2014,Broj,2014/2015,religion_schools,Ž,306
2015,Broj,2015/2016,religion_schools,Ž,261
2016,Broj,2016/2017,religion_schools,Ž,235
2017,Broj,2017/2018,religion_schools,Ž,277
2018,Broj,2018/2019,religion_schools,Ž,302
2019,Broj,2019/2020,religion_schools,Ž,259
2010,Broj,2010/2011,vocational_schools,Ž,2578
2011,Broj,2011/2012,vocational_schools,Ž,2943
2012,Broj,2012/2013,vocational_schools,Ž,3237
2013,Broj,2013/2014,vocational_schools,Ž,3257
2014,Broj,2014/2015,vocational_schools,Ž,2535
2015,Broj,2015/2016,vocational_schools,Ž,2114
2016,Broj,2016/2017,vocational_schools,Ž,2118
2017,Broj,2017/2018,vocational_schools,Ž,2156
2018,Broj,2018/2019,vocational_schools,Ž,2071
2019,Broj,2019/2020,vocational_schools,Ž,1954
2010,Broj,2010/2011,high_schools_for_children_with_special_needs,Ž,34
2011,Broj,2011/2012,high_schools_for_children_with_special_needs,Ž,42
2012,Broj,2012/2013,high_schools_for_children_with_special_needs,Ž,34
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,Ž,64
2014,Broj,2014/2015,high_schools_for_children_with_special_needs,Ž,44
2015,Broj,2015/2016,high_schools_for_children_with_special_needs,Ž,46
2016,Broj,2016/2017,high_schools_for_children_with_special_needs,Ž,36
2017,Broj,2017/2018,high_schools_for_children_with_special_needs,Ž,38
2018,Broj,2018/2019,high_schools_for_children_with_special_needs,Ž,52
2019,Broj,2019/2020,high_schools_for_children_with_special_needs,Ž,40
