Year,UNIT_MEASURE,Врста образовања,Пол,Value
2018,Број,"Друштвене науке, новинарство и информисање",M,9
2018,Број,"Пословање, администрација и право",M,10
2018,Број,Oбразовање,M,1
2018,Број,Умјетност и хуманистичке науке,M,2
2018,Број,Услуге,M,0
2018,Број,Укупно,Ж,15
2018,Број,"Природне науке, математика и статистика",Ж,0
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,2
2018,Број,information_and_communication_technologie,Ж,0
2018,Број,Здравство и социјална заштита,Ж,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2018,Број,"Друштвене науке, новинарство и информисање",Ж,5
2018,Број,"Пословање, администрација и право",Ж,2
2018,Број,Oбразовање,Ж,0
2018,Број,Умјетност и хуманистичке науке,Ж,3
2018,Број,Услуге,Ж,0
2019,Број,Укупно,Оба пола,42
2019,Број,"Природне науке, математика и статистика",Оба пола,2
2019,Број,"Инжeњерство, производња и грађевинарство",Оба пола,1
2019,Број,information_and_communication_technologie,Оба пола,25
2019,Број,Здравство и социјална заштита,Оба пола,2
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,3
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,1
2019,Број,"Пословање, администрација и право",Оба пола,3
2019,Број,Oбразовање,Оба пола,3
2019,Број,Умјетност и хуманистичке науке,Оба пола,2
2019,Број,Услуге,Оба пола,0
2019,Број,Укупно,M,26
2019,Број,"Природне науке, математика и статистика",M,2
2019,Број,"Инжeњерство, производња и грађевинарство",M,0
2019,Број,information_and_communication_technologie,M,19
2019,Број,Здравство и социјална заштита,M,2
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,0
2019,Број,"Друштвене науке, новинарство и информисање",M,0
2019,Број,"Пословање, администрација и право",M,2
2019,Број,Oбразовање,M,1
2019,Број,Умјетност и хуманистичке науке,M,0
2019,Број,Услуге,M,0
2019,Број,Укупно,Ж,16
2019,Број,"Природне науке, математика и статистика",Ж,0
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2019,Број,information_and_communication_technologie,Ж,6
2019,Број,Здравство и социјална заштита,Ж,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2019,Број,"Друштвене науке, новинарство и информисање",Ж,1
2019,Број,"Пословање, администрација и право",Ж,1
2019,Број,Oбразовање,Ж,2
2019,Број,Умјетност и хуманистичке науке,Ж,2
2019,Број,Услуге,Ж,0
2020,Број,Укупно,Оба пола,64
2020,Број,"Природне науке, математика и статистика",Оба пола,0
2020,Број,"Инжeњерство, производња и грађевинарство",Оба пола,3
2020,Број,information_and_communication_technologie,Оба пола,30
2020,Број,Здравство и социјална заштита,Оба пола,5
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,2
2020,Број,"Друштвене науке, новинарство и информисање",Оба пола,5
2020,Број,"Пословање, администрација и право",Оба пола,8
2020,Број,Oбразовање,Оба пола,2
2020,Број,Умјетност и хуманистичке науке,Оба пола,9
2020,Број,Услуге,Оба пола,0
2020,Број,Укупно,M,34
2020,Број,"Природне науке, математика и статистика",M,0
2020,Број,"Инжeњерство, производња и грађевинарство",M,0
2020,Број,information_and_communication_technologie,M,21
2020,Број,Здравство и социјална заштита,M,4
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,1
2020,Број,"Друштвене науке, новинарство и информисање",M,3
2020,Број,"Пословање, администрација и право",M,3
2020,Број,Oбразовање,M,0
2020,Број,Умјетност и хуманистичке науке,M,2
2020,Број,Услуге,M,0
2020,Број,Укупно,Ж,30
2020,Број,"Природне науке, математика и статистика",Ж,0
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,3
2020,Број,information_and_communication_technologie,Ж,9
2020,Број,Здравство и социјална заштита,Ж,1
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,1
2020,Број,"Друштвене науке, новинарство и информисање",Ж,2
2020,Број,"Пословање, администрација и право",Ж,5
2020,Број,Oбразовање,Ж,2
2020,Број,Умјетност и хуманистичке науке,Ж,7
2020,Број,Услуге,Ж,0
