Year,UNIT_MEASURE,Пол,Узрок смрти (према шифрама болести по МКБ-10),Value
2005,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",727
2006,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",790
2007,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",791
2008,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",764
2009,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",891
2010,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",691
2011,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",654
2012,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",561
2013,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",800
2014,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",912
2015,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",762
2016,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",691
2017,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",825
2018,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",844
2019,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",604
2020,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",825
2003,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),33
2004,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),58
2005,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),80
2006,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),82
2007,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),107
2008,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),101
2009,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),122
2010,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),84
2011,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),72
2012,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),58
2013,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),95
2014,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),84
2015,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),72
2016,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),98
2017,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),113
2018,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),85
2019,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),72
2020,Број,Оба пола,Душевни поремећаји и поремећаји понашања (F00–F99),72
2003,Број,Оба пола,Болести нервног система (G00–G99),65
2004,Број,Оба пола,Болести нервног система (G00–G99),91
2005,Број,Оба пола,Болести нервног система (G00–G99),170
2006,Број,Оба пола,Болести нервног система (G00–G99),184
2007,Број,Оба пола,Болести нервног система (G00–G99),155
2008,Број,Оба пола,Болести нервног система (G00–G99),146
2009,Број,Оба пола,Болести нервног система (G00–G99),133
2010,Број,Оба пола,Болести нервног система (G00–G99),152
2011,Број,Оба пола,Болести нервног система (G00–G99),209
2012,Број,Оба пола,Болести нервног система (G00–G99),207
2013,Број,Оба пола,Болести нервног система (G00–G99),185
2014,Број,Оба пола,Болести нервног система (G00–G99),186
2015,Број,Оба пола,Болести нервног система (G00–G99),212
2016,Број,Оба пола,Болести нервног система (G00–G99),171
2017,Број,Оба пола,Болести нервног система (G00–G99),197
2018,Број,Оба пола,Болести нервног система (G00–G99),169
2019,Број,Оба пола,Болести нервног система (G00–G99),165
2020,Број,Оба пола,Болести нервног система (G00–G99),188
2003,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2004,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2005,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2006,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2007,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2008,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2009,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2010,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2011,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2012,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2013,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2014,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2015,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2016,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2017,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2018,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2019,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2020,Број,Оба пола,Болести ока и припојка ока (H00–H59),0
2003,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2004,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2005,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),1
2006,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2007,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),1
2008,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2009,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2010,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2011,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2012,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2013,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2014,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2015,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2016,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2017,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2018,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2019,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2020,Број,Оба пола,Болести ува и мастоидног наставка (H60–H93),0
2003,Број,Оба пола,Болести циркулаторног система (I00–I99),7071
2004,Број,Оба пола,Болести циркулаторног система (I00–I99),7340
2005,Број,Оба пола,Болести циркулаторног система (I00–I99),7002
2006,Број,Оба пола,Болести циркулаторног система (I00–I99),6463
2007,Број,Оба пола,Болести циркулаторног система (I00–I99),7097
2008,Број,Оба пола,Болести циркулаторног система (I00–I99),6965
2009,Број,Оба пола,Болести циркулаторног система (I00–I99),7014
2010,Број,Оба пола,Болести циркулаторног система (I00–I99),7211
2011,Број,Оба пола,Болести циркулаторног система (I00–I99),7339
2012,Број,Оба пола,Болести циркулаторног система (I00–I99),7625
2013,Број,Оба пола,Болести циркулаторног система (I00–I99),6687
2014,Број,Оба пола,Болести циркулаторног система (I00–I99),6777
2015,Број,Оба пола,Болести циркулаторног система (I00–I99),7275
2016,Број,Оба пола,Болести циркулаторног система (I00–I99),6920
2017,Број,Оба пола,Болести циркулаторног система (I00–I99),7180
2018,Број,Оба пола,Болести циркулаторног система (I00–I99),6989
2019,Број,Оба пола,Болести циркулаторног система (I00–I99),7473
2020,Број,Оба пола,Болести циркулаторног система (I00–I99),7602
2003,Број,Оба пола,Болести респираторног система (Ј00–Ј99),304
2004,Број,Оба пола,Болести респираторног система (Ј00–Ј99),345
2005,Број,Оба пола,Болести респираторног система (Ј00–Ј99),504
2006,Број,Оба пола,Болести респираторног система (Ј00–Ј99),520
2007,Број,Оба пола,Болести респираторног система (Ј00–Ј99),493
2008,Број,Оба пола,Болести респираторног система (Ј00–Ј99),449
2009,Број,Оба пола,Болести респираторног система (Ј00–Ј99),430
2010,Број,Оба пола,Болести респираторног система (Ј00–Ј99),450
2011,Број,Оба пола,Болести респираторног система (Ј00–Ј99),536
2012,Број,Оба пола,Болести респираторног система (Ј00–Ј99),424
2013,Број,Оба пола,Болести респираторног система (Ј00–Ј99),556
2014,Број,Оба пола,Болести респираторног система (Ј00–Ј99),524
2015,Број,Оба пола,Болести респираторног система (Ј00–Ј99),618
2016,Број,Оба пола,Болести респираторног система (Ј00–Ј99),510
2017,Број,Оба пола,Болести респираторног система (Ј00–Ј99),576
2018,Број,Оба пола,Болести респираторног система (Ј00–Ј99),626
2019,Број,Оба пола,Болести респираторног система (Ј00–Ј99),596
2020,Број,Оба пола,Болести респираторног система (Ј00–Ј99),631
2003,Број,Оба пола,Болести дигестивног система (К00–К92),352
2004,Број,Оба пола,Болести дигестивног система (К00–К92),347
2005,Број,Оба пола,Болести дигестивног система (К00–К92),343
2006,Број,Оба пола,Болести дигестивног система (К00–К92),379
2007,Број,Оба пола,Болести дигестивног система (К00–К92),396
2008,Број,Оба пола,Болести дигестивног система (К00–К92),366
2009,Број,Оба пола,Болести дигестивног система (К00–К92),371
2010,Број,Оба пола,Болести дигестивног система (К00–К92),398
2011,Број,Оба пола,Болести дигестивног система (К00–К92),391
2012,Број,Оба пола,Болести дигестивног система (К00–К92),393
2013,Број,Оба пола,Болести дигестивног система (К00–К92),402
2014,Број,Оба пола,Болести дигестивног система (К00–К92),429
2015,Број,Оба пола,Болести дигестивног система (К00–К92),440
2016,Број,Оба пола,Болести дигестивног система (К00–К92),450
2017,Број,Оба пола,Болести дигестивног система (К00–К92),413
2018,Број,Оба пола,Болести дигестивног система (К00–К92),481
2019,Број,Оба пола,Болести дигестивног система (К00–К92),419
2020,Број,Оба пола,Болести дигестивног система (К00–К92),438
2003,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),0
2004,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),3
2005,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),0
2006,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),1
2007,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),2
2008,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),2
2009,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),3
2010,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),6
2011,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),1
2012,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),4
2013,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),20
2014,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),22
2015,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),22
2016,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),21
2017,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),24
2018,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),22
2019,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),23
2020,Број,Оба пола,Болести коже и поткожног ткива (L00–L98),30
2003,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),6
2004,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),3
2005,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),12
2006,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),10
2007,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),13
2008,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),17
2009,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),13
2010,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),11
2011,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),18
2012,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),16
2013,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),28
2014,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),22
2015,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),30
2016,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),19
2017,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),17
2018,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),21
2019,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),13
2020,Број,Оба пола,Болести мишићно-коштаног система и везивног ткива (М00–М99),28
2003,Број,Оба пола,Болести генитоуринарног система (N00–N98),222
2004,Број,Оба пола,Болести генитоуринарног система (N00–N98),205
2005,Број,Оба пола,Болести генитоуринарног система (N00–N98),257
2006,Број,Оба пола,Болести генитоуринарног система (N00–N98),266
2007,Број,Оба пола,Болести генитоуринарног система (N00–N98),275
2008,Број,Оба пола,Болести генитоуринарног система (N00–N98),268
2009,Број,Оба пола,Болести генитоуринарног система (N00–N98),257
2010,Број,Оба пола,Болести генитоуринарног система (N00–N98),255
2011,Број,Оба пола,Болести генитоуринарног система (N00–N98),175
2012,Број,Оба пола,Болести генитоуринарног система (N00–N98),236
2013,Број,Оба пола,Болести генитоуринарног система (N00–N98),213
2014,Број,Оба пола,Болести генитоуринарног система (N00–N98),150
2015,Број,Оба пола,Болести генитоуринарног система (N00–N98),179
2016,Број,Оба пола,Болести генитоуринарног система (N00–N98),218
2017,Број,Оба пола,Болести генитоуринарног система (N00–N98),193
2018,Број,Оба пола,Болести генитоуринарног система (N00–N98),220
2019,Број,Оба пола,Болести генитоуринарног система (N00–N98),195
2020,Број,Оба пола,Болести генитоуринарног система (N00–N98),221
2003,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2004,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2005,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",2
2006,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",2
2007,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2008,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2009,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2010,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2011,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2012,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2013,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2014,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2015,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2016,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2017,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2018,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",1
2019,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",0
2020,Број,Оба пола,"Трудноћа, порођај и пуерперијум (О00–О99)",3
2003,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),44
2004,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),38
2005,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),27
2006,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),38
2007,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),27
2008,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),20
2009,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),34
2010,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),29
2011,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),36
2012,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),29
2013,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),21
2014,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),16
2015,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),10
2016,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),18
2017,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),17
2018,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),10
2019,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),11
2020,Број,Оба пола,Одређена стања настала у перинаталном периоду (P00–P96),34
2003,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",10
2004,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",11
2005,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",14
2006,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",14
2007,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",14
2008,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",15
2009,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",20
2010,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",17
2011,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",9
2012,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",6
2013,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",10
2014,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",10
2015,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",7
2016,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",5
2017,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",5
2018,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",5
2019,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",4
2020,Број,Оба пола,"Конгениталне аномалије, деформације и хромозомске ненормалности (Q00–Q99)",6
2003,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1612
2004,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1462
2005,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1249
2006,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1200
2007,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1288
2008,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",945
2009,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",953
2010,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",877
2011,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",681
2012,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",612
2013,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1231
2014,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1445
2015,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1556
2016,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1198
2017,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1435
2018,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1650
2019,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1961
2020,Број,Оба пола,"Симптоми, знакови и ненормални клинички и лабораторијски налази, некласификовани на другом мјесту (R00–R99)",1599
2003,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",580
2004,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",552
2005,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",618
2006,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",615
2007,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",634
2008,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",584
2009,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",581
2010,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",511
2011,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",600
2012,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",538
2013,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",504
2014,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",532
2015,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",559
2016,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",491
2017,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",474
2018,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",482
2019,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",430
2020,Број,Оба пола,"Повреде, тровања и посљедице дјеловања спољних фактора (S00–Т98)",405
2003,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2004,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2005,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2006,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2007,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2008,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2009,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2010,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
2011,Број,Оба пола,Шифре за посебне намјене (U00-U85),0
