Year,UNIT_MEASURE,Administrative area,Sex,Type of disability,Value
2013,Number,City of Prijedor,M,Total,3333
2013,Number,City of Prijedor,F,Total,3840
2013,Number,Prnjavor,Both sexes,Total,3309
2013,Number,Prnjavor,M,Total,1497
2013,Number,Prnjavor,F,Total,1812
2013,Number,Ribnik,Both sexes,Total,701
2013,Number,Ribnik,M,Total,323
2013,Number,Ribnik,F,Total,378
2013,Number,Rogatica,Both sexes,Total,1012
2013,Number,Rogatica,M,Total,464
2013,Number,Rogatica,F,Total,548
2013,Number,Rudo,Both sexes,Total,596
2013,Number,Rudo,M,Total,258
2013,Number,Rudo,F,Total,338
2013,Number,Sokolac,Both sexes,Total,944
2013,Number,Sokolac,M,Total,422
2013,Number,Sokolac,F,Total,522
2013,Number,Srbac,Both sexes,Total,1526
2013,Number,Srbac,M,Total,714
2013,Number,Srbac,F,Total,812
2013,Number,Srebrenica,Both sexes,Total,1061
2013,Number,Srebrenica,M,Total,447
2013,Number,Srebrenica,F,Total,614
2013,Number,Teslic,Both sexes,Total,3562
2013,Number,Teslic,M,Total,1683
2013,Number,Teslic,F,Total,1879
2013,Number,City of Trebinje,Both sexes,Total,1860
2013,Number,City of Trebinje,M,Total,823
2013,Number,City of Trebinje,F,Total,1037
2013,Number,Trnovo,Both sexes,Total,171
2013,Number,Trnovo,M,Total,70
2013,Number,Trnovo,F,Total,101
2013,Number,Ugljevik,Both sexes,Total,1179
2013,Number,Ugljevik,M,Total,532
2013,Number,Ugljevik,F,Total,647
2013,Number,Foca,Both sexes,Total,1473
2013,Number,Foca,M,Total,725
2013,Number,Foca,F,Total,748
2013,Number,Han Pijesak,Both sexes,Total,269
2013,Number,Han Pijesak,M,Total,99
2013,Number,Han Pijesak,F,Total,170
2013,Number,Cajnice,Both sexes,Total,461
2013,Number,Cajnice,M,Total,208
2013,Number,Cajnice,F,Total,253
2013,Number,Celinac,Both sexes,Total,1672
2013,Number,Celinac,M,Total,800
2013,Number,Celinac,F,Total,872
2013,Number,Samac,Both sexes,Total,1634
2013,Number,Samac,M,Total,724
2013,Number,Samac,F,Total,910
2013,Number,Sekovici,Both sexes,Total,595
2013,Number,Sekovici,M,Total,279
2013,Number,Sekovici,F,Total,316
2013,Number,Sipovo,Both sexes,Total,843
2013,Number,Sipovo,M,Total,391
2013,Number,Sipovo,F,Total,452
2013,Number,Republika Srpska,Both sexes,Eyesight,43020
2013,Number,Republika Srpska,M,Eyesight,18052
2013,Number,Republika Srpska,F,Eyesight,24968
2013,Number,City of Banja Luka,Both sexes,Eyesight,5370
2013,Number,City of Banja Luka,M,Eyesight,2232
2013,Number,City of Banja Luka,F,Eyesight,3138
2013,Number,Berkovici,Both sexes,Eyesight,73
2013,Number,Berkovici,M,Eyesight,33
2013,Number,Berkovici,F,Eyesight,40
2013,Number,City of Bijeljina,Both sexes,Eyesight,3450
2013,Number,City of Bijeljina,M,Eyesight,1424
2013,Number,City of Bijeljina,F,Eyesight,2026
2013,Number,Bileca,Both sexes,Eyesight,375
2013,Number,Bileca,M,Eyesight,159
2013,Number,Bileca,F,Eyesight,216
2013,Number,Bratunac,Both sexes,Eyesight,791
2013,Number,Bratunac,M,Eyesight,328
2013,Number,Bratunac,F,Eyesight,463
2013,Number,Brod,Both sexes,Eyesight,596
2013,Number,Brod,M,Eyesight,252
2013,Number,Brod,F,Eyesight,344
2013,Number,Visegrad,Both sexes,Eyesight,409
2013,Number,Visegrad,M,Eyesight,162
2013,Number,Visegrad,F,Eyesight,247
2013,Number,Vlasenica,Both sexes,Eyesight,372
2013,Number,Vlasenica,M,Eyesight,171
2013,Number,Vlasenica,F,Eyesight,201
2013,Number,Vukosavlje,Both sexes,Eyesight,157
2013,Number,Vukosavlje,M,Eyesight,74
2013,Number,Vukosavlje,F,Eyesight,83
2013,Number,Gacko,Both sexes,Eyesight,245
2013,Number,Gacko,M,Eyesight,107
2013,Number,Gacko,F,Eyesight,138
2013,Number,City of Gradiska,Both sexes,Eyesight,1881
2013,Number,City of Gradiska,M,Eyesight,754
2013,Number,City of Gradiska,F,Eyesight,1127
2013,Number,City of Derventa,Both sexes,Eyesight,1172
2013,Number,City of Derventa,M,Eyesight,476
2013,Number,City of Derventa,F,Eyesight,696
2013,Number,City of Doboj,Both sexes,Eyesight,3265
2013,Number,City of Doboj,M,Eyesight,1332
2013,Number,City of Doboj,F,Eyesight,1933
2013,Number,Donji Zabar,Both sexes,Eyesight,122
2013,Number,Donji Zabar,M,Eyesight,50
2013,Number,Donji Zabar,F,Eyesight,72
2013,Number,City of Zvornik,Both sexes,Eyesight,1920
2013,Number,City of Zvornik,M,Eyesight,842
2013,Number,City of Zvornik,F,Eyesight,1078
2013,Number,East Ilidza,Both sexes,Eyesight,423
2013,Number,East Ilidza,M,Eyesight,183
2013,Number,East Ilidza,F,Eyesight,240
2013,Number,East Drvar,Both sexes,Eyesight,5
2013,Number,East Drvar,M,Eyesight,2
2013,Number,East Drvar,F,Eyesight,3
2013,Number,East Mostar,Both sexes,Eyesight,9
2013,Number,East Mostar,M,Eyesight,3
2013,Number,East Mostar,F,Eyesight,6
2013,Number,East Stari Grad,Both sexes,Eyesight,49
2013,Number,East Stari Grad,M,Eyesight,22
2013,Number,East Stari Grad,F,Eyesight,27
2013,Number,East Novo Sarajevo,Both sexes,Eyesight,255
2013,Number,East Novo Sarajevo,M,Eyesight,90
2013,Number,East Novo Sarajevo,F,Eyesight,165
2013,Number,Jezero,Both sexes,Eyesight,44
2013,Number,Jezero,M,Eyesight,18
2013,Number,Jezero,F,Eyesight,26
2013,Number,Kalinovik,Both sexes,Eyesight,87
2013,Number,Kalinovik,M,Eyesight,35
2013,Number,Kalinovik,F,Eyesight,52
2013,Number,Knezevo,Both sexes,Eyesight,355
2013,Number,Knezevo,M,Eyesight,159
2013,Number,Knezevo,F,Eyesight,196
2013,Number,Kozarska Dubica,Both sexes,Eyesight,788
2013,Number,Kozarska Dubica,M,Eyesight,329
2013,Number,Kozarska Dubica,F,Eyesight,459
2013,Number,Kostajnica,Both sexes,Eyesight,226
2013,Number,Kostajnica,M,Eyesight,104
2013,Number,Kostajnica,F,Eyesight,122
2013,Number,Kotor Varos,Both sexes,Eyesight,894
2013,Number,Kotor Varos,M,Eyesight,374
2013,Number,Kotor Varos,F,Eyesight,520
2013,Number,Krupa Na Uni,Both sexes,Eyesight,98
2013,Number,Krupa Na Uni,M,Eyesight,47
2013,Number,Krupa Na Uni,F,Eyesight,51
2013,Number,Kupres,Both sexes,Eyesight,12
2013,Number,Kupres,M,Eyesight,8
2013,Number,Kupres,F,Eyesight,4
2013,Number,Laktasi,Both sexes,Eyesight,1042
2013,Number,Laktasi,M,Eyesight,460
2013,Number,Laktasi,F,Eyesight,582
2013,Number,Lopare,Both sexes,Eyesight,691
2013,Number,Lopare,M,Eyesight,297
2013,Number,Lopare,F,Eyesight,394
2013,Number,Ljubinje,Both sexes,Eyesight,82
2013,Number,Ljubinje,M,Eyesight,36
2013,Number,Ljubinje,F,Eyesight,46
2013,Number,Milici,Both sexes,Eyesight,390
2013,Number,Milici,M,Eyesight,165
2013,Number,Milici,F,Eyesight,225
2013,Number,Modrica,Both sexes,Eyesight,990
2013,Number,Modrica,M,Eyesight,443
2013,Number,Modrica,F,Eyesight,547
2013,Number,Mrkonjic Grad,Both sexes,Eyesight,524
2013,Number,Mrkonjic Grad,M,Eyesight,227
2013,Number,Mrkonjic Grad,F,Eyesight,297
2013,Number,Nevesinje,Both sexes,Eyesight,401
2013,Number,Nevesinje,M,Eyesight,187
2013,Number,Nevesinje,F,Eyesight,214
2013,Number,Novi Grad,Both sexes,Eyesight,1236
2013,Number,Novi Grad,M,Eyesight,483
2013,Number,Novi Grad,F,Eyesight,753
2013,Number,Novo Gorazde,Both sexes,Eyesight,86
2013,Number,Novo Gorazde,M,Eyesight,35
2013,Number,Novo Gorazde,F,Eyesight,51
2013,Number,Osmaci,Both sexes,Eyesight,243
2013,Number,Osmaci,M,Eyesight,102
2013,Number,Osmaci,F,Eyesight,141
2013,Number,Ostra Luka,Both sexes,Eyesight,176
2013,Number,Ostra Luka,M,Eyesight,88
2013,Number,Ostra Luka,F,Eyesight,88
2013,Number,Pale,Both sexes,Eyesight,492
2013,Number,Pale,M,Eyesight,213
2013,Number,Pale,F,Eyesight,279
2013,Number,Pelagicevo,Both sexes,Eyesight,310
2013,Number,Pelagicevo,M,Eyesight,132
2013,Number,Pelagicevo,F,Eyesight,178
2013,Number,Petrovac,Both sexes,Eyesight,6
2013,Number,Petrovac,M,Eyesight,2
2013,Number,Petrovac,F,Eyesight,4
2013,Number,Petrovo,Both sexes,Eyesight,433
2013,Number,Petrovo,M,Eyesight,178
2013,Number,Petrovo,F,Eyesight,255
2013,Number,City of Prijedor,Both sexes,Eyesight,2857
2013,Number,City of Prijedor,M,Eyesight,1209
2013,Number,City of Prijedor,F,Eyesight,1648
2013,Number,Prnjavor,Both sexes,Eyesight,1364
2013,Number,Prnjavor,M,Eyesight,564
2013,Number,Prnjavor,F,Eyesight,800
2013,Number,Ribnik,Both sexes,Eyesight,293
2013,Number,Ribnik,M,Eyesight,137
2013,Number,Ribnik,F,Eyesight,156
2013,Number,Rogatica,Both sexes,Eyesight,418
2013,Number,Rogatica,M,Eyesight,174
2013,Number,Rogatica,F,Eyesight,244
2013,Number,Rudo,Both sexes,Eyesight,231
2013,Number,Rudo,M,Eyesight,98
2013,Number,Rudo,F,Eyesight,133
2013,Number,Sokolac,Both sexes,Eyesight,368
2013,Number,Sokolac,M,Eyesight,161
2013,Number,Sokolac,F,Eyesight,207
2013,Number,Srbac,Both sexes,Eyesight,684
2013,Number,Srbac,M,Eyesight,291
2013,Number,Srbac,F,Eyesight,393
2013,Number,Srebrenica,Both sexes,Eyesight,487
2013,Number,Srebrenica,M,Eyesight,176
2013,Number,Srebrenica,F,Eyesight,311
2013,Number,Teslic,Both sexes,Eyesight,1451
2013,Number,Teslic,M,Eyesight,633
2013,Number,Teslic,F,Eyesight,818
2013,Number,City of Trebinje,Both sexes,Eyesight,736
2013,Number,City of Trebinje,M,Eyesight,297
2013,Number,City of Trebinje,F,Eyesight,439
2013,Number,Trnovo,Both sexes,Eyesight,62
2013,Number,Trnovo,M,Eyesight,25
2013,Number,Trnovo,F,Eyesight,37
2013,Number,Ugljevik,Both sexes,Eyesight,488
2013,Number,Ugljevik,M,Eyesight,202
2013,Number,Ugljevik,F,Eyesight,286
2013,Number,Foca,Both sexes,Eyesight,605
2013,Number,Foca,M,Eyesight,263
2013,Number,Foca,F,Eyesight,342
2013,Number,Han Pijesak,Both sexes,Eyesight,102
2013,Number,Han Pijesak,M,Eyesight,36
2013,Number,Han Pijesak,F,Eyesight,66
2013,Number,Cajnice,Both sexes,Eyesight,219
2013,Number,Cajnice,M,Eyesight,93
2013,Number,Cajnice,F,Eyesight,126
2013,Number,Celinac,Both sexes,Eyesight,752
2013,Number,Celinac,M,Eyesight,313
2013,Number,Celinac,F,Eyesight,439
2013,Number,Samac,Both sexes,Eyesight,679
2013,Number,Samac,M,Eyesight,277
2013,Number,Samac,F,Eyesight,402
2013,Number,Sekovici,Both sexes,Eyesight,307
2013,Number,Sekovici,M,Eyesight,130
2013,Number,Sekovici,F,Eyesight,177
2013,Number,Sipovo,Both sexes,Eyesight,372
2013,Number,Sipovo,M,Eyesight,155
2013,Number,Sipovo,F,Eyesight,217
2013,Number,Republika Srpska,Both sexes,Hearing,26055
2013,Number,Republika Srpska,M,Hearing,12971
2013,Number,Republika Srpska,F,Hearing,13084
2013,Number,City of Banja Luka,Both sexes,Hearing,3262
2013,Number,City of Banja Luka,M,Hearing,1678
2013,Number,City of Banja Luka,F,Hearing,1584
2013,Number,Berkovici,Both sexes,Hearing,48
2013,Number,Berkovici,M,Hearing,28
2013,Number,Berkovici,F,Hearing,20
2013,Number,City of Bijeljina,Both sexes,Hearing,2026
2013,Number,City of Bijeljina,M,Hearing,1028
2013,Number,City of Bijeljina,F,Hearing,998
2013,Number,Bileca,Both sexes,Hearing,240
2013,Number,Bileca,M,Hearing,122
2013,Number,Bileca,F,Hearing,118
2013,Number,Bratunac,Both sexes,Hearing,420
2013,Number,Bratunac,M,Hearing,196
2013,Number,Bratunac,F,Hearing,224
2013,Number,Brod,Both sexes,Hearing,322
2013,Number,Brod,M,Hearing,168
2013,Number,Brod,F,Hearing,154
2013,Number,Visegrad,Both sexes,Hearing,276
2013,Number,Visegrad,M,Hearing,128
2013,Number,Visegrad,F,Hearing,148
2013,Number,Vlasenica,Both sexes,Hearing,236
2013,Number,Vlasenica,M,Hearing,117
2013,Number,Vlasenica,F,Hearing,119
2013,Number,Vukosavlje,Both sexes,Hearing,107
2013,Number,Vukosavlje,M,Hearing,49
2013,Number,Vukosavlje,F,Hearing,58
2013,Number,Gacko,Both sexes,Hearing,172
2013,Number,Gacko,M,Hearing,80
2013,Number,Gacko,F,Hearing,92
2013,Number,City of Gradiska,Both sexes,Hearing,1110
2013,Number,City of Gradiska,M,Hearing,525
2013,Number,City of Gradiska,F,Hearing,585
2013,Number,City of Derventa,Both sexes,Hearing,655
2013,Number,City of Derventa,M,Hearing,320
2013,Number,City of Derventa,F,Hearing,335
2013,Number,City of Doboj,Both sexes,Hearing,1902
2013,Number,City of Doboj,M,Hearing,925
2013,Number,City of Doboj,F,Hearing,977
2013,Number,Donji Zabar,Both sexes,Hearing,81
2013,Number,Donji Zabar,M,Hearing,50
2013,Number,Donji Zabar,F,Hearing,31
2013,Number,City of Zvornik,Both sexes,Hearing,1157
2013,Number,City of Zvornik,M,Hearing,580
2013,Number,City of Zvornik,F,Hearing,577
2013,Number,East Ilidza,Both sexes,Hearing,267
2013,Number,East Ilidza,M,Hearing,123
2013,Number,East Ilidza,F,Hearing,144
2013,Number,East Drvar,Both sexes,Hearing,4
2013,Number,East Drvar,M,Hearing,1
2013,Number,East Drvar,F,Hearing,3
2013,Number,East Mostar,Both sexes,Hearing,7
2013,Number,East Mostar,M,Hearing,1
2013,Number,East Mostar,F,Hearing,6
2013,Number,East Stari Grad,Both sexes,Hearing,29
2013,Number,East Stari Grad,M,Hearing,15
2013,Number,East Stari Grad,F,Hearing,14
2013,Number,East Novo Sarajevo,Both sexes,Hearing,153
2013,Number,East Novo Sarajevo,M,Hearing,76
2013,Number,East Novo Sarajevo,F,Hearing,77
2013,Number,Jezero,Both sexes,Hearing,34
2013,Number,Jezero,M,Hearing,18
2013,Number,Jezero,F,Hearing,16
2013,Number,Kalinovik,Both sexes,Hearing,56
2013,Number,Kalinovik,M,Hearing,25
2013,Number,Kalinovik,F,Hearing,31
2013,Number,Knezevo,Both sexes,Hearing,251
2013,Number,Knezevo,M,Hearing,127
2013,Number,Knezevo,F,Hearing,124
2013,Number,Kozarska Dubica,Both sexes,Hearing,490
2013,Number,Kozarska Dubica,M,Hearing,237
2013,Number,Kozarska Dubica,F,Hearing,253
2013,Number,Kostajnica,Both sexes,Hearing,123
2013,Number,Kostajnica,M,Hearing,65
2013,Number,Kostajnica,F,Hearing,58
2013,Number,Kotor Varos,Both sexes,Hearing,485
2013,Number,Kotor Varos,M,Hearing,244
2013,Number,Kotor Varos,F,Hearing,241
2013,Number,Krupa Na Uni,Both sexes,Hearing,59
2013,Number,Krupa Na Uni,M,Hearing,36
2013,Number,Krupa Na Uni,F,Hearing,23
2013,Number,Kupres,Both sexes,Hearing,14
2013,Number,Kupres,M,Hearing,10
2013,Number,Kupres,F,Hearing,4
2013,Number,Laktasi,Both sexes,Hearing,610
2013,Number,Laktasi,M,Hearing,322
2013,Number,Laktasi,F,Hearing,288
2013,Number,Lopare,Both sexes,Hearing,400
2013,Number,Lopare,M,Hearing,187
2013,Number,Lopare,F,Hearing,213
2013,Number,Ljubinje,Both sexes,Hearing,68
2013,Number,Ljubinje,M,Hearing,33
2013,Number,Ljubinje,F,Hearing,35
2013,Number,Milici,Both sexes,Hearing,209
2013,Number,Milici,M,Hearing,98
2013,Number,Milici,F,Hearing,111
2013,Number,Modrica,Both sexes,Hearing,623
2013,Number,Modrica,M,Hearing,318
2013,Number,Modrica,F,Hearing,305
2013,Number,Mrkonjic Grad,Both sexes,Hearing,388
2013,Number,Mrkonjic Grad,M,Hearing,188
2013,Number,Mrkonjic Grad,F,Hearing,200
2013,Number,Nevesinje,Both sexes,Hearing,254
2013,Number,Nevesinje,M,Hearing,119
2013,Number,Nevesinje,F,Hearing,135
2013,Number,Novi Grad,Both sexes,Hearing,706
2013,Number,Novi Grad,M,Hearing,334
2013,Number,Novi Grad,F,Hearing,372
2013,Number,Novo Gorazde,Both sexes,Hearing,57
2013,Number,Novo Gorazde,M,Hearing,31
2013,Number,Novo Gorazde,F,Hearing,26
2013,Number,Osmaci,Both sexes,Hearing,144
2013,Number,Osmaci,M,Hearing,71
2013,Number,Osmaci,F,Hearing,73
2013,Number,Ostra Luka,Both sexes,Hearing,97
2013,Number,Ostra Luka,M,Hearing,65
2013,Number,Ostra Luka,F,Hearing,32
2013,Number,Pale,Both sexes,Hearing,318
2013,Number,Pale,M,Hearing,164
2013,Number,Pale,F,Hearing,154
2013,Number,Pelagicevo,Both sexes,Hearing,167
2013,Number,Pelagicevo,M,Hearing,74
2013,Number,Pelagicevo,F,Hearing,93
2013,Number,Petrovac,Both sexes,Hearing,4
2013,Number,Petrovac,M,Hearing,1
2013,Number,Petrovac,F,Hearing,3
2013,Number,Petrovo,Both sexes,Hearing,257
2013,Number,Petrovo,M,Hearing,134
2013,Number,Petrovo,F,Hearing,123
2013,Number,City of Prijedor,Both sexes,Hearing,1805
2013,Number,City of Prijedor,M,Hearing,944
2013,Number,City of Prijedor,F,Hearing,861
2013,Number,Prnjavor,Both sexes,Hearing,812
2013,Number,Prnjavor,M,Hearing,383
2013,Number,Prnjavor,F,Hearing,429
2013,Number,Ribnik,Both sexes,Hearing,199
2013,Number,Ribnik,M,Hearing,97
2013,Number,Ribnik,F,Hearing,102
2013,Number,Rogatica,Both sexes,Hearing,307
2013,Number,Rogatica,M,Hearing,150
2013,Number,Rogatica,F,Hearing,157
2013,Number,Rudo,Both sexes,Hearing,169
2013,Number,Rudo,M,Hearing,83
2013,Number,Rudo,F,Hearing,86
2013,Number,Sokolac,Both sexes,Hearing,257
2013,Number,Sokolac,M,Hearing,121
2013,Number,Sokolac,F,Hearing,136
2013,Number,Srbac,Both sexes,Hearing,423
2013,Number,Srbac,M,Hearing,212
2013,Number,Srbac,F,Hearing,211
2013,Number,Srebrenica,Both sexes,Hearing,229
2013,Number,Srebrenica,M,Hearing,109
2013,Number,Srebrenica,F,Hearing,120
2013,Number,Teslic,Both sexes,Hearing,881
2013,Number,Teslic,M,Hearing,435
2013,Number,Teslic,F,Hearing,446
2013,Number,City of Trebinje,Both sexes,Hearing,461
2013,Number,City of Trebinje,M,Hearing,227
2013,Number,City of Trebinje,F,Hearing,234
2013,Number,Trnovo,Both sexes,Hearing,46
2013,Number,Trnovo,M,Hearing,22
2013,Number,Trnovo,F,Hearing,24
2013,Number,Ugljevik,Both sexes,Hearing,257
2013,Number,Ugljevik,M,Hearing,117
2013,Number,Ugljevik,F,Hearing,140
2013,Number,Foca,Both sexes,Hearing,430
2013,Number,Foca,M,Hearing,216
2013,Number,Foca,F,Hearing,214
2013,Number,Han Pijesak,Both sexes,Hearing,68
2013,Number,Han Pijesak,M,Hearing,28
2013,Number,Han Pijesak,F,Hearing,40
2013,Number,Cajnice,Both sexes,Hearing,135
2013,Number,Cajnice,M,Hearing,66
2013,Number,Cajnice,F,Hearing,69
2013,Number,Celinac,Both sexes,Hearing,457
2013,Number,Celinac,M,Hearing,233
2013,Number,Celinac,F,Hearing,224
2013,Number,Samac,Both sexes,Hearing,419
2013,Number,Samac,M,Hearing,217
2013,Number,Samac,F,Hearing,202
2013,Number,Sekovici,Both sexes,Hearing,193
2013,Number,Sekovici,M,Hearing,96
2013,Number,Sekovici,F,Hearing,97
2013,Number,Sipovo,Both sexes,Hearing,219
2013,Number,Sipovo,M,Hearing,104
2013,Number,Sipovo,F,Hearing,115
2013,Number,Republika Srpska,Both sexes,Walking or climbing the stairs,63381
2013,Number,Republika Srpska,M,Walking or climbing the stairs,26903
2013,Number,Republika Srpska,F,Walking or climbing the stairs,36478
2013,Number,City of Banja Luka,Both sexes,Walking or climbing the stairs,8456
2013,Number,City of Banja Luka,M,Walking or climbing the stairs,3667
2013,Number,City of Banja Luka,F,Walking or climbing the stairs,4789
2013,Number,Berkovici,Both sexes,Walking or climbing the stairs,109
2013,Number,Berkovici,M,Walking or climbing the stairs,45
2013,Number,Berkovici,F,Walking or climbing the stairs,64
2013,Number,City of Bijeljina,Both sexes,Walking or climbing the stairs,5530
2013,Number,City of Bijeljina,M,Walking or climbing the stairs,2356
2013,Number,City of Bijeljina,F,Walking or climbing the stairs,3174
2013,Number,Bileca,Both sexes,Walking or climbing the stairs,533
2013,Number,Bileca,M,Walking or climbing the stairs,193
2013,Number,Bileca,F,Walking or climbing the stairs,340
2013,Number,Bratunac,Both sexes,Walking or climbing the stairs,835
2013,Number,Bratunac,M,Walking or climbing the stairs,372
2013,Number,Bratunac,F,Walking or climbing the stairs,463
2013,Number,Brod,Both sexes,Walking or climbing the stairs,892
2013,Number,Brod,M,Walking or climbing the stairs,392
2013,Number,Brod,F,Walking or climbing the stairs,500
2013,Number,Visegrad,Both sexes,Walking or climbing the stairs,598
2013,Number,Visegrad,M,Walking or climbing the stairs,227
2013,Number,Visegrad,F,Walking or climbing the stairs,371
2013,Number,Vlasenica,Both sexes,Walking or climbing the stairs,440
2013,Number,Vlasenica,M,Walking or climbing the stairs,211
2013,Number,Vlasenica,F,Walking or climbing the stairs,229
2013,Number,Vukosavlje,Both sexes,Walking or climbing the stairs,286
2013,Number,Vukosavlje,M,Walking or climbing the stairs,130
2013,Number,Vukosavlje,F,Walking or climbing the stairs,156
2013,Number,Gacko,Both sexes,Walking or climbing the stairs,385
2013,Number,Gacko,M,Walking or climbing the stairs,152
