Year,UNIT_MEASURE,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2014,Broj,Oba spola,diseases_of_the_nervous_system,186
2015,Broj,Oba spola,diseases_of_the_nervous_system,212
2016,Broj,Oba spola,diseases_of_the_nervous_system,171
2017,Broj,Oba spola,diseases_of_the_nervous_system,197
2018,Broj,Oba spola,diseases_of_the_nervous_system,169
2019,Broj,Oba spola,diseases_of_the_nervous_system,165
2020,Broj,Oba spola,diseases_of_the_nervous_system,188
2003,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2004,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2005,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2006,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2007,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2008,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2009,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2010,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2011,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2012,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2013,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2014,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2015,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2016,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2017,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2018,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2019,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2020,Broj,Oba spola,eye_diseases_and_eye_soldering_disease,0
2003,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2004,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2005,Broj,Oba spola,diseases_of_ear_and_mastoid_process,1
2006,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2007,Broj,Oba spola,diseases_of_ear_and_mastoid_process,1
2008,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2009,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2010,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2011,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2012,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2013,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2014,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2015,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2016,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2017,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2018,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2019,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2020,Broj,Oba spola,diseases_of_ear_and_mastoid_process,0
2003,Broj,Oba spola,diseases_of_the_circulatory_system,7071
2004,Broj,Oba spola,diseases_of_the_circulatory_system,7340
2005,Broj,Oba spola,diseases_of_the_circulatory_system,7002
2006,Broj,Oba spola,diseases_of_the_circulatory_system,6463
2007,Broj,Oba spola,diseases_of_the_circulatory_system,7097
2008,Broj,Oba spola,diseases_of_the_circulatory_system,6965
2009,Broj,Oba spola,diseases_of_the_circulatory_system,7014
2010,Broj,Oba spola,diseases_of_the_circulatory_system,7211
2011,Broj,Oba spola,diseases_of_the_circulatory_system,7339
2012,Broj,Oba spola,diseases_of_the_circulatory_system,7625
2013,Broj,Oba spola,diseases_of_the_circulatory_system,6687
2014,Broj,Oba spola,diseases_of_the_circulatory_system,6777
2015,Broj,Oba spola,diseases_of_the_circulatory_system,7275
2016,Broj,Oba spola,diseases_of_the_circulatory_system,6920
2017,Broj,Oba spola,diseases_of_the_circulatory_system,7180
2018,Broj,Oba spola,diseases_of_the_circulatory_system,6989
2019,Broj,Oba spola,diseases_of_the_circulatory_system,7473
2020,Broj,Oba spola,diseases_of_the_circulatory_system,7602
2003,Broj,Oba spola,diseases_of_the_respiratory_system,304
2004,Broj,Oba spola,diseases_of_the_respiratory_system,345
2005,Broj,Oba spola,diseases_of_the_respiratory_system,504
2006,Broj,Oba spola,diseases_of_the_respiratory_system,520
2007,Broj,Oba spola,diseases_of_the_respiratory_system,493
2008,Broj,Oba spola,diseases_of_the_respiratory_system,449
2009,Broj,Oba spola,diseases_of_the_respiratory_system,430
2010,Broj,Oba spola,diseases_of_the_respiratory_system,450
2011,Broj,Oba spola,diseases_of_the_respiratory_system,536
2012,Broj,Oba spola,diseases_of_the_respiratory_system,424
2013,Broj,Oba spola,diseases_of_the_respiratory_system,556
2014,Broj,Oba spola,diseases_of_the_respiratory_system,524
2015,Broj,Oba spola,diseases_of_the_respiratory_system,618
2016,Broj,Oba spola,diseases_of_the_respiratory_system,510
2017,Broj,Oba spola,diseases_of_the_respiratory_system,576
2018,Broj,Oba spola,diseases_of_the_respiratory_system,626
2019,Broj,Oba spola,diseases_of_the_respiratory_system,596
2020,Broj,Oba spola,diseases_of_the_respiratory_system,631
2003,Broj,Oba spola,diseases_of_the_digestive_system,352
2004,Broj,Oba spola,diseases_of_the_digestive_system,347
2005,Broj,Oba spola,diseases_of_the_digestive_system,343
2006,Broj,Oba spola,diseases_of_the_digestive_system,379
2007,Broj,Oba spola,diseases_of_the_digestive_system,396
2008,Broj,Oba spola,diseases_of_the_digestive_system,366
2009,Broj,Oba spola,diseases_of_the_digestive_system,371
2010,Broj,Oba spola,diseases_of_the_digestive_system,398
2011,Broj,Oba spola,diseases_of_the_digestive_system,391
2012,Broj,Oba spola,diseases_of_the_digestive_system,393
2013,Broj,Oba spola,diseases_of_the_digestive_system,402
2014,Broj,Oba spola,diseases_of_the_digestive_system,429
2015,Broj,Oba spola,diseases_of_the_digestive_system,440
2016,Broj,Oba spola,diseases_of_the_digestive_system,450
2017,Broj,Oba spola,diseases_of_the_digestive_system,413
2018,Broj,Oba spola,diseases_of_the_digestive_system,481
2019,Broj,Oba spola,diseases_of_the_digestive_system,419
2020,Broj,Oba spola,diseases_of_the_digestive_system,438
2003,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,0
2004,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,3
2005,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,0
2006,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,1
2007,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,2
2008,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,2
2009,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,3
2010,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,6
2011,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,1
2012,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,4
2013,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,20
2014,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,22
2015,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,22
2016,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,21
2017,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,24
2018,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,22
2019,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,23
2020,Broj,Oba spola,skin_and_subcutaneous_tissue_disorders,30
2003,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,6
2004,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,3
2005,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,12
2006,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,10
2007,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2008,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,17
2009,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2010,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,11
2011,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,18
2012,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,16
2013,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,28
2014,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,22
2015,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,30
2016,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,19
2017,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,17
2018,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,21
2019,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,13
2020,Broj,Oba spola,diseases_of_the_musculoskeletal_system_and_connective_tissue,28
2003,Broj,Oba spola,diseases_of_the_genitourinary_system,222
2004,Broj,Oba spola,diseases_of_the_genitourinary_system,205
2005,Broj,Oba spola,diseases_of_the_genitourinary_system,257
2006,Broj,Oba spola,diseases_of_the_genitourinary_system,266
2007,Broj,Oba spola,diseases_of_the_genitourinary_system,275
2008,Broj,Oba spola,diseases_of_the_genitourinary_system,268
2009,Broj,Oba spola,diseases_of_the_genitourinary_system,257
2010,Broj,Oba spola,diseases_of_the_genitourinary_system,255
2011,Broj,Oba spola,diseases_of_the_genitourinary_system,175
2012,Broj,Oba spola,diseases_of_the_genitourinary_system,236
2013,Broj,Oba spola,diseases_of_the_genitourinary_system,213
2014,Broj,Oba spola,diseases_of_the_genitourinary_system,150
2015,Broj,Oba spola,diseases_of_the_genitourinary_system,179
2016,Broj,Oba spola,diseases_of_the_genitourinary_system,218
2017,Broj,Oba spola,diseases_of_the_genitourinary_system,193
2018,Broj,Oba spola,diseases_of_the_genitourinary_system,220
2019,Broj,Oba spola,diseases_of_the_genitourinary_system,195
2020,Broj,Oba spola,diseases_of_the_genitourinary_system,221
2003,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2004,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2005,Broj,Oba spola,pregnancy_childbirth_and_puerperium,2
2006,Broj,Oba spola,pregnancy_childbirth_and_puerperium,2
2007,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2008,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2009,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2010,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2011,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2012,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2013,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2014,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2015,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2016,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2017,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2018,Broj,Oba spola,pregnancy_childbirth_and_puerperium,1
2019,Broj,Oba spola,pregnancy_childbirth_and_puerperium,0
2020,Broj,Oba spola,pregnancy_childbirth_and_puerperium,3
2003,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,44
2004,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,38
2005,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,27
2006,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,38
2007,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,27
2008,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,20
2009,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,34
2010,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,29
2011,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,36
2012,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,29
2013,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,21
2014,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,16
2015,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,10
2016,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,18
2017,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,17
2018,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,10
2019,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,11
2020,Broj,Oba spola,certain_conditions_occurred_in_the_perinatal_period,34
2003,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2004,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,11
2005,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2006,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2007,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,14
2008,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,15
2009,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,20
2010,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,17
2011,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,9
2012,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,6
2013,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2014,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2015,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2016,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2017,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2018,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2019,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,4
2020,Broj,Oba spola,congenital_anomalies_deformities_and_chromosomal_abnormalities,6
2003,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1612
2004,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1462
2005,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1249
2006,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1200
2007,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1288
2008,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,945
2009,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,953
2010,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,877
2011,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,681
2012,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,612
2013,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1231
2014,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1445
2015,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1556
2016,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1198
2017,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1435
2018,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1650
2019,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1961
2020,Broj,Oba spola,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1599
2003,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,580
2004,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,552
2005,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,618
2006,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,615
2007,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,634
2008,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,584
2009,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,581
2010,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,511
2011,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,600
2012,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,538
2013,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,504
2014,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,532
2015,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,559
2016,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,491
2017,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,474
2018,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,482
2019,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,430
2020,Broj,Oba spola,injuries_poisonings_and_consequences_of_external_factors,405
2003,Broj,Oba spola,special_purpose_codes,0
2004,Broj,Oba spola,special_purpose_codes,0
2005,Broj,Oba spola,special_purpose_codes,0
2006,Broj,Oba spola,special_purpose_codes,0
2007,Broj,Oba spola,special_purpose_codes,0
2008,Broj,Oba spola,special_purpose_codes,0
2009,Broj,Oba spola,special_purpose_codes,0
2010,Broj,Oba spola,special_purpose_codes,0
2011,Broj,Oba spola,special_purpose_codes,0
2012,Broj,Oba spola,special_purpose_codes,0
2013,Broj,Oba spola,special_purpose_codes,0
2014,Broj,Oba spola,special_purpose_codes,0
2015,Broj,Oba spola,special_purpose_codes,0
2016,Broj,Oba spola,special_purpose_codes,0
2017,Broj,Oba spola,special_purpose_codes,0
2018,Broj,Oba spola,special_purpose_codes,0
2019,Broj,Oba spola,special_purpose_codes,0
2020,Broj,Oba spola,special_purpose_codes,1592
2003,Broj,M,Ukupno,6804
2004,Broj,M,Ukupno,6735
2005,Broj,M,Ukupno,7239
2006,Broj,M,Ukupno,6904
2007,Broj,M,Ukupno,7302
2008,Broj,M,Ukupno,7058
2009,Broj,M,Ukupno,7099
2010,Broj,M,Ukupno,6935
2011,Broj,M,Ukupno,7001
2012,Broj,M,Ukupno,7064
2013,Broj,M,Ukupno,7237
2014,Broj,M,Ukupno,7386
2015,Broj,M,Ukupno,7640
2016,Broj,M,Ukupno,7198
2017,Broj,M,Ukupno,7363
2018,Broj,M,Ukupno,7449
2019,Broj,M,Ukupno,7753
2020,Broj,M,Ukupno,8613
2003,Broj,M,infectious_and_parasitic_diseases,59
2004,Broj,M,infectious_and_parasitic_diseases,75
2005,Broj,M,infectious_and_parasitic_diseases,78
2006,Broj,M,infectious_and_parasitic_diseases,73
2007,Broj,M,infectious_and_parasitic_diseases,70
2008,Broj,M,infectious_and_parasitic_diseases,72
2009,Broj,M,infectious_and_parasitic_diseases,75
2010,Broj,M,infectious_and_parasitic_diseases,72
2011,Broj,M,infectious_and_parasitic_diseases,79
2012,Broj,M,infectious_and_parasitic_diseases,69
2013,Broj,M,infectious_and_parasitic_diseases,73
2014,Broj,M,infectious_and_parasitic_diseases,80
2015,Broj,M,infectious_and_parasitic_diseases,92
2016,Broj,M,infectious_and_parasitic_diseases,104
2017,Broj,M,infectious_and_parasitic_diseases,85
2018,Broj,M,infectious_and_parasitic_diseases,109
2019,Broj,M,infectious_and_parasitic_diseases,119
2020,Broj,M,infectious_and_parasitic_diseases,87
2003,Broj,M,"(C00-C97,D00-D48) Neoplazme",1461
2004,Broj,M,"(C00-C97,D00-D48) Neoplazme",1402
2005,Broj,M,"(C00-C97,D00-D48) Neoplazme",1581
2006,Broj,M,"(C00-C97,D00-D48) Neoplazme",1536
2007,Broj,M,"(C00-C97,D00-D48) Neoplazme",1624
2008,Broj,M,"(C00-C97,D00-D48) Neoplazme",1658
2009,Broj,M,"(C00-C97,D00-D48) Neoplazme",1661
2010,Broj,M,"(C00-C97,D00-D48) Neoplazme",1595
