Year,UNIT_MEASURE,scientific_field,Spol,Value
2019,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,10
2019,Broj,"engineering,_production_and_construction",Oba spola,0
2019,Broj,information_and_communication_technologies,Oba spola,0
2019,Broj,health_and_social_protection,Oba spola,65
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,9
2019,Broj,"social_sciences,_journalism_and_information",Oba spola,58
2019,Broj,"business,_administration_and_law",Oba spola,5
2019,Broj,eduaction,Oba spola,8
2019,Broj,humanities_and_arts,Oba spola,10
2019,Broj,services,Oba spola,0
2019,Broj,TOTAL,M,71
2019,Broj,"natural_sciences,_mathematics_and_statistic",M,6
2019,Broj,"engineering,_production_and_construction",M,0
2019,Broj,information_and_communication_technologies,M,0
2019,Broj,health_and_social_protection,M,19
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,Broj,"social_sciences,_journalism_and_information",M,28
2019,Broj,"business,_administration_and_law",M,2
2019,Broj,eduaction,M,5
2019,Broj,humanities_and_arts,M,5
2019,Broj,services,M,0
2019,Broj,TOTAL,Ž,94
2019,Broj,"natural_sciences,_mathematics_and_statistic",Ž,4
2019,Broj,"engineering,_production_and_construction",Ž,0
2019,Broj,information_and_communication_technologies,Ž,0
2019,Broj,health_and_social_protection,Ž,46
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,3
2019,Broj,"social_sciences,_journalism_and_information",Ž,30
2019,Broj,"business,_administration_and_law",Ž,3
2019,Broj,eduaction,Ž,3
2019,Broj,humanities_and_arts,Ž,5
2019,Broj,services,Ž,0
2020,Broj,TOTAL,Oba spola,184
2020,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,12
2020,Broj,"engineering,_production_and_construction",Oba spola,2
2020,Broj,information_and_communication_technologies,Oba spola,5
2020,Broj,health_and_social_protection,Oba spola,96
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,14
2020,Broj,"social_sciences,_journalism_and_information",Oba spola,22
2020,Broj,"business,_administration_and_law",Oba spola,1
2020,Broj,eduaction,Oba spola,8
2020,Broj,humanities_and_arts,Oba spola,24
2020,Broj,services,Oba spola,0
2020,Broj,TOTAL,M,79
2020,Broj,"natural_sciences,_mathematics_and_statistic",M,8
2020,Broj,"engineering,_production_and_construction",M,1
2020,Broj,information_and_communication_technologies,M,3
2020,Broj,health_and_social_protection,M,35
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,Broj,"social_sciences,_journalism_and_information",M,12
2020,Broj,"business,_administration_and_law",M,0
2020,Broj,eduaction,M,8
2020,Broj,humanities_and_arts,M,3
2020,Broj,services,M,0
2020,Broj,TOTAL,Ž,105
2020,Broj,"natural_sciences,_mathematics_and_statistic",Ž,4
2020,Broj,"engineering,_production_and_construction",Ž,1
2020,Broj,information_and_communication_technologies,Ž,2
2020,Broj,health_and_social_protection,Ž,61
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,5
2020,Broj,"social_sciences,_journalism_and_information",Ž,10
2020,Broj,"business,_administration_and_law",Ž,1
2020,Broj,eduaction,Ž,0
2020,Broj,humanities_and_arts,Ž,21
2020,Broj,services,Ž,0
