Year,UNIT_MEASURE,type_of_education,Пол,Value
2019,Број,Укупно,Оба пола,42
2019,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,2
2019,Број,"engineering,_production_and_construction",Оба пола,1
2019,Број,information_and_communication_technologie,Оба пола,25
2019,Број,health_and_social_protection,Оба пола,2
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,3
2019,Број,"social_sciences,_journalism_and_information",Оба пола,1
2019,Број,"business,_administration_and_law",Оба пола,3
2019,Број,education,Оба пола,3
2019,Број,arts_and_humanities,Оба пола,2
2019,Број,services,Оба пола,0
2019,Број,Укупно,M,26
2019,Број,"natural_sciences,_mathematics_and_statistics",M,2
2019,Број,"engineering,_production_and_construction",M,0
2019,Број,information_and_communication_technologie,M,19
2019,Број,health_and_social_protection,M,2
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2019,Број,"social_sciences,_journalism_and_information",M,0
2019,Број,"business,_administration_and_law",M,2
2019,Број,education,M,1
2019,Број,arts_and_humanities,M,0
2019,Број,services,M,0
2019,Број,Укупно,Ж,16
2019,Број,"natural_sciences,_mathematics_and_statistics",Ж,0
2019,Број,"engineering,_production_and_construction",Ж,1
2019,Број,information_and_communication_technologie,Ж,6
2019,Број,health_and_social_protection,Ж,0
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,3
2019,Број,"social_sciences,_journalism_and_information",Ж,1
2019,Број,"business,_administration_and_law",Ж,1
2019,Број,education,Ж,2
2019,Број,arts_and_humanities,Ж,2
2019,Број,services,Ж,0
2020,Број,Укупно,Оба пола,64
2020,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,0
2020,Број,"engineering,_production_and_construction",Оба пола,3
2020,Број,information_and_communication_technologie,Оба пола,30
2020,Број,health_and_social_protection,Оба пола,5
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,2
2020,Број,"social_sciences,_journalism_and_information",Оба пола,5
2020,Број,"business,_administration_and_law",Оба пола,8
2020,Број,education,Оба пола,2
2020,Број,arts_and_humanities,Оба пола,9
2020,Број,services,Оба пола,0
2020,Број,Укупно,M,34
2020,Број,"natural_sciences,_mathematics_and_statistics",M,0
2020,Број,"engineering,_production_and_construction",M,0
2020,Број,information_and_communication_technologie,M,21
2020,Број,health_and_social_protection,M,4
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2020,Број,"social_sciences,_journalism_and_information",M,3
2020,Број,"business,_administration_and_law",M,3
2020,Број,education,M,0
2020,Број,arts_and_humanities,M,2
2020,Број,services,M,0
2020,Број,Укупно,Ж,30
2020,Број,"natural_sciences,_mathematics_and_statistics",Ж,0
2020,Број,"engineering,_production_and_construction",Ж,3
2020,Број,information_and_communication_technologie,Ж,9
2020,Број,health_and_social_protection,Ж,1
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,1
2020,Број,"social_sciences,_journalism_and_information",Ж,2
2020,Број,"business,_administration_and_law",Ж,5
2020,Број,education,Ж,2
2020,Број,arts_and_humanities,Ж,7
2020,Број,services,Ж,0
